Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Arron Afflalo,24.0,DEN,Wing,118,100,71.9%,100,77.8%,0,42.9%,0,81.8%,37,70%,20,73%,89,0%,3,100%
LaMarcus Aldridge,24.3,POR,Big,225,23,44.0%,21,43.3%,0,50.0%,67,75.0%,63,65%,19,80%,67,54%,74,100%
Ray Allen,34.3,BOS,Wing,922,71,52.3%,54,47.2%,48,38.6%,56,86.3%,20,78%,37,58%,14,74%,40,93%
Tony Allen,27.8,BOS,Wing,379,54,50.0%,80,51.6%,0,0.0%,17,76.5%,17,79%,11,78%,9,80%,0,0%
Lou Amundson,26.9,PHX,Big,172,60,52.9%,63,52.9%,0,0.0%,0,42.1%,51,67%,65,57%,2,100%,0,0%
Chris Andersen,31.3,DEN,Big,115,60,52.9%,63,52.9%,0,0.0%,0,64.3%,9,89%,12,86%,2,100%,0,0%
Carmelo Anthony,25.4,DEN,Wing,252,40,48.9%,66,48.7%,31,33.3%,72,87.7%,86,33%,60,43%,86,13%,71,83%
Carlos Arroyo,30.3,MIA,Point,110,20,45.8%,53,47.8%,0,0.0%,0,0.0%,33,55%,0,0%,13,55%,0,0%
Leandro Barbosa,26.9,PHX,Wing,227,54,50.0%,57,47.5%,41,36.4%,0,70.0%,89,33%,97,13%,83,17%,86,75%
Matt Barnes,29.6,ORL,Wing,325,49,49.3%,37,42.9%,52,38.7%,0,85.0%,0,90%,9,87%,3,100%,49,92%
Nicolas Batum,20.9,POR,Wing,138,77,59.7%,74,50.0%,79,45.0%,0,75.0%,23,76%,23,71%,89,0%,66,89%
Jerryd Bayless,21.2,POR,Combo,156,67,50.0%,50,45.7%,0,42.9%,0,77.3%,33,52%,42,38%,25,38%,0,100%
Michael Beasley,20.8,MIA,Forward,131,30,45.7%,30,44.4%,0,50.0%,0,77.8%,40,62%,80,40%,20,80%,20,100%
Mike Bibby,31.5,ATL,Point,291,87,53.8%,53,47.8%,78,41.2%,0,70.0%,13,69%,73,0%,7,60%,27,93%
Chauncey Billups,33.1,DEN,Combo,206,92,51.2%,75,50.0%,56,35.5%,100,88.1%,83,32%,92,13%,67,27%,83,64%
Matt Bonner,29.6,SAS,Big,169,72,53.5%,44,50.0%,75,37.0%,0,100.0%,35,72%,79,50%,91,33%,74,100%
Carlos Boozer,27.9,UTA,Big,400,65,53.0%,67,53.0%,0,0.0%,11,54.3%,65,64%,63,58%,53,71%,0,0%
Shannon Brown,23.9,LAL,Combo,296,25,44.7%,42,42.0%,33,33.3%,0,72.7%,0,71%,8,67%,8,57%,0,100%
Kobe Bryant,31.2,LAL,Wing,921,63,50.9%,69,48.8%,45,38.1%,50,84.2%,83,34%,71,38%,66,24%,94,63%
Caron Butler,29.6,DAL,Wing,195,37,47.8%,63,47.9%,24,31.6%,94,92.6%,57,59%,54,47%,17,65%,89,67%
Andrew Bynum,22.0,LAL,Big,546,74,53.7%,74,53.7%,0,0.0%,50,69.2%,49,67%,28,72%,74,50%,0,0%
Marcus Camby,35.6,POR,Big,177,19,43.2%,19,43.2%,0,0.0%,0,50.0%,88,56%,100,33%,33,86%,0,0%
Vince Carter,32.8,ORL,Wing,477,23,44.0%,51,47.0%,14,24.0%,44,82.6%,91,31%,94,21%,80,18%,49,92%
Mario Chalmers,23.5,MIA,Combo,130,100,56.6%,100,55.0%,67,38.9%,0,84.6%,17,61%,58,33%,25,38%,0,100%
Jarron Collins,30.9,PHX,Big,112,5,33.3%,5,33.3%,0,0.0%,0,100.0%,2,100%,2,100%,2,100%,0,0%
Nick Collison,29.0,OKC,Big,121,5,33.3%,7,35.0%,0,0.0%,0,20.0%,81,57%,79,50%,2,100%,0,0%
Jamal Crawford,29.6,ATL,Combo,323,8,42.7%,0,35.6%,89,39.5%,60,83.6%,42,49%,25,43%,67,27%,67,82%
Erick Dampier,34.3,DAL,Big,118,0,0.0%,0,0.0%,0,0.0%,0,41.7%,0,0%,0,0%,0,0%,0,0%
Glen Davis,23.8,BOS,Big,467,30,48.7%,40,49.6%,0,0.0%,56,72.7%,21,83%,14,83%,37,82%,0,0%
Carlos Delfino,27.2,MIL,Wing,224,26,45.9%,6,30.6%,59,40.5%,0,75.0%,29,73%,63,40%,89,0%,3,100%
Luol Deng,24.5,CHI,Forward,201,40,46.9%,70,52.9%,0,8.3%,40,73.1%,70,59%,30,69%,60,52%,20,100%
Boris Diaw,27.5,CHA,Big,151,51,51.8%,98,68.4%,0,11.1%,0,50.0%,40,71%,60,60%,44,75%,74,100%
Goran Dragic,23.5,PHX,Combo,214,58,48.3%,75,50.0%,22,30.3%,0,74.1%,92,26%,75,20%,83,23%,100,40%
Jared Dudley,24.3,PHX,Wing,364,94,64.4%,94,56.0%,83,45.5%,0,50.0%,11,79%,57,45%,51,33%,3,100%
Tim Duncan,33.5,SAS,Big,371,56,52.3%,53,52.0%,0,50.0%,0,47.8%,86,56%,37,68%,86,42%,74,100%
Kevin Durant,21.1,OKC,Wing,230,9,39.7%,17,37.5%,21,29.4%,67,87.1%,60,58%,14,77%,43,45%,97,60%
Maurice Evans,31.0,ATL,Wing,126,0,35.0%,3,26.1%,0,42.9%,0,0.0%,51,67%,43,50%,29,50%,3,100%
Jordan Farmar,22.9,LAL,Point,270,67,52.4%,7,39.0%,100,43.9%,0,50.0%,7,71%,7,50%,27,50%,40,89%
Raymond Felton,25.3,CHA,Point,129,13,42.7%,13,44.8%,0,25.0%,0,75.0%,40,50%,27,29%,27,50%,7,100%
Rudy Fernandez,24.6,POR,Wing,108,97,64.8%,0,25.0%,93,47.8%,0,66.7%,26,75%,0,0%,89,0%,74,82%
Kyrylo Fesenko,22.9,UTA,Big,177,21,43.3%,21,43.3%,0,0.0%,0,31.6%,28,77%,7,91%,98,0%,0,0%
Derek Fisher,35.2,LAL,Point,749,73,52.5%,80,50.9%,33,36.5%,57,81.8%,20,61%,47,23%,20,52%,33,93%
Channing Frye,26.5,PHX,Big,426,44,50.4%,21,43.3%,50,35.3%,0,93.8%,5,93%,79,50%,30,89%,74,100%
Kevin Garnett,33.5,BOS,Big,763,40,49.5%,42,49.8%,0,0.0%,94,83.9%,60,66%,35,68%,56,65%,0,0%
Pau Gasol,29.3,LAL,Big,910,77,53.9%,79,54.5%,0,0.0%,78,75.9%,91,54%,70,57%,72,51%,0,0%
Taj Gibson,24.4,CHI,Big,143,16,42.1%,14,42.1%,0,0.0%,0,54.5%,30,75%,79,50%,28,90%,0,0%
Manu Ginobili,32.3,SAS,Wing,351,43,48.9%,60,47.5%,34,33.9%,61,86.6%,74,47%,86,26%,71,20%,57,90%
