Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Alex Abrines,24.3,OKC,Wing,1066,32,+2.1,39,+1.1,8,+3.7%,52,+0.1%,13,+3.2,32,+1.0,15,+12.1
Quincy Acy,27.1,BKN,Big,1287,54,-0.7,47,+0.0,42,+0.8%,96,+2.9%,52,-0.2,64,-0.8,35,+4.4
Steven Adams,24.3,OKC,Big,2465,62,-1.4,35,+1.6,93,-4.6%,33,-0.6%,76,-2.2,83,-2.1,41,+2.7
Arron Afflalo,32.0,ORL,Wing,618,37,+1.4,72,-2.5,16,+2.7%,15,-1.4%,47,+0.3,38,+0.7,62,-4.0
LaMarcus Aldridge,32.3,SAS,Big,2474,84,-4.1,46,+0.1,91,-4.2%,80,+1.4%,74,-2.1,88,-2.6,30,+6.0
Tony Allen,35.8,NOP,Wing,258,55,-0.7,75,-3.0,17,+2.7%,87,+1.7%,28,+1.7,31,+1.0,38,+3.8
Al-Farouq Aminu,27.1,POR,Big,2055,63,-1.5,69,-2.2,31,+1.6%,44,-0.1%,38,+0.8,39,+0.6,50,+0.4
Justin Anderson,24.0,PHI,Wing,420,3,+8.7,16,+4.6,8,+3.8%,29,-0.7%,20,+2.3,10,+2.5,54,-1.1
Kyle Anderson,24.1,SAS,Forward,1946,83,-4.0,74,-2.9,58,-0.4%,42,-0.2%,29,+1.6,56,-0.3,12,+13.2
Ryan Anderson,29.5,HOU,Big,1672,24,+3.5,9,+6.9,64,-0.9%,54,+0.2%,77,-2.3,59,-0.5,82,-11.0
Giannis Antetokounmpo,22.9,MIL,Forward,2740,93,-6.9,86,-5.0,98,-6.3%,94,+2.6%,98,-7.1,99,-5.9,54,-0.7
Carmelo Anthony,33.4,OKC,Big,2473,44,+0.6,28,+2.7,94,-4.8%,51,+0.1%,84,-3.0,85,-2.2,53,-0.6
Trevor Ariza,32.3,HOU,Wing,2221,36,+1.6,57,-1.1,59,-0.5%,6,-2.5%,34,+1.1,33,+0.9,53,-0.5
Darrell Arthur,29.6,DEN,Big,118,10,+5.9,2,+10.7,2,+5.9%,53,+0.2%,7,+4.3,0,+6.4,87,-13.6
Omer Asik,31.3,NOP,Big,103,13,+5.3,60,-1.5,90,-4.0%,99,+3.9%,63,-0.8,97,-4.7,1,+41.8
D.J. Augustin,30.0,ORL,Point,1739,88,-5.1,90,-5.6,85,-2.9%,21,-1.2%,67,-1.3,81,-1.9,37,+4.0
Luke Babbitt,28.4,ATL,Big,517,23,+3.7,20,+3.7,82,-2.6%,24,-1.0%,88,-3.6,82,-1.9,76,-8.5
Luke Babbitt,28.4,MIA,Forward,106,4,+8.1,6,+8.3,0,+9.2%,67,+0.7%,59,-0.6,3,+4.2,97,-26.9
Ron Baker,24.6,NYK,Combo,334,70,-2.3,74,-2.7,7,+4.2%,96,+2.8%,15,+3.1,4,+3.7,71,-6.4
J.J. Barea,33.3,DAL,Combo,1595,46,+0.4,47,-0.0,43,+0.6%,38,-0.4%,37,+0.9,34,+0.9,53,-0.5
Harrison Barnes,25.4,DAL,Forward,2590,13,+5.2,26,+3.0,31,+1.6%,43,-0.2%,37,+0.9,47,+0.2,36,+4.2
Will Barton,26.8,DEN,Combo,2634,58,-1.0,74,-2.8,16,+2.8%,26,-0.8%,29,+1.6,22,+1.6,55,-1.2
Nicolas Batum,28.9,CHA,Wing,1960,33,+1.9,38,+1.3,30,+1.7%,37,-0.4%,42,+0.5,10,+2.6,92,-19.0
Jerryd Bayless,29.2,PHI,Wing,898,20,+4.0,19,+4.0,19,+2.4%,56,+0.3%,10,+3.7,24,+1.4,14,+12.8
Aron Baynes,30.9,BOS,Big,1448,94,-7.0,86,-4.9,97,-5.6%,94,+2.4%,96,-5.4,97,-4.7,59,-2.4
Kent Bazemore,28.3,ATL,Wing,1771,78,-3.1,58,-1.3,21,+2.3%,58,+0.3%,53,-0.2,29,+1.2,81,-10.5
Bradley Beal,24.3,WAS,Wing,2957,74,-2.6,90,-5.5,44,+0.6%,4,-2.9%,66,-1.2,12,+2.3,96,-24.1
Malik Beasley,20.9,DEN,Wing,493,77,-2.8,70,-2.3,29,+1.8%,36,-0.5%,32,+1.4,59,-0.5,14,+13.0
Michael Beasley,28.8,NYK,Big,1611,31,+2.2,23,+3.3,57,-0.4%,37,-0.4%,31,+1.4,18,+1.8,64,-4.5
Marco Belinelli,31.6,ATL,Wing,1192,17,+4.4,28,+2.7,24,+2.0%,43,-0.1%,8,+4.1,8,+2.7,33,+5.1
Marco Belinelli,31.6,PHI,Wing,714,45,+0.5,66,-1.9,12,+3.3%,66,+0.7%,17,+2.7,34,+0.9,14,+12.7
DeAndre' Bembry,23.3,ATL,Wing,435,27,+3.0,32,+2.1,28,+1.8%,87,+1.8%,7,+4.2,15,+2.2,29,+6.2
Dragan Bender,20.0,PHX,Big,2003,35,+1.7,25,+3.1,75,-1.8%,25,-0.9%,61,-0.7,56,-0.3,58,-2.3
Davis Bertans,25.0,SAS,Big,977,63,-1.6,48,-0.2,38,+1.1%,88,+1.8%,78,-2.4,35,+0.8,96,-22.7
Patrick Beverley,29.3,LAC,Point,333,87,-4.7,57,-1.1,47,+0.4%,4,-2.9%,12,+3.5,7,+3.1,58,-2.4
Bismack Biyombo,25.2,ORL,Big,1441,9,+6.5,36,+1.4,5,+4.6%,11,-1.8%,6,+4.6,14,+2.2,18,+10.7
Nemanja Bjelica,29.5,MIN,Forward,1325,69,-2.1,57,-1.1,92,-4.4%,49,+0.0%,84,-3.1,93,-3.3,34,+4.6
Tarik Black,25.9,HOU,Big,430,42,+0.8,66,-1.9,25,+2.0%,2,-3.4%,42,+0.5,12,+2.3,88,-14.0
Eric Bledsoe,27.9,MIL,Point,2222,84,-4.2,90,-5.6,37,+1.1%,11,-1.7%,9,+3.9,5,+3.2,50,+0.2
Bojan Bogdanovic,28.5,IND,Forward,2413,86,-4.6,91,-5.9,31,+1.6%,57,+0.3%,24,+2.0,46,+0.3,17,+10.8
Andrew Bogut,32.9,LAL,Big,216,95,-7.6,84,-4.5,81,-2.4%,14,-1.5%,96,-5.5,81,-1.9,95,-22.2
Devin Booker,21.0,PHX,Wing,1847,37,+1.3,31,+2.2,71,-1.4%,20,-1.2%,56,-0.4,54,-0.2,52,-0.4
Trevor Booker,29.9,BKN,Big,393,30,+2.2,41,+0.8,24,+2.0%,48,+0.0%,4,+5.5,11,+2.4,9,+17.8
