Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Shareef Abdur-Rahim,29.9,SAC,Big,1996,57,+0.2%,34,-1.6%,93,+5.9%,36,-1.6%,71,+1.1%,22,-5.3%,74,+2.4%,60,+0.7%
Hassan Adams,22.4,NJN,Wing,448,54,+0.0%,76,+2.1%,53,+0.3%,92,+4.7%,92,+3.6%,7,-11.0%,10,-5.6%,4,-7.1%
Maurice Ager,22.7,DAL,Wing,158,1,-8.7%,33,-1.6%,1,-15.9%,3,-6.9%,1,-9.4%,2,-21.4%,0,-15.5%,0,-16.5%
LaMarcus Aldridge,21.3,POR,Big,1342,76,+1.4%,87,+3.4%,71,+1.7%,45,-0.7%,57,+0.3%,50,+0.3%,66,+1.5%,65,+1.2%
Malik Allen,28.3,CHI,Big,572,41,-0.8%,49,-0.4%,5,-8.4%,88,+4.0%,59,+0.4%,52,+0.4%,75,+2.5%,74,+2.0%
Ray Allen,31.3,SEA,Wing,2214,85,+2.0%,46,-0.7%,26,-2.6%,89,+4.1%,61,+0.6%,74,+3.9%,73,+2.3%,80,+2.8%
Tony Allen,24.8,BOS,Wing,772,92,+2.9%,79,+2.4%,67,+1.5%,57,+0.1%,63,+0.7%,9,-9.8%,84,+3.5%,48,-0.4%
Rafer Alston,30.3,HOU,Point,3027,85,+2.0%,46,-0.7%,72,+1.8%,85,+3.4%,87,+2.9%,41,-1.2%,84,+3.4%,71,+1.8%
Alan Anderson,24.0,CHA,Wing,242,66,+0.7%,83,+2.9%,2,-13.0%,74,+1.9%,17,-2.7%,96,+12.0%,27,-2.7%,81,+2.8%
Derek Anderson,32.3,CHA,Wing,1172,89,+2.5%,56,+0.2%,93,+5.9%,79,+2.6%,94,+3.8%,48,-0.0%,43,-1.0%,46,-0.6%
