Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Kyle Anderson,27.1,MEM,Forward,213,85,-4.9%,25,+4.9%,85,-8.9%,5,+18.3%,66,-2.2%,89,-21.1%,82,-6.9%,93,-9.4%
Giannis Antetokounmpo,25.9,MIL,Big,792,62,-1.8%,68,-4.0%,24,+5.9%,18,+8.4%,15,+7.0%,74,-8.4%,80,-6.2%,84,-6.4%
Carmelo Anthony,36.4,POR,Forward,143,21,+3.3%,27,+4.7%,6,+12.9%,47,+0.6%,9,+9.2%,10,+14.9%,70,-4.5%,54,-0.7%
Nicolas Batum,31.9,LAC,Wing,554,73,-3.0%,84,-7.3%,56,-0.8%,24,+6.1%,42,+2.0%,60,-1.9%,74,-5.0%,74,-4.4%
Bradley Beal,27.3,WAS,Wing,258,1,+11.4%,38,+3.1%,40,+3.0%,6,+17.5%,12,+7.9%,1,+32.6%,14,+6.7%,3,+11.7%
Davis Bertans,28.0,WAS,Forward,150,14,+5.0%,87,-8.3%,36,+3.6%,19,+7.9%,18,+5.6%,30,+7.2%,17,+6.2%,14,+6.9%
Patrick Beverley,32.3,LAC,Combo,314,19,+4.1%,64,-2.7%,44,+1.6%,70,-4.8%,59,-1.1%,17,+12.2%,12,+8.5%,8,+9.3%
Bojan Bogdanovic,31.5,UTA,Forward,389,6,+7.7%,42,+2.7%,4,+16.8%,1,+23.2%,2,+18.5%,53,+0.4%,58,-2.1%,52,-0.6%
Devin Booker,24.0,PHX,Wing,887,82,-4.4%,59,-1.6%,66,-3.4%,60,-2.2%,68,-3.3%,24,+10.0%,85,-7.8%,67,-3.0%
Reggie Bullock,29.6,NYK,Wing,162,94,-7.4%,67,-3.8%,78,-6.5%,34,+3.6%,60,-1.6%,90,-23.3%,62,-2.8%,92,-9.3%
Alec Burks,29.3,NYK,Wing,127,57,-0.9%,98,-18.6%,27,+5.5%,98,-23.1%,78,-5.2%,2,+29.8%,29,+4.0%,6,+10.5%
Jimmy Butler,31.1,MIA,Wing,150,6,+7.6%,91,-10.3%,2,+22.4%,55,-1.6%,4,+16.7%,87,-19.4%,1,+19.3%,5,+10.8%
Kentavious Caldwell-Pope,27.7,LAL,Wing,178,58,-0.9%,53,-0.3%,9,+11.7%,65,-3.7%,19,+5.3%,55,-0.8%,67,-4.1%,65,-2.6%
Clint Capela,26.5,ATL,Big,568,41,+0.7%,50,+0.3%,58,-1.8%,61,-2.2%,62,-1.6%,8,+18.2%,55,-1.5%,32,+3.0%
Jordan Clarkson,28.4,UTA,Combo,296,66,-2.1%,73,-4.8%,96,-16.7%,82,-8.6%,96,-14.4%,69,-5.0%,8,+10.8%,17,+6.3%
Mike Conley,33.1,UTA,Point,175,53,-0.3%,29,+4.7%,19,+7.4%,78,-6.7%,31,+3.3%,37,+5.4%,78,-5.6%,66,-2.8%
