Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Steven Adams,28.3,MEM,Big,109,62,-1.1%,99,-11.1%,7,+4.9%,31,+1.0%,8,+5.9%,33,+0.6%,11,+4.6%,13,+5.2%
Kyle Anderson,28.1,MEM,Forward,211,29,+2.0%,6,+6.3%,66,-1.4%,23,+1.5%,49,+0.0%,40,+0.3%,96,-6.6%,97,-6.3%
Giannis Antetokounmpo,26.9,MIL,Big,447,97,-7.8%,90,-5.3%,27,+2.1%,52,-0.0%,27,+2.0%,70,-1.1%,12,+4.4%,21,+3.3%
Will Barton,30.8,DEN,Wing,172,9,+6.3%,69,-1.7%,8,+4.8%,98,-4.9%,53,-0.1%,75,-1.3%,23,+3.1%,33,+1.8%
Malik Beasley,24.9,MIN,Wing,144,81,-3.2%,13,+4.5%,19,+2.6%,85,-2.4%,46,+0.2%,79,-2.0%,83,-2.7%,87,-4.7%
Davis Bertans,29.0,DAL,Forward,179,36,+1.7%,87,-5.0%,57,-0.7%,2,+6.1%,9,+5.4%,21,+1.6%,76,-2.0%,56,-0.4%
Patrick Beverley,33.3,MIN,Combo,226,28,+2.3%,85,-4.5%,87,-5.0%,11,+3.3%,66,-1.7%,24,+1.5%,10,+4.7%,8,+6.1%
Nemanja Bjelica,33.5,GSW,Big,125,13,+5.7%,29,+1.9%,72,-2.5%,83,-2.2%,89,-4.7%,25,+1.2%,37,+1.6%,24,+2.8%
Bojan Bogdanovic,32.5,UTA,Forward,214,3,+9.9%,71,-1.8%,14,+3.1%,58,-0.3%,20,+2.9%,98,-5.0%,15,+3.9%,66,-1.0%
Devin Booker,25.0,PHX,Wing,365,57,-0.6%,40,+0.8%,71,-2.1%,99,-5.6%,96,-7.7%,2,+6.0%,46,+0.9%,6,+6.9%
Jaylen Brown,25.0,BOS,Wing,919,44,+0.8%,71,-1.9%,52,-0.2%,26,+1.2%,37,+1.0%,57,-0.4%,40,+1.2%,42,+0.8%
Reggie Bullock,30.6,DAL,Forward,707,16,+5.1%,12,+4.5%,39,+1.3%,93,-3.6%,69,-2.3%,62,-0.5%,74,-1.8%,71,-2.3%
Jimmy Butler,32.1,MIA,Forward,628,50,-0.0%,11,+4.6%,75,-3.0%,86,-2.5%,90,-5.5%,10,+3.1%,80,-2.2%,40,+0.9%
Jordan Clarkson,29.4,UTA,Combo,170,82,-3.4%,38,+0.8%,95,-7.1%,96,-4.2%,99,-11.2%,6,+3.7%,4,+6.8%,1,+10.5%
Mike Conley,34.1,UTA,Point,174,94,-5.2%,37,+0.8%,12,+3.9%,10,+3.4%,4,+7.3%,64,-0.7%,98,-7.4%,98,-8.1%
Pat Connaughton,28.8,MIL,Wing,317,48,+0.4%,74,-2.1%,25,+2.3%,71,-0.9%,32,+1.3%,54,-0.3%,44,+1.0%,44,+0.7%
Jae Crowder,31.3,PHX,Forward,377,34,+1.8%,24,+2.5%,77,-3.5%,33,+1.0%,70,-2.5%,34,+0.5%,58,-0.4%,52,+0.0%
Seth Curry,31.2,BKN,Wing,165,23,+3.4%,60,-0.8%,69,-1.7%,71,-1.0%,71,-2.7%,15,+2.0%,38,+1.5%,19,+3.5%
Stephen Curry,33.6,GSW,Point,762,53,-0.3%,75,-2.3%,68,-1.6%,44,+0.5%,61,-1.1%,60,-0.5%,16,+3.9%,20,+3.4%
DeMar DeRozan,32.2,CHI,Forward,203,1,+10.3%,9,+5.9%,90,-5.6%,2,+4.9%,56,-0.6%,5,+4.2%,99,-9.5%,90,-5.3%
Dewayne Dedmon,32.2,MIA,Big,134,19,+4.1%,37,+0.8%,80,-4.1%,81,-1.7%,92,-5.8%,26,+1.1%,14,+3.9%,13,+5.0%
Spencer Dinwiddie,28.6,DAL,Wing,494,64,-1.6%,58,-0.6%,49,+0.2%,24,+1.4%,28,+1.6%,31,+0.6%,70,-1.6%,65,-1.0%
Kevin Durant,33.1,BKN,Forward,217,6,+8.5%,87,-5.2%,83,-4.3%,41,+0.7%,83,-3.6%,0,+8.9%,56,-0.2%,4,+8.7%
Joel Embiid,27.6,PHI,Big,385,91,-4.9%,70,-1.8%,88,-5.1%,0,+6.3%,34,+1.2%,99,-5.5%,6,+6.1%,48,+0.6%
Dorian Finney-Smith,28.5,DAL,Forward,687,67,-1.9%,78,-2.6%,15,+3.1%,91,-3.2%,52,-0.1%,48,+0.0%,28,+2.7%,25,+2.7%
Danilo Gallinari,33.2,ATL,Forward,181,15,+5.2%,39,+0.8%,53,-0.2%,62,-0.4%,56,-0.6%,7,+3.5%,89,-3.7%,54,-0.2%
Rudy Gobert,29.3,UTA,Big,196,40,+1.2%,94,-6.6%,5,+5.7%,6,+4.0%,1,+9.7%,37,+0.4%,84,-3.5%,75,-3.1%
Aaron Gordon,26.1,DEN,Forward,160,65,-1.7%,19,+3.1%,76,-3.3%,53,-0.0%,82,-3.4%,72,-1.1%,39,+1.4%,50,+0.3%
Danny Green,34.4,PHI,Wing,318,73,-2.4%,89,-5.3%,32,+1.7%,45,+0.4%,26,+2.1%,42,+0.2%,24,+3.0%,21,+3.2%
Draymond Green,31.7,GSW,Big,698,93,-5.2%,92,-5.9%,31,+1.7%,10,+3.5%,10,+5.2%,49,-0.0%,48,+0.7%,45,+0.7%
Jeff Green,35.2,DEN,Big,113,79,-3.0%,94,-6.5%,56,-0.2%,89,-3.0%,80,-3.2%,19,+1.6%,0,+8.1%,2,+9.7%
James Harden,32.2,PHI,Point,478,70,-2.2%,98,-8.8%,37,+1.4%,25,+1.3%,21,+2.8%,6,+3.6%,30,+2.4%,9,+6.0%
Tobias Harris,29.3,PHI,Forward,465,18,+4.7%,81,-3.1%,35,+1.6%,76,-1.4%,47,+0.1%,17,+1.9%,42,+1.0%,23,+2.9%
