Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Steven Adams,22.3,OKC,Big,546,29,-2.2%,40,-1.0%,46,-0.7%,52,+0.3%,46,-0.5%,19,-12.4%,53,+1.2%,32,-3.0%
LaMarcus Aldridge,30.3,SAS,Big,336,35,-1.7%,69,+4.9%,19,-6.4%,91,+12.4%,76,+3.6%,41,-3.9%,14,-7.4%,19,-6.0%
Al-Farouq Aminu,25.1,POR,Forward,370,50,-0.2%,58,+2.8%,75,+5.1%,1,-19.7%,15,-5.7%,82,+13.7%,20,-5.9%,47,-0.6%
Kyle Anderson,22.1,SAS,Forward,100,14,-4.1%,17,-8.0%,86,+8.5%,5,-13.5%,31,-2.2%,30,-8.5%,54,+1.3%,38,-1.6%
Trevor Ariza,30.3,HOU,Forward,180,3,-7.4%,72,+5.8%,23,-5.4%,12,-11.6%,10,-7.0%,11,-17.9%,4,-14.0%,2,-15.2%
Leandro Barbosa,32.9,GSW,Wing,212,80,+3.6%,86,+8.8%,63,+2.0%,96,+15.8%,92,+8.8%,67,+7.1%,36,-2.1%,57,+0.3%
J.J. Barea,31.3,DAL,Point,100,95,+10.9%,84,+8.7%,70,+4.1%,100,+20.5%,96,+11.9%,85,+15.0%,79,+6.2%,87,+8.3%
Harrison Barnes,23.4,GSW,Forward,720,23,-2.8%,18,-7.2%,91,+9.9%,30,-5.2%,75,+3.3%,21,-12.0%,69,+3.7%,52,-0.1%
Matt Barnes,35.6,MEM,Forward,138,15,-3.8%,12,-10.6%,8,-11.7%,74,+6.1%,37,-1.5%,95,+25.0%,6,-11.8%,45,-0.9%
Nicolas Batum,26.9,CHA,Wing,143,13,-4.3%,14,-8.5%,69,+3.5%,97,+16.9%,94,+9.6%,3,-46.0%,15,-7.2%,5,-12.3%
Kent Bazemore,26.3,ATL,Wing,324,72,+2.8%,88,+9.4%,16,-7.3%,16,-10.0%,5,-8.9%,25,-10.8%,78,+6.0%,69,+2.9%
Patrick Beverley,27.3,HOU,Point,128,4,-7.1%,78,+7.8%,14,-9.3%,15,-10.1%,3,-9.5%,5,-25.4%,18,-6.8%,4,-12.9%
Bismack Biyombo,23.2,TOR,Big,504,52,+0.1%,57,+2.7%,55,+0.6%,56,+1.3%,56,+1.0%,13,-15.0%,73,+4.3%,41,-1.3%
Andrew Bogut,30.9,GSW,Big,364,14,-3.9%,31,-2.8%,37,-2.1%,47,-0.3%,36,-1.9%,58,+0.9%,14,-7.4%,22,-5.0%
Kentavious Caldwell-Pope,22.7,DET,Wing,160,27,-2.4%,53,+2.6%,50,-0.1%,3,-14.7%,18,-5.2%,6,-25.0%,56,+1.4%,10,-8.0%
DeMarre Carroll,29.3,TOR,Forward,595,81,+3.6%,42,-0.2%,31,-3.4%,81,+8.5%,73,+3.2%,58,+1.4%,86,+9.2%,84,+7.0%
Ian Clark,24.7,GSW,Combo,109,36,-1.6%,97,+14.7%,25,-4.6%,42,-1.6%,29,-2.6%,36,-6.6%,24,-4.9%,21,-5.4%
Allen Crabbe,23.6,POR,Wing,298,78,+3.4%,58,+2.9%,38,-1.7%,88,+11.1%,82,+4.8%,42,-3.8%,76,+5.8%,69,+2.7%
Jamal Crawford,35.6,LAC,Wing,197,66,+1.9%,91,+10.1%,34,-2.7%,32,-3.5%,25,-3.2%,49,-1.8%,89,+10.9%,91,+9.1%
Jae Crowder,25.3,BOS,Forward,195,33,-1.9%,74,+6.3%,2,-20.0%,60,+2.5%,7,-7.9%,48,-2.1%,17,-7.0%,19,-5.9%
Stephen Curry,27.6,GSW,Point,612,54,+0.5%,19,-6.6%,26,-4.3%,47,-0.5%,26,-3.1%,74,+8.5%,35,-2.4%,55,+0.2%
Ed Davis,26.4,POR,Big,204,65,+1.9%,81,+8.6%,17,-6.7%,92,+13.7%,81,+4.0%,29,-8.7%,55,+1.4%,39,-1.4%
DeMar DeRozan,26.2,TOR,Wing,745,41,-1.3%,26,-3.9%,79,+6.2%,43,-1.2%,65,+2.0%,27,-9.5%,68,+3.7%,53,+0.1%
Matthew Dellavedova,25.1,CLE,Point,218,21,-3.0%,46,+0.7%,3,-19.2%,7,-13.1%,0,-17.1%,53,-0.6%,59,+2.0%,60,+1.0%
Luol Deng,30.5,MIA,Forward,492,77,+3.2%,23,-4.7%,87,+8.6%,37,-2.5%,75,+3.3%,25,-10.8%,95,+14.3%,79,+5.8%
Boris Diaw,33.5,SAS,Big,138,24,-2.8%,28,-3.7%,19,-6.5%,21,-7.6%,9,-7.2%,43,-3.4%,64,+3.3%,64,+1.6%
Goran Dragic,29.5,MIA,Point,470,11,-4.7%,25,-3.9%,12,-10.2%,38,-2.5%,11,-6.7%,42,-3.7%,50,+0.9%,46,-0.7%
Andre Drummond,22.2,DET,Big,131,64,+1.7%,92,+11.8%,47,-0.7%,23,-7.1%,25,-3.6%,31,-8.3%,83,+7.4%,64,+1.5%
Tim Duncan,39.5,SAS,Big,216,75,+3.0%,27,-3.8%,35,-2.2%,86,+10.2%,81,+4.2%,76,+10.6%,90,+12.0%,94,+11.2%
Kevin Durant,27.1,OKC,Forward,723,60,+1.3%,55,+2.7%,96,+19.7%,55,+1.3%,91,+8.5%,7,-23.8%,58,+1.8%,14,-6.7%
Monta Ellis,30.0,IND,Combo,225,69,+2.4%,92,+11.4%,93,+10.9%,11,-11.7%,33,-2.0%,8,-18.9%,88,+10.4%,54,+0.1%
Festus Ezeli,26.0,GSW,Big,187,84,+4.0%,68,+4.2%,53,+0.1%,33,-3.5%,36,-1.7%,92,+22.0%,74,+4.4%,85,+7.0%
Jordan Farmar,28.9,MEM,Point,100,5,-6.1%,1,-21.1%,85,+7.6%,82,+8.8%,90,+7.8%,8,-19.0%,32,-2.7%,20,-5.9%
Raymond Felton,31.3,DAL,Combo,160,26,-2.5%,34,-2.2%,73,+4.8%,19,-7.9%,48,-0.2%,97,+30.4%,8,-11.2%,36,-2.0%
Randy Foye,32.1,OKC,Combo,148,42,-1.0%,63,+3.4%,29,-3.7%,20,-7.7%,17,-5.4%,66,+5.1%,42,-0.6%,62,+1.1%
Channing Frye,32.5,CLE,Big,227,88,+5.1%,73,+5.9%,59,+1.2%,14,-10.4%,23,-4.5%,38,-5.9%,82,+6.9%,70,+2.9%
Paul George,25.5,IND,Forward,274,100,+16.1%,81,+8.3%,99,+27.5%,42,-2.0%,97,+11.9%,98,+36.2%,97,+20.4%,100,+20.9%
Manu Ginobili,38.3,SAS,Wing,190,53,+0.4%,51,+1.7%,58,+1.0%,22,-7.5%,27,-2.9%,26,-10.0%,72,+3.9%,44,-1.0%
Danny Green,28.4,SAS,Wing,263,73,+2.8%,42,-0.7%,82,+7.1%,75,+6.4%,87,+6.7%,64,+3.4%,51,+1.2%,68,+1.9%
Draymond Green,25.7,GSW,Big,876,92,+5.7%,53,+2.2%,21,-5.7%,62,+2.6%,32,-2.2%,92,+20.9%,61,+2.2%,81,+6.2%
