Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Steven Adams,22.3,OKC,Big,546,27,+2.4%,86,-4.8%,16,+3.5%,14,+3.5%,7,+7.1%,59,-0.0%,79,-2.2%,75,-2.3%
LaMarcus Aldridge,30.3,SAS,Big,336,86,-5.2%,25,+2.6%,84,-3.5%,57,-0.5%,82,-4.0%,57,+0.2%,36,+1.2%,40,+1.4%
Al-Farouq Aminu,25.1,POR,Forward,370,46,+0.3%,93,-6.0%,68,-1.8%,52,-0.3%,74,-2.1%,8,+3.6%,8,+4.4%,3,+8.1%
Kyle Anderson,22.1,SAS,Forward,100,37,+1.1%,42,-0.1%,8,+5.0%,23,+2.1%,6,+7.2%,99,-3.4%,86,-3.7%,97,-7.1%
Trevor Ariza,30.3,HOU,Forward,180,14,+5.1%,1,+12.2%,83,-3.1%,99,-15.3%,100,-18.4%,3,+4.5%,31,+1.7%,10,+6.2%
Leandro Barbosa,32.9,GSW,Wing,212,26,+2.4%,67,-2.1%,31,+1.6%,36,+0.8%,28,+2.4%,63,-0.5%,46,+0.2%,54,-0.3%
J.J. Barea,31.3,DAL,Point,100,8,+7.8%,50,-1.0%,81,-3.0%,7,+4.5%,39,+1.4%,97,-2.8%,22,+2.4%,57,-0.5%
Harrison Barnes,23.4,GSW,Forward,720,73,-2.4%,20,+3.2%,43,+0.4%,77,-1.7%,66,-1.3%,69,-0.9%,59,-1.0%,70,-1.9%
Matt Barnes,35.6,MEM,Forward,138,39,+0.9%,100,-9.4%,92,-4.6%,0,+7.3%,23,+2.7%,0,+8.1%,68,-1.4%,7,+6.7%
Nicolas Batum,26.9,CHA,Wing,143,3,+11.6%,26,+2.5%,49,-0.1%,44,+0.2%,52,+0.1%,71,-1.0%,72,-1.6%,78,-2.7%
Kent Bazemore,26.3,ATL,Wing,324,10,+7.0%,89,-5.4%,36,+1.1%,33,+1.4%,27,+2.5%,1,+4.8%,75,-1.8%,24,+2.9%
Patrick Beverley,27.3,HOU,Point,128,97,-10.1%,43,-0.1%,58,-0.9%,69,-1.1%,73,-2.0%,58,+0.1%,27,+2.1%,34,+2.2%
Bismack Biyombo,23.2,TOR,Big,504,75,-2.8%,49,-0.8%,95,-4.9%,76,-1.5%,90,-6.4%,13,+2.9%,8,+4.2%,5,+7.2%
Andrew Bogut,30.9,GSW,Big,364,94,-8.2%,82,-4.1%,18,+3.1%,30,+1.5%,18,+4.6%,37,+1.0%,69,-1.5%,56,-0.5%
Kentavious Caldwell-Pope,22.7,DET,Wing,160,75,-3.1%,98,-8.5%,53,-0.4%,24,+2.1%,36,+1.7%,31,+1.6%,7,+5.2%,6,+6.7%
DeMarre Carroll,29.3,TOR,Forward,595,72,-2.4%,91,-5.7%,7,+5.2%,69,-1.1%,19,+4.1%,18,+2.6%,61,-1.0%,38,+1.6%
Ian Clark,24.7,GSW,Combo,109,58,-0.5%,61,-1.7%,50,-0.1%,53,-0.4%,58,-0.5%,11,+3.2%,62,-1.0%,32,+2.2%
Allen Crabbe,23.6,POR,Wing,298,20,+4.1%,4,+6.3%,86,-3.8%,67,-1.0%,86,-4.7%,84,-1.9%,45,+0.3%,68,-1.6%
Jamal Crawford,35.6,LAC,Wing,197,19,+4.2%,62,-1.7%,5,+5.5%,25,+1.7%,5,+7.2%,96,-2.8%,81,-2.7%,92,-5.5%
Jae Crowder,25.3,BOS,Forward,195,93,-8.0%,86,-4.6%,14,+4.0%,19,+2.5%,8,+6.5%,15,+2.8%,91,-4.7%,71,-1.9%
Stephen Curry,27.6,GSW,Point,612,31,+1.9%,14,+3.7%,89,-3.9%,28,+1.5%,75,-2.4%,86,-2.3%,39,+1.0%,64,-1.3%
Ed Davis,26.4,POR,Big,204,42,+0.9%,3,+7.9%,56,-0.4%,46,+0.1%,56,-0.3%,92,-2.7%,94,-4.8%,98,-7.6%
DeMar DeRozan,26.2,TOR,Wing,745,53,-0.2%,31,+1.9%,35,+1.3%,49,-0.1%,42,+1.3%,70,-1.0%,78,-2.2%,82,-3.2%
Matthew Dellavedova,25.1,CLE,Point,218,41,+0.9%,40,+0.1%,15,+3.9%,26,+1.7%,12,+5.6%,94,-2.8%,81,-2.9%,93,-5.7%
Luol Deng,30.5,MIA,Forward,492,65,-1.5%,52,-1.1%,25,+1.9%,54,-0.4%,40,+1.4%,40,+0.9%,66,-1.3%,55,-0.3%
Boris Diaw,33.5,SAS,Big,138,43,+0.6%,46,-0.5%,32,+1.5%,11,+3.9%,14,+5.4%,100,-4.2%,56,-0.7%,91,-5.0%
Goran Dragic,29.5,MIA,Point,470,78,-3.4%,53,-1.1%,17,+3.1%,40,+0.7%,20,+3.8%,80,-1.5%,63,-1.2%,79,-2.7%
Andre Drummond,22.2,DET,Big,131,36,+1.1%,77,-3.5%,100,-8.0%,39,+0.7%,94,-7.4%,5,+4.2%,2,+6.7%,0,+10.9%
Tim Duncan,39.5,SAS,Big,216,90,-6.1%,56,-1.4%,47,-0.0%,50,-0.1%,53,-0.2%,19,+2.5%,60,-1.0%,39,+1.5%
Kevin Durant,27.1,OKC,Forward,723,74,-2.5%,83,-4.1%,60,-1.0%,53,-0.4%,68,-1.4%,9,+3.3%,25,+2.2%,13,+5.5%
Monta Ellis,30.0,IND,Combo,225,21,+3.3%,33,+1.6%,8,+5.1%,85,-2.4%,25,+2.6%,67,-0.7%,85,-3.5%,87,-4.2%
Festus Ezeli,26.0,GSW,Big,187,4,+10.6%,75,-3.1%,78,-2.4%,12,+3.9%,38,+1.5%,88,-2.3%,11,+4.0%,36,+1.6%
Jordan Farmar,28.9,MEM,Point,100,60,-0.9%,78,-3.5%,75,-2.1%,17,+3.1%,44,+1.0%,19,+2.2%,44,+0.3%,26,+2.6%
Raymond Felton,31.3,DAL,Combo,160,100,-19.3%,21,+3.2%,2,+7.7%,64,-0.9%,8,+6.9%,48,+0.6%,100,-10.6%,100,-10.0%
Randy Foye,32.1,OKC,Combo,148,34,+1.4%,7,+5.0%,26,+1.8%,86,-2.5%,58,-0.7%,75,-1.1%,83,-3.2%,88,-4.3%
Channing Frye,32.5,CLE,Big,227,82,-4.1%,73,-3.0%,40,+0.7%,9,+4.1%,15,+4.9%,81,-1.8%,48,-0.0%,69,-1.8%
Paul George,25.5,IND,Forward,274,88,-5.6%,90,-5.5%,12,+4.5%,60,-0.6%,19,+3.9%,10,+3.2%,73,-1.7%,37,+1.6%
Manu Ginobili,38.3,SAS,Wing,190,81,-3.7%,51,-1.1%,33,+1.5%,58,-0.6%,46,+0.9%,68,-0.9%,38,+1.0%,50,+0.1%
Danny Green,28.4,SAS,Wing,263,48,+0.2%,32,+1.7%,85,-3.5%,56,-0.5%,83,-4.0%,14,+2.8%,53,-0.5%,30,+2.3%
Draymond Green,25.7,GSW,Big,876,92,-6.7%,64,-1.9%,29,+1.7%,64,-0.8%,45,+0.9%,38,+1.0%,49,-0.0%,43,+0.9%
Jeff Green,29.2,LAC,Forward,154,14,+4.9%,88,-5.2%,9,+5.0%,3,+5.3%,1,+10.3%,26,+1.8%,97,-6.9%,92,-5.1%
Blake Griffin,26.6,LAC,Big,126,79,-3.5%,3,+6.6%,96,-5.3%,96,-4.2%,97,-9.5%,39,+1.0%,28,+2.0%,25,+2.9%
James Harden,26.2,HOU,Combo,192,2,+14.1%,0,+17.3%,54,-0.4%,100,-16.0%,99,-16.4%,86,-2.1%,36,+1.3%,61,-0.8%
Maurice Harkless,22.5,POR,Forward,270,85,-4.6%,94,-6.0%,6,+5.2%,14,+3.4%,3,+8.6%,69,-1.0%,71,-1.6%,76,-2.5%
Devin Harris,32.7,DAL,Wing,117,38,+1.0%,66,-2.1%,91,-4.0%,59,-0.6%,85,-4.6%,4,+4.5%,23,+2.2%,8,+6.7%
Tobias Harris,23.3,DET,Big,156,97,-9.3%,80,-3.8%,99,-7.7%,2,+6.0%,71,-1.8%,12,+3.1%,21,+2.4%,12,+5.6%
Gerald Henderson,27.9,POR,Wing,233,57,-0.4%,8,+5.0%,47,+0.0%,25,+2.0%,33,+2.0%,85,-2.1%,93,-4.8%,96,-7.0%
George Hill,29.5,IND,Point,234,69,-2.1%,31,+2.0%,22,+2.5%,70,-1.2%,42,+1.3%,21,+2.0%,95,-5.2%,83,-3.3%
Solomon Hill,24.6,IND,Forward,195,55,-0.3%,17,+3.4%,69,-1.8%,21,+2.4%,47,+0.7%,95,-2.8%,65,-1.2%,86,-4.0%
Al Horford,29.4,ATL,Big,326,16,+4.8%,97,-8.3%,71,-1.9%,13,+3.7%,35,+1.8%,56,+0.2%,3,+6.3%,8,+6.5%
Dwight Howard,29.9,HOU,Big,176,6,+8.9%,99,-8.7%,41,+0.5%,4,+4.7%,14,+5.2%,25,+1.9%,32,+1.6%,19,+3.5%
Serge Ibaka,26.1,OKC,Big,599,76,-3.2%,16,+3.4%,65,-1.7%,31,+1.4%,55,-0.3%,33,+1.3%,90,-4.5%,81,-3.1%
Andre Iguodala,31.8,GSW,Forward,765,13,+5.4%,30,+2.1%,59,-1.0%,41,+0.6%,57,-0.4%,72,-1.0%,55,-0.7%,69,-1.7%
Kyrie Irving,23.6,CLE,Combo,771,12,+6.4%,6,+5.5%,93,-4.6%,97,-4.9%,97,-9.5%,7,+4.1%,47,-0.0%,17,+4.1%
Reggie Jackson,25.5,DET,Point,147,77,-3.3%,27,+2.4%,92,-4.3%,86,-2.5%,91,-6.8%,44,+0.7%,12,+3.7%,15,+4.4%
LeBron James,30.8,CLE,Forward,819,95,-8.6%,65,-2.0%,14,+4.0%,83,-2.1%,34,+1.9%,93,-2.7%,17,+2.8%,51,+0.1%
Al Jefferson,30.8,CHA,Big,168,1,+14.2%,55,-1.3%,55,-0.4%,22,+2.4%,32,+2.0%,98,-3.3%,19,+2.6%,58,-0.7%
Richard Jefferson,35.4,CLE,Forward,338,25,+2.6%,54,-1.3%,39,+0.8%,62,-0.7%,51,+0.1%,65,-0.7%,30,+1.8%,42,+1.1%
Jonas Jerebko,28.7,BOS,Forward,162,53,-0.2%,28,+2.4%,27,+1.8%,43,+0.4%,31,+2.1%,90,-2.4%,76,-2.1%,90,-4.6%
