Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Quincy Acy,22.1,TOR,Big,291,85,56.3%,61,64%,72,43%,62,40%,69,41%,0,0%,0,0%,0,0%
Jeff Adrien,26.7,CHA,Big,660,13,42.9%,10,49%,90,50%,32,31%,54,38%,0,0%,0,0%,0,0%
Arron Afflalo,27.0,ORL,Wing,2288,40,48.1%,67,62%,90,48%,79,42%,89,45%,78,44%,6,24%,15,30%
Cole Aldrich,24.0,HOU,Big,179,67,52.8%,84,68%,16,29%,0,0%,14,29%,0,0%,0,0%,0,0%
Cole Aldrich,24.0,SAC,Big,149,88,58.1%,68,65%,49,38%,0,0%,49,38%,0,0%,0,0%,0,0%
LaMarcus Aldridge,27.3,POR,Big,2782,43,48.6%,67,65%,81,44%,72,43%,80,43%,0,25%,0,14%,0,18%
Lavoy Allen,23.7,PHI,Big,1623,28,46.1%,44,61%,76,43%,47,36%,57,39%,0,0%,0,0%,0,0%
Ray Allen,37.3,MIA,Wing,1989,93,56.2%,50,60%,77,41%,59,40%,70,40%,85,45%,85,41%,93,43%
Tony Allen,30.8,MEM,Wing,2102,17,44.7%,37,57%,23,28%,22,31%,12,30%,0,13%,0,11%,0,13%
Al-Farouq Aminu,22.1,NOP,Wing,2049,40,48.0%,63,61%,63,38%,7,26%,21,32%,0,38%,0,9%,3,21%
Lou Amundson,29.9,MIN,Big,121,2,33.3%,1,33%,90,50%,4,0%,30,33%,0,0%,0,0%,0,0%
Lou Amundson,29.9,NOP,Big,205,10,41.5%,5,47%,2,14%,0,0%,1,14%,0,0%,0,0%,0,0%
Chris Andersen,34.3,MIA,Big,604,93,60.2%,65,65%,12,27%,19,25%,12,26%,0,0%,0,100%,0,100%
Alan Anderson,30.0,TOR,Wing,1406,29,46.4%,47,59%,78,42%,10,27%,34,34%,41,37%,31,32%,39,34%
James Anderson,23.6,HOU,Wing,229,24,45.8%,7,44%,66,38%,91,50%,78,41%,0,36%,25,32%,34,33%
Ryan Anderson,24.5,NOP,Big,2478,62,52.0%,17,54%,38,34%,78,44%,67,40%,59,37%,81,39%,77,38%
Carmelo Anthony,28.4,NYK,Forward,2475,67,50.5%,19,53%,79,41%,88,45%,90,44%,13,29%,89,40%,80,39%
Joel Anthony,30.2,MIA,Big,507,56,50.8%,89,69%,32,33%,0,0%,30,33%,0,0%,0,0%,0,0%
Trevor Ariza,27.3,WAS,Wing,1450,55,50.0%,36,56%,7,10%,55,39%,28,33%,89,47%,18,30%,59,37%
Darrell Arthur,24.6,MEM,Big,931,24,45.6%,13,51%,61,40%,81,45%,83,44%,0,33%,0,29%,32,31%
Omer Asik,26.3,HOU,Big,2453,74,54.0%,31,58%,22,30%,82,45%,28,32%,0,0%,0,0%,0,0%
D.J. Augustin,25.0,IND,Point,1150,29,46.3%,22,47%,4,8%,16,32%,4,20%,57,41%,37,34%,44,36%
Gustavo Ayon,27.6,MIL,Big,137,91,59.5%,90,69%,32,33%,93,50%,43,36%,0,0%,0,0%,0,0%
Gustavo Ayon,27.6,ORL,Big,567,70,53.2%,49,62%,43,35%,48,36%,40,36%,0,0%,0,0%,0,0%
Jeff Ayres,25.5,IND,Big,268,73,53.7%,92,70%,90,50%,83,46%,89,47%,0,50%,0,50%,0,50%
Luke Babbitt,23.4,POR,Forward,672,63,50.4%,100,82%,10,20%,71,39%,44,34%,56,42%,45,32%,54,35%
Leandro Barbosa,29.9,BOS,Combo,476,67,49.1%,48,54%,59,39%,11,21%,20,31%,0,33%,100,48%,84,43%
J.J. Barea,28.4,MIN,Combo,1642,56,48.1%,59,55%,38,34%,67,40%,52,37%,23,36%,40,34%,30,34%
Andrea Bargnani,27.0,TOR,Big,995,19,44.6%,11,50%,73,43%,70,41%,74,42%,0,25%,46,32%,39,31%
Harrison Barnes,20.4,GSW,Wing,2019,39,48.0%,69,62%,36,31%,17,29%,13,30%,80,44%,33,33%,51,36%
Matt Barnes,32.6,LAC,Wing,1927,87,54.8%,79,64%,51,35%,60,40%,57,38%,28,34%,62,36%,46,35%
Earl Barron,31.2,WAS,Big,114,1,30.3%,1,33%,16,29%,27,29%,17,29%,0,0%,0,0%,0,0%
Will Barton,21.8,POR,Wing,808,9,42.8%,19,53%,70,39%,70,41%,68,40%,22,32%,0,0%,1,16%
Brandon Bass,27.5,BOS,Big,2218,46,49.0%,38,59%,69,42%,86,46%,86,45%,0,0%,0,0%,0,0%
Shane Battier,34.1,MIA,Forward,1771,100,62.0%,6,48%,29,26%,0,0%,6,22%,88,47%,87,40%,100,44%
Nicolas Batum,23.9,POR,Wing,2798,77,52.5%,70,62%,40,33%,38,36%,44,35%,60,41%,63,36%,68,38%
Jerryd Bayless,24.2,MEM,Combo,1685,55,48.0%,74,58%,30,33%,64,39%,59,38%,69,43%,43,35%,54,37%
Aron Baynes,25.9,SAS,Big,107,9,40.0%,57,64%,9,25%,4,0%,5,21%,0,0%,0,0%,0,0%
Kent Bazemore,23.3,GSW,Combo,169,6,35.2%,8,44%,61,40%,9,19%,3,23%,0,33%,0,27%,12,29%
Bradley Beal,19.3,WAS,Wing,1720,37,47.7%,40,57%,26,28%,50,38%,49,36%,98,51%,21,31%,73,39%
Michael Beasley,23.8,PHX,Forward,1510,23,43.7%,50,60%,50,32%,65,38%,60,35%,63,44%,34,28%,37,33%
Rodrigue Beaubois,24.7,DAL,Combo,481,33,45.8%,67,56%,56,38%,17,27%,24,32%,0,50%,23,32%,40,36%
Marco Belinelli,26.6,CHI,Wing,1843,26,46.0%,15,52%,37,31%,35,35%,37,34%,5,26%,79,39%,53,36%
Patrick Beverley,24.3,HOU,Point,642,71,51.2%,78,60%,90,44%,4,20%,31,36%,43,37%,56,37%,60,37%
Andris Biedrins,26.6,GSW,Big,492,36,47.6%,25,56%,3,20%,0,0%,4,20%,0,0%,0,0%,0,0%
Chauncey Billups,36.1,LAC,Wing,417,74,51.9%,7,44%,6,8%,100,75%,95,48%,0,46%,42,34%,50,36%
Bismack Biyombo,20.2,CHA,Big,2144,20,44.7%,22,55%,8,25%,32,31%,11,26%,0,0%,0,0%,0,0%
DeJuan Blair,23.5,SAS,Big,745,73,54.0%,51,62%,80,44%,87,47%,85,45%,0,0%,0,0%,0,0%
Steve Blake,32.7,LAL,Combo,1167,97,57.7%,79,60%,9,16%,97,49%,56,38%,82,44%,92,45%,96,44%
Andray Blatche,26.2,BKN,Big,1464,68,52.8%,71,66%,41,35%,80,45%,60,39%,0,29%,0,13%,0,20%
Eric Bledsoe,22.9,LAC,Combo,1420,58,48.2%,73,57%,39,35%,29,31%,29,32%,95,52%,72,39%,89,43%
Keith Bogans,32.5,BKN,Wing,1394,83,54.2%,93,71%,99,67%,73,42%,96,50%,40,37%,30,32%,42,35%
Andrew Bogut,27.9,GSW,Big,784,22,45.1%,23,56%,23,31%,38,33%,23,31%,0,100%,0,0%,0,100%
Matt Bonner,32.6,SAS,Big,811,93,60.1%,77,67%,98,55%,99,55%,99,55%,88,42%,88,42%,90,42%
Trevor Booker,24.9,WAS,Big,868,52,50.2%,64,65%,15,28%,77,44%,36,35%,0,0%,0,0%,0,0%
Carlos Boozer,30.9,CHI,Big,2539,36,47.6%,62,65%,43,35%,57,39%,48,37%,0,0%,0,0%,0,0%
Chris Bosh,28.6,MIA,Big,2445,77,54.7%,95,73%,42,35%,97,52%,90,47%,29,31%,23,27%,23,29%
Avery Bradley,21.9,BOS,Combo,1425,24,44.6%,20,49%,27,29%,74,42%,67,40%,21,35%,0,17%,21,32%
Elton Brand,33.6,DAL,Big,1518,33,47.2%,34,59%,82,45%,67,41%,78,43%,0,0%,0,0%,0,0%
Corey Brewer,26.7,DEN,Wing,1938,44,48.4%,52,60%,50,35%,54,39%,55,37%,30,35%,3,21%,16,30%
Ronnie Brewer,27.6,NYK,Wing,681,13,44.0%,16,52%,16,22%,20,31%,11,29%,27,34%,0,0%,28,32%
Ronnie Brewer,27.6,OKC,Forward,102,0,13.3%,0,14%,0,0%,6,17%,2,17%,0,0%,0,0%,0,0%
Aaron Brooks,27.8,SAC,Point,936,90,53.6%,65,58%,78,42%,90,48%,90,45%,20,32%,80,40%,69,39%
MarShon Brooks,23.8,BKN,Wing,799,43,48.3%,64,61%,88,47%,17,29%,69,40%,0,8%,72,38%,11,30%
Kwame Brown,30.6,PHI,Big,267,27,45.9%,11,50%,32,33%,4,0%,14,29%,0,0%,0,0%,0,0%
Shannon Brown,26.9,PHX,Wing,1381,23,45.8%,81,65%,26,28%,31,35%,33,33%,72,43%,5,23%,5,28%
Kobe Bryant,34.2,LAL,Wing,3008,61,50.5%,83,65%,93,49%,65,41%,88,44%,33,35%,25,32%,27,32%
Chase Budinger,24.4,MIN,Wing,468,36,47.7%,62,61%,50,35%,58,39%,62,38%,15,30%,44,34%,24,32%
Alec Burks,21.3,UTA,Combo,1032,41,46.8%,47,54%,21,27%,62,39%,41,35%,38,38%,74,40%,70,39%
Caron Butler,32.6,LAC,Wing,1867,72,51.6%,46,59%,76,41%,63,40%,74,41%,87,46%,60,36%,80,40%
Jimmy Butler,23.1,CHI,Wing,2042,62,50.6%,69,62%,9,16%,41,36%,20,32%,38,36%,97,44%,76,39%
Will Bynum,29.8,DET,Point,1134,49,48.8%,51,56%,65,41%,69,43%,78,42%,7,26%,27,33%,16,31%
Jose Calderon,31.1,DET,Point,877,100,64.3%,100,79%,10,17%,76,44%,80,43%,97,59%,100,52%,100,53%
Jose Calderon,31.1,TOR,Point,1262,96,57.1%,33,53%,29,31%,96,51%,98,50%,3,26%,98,46%,96,43%
Marcus Camby,38.6,NYK,Big,242,2,33.3%,7,48%,3,20%,14,18%,3,19%,0,0%,0,0%,0,0%
DeMarre Carroll,26.3,UTA,Wing,1055,57,50.2%,96,72%,21,27%,75,42%,56,37%,61,42%,8,24%,20,31%
Vince Carter,35.8,DAL,Wing,2085,80,53.4%,31,56%,74,40%,69,41%,76,41%,13,29%,91,43%,85,41%
Omri Casspi,24.4,CLE,Wing,446,55,50.0%,28,55%,24,28%,96,52%,77,41%,0,36%,48,35%,42,35%
Mario Chalmers,26.5,MIA,Point,2057,92,54.5%,69,58%,51,36%,8,29%,22,34%,93,49%,63,38%,87,41%
Tyson Chandler,30.1,NYK,Big,2158,97,63.7%,76,66%,39,35%,85,46%,55,38%,0,0%,0,0%,0,0%
Wilson Chandler,25.5,DEN,Forward,1056,77,51.7%,63,61%,69,38%,23,29%,46,34%,81,46%,82,39%,93,41%
Earl Clark,24.8,LAL,Big,1331,46,48.9%,45,61%,32,33%,59,39%,52,38%,65,38%,42,32%,52,33%
Victor Claver,24.2,POR,Forward,769,44,47.4%,40,57%,19,23%,42,33%,23,29%,3,27%,68,34%,29,31%
Norris Cole,24.1,MIA,Point,1476,22,45.9%,24,50%,16,25%,67,43%,43,38%,17,30%,88,41%,42,35%
Jason Collins,33.9,BOS,Big,325,4,34.8%,4,47%,0,0%,38,33%,0,13%,0,0%,0,0%,0,0%
Darren Collison,25.2,DAL,Point,2351,78,51.4%,80,61%,80,42%,59,41%,73,41%,87,47%,39,34%,73,39%
Nick Collison,32.0,OKC,Big,1547,90,59.2%,89,69%,97,53%,76,44%,93,47%,0,0%,0,0%,0,0%
Mike Conley,25.1,MEM,Point,2749,63,50.1%,39,54%,53,38%,71,44%,69,41%,73,44%,46,35%,53,37%
Daequan Cook,25.5,CHI,Wing,225,1,29.2%,93,71%,0,0%,2,21%,1,18%,0,30%,2,18%,2,20%
Daequan Cook,25.5,HOU,Wing,109,24,45.8%,2,33%,0,0%,87,45%,48,36%,0,0%,87,41%,58,37%
Chris Copeland,28.6,NYK,Big,762,84,56.2%,60,64%,28,32%,34,32%,25,32%,71,41%,92,44%,94,43%
DeMarcus Cousins,22.2,SAC,Big,2271,33,46.9%,46,62%,46,36%,43,33%,35,35%,0,0%,0,29%,13,24%
Jamal Crawford,32.6,LAC,Wing,2126,68,51.0%,71,63%,89,47%,74,42%,85,44%,36,36%,80,39%,69,38%
Jordan Crawford,24.0,BOS,Combo,551,50,47.8%,29,50%,76,43%,92,46%,92,44%,56,40%,17,29%,25,33%
Jordan Crawford,24.0,WAS,Combo,1104,45,47.4%,38,51%,83,44%,77,42%,88,43%,74,43%,36,34%,35,35%
Jae Crowder,22.3,DAL,Forward,1268,46,47.9%,65,61%,6,17%,69,39%,42,34%,91,49%,32,28%,41,33%
Dante Cunningham,25.5,MIN,Big,1939,31,46.8%,87,69%,59,39%,61,40%,63,40%,0,0%,0,0%,0,0%
Stephen Curry,24.6,GSW,Combo,2975,92,55.2%,52,54%,65,40%,85,44%,86,43%,97,53%,96,45%,100,46%
Samuel Dalembert,32.5,MIL,Big,743,78,55.2%,56,63%,98,55%,38,33%,86,45%,0,0%,0,100%,0,100%
Marquis Daniels,31.8,MIL,Wing,1012,6,41.4%,35,56%,21,26%,12,28%,7,27%,64,42%,4,21%,26,32%
Anthony Davis,19.6,NOP,Big,1822,59,51.4%,83,68%,78,44%,23,28%,34,34%,0,0%,0,0%,0,0%
Ed Davis,23.4,MEM,Big,526,54,50.4%,31,58%,52,38%,24,29%,43,37%,0,0%,0,0%,0,0%
Ed Davis,23.4,TOR,Big,1070,80,55.3%,93,71%,81,44%,46,36%,75,42%,0,0%,0,0%,0,0%
Glen Davis,26.8,ORL,Big,1060,20,44.7%,48,62%,57,39%,37,33%,39,36%,0,0%,0,0%,0,0%
Austin Daye,24.4,DET,Wing,302,88,54.9%,2,36%,98,56%,13,29%,73,41%,0,30%,100,61%,100,52%
Austin Daye,24.4,MEM,Forward,299,79,53.0%,79,67%,98,67%,19,27%,98,45%,0,25%,97,42%,68,38%
Nando De Colo,25.4,SAS,Combo,782,61,48.5%,64,55%,74,42%,24,30%,33,33%,3,23%,89,44%,58,37%
DeMar DeRozan,23.2,TOR,Wing,2995,27,46.1%,73,63%,61,38%,67,41%,67,40%,29,34%,9,28%,13,30%
Carlos Delfino,30.2,HOU,Wing,1646,81,53.4%,64,61%,60,37%,40,36%,50,36%,66,42%,57,36%,68,38%
Luol Deng,27.5,CHI,Forward,2890,35,46.3%,48,59%,54,34%,50,36%,56,35%,31,35%,55,32%,44,33%
Boris Diaw,30.5,SAS,Big,1685,89,58.3%,97,74%,58,39%,64,40%,64,40%,76,41%,73,38%,81,38%
DeSagana Diop,30.8,CHA,Big,191,1,31.8%,0,0%,16,29%,38,33%,27,32%,0,0%,0,0%,0,0%
Toney Douglas,26.6,HOU,Combo,837,42,47.1%,29,50%,55,38%,8,18%,17,28%,54,39%,51,36%,60,37%
Toney Douglas,26.6,SAC,Combo,326,94,55.4%,70,56%,70,42%,68,40%,74,41%,0,64%,21,31%,75,41%
Goran Dragic,26.5,PHX,Point,2564,55,49.2%,90,65%,39,34%,51,40%,39,37%,33,35%,15,32%,24,32%
Andre Drummond,19.2,DET,Big,1185,94,60.8%,81,67%,7,24%,4,0%,5,21%,0,0%,0,100%,0,100%
Jared Dudley,27.3,PHX,Wing,2150,89,55.0%,77,64%,64,38%,88,46%,88,44%,59,41%,75,39%,78,39%
