Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Alex Acker,25.8,LAC,Wing,132,66,+1.5,2,-3.4,30,-0.9%,3,-26.8,19,-0.7,8,-9.2%,7,-25.3,0,-3.7,5,-6.8%,1,-42.9
Arron Afflalo,23.0,DET,Wing,1193,63,+0.9,74,+0.8,63,+0.6%,66,+3.3,58,+0.1,27,-4.2%,53,+0.5,75,+0.7,83,+3.2%,73,+6.5
Alexis Ajinca,20.5,CHA,Big,136,64,+1.3,95,+2.2,78,+1.3%,80,+8.3,99,+2.5,47,-0.8%,97,+30.2,56,+0.1,51,+0.0%,16,-13.8
LaMarcus Aldridge,23.3,POR,Big,2993,97,+9.8,77,+0.9,37,-0.6%,89,+11.5,80,+0.6,58,+0.9%,90,+20.3,63,+0.3,26,-2.6%,72,+6.0
Joe Alexander,21.9,MIL,Forward,612,55,+0.1,26,-0.9,38,-0.6%,16,-10.7,26,-0.5,49,-0.5%,20,-14.1,35,-0.5,37,-1.0%,24,-9.2
Malik Allen,30.3,MIL,Big,522,38,-1.9,32,-0.6,13,-2.0%,31,-5.0,7,-1.2,37,-2.1%,3,-31.5,74,+0.6,16,-3.9%,82,+10.5
Ray Allen,33.3,BOS,Wing,2866,94,+7.2,94,+2.1,91,+2.3%,90,+12.3,50,-0.0,35,-2.4%,54,+0.8,98,+2.1,93,+5.5%,94,+22.1
Tony Allen,26.8,BOS,Wing,782,22,-4.2,58,+0.2,71,+1.0%,48,-1.2,89,+0.8,90,+7.7%,58,+2.2,33,-0.5,22,-3.1%,40,-4.1
Morris Almond,23.7,UTA,Wing,233,0,-18.2,44,-0.3,95,+3.1%,12,-12.9,70,+0.3,56,+0.6%,60,+2.7,32,-0.5,94,+5.7%,14,-14.5
Rafer Alston,32.3,HOU,Point,1587,58,+0.4,54,+0.1,65,+0.6%,39,-2.7,76,+0.5,97,+14.3%,45,-2.0,34,-0.5,42,-0.7%,26,-8.5
Rafer Alston,32.3,ORL,Point,853,38,-1.9,88,+1.6,64,+0.6%,95,+16.2,13,-0.9,19,-5.8%,6,-26.3,99,+2.3,57,+0.5%,100,+34.8
Lou Amundson,25.9,PHX,Big,909,30,-2.7,95,+2.3,94,+3.0%,74,+5.5,94,+1.2,97,+13.5%,76,+10.4,88,+1.1,94,+5.8%,63,+3.1
Chris Andersen,30.3,DEN,Big,1412,52,-0.3,58,+0.2,29,-1.0%,60,+1.9,19,-0.7,52,-0.1%,59,+2.6,75,+0.7,61,+0.9%,62,+3.1
Ryan Anderson,20.5,NJN,Big,1233,50,-0.5,43,-0.3,84,+1.7%,34,-4.4,81,+0.6,47,-0.8%,88,+18.5,19,-0.9,88,+4.2%,15,-13.9
Carmelo Anthony,24.4,DEN,Forward,2273,91,+6.1,82,+1.1,42,-0.4%,76,+6.9,92,+1.0,78,+4.6%,80,+12.7,53,+0.0,21,-3.2%,56,+1.2
Joel Anthony,26.2,MIA,Big,1008,17,-5.6,16,-1.5,61,+0.4%,7,-18.3,6,-1.3,52,-0.1%,9,-22.6,39,-0.3,76,+2.3%,18,-12.9
Trevor Ariza,23.3,LAL,Wing,1902,33,-2.4,56,+0.1,82,+1.6%,44,-1.7,97,+1.6,84,+6.5%,77,+11.1,7,-1.5,53,+0.2%,14,-14.6
