Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Steven Adams,28.3,MEM,Big,1997,39,+1.3,55,-0.2,74,-0.8%,52,-0.7,41,+0.2,46,+0.7%,36,+5.7,59,-0.3,55,-0.5%,59,-3.2
LaMarcus Aldridge,36.3,BKN,Big,1047,55,-0.6,75,-1.1,84,-1.2%,68,-5.4,59,-0.2,57,-0.6%,38,+4.5,80,-1.0,86,-3.1%,86,-14.9
Justin Anderson,28.0,IND,Forward,260,9,+6.0,25,+1.1,5,+2.8%,69,-5.6,45,+0.1,11,+6.9%,93,-24.9,29,+0.7,5,+5.9%,37,+4.6
Kyle Anderson,28.1,MEM,Forward,1458,18,+4.1,61,-0.5,35,+0.5%,71,-6.3,81,-0.6,79,-5.0%,83,-15.6,48,+0.1,60,-0.7%,58,-3.0
Giannis Antetokounmpo,26.9,MIL,Big,2189,82,-4.3,85,-1.7,95,-2.1%,77,-8.2,94,-1.2,88,-7.2%,94,-28.1,74,-0.7,77,-2.2%,57,-2.8
Thanasis Antetokounmpo,29.3,MIL,Big,359,2,+9.4,5,+3.1,3,+3.3%,11,+12.8,53,-0.0,12,+6.8%,67,-5.8,3,+3.3,2,+9.7%,5,+23.9
Carmelo Anthony,37.4,LAL,Big,1784,45,+0.6,70,-0.9,94,-2.0%,73,-7.2,81,-0.6,74,-3.4%,73,-8.6,52,-0.1,69,-1.5%,60,-4.1
Trevor Ariza,36.3,LAL,Forward,453,37,+1.5,7,+2.5,12,+1.7%,13,+11.9,2,+1.9,8,+8.9%,3,+32.2,26,+0.8,63,-1.0%,47,+0.8
D.J. Augustin,34.0,HOU,Point,507,12,+4.9,33,+0.8,33,+0.6%,40,+2.5,47,+0.1,77,-4.3%,31,+7.3,27,+0.7,9,+4.4%,41,+2.4
D.J. Augustin,34.0,LAL,Combo,357,29,+2.5,91,-2.1,73,-0.7%,86,-11.7,67,-0.3,97,-13.2%,52,-0.4,90,-1.6,63,-1.0%,85,-14.8
Harrison Barnes,29.4,SAC,Forward,2581,7,+6.7,41,+0.4,63,-0.5%,36,+3.7,50,+0.0,35,+2.3%,52,-0.3,40,+0.3,66,-1.3%,38,+4.3
Will Barton,30.8,DEN,Wing,2272,61,-1.2,64,-0.6,19,+1.3%,74,-7.7,40,+0.2,11,+7.0%,49,+1.0,64,-0.5,45,+0.4%,74,-9.0
Nicolas Batum,32.9,LAC,Forward,1457,32,+2.1,48,+0.1,40,+0.4%,40,+2.5,62,-0.2,41,+1.5%,61,-3.8,43,+0.2,70,-1.5%,37,+4.7
Kent Bazemore,32.3,LAL,Wing,487,63,-1.5,97,-3.1,22,+1.1%,98,-24.6,99,-2.1,73,-3.2%,99,-46.9,89,-1.5,59,-0.7%,90,-18.3
Bradley Beal,28.3,WAS,Combo,1438,88,-5.4,87,-1.7,6,+2.8%,90,-14.2,27,+0.5,74,-3.6%,33,+6.7,95,-2.0,4,+6.6%,93,-21.7
Malik Beasley,24.9,MIN,Wing,1959,35,+1.9,32,+0.8,62,-0.4%,33,+4.5,64,-0.2,79,-5.0%,62,-4.1,22,+0.9,85,-3.0%,30,+7.2
DeAndre' Bembry,27.3,BKN,Wing,894,26,+2.7,37,+0.6,71,-0.7%,43,+1.9,85,-0.8,13,+6.3%,91,-22.2,15,+1.2,80,-2.5%,13,+14.9
Davis Bertans,29.0,WAS,Forward,489,21,+3.5,78,-1.2,78,-1.0%,65,-4.6,25,+0.5,43,+1.1%,6,+24.7,96,-2.1,77,-2.2%,93,-22.6
Davis Bertans,29.0,DAL,Forward,285,98,-11.8,80,-1.3,100,-5.0%,77,-8.3,91,-1.1,98,-15.7%,68,-6.3,62,-0.4,100,-10.5%,75,-9.8
Patrick Beverley,33.3,MIN,Combo,1473,62,-1.3,54,-0.2,19,+1.3%,60,-3.0,49,+0.0,16,+5.4%,58,-2.6,44,+0.1,11,+4.1%,43,+1.6
Bismack Biyombo,29.2,PHX,Big,440,51,-0.2,11,+1.8,53,-0.0%,14,+11.4,43,+0.1,90,-7.9%,17,+14.7,13,+1.3,29,+1.7%,21,+10.9
Nemanja Bjelica,33.5,GSW,Big,1093,42,+1.0,18,+1.4,73,-0.7%,11,+13.0,39,+0.2,87,-6.9%,29,+8.3,21,+0.9,61,-0.8%,15,+14.0
Eric Bledsoe,31.9,LAC,Point,1358,56,-0.7,50,+0.0,40,+0.3%,47,+0.8,60,-0.2,11,+7.2%,52,-0.2,41,+0.3,52,-0.1%,45,+1.5
