Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Steven Adams,25.3,OKC,Big,159,0,37.5%,40,9.3%,93,3.3%,98,50.0%
LaMarcus Aldridge,33.3,SAS,Big,243,65,81.8%,38,9.1%,80,2.8%,18,8.3%
Jarrett Allen,20.5,BKN,Big,110,0,85.0%,95,18.9%,90,3.2%,73,28.6%
Al-Farouq Aminu,28.1,POR,Big,399,35,75.0%,60,11.8%,25,1.2%,73,28.6%
Giannis Antetokounmpo,23.9,MIL,Forward,513,0,63.9%,100,25.4%,73,3.4%,45,27.2%
D.J. Augustin,31.0,ORL,Point,140,0,87.5%,93,12.8%,29,1.3%,0,0.0%
Will Barton,27.8,DEN,Wing,320,0,66.7%,55,8.5%,21,0.7%,0,0.0%
Aron Baynes,31.9,BOS,Big,115,0,50.0%,13,6.7%,30,1.2%,0,0.0%
Malik Beasley,21.9,DEN,Wing,265,10,71.0%,100,16.5%,12,0.5%,58,25.0%
Marco Belinelli,32.6,SAS,Wing,130,0,83.3%,42,5.4%,70,1.4%,85,50.0%
Patrick Beverley,30.3,LAC,Combo,194,0,75.0%,6,4.3%,67,2.1%,94,100.0%
Eric Bledsoe,28.9,MIL,Point,422,0,70.6%,71,10.9%,57,2.5%,71,22.7%
Bojan Bogdanovic,29.5,IND,Forward,147,0,88.2%,9,9.1%,64,2.8%,100,50.0%
Andrew Bogut,33.9,GSW,Big,178,0,80.0%,23,7.7%,0,0.2%,83,33.3%
Malcolm Brogdon,25.9,MIL,Combo,194,0,66.7%,33,6.3%,6,0.5%,67,20.0%
Jaylen Brown,22.0,BOS,Wing,269,30,76.7%,67,10.4%,88,1.8%,0,0.0%
Sterling Brown,23.7,MIL,Wing,138,0,66.7%,82,12.5%,42,0.9%,58,25.0%
Jimmy Butler,29.1,PHI,Forward,421,67,87.5%,82,15.9%,55,2.4%,36,25.8%
Clint Capela,24.5,HOU,Big,330,0,42.9%,98,19.4%,18,1.1%,48,15.8%
DeMarre Carroll,32.3,BKN,Forward,119,0,100.0%,18,9.5%,18,1.0%,0,0.0%
Zach Collins,21.0,POR,Big,268,0,80.0%,65,12.5%,88,3.2%,70,27.3%
Darren Collison,31.2,IND,Point,116,0,100.0%,21,6.3%,7,0.4%,0,0.0%
Pat Connaughton,25.8,MIL,Wing,294,0,50.0%,15,2.9%,3,0.3%,85,50.0%
Quinn Cook,25.6,GSW,Point,178,0,100.0%,0,1.6%,0,0.2%,100,100.0%
DeMarcus Cousins,28.2,GSW,Big,133,0,64.0%,88,17.7%,100,5.5%,53,18.2%
Torrey Craig,27.9,DEN,Wing,326,0,56.3%,61,9.7%,27,0.8%,73,28.6%
Jae Crowder,28.3,UTA,Big,130,0,73.7%,73,15.1%,33,1.3%,35,12.5%
Seth Curry,28.2,POR,Wing,319,0,81.8%,12,2.5%,45,1.0%,0,0.0%
Stephen Curry,30.6,GSW,Point,845,100,94.3%,64,10.7%,86,3.2%,64,22.4%
DeMar DeRozan,29.2,SAS,Wing,248,70,86.4%,91,14.7%,94,2.6%,33,5.0%
Spencer Dinwiddie,25.6,BKN,Combo,131,0,71.4%,56,10.6%,22,0.6%,83,42.9%
Andre Drummond,25.2,DET,Big,127,0,42.9%,83,17.2%,65,2.3%,23,9.1%
Kevin Durant,30.1,GSW,Forward,441,100,90.3%,73,14.8%,100,4.9%,64,32.5%
Wayne Ellington,30.9,DET,Wing,128,0,100.0%,0,0.0%,91,1.9%,94,0.0%
Joel Embiid,24.6,PHI,Big,334,76,82.2%,85,17.5%,98,4.6%,63,25.0%
James Ennis,28.3,PHI,Wing,224,0,63.2%,85,13.2%,48,1.0%,55,22.2%
Derrick Favors,27.3,UTA,Big,103,0,68.4%,93,18.6%,57,2.1%,35,12.5%
Terrance Ferguson,20.5,OKC,Wing,124,0,0.0%,0,0.0%,0,0.0%,94,0.0%
Bryn Forbes,25.3,SAS,Combo,207,0,71.4%,11,5.1%,0,0.2%,0,0.0%
Evan Fournier,26.0,ORL,Wing,172,0,75.0%,30,4.2%,55,1.1%,0,0.0%
Danilo Gallinari,30.2,LAC,Big,201,94,84.8%,57,11.7%,75,2.7%,73,28.6%
Marc Gasol,33.8,TOR,Big,733,100,87.0%,23,7.7%,50,1.9%,0,0.0%
Rudy Gay,32.2,SAS,Forward,176,0,82.4%,55,11.8%,36,1.9%,73,33.3%
Paul George,28.5,OKC,Wing,203,40,81.3%,88,13.9%,100,3.2%,39,12.5%
Shai Gilgeous-Alexander,20.3,LAC,Point,170,0,88.9%,57,10.6%,43,2.0%,0,0.0%
Rudy Gobert,26.3,UTA,Big,152,0,78.3%,100,24.4%,70,2.5%,28,10.0%
Aaron Gordon,23.1,ORL,Forward,160,0,60.0%,45,10.9%,82,3.7%,91,42.9%
Eric Gordon,29.9,HOU,Wing,408,60,85.7%,58,9.5%,67,1.3%,82,46.7%
Jerami Grant,24.6,OKC,Big,176,0,69.2%,70,13.3%,43,1.7%,50,16.7%
Danny Green,31.4,TOR,Wing,683,0,91.3%,24,3.8%,36,0.9%,0,0.0%
Draymond Green,28.7,GSW,Big,850,18,71.8%,63,11.8%,60,2.1%,60,24.1%
JaMychal Green,28.4,LAC,Big,138,0,80.0%,10,6.5%,55,2.1%,0,0.0%
James Harden,29.2,HOU,Combo,423,86,83.7%,78,12.9%,100,2.8%,50,15.8%
Maurice Harkless,25.5,POR,Forward,387,17,63.9%,64,14.6%,0,1.0%,18,22.2%
Montrezl Harrell,24.8,LAC,Big,157,12,69.2%,90,18.3%,63,2.1%,80,30.8%
Gary Harris,24.1,DEN,Wing,517,80,86.8%,79,11.7%,15,0.5%,79,30.0%
Joe Harris,27.2,BKN,Wing,147,0,100.0%,67,10.4%,18,0.5%,0,0.0%
Tobias Harris,26.3,PHI,Forward,443,50,84.6%,0,5.2%,27,1.2%,73,33.3%
Gordon Hayward,28.6,BOS,Wing,264,0,100.0%,73,10.5%,61,1.2%,39,12.5%
George Hill,32.5,MIL,Combo,386,57,80.6%,17,5.9%,78,2.2%,39,14.3%
Rodney Hood,26.0,POR,Wing,370,50,81.8%,94,15.4%,58,1.1%,70,26.3%
Al Horford,32.4,BOS,Big,309,0,83.3%,8,5.3%,40,1.7%,83,33.3%
Danuel House,25.4,HOU,Forward,134,0,50.0%,27,10.5%,9,1.0%,0,0.0%
Serge Ibaka,29.1,TOR,Big,490,53,76.9%,45,9.5%,23,1.1%,30,10.5%
Andre Iguodala,34.8,GSW,Wing,629,0,38.9%,48,7.3%,85,1.8%,36,7.7%
Ersan Ilyasova,31.5,MIL,Big,249,0,78.3%,53,11.3%,13,0.9%,33,11.1%
Joe Ingles,31.1,UTA,Wing,150,0,0.0%,0,0.0%,30,0.9%,94,0.0%
Kyrie Irving,26.6,BOS,Point,329,86,89.2%,29,6.9%,71,2.8%,43,15.4%
Jonathan Isaac,21.1,ORL,Big,136,0,87.5%,18,7.1%,53,1.9%,83,33.3%
Reggie Jackson,28.5,DET,Point,107,0,85.7%,14,4.4%,50,2.3%,0,0.0%
Jonas Jerebko,31.7,GSW,Big,105,0,80.0%,18,7.1%,3,0.4%,0,0.0%
Nikola Jokic,23.7,DEN,Big,556,88,84.6%,50,9.8%,95,4.1%,40,14.3%
Enes Kanter,26.5,POR,Big,460,41,75.6%,35,8.9%,68,2.3%,40,14.3%
Luke Kennard,22.4,DET,Wing,121,0,100.0%,33,4.7%,52,1.0%,85,50.0%
Caris LeVert,24.2,BKN,Wing,144,20,72.4%,97,16.5%,73,1.4%,48,14.3%
Kawhi Leonard,27.3,TOR,Forward,939,83,88.3%,91,16.0%,91,4.4%,55,30.3%
Meyers Leonard,26.7,POR,Big,166,0,33.3%,3,3.1%,78,2.7%,98,50.0%
Damian Lillard,28.3,POR,Point,650,43,83.3%,50,10.3%,93,3.8%,50,16.2%
Shaun Livingston,33.1,GSW,Combo,321,0,84.0%,94,15.3%,33,0.8%,17,7.7%
Kevon Looney,22.7,GSW,Big,429,24,72.4%,55,11.5%,15,1.0%,18,8.3%
Brook Lopez,30.6,MIL,Big,437,82,82.8%,48,9.8%,8,0.7%,95,35.7%
Kyle Lowry,32.6,TOR,Point,898,29,79.7%,79,11.4%,64,2.6%,57,20.0%
Wesley Matthews,32.0,IND,Wing,118,0,100.0%,21,3.2%,24,0.8%,0,0.0%
CJ McCollum,27.1,POR,Combo,635,29,73.2%,28,6.2%,61,1.8%,33,13.0%
Alfonzo McKinnie,26.1,GSW,Wing,219,0,33.3%,36,5.0%,6,0.4%,0,0.0%
Khris Middleton,27.2,MIL,Wing,515,90,88.5%,61,9.7%,82,1.7%,73,28.6%
Patty Mills,30.2,SAS,Combo,149,0,60.0%,50,8.7%,39,0.9%,0,0.0%
Paul Millsap,33.7,DEN,Big,468,59,77.0%,75,15.6%,85,3.2%,57,21.4%
Nikola Mirotic,27.7,MIL,Big,280,71,82.1%,43,9.4%,28,1.2%,0,0.0%
Donovan Mitchell,22.1,UTA,Combo,193,14,72.7%,67,11.4%,89,2.4%,39,14.3%
Marcus Morris,29.2,BOS,Big,254,29,74.2%,65,12.5%,45,1.7%,23,9.1%
Monte Morris,23.3,DEN,Point,212,0,69.2%,36,7.0%,14,0.6%,93,33.3%
Jamal Murray,21.7,DEN,Combo,504,100,91.7%,44,7.8%,72,2.1%,61,19.0%
Royce O'Neale,25.4,UTA,Wing,134,0,75.0%,9,2.3%,79,1.6%,0,0.0%
Chris Paul,33.5,HOU,Point,396,57,84.4%,7,4.0%,100,4.2%,0,0.0%
