Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Sasha Vujacic,23.6,LAL,Wing,1210,74,+1.3%,8,-4.7%,18,-2.3%,35,-1.4%,18,-3.7%,96,+3.1%,94,+5.3%,95,+8.4%
Dwyane Wade,25.8,MIA,Combo,1949,96,+4.1%,98,+7.1%,50,-0.0%,53,+0.4%,51,+0.3%,30,-0.9%,1,-6.6%,3,-7.5%
Antoine Walker,31.2,MIN,Forward,878,37,-1.2%,46,-0.5%,21,-2.1%,2,-7.3%,3,-9.4%,82,+1.4%,99,+8.5%,98,+9.9%
Ben Wallace,33.1,CHI,Big,1624,54,+0.0%,30,-2.0%,53,+0.1%,83,+4.0%,82,+4.1%,30,-0.9%,35,-1.2%,33,-2.1%
Ben Wallace,33.1,CLE,Big,574,32,-1.6%,59,+0.6%,70,+1.3%,58,+0.8%,66,+2.0%,5,-2.5%,51,-0.1%,25,-2.7%
Gerald Wallace,25.3,CHA,Forward,2369,66,+0.8%,96,+6.0%,7,-3.7%,10,-4.7%,4,-8.4%,92,+2.4%,52,+0.1%,75,+2.4%
Rasheed Wallace,33.1,DET,Big,2337,86,+2.4%,30,-2.0%,89,+3.0%,12,-4.3%,37,-1.3%,42,-0.4%,88,+3.7%,79,+3.3%
Luke Walton,27.6,LAL,Forward,1680,16,-2.9%,66,+1.1%,81,+2.2%,51,+0.2%,70,+2.4%,38,-0.5%,14,-2.9%,18,-3.5%
Hakim Warrick,25.3,MEM,Big,1702,5,-5.4%,52,+0.0%,30,-1.4%,86,+4.4%,74,+3.0%,12,-2.0%,38,-1.1%,21,-3.0%
Darius Washington,21.9,SAS,Combo,115,93,+3.3%,43,-0.7%,5,-4.1%,37,-1.1%,12,-5.3%,15,-1.8%,97,+7.7%,91,+5.9%
CJ Watson,23.5,GSW,Point,313,18,-2.8%,8,-4.8%,79,+1.9%,34,-1.4%,53,+0.5%,91,+2.3%,75,+1.9%,85,+4.2%
Earl Watson,28.4,SEA,Point,2254,68,+0.9%,64,+1.0%,22,-2.0%,74,+2.5%,52,+0.4%,43,-0.4%,37,-1.1%,39,-1.5%
Chris Webber,34.7,GSW,Big,125,69,+1.0%,28,-2.2%,77,+1.8%,90,+5.5%,95,+7.2%,8,-2.2%,15,-2.9%,9,-5.1%
Martell Webster,20.9,POR,Wing,2098,67,+0.8%,62,+0.9%,62,+0.8%,42,-0.6%,49,+0.2%,21,-1.3%,57,+0.3%,43,-1.0%
Bonzi Wells,31.1,HOU,Wing,1102,34,-1.4%,87,+3.5%,34,-1.2%,47,-0.2%,35,-1.4%,28,-1.0%,36,-1.1%,31,-2.1%
Bonzi Wells,31.1,NOH,Wing,436,5,-5.5%,67,+1.2%,33,-1.2%,81,+3.4%,67,+2.1%,9,-2.2%,36,-1.1%,19,-3.3%
David West,27.2,NOH,Big,2867,61,+0.4%,75,+2.1%,68,+1.2%,38,-1.0%,49,+0.2%,79,+1.2%,11,-3.5%,29,-2.3%
Delonte West,24.3,SEA,Combo,672,19,-2.6%,33,-1.7%,63,+0.8%,47,-0.2%,53,+0.6%,74,+0.8%,55,+0.2%,63,+1.1%
Delonte West,24.3,CLE,Point,801,42,-0.8%,97,+7.0%,48,-0.3%,30,-2.0%,28,-2.3%,3,-3.2%,29,-1.5%,11,-4.7%
Mario West,23.4,ATL,Combo,206,56,+0.2%,96,+6.0%,66,+1.1%,3,-6.8%,11,-5.7%,33,-0.8%,59,+0.5%,51,-0.3%
Chris Wilcox,25.2,SEA,Big,1719,82,+2.0%,95,+5.3%,54,+0.1%,6,-5.5%,12,-5.3%,69,+0.7%,43,-0.7%,54,+0.0%
Damien Wilkins,27.8,SEA,Wing,1783,51,-0.2%,34,-1.7%,53,+0.1%,24,-2.7%,26,-2.6%,84,+1.6%,81,+2.6%,85,+4.2%
Aaron Williams,36.1,LAC,Big,293,25,-2.0%,49,-0.3%,88,+3.0%,64,+1.2%,82,+4.2%,34,-0.8%,12,-3.2%,14,-4.0%
Deron Williams,23.3,UTA,Point,3045,97,+4.3%,97,+6.4%,29,-1.5%,1,-8.2%,2,-9.7%,46,-0.3%,88,+3.6%,80,+3.3%
Jason Williams,32.0,MIA,Point,1881,72,+1.2%,74,+2.1%,76,+1.6%,36,-1.3%,51,+0.3%,25,-1.2%,33,-1.2%,27,-2.4%
Lou Williams,21.0,PHI,Combo,1761,30,-1.6%,44,-0.7%,17,-2.4%,19,-3.1%,12,-5.5%,91,+2.3%,89,+3.8%,92,+6.1%
Marcus Williams,21.9,NJN,Combo,800,57,+0.2%,6,-5.2%,56,+0.3%,56,+0.6%,58,+0.9%,73,+0.8%,86,+3.4%,86,+4.2%
Marvin Williams,21.4,ATL,Forward,2748,70,+1.0%,13,-3.7%,72,+1.4%,97,+7.2%,97,+8.5%,6,-2.5%,19,-2.4%,10,-4.9%
Mo Williams,24.9,MIL,Point,2398,82,+1.9%,24,-2.5%,52,+0.1%,80,+3.2%,76,+3.3%,68,+0.6%,31,-1.3%,46,-0.7%
Sean Williams,21.1,NJN,Big,1221,47,-0.4%,73,+1.9%,84,+2.6%,23,-2.7%,45,-0.2%,10,-2.1%,57,+0.3%,35,-1.7%
Shawne Williams,21.7,IND,Forward,912,40,-1.0%,62,+0.9%,82,+2.3%,8,-5.1%,26,-2.7%,72,+0.8%,67,+1.0%,69,+1.8%
Shelden Williams,24.0,ATL,Big,374,19,-2.6%,19,-2.8%,60,+0.5%,50,+0.1%,53,+0.5%,63,+0.3%,76,+1.9%,73,+2.2%
Shelden Williams,24.0,SAC,Big,337,7,-4.7%,27,-2.2%,92,+3.6%,35,-1.4%,68,+2.2%,42,-0.5%,60,+0.5%,54,+0.0%
Metta World Peace,28.0,SAC,Forward,2165,83,+2.0%,60,+0.7%,4,-4.5%,49,+0.0%,16,-4.4%,52,-0.0%,89,+3.7%,82,+3.7%
Antoine Wright,23.7,NJN,Wing,1016,39,-1.0%,57,+0.5%,58,+0.4%,11,-4.7%,16,-4.3%,95,+3.0%,66,+0.8%,84,+3.8%
Antoine Wright,23.7,DAL,Wing,139,47,-0.4%,88,+3.6%,3,-4.7%,97,+7.4%,73,+2.7%,22,-1.3%,5,-5.0%,6,-6.3%
Brandan Wright,20.1,GSW,Big,293,29,-1.6%,69,+1.4%,72,+1.4%,82,+3.8%,87,+5.2%,18,-1.5%,5,-5.1%,5,-6.6%
Dorell Wright,21.9,MIA,Forward,1065,61,+0.4%,93,+4.7%,38,-1.0%,95,+6.6%,89,+5.7%,8,-2.3%,1,-8.0%,1,-10.3%
Julian Wright,20.5,NOH,Forward,572,65,+0.7%,89,+3.9%,21,-2.1%,84,+4.0%,64,+1.9%,0,-4.7%,38,-1.1%,7,-5.7%
Lorenzen Wright,32.0,ATL,Big,147,7,-4.8%,0,-9.8%,100,+7.8%,83,+3.8%,99,+11.6%,24,-1.2%,43,-0.7%,34,-1.9%
Yao Ming,27.1,HOU,Big,2038,56,+0.2%,41,-0.9%,99,+7.3%,14,-4.1%,76,+3.2%,51,-0.1%,21,-2.2%,29,-2.3%
Jianlian Yi,20.0,MIL,Big,1601,27,-1.8%,35,-1.6%,10,-3.2%,96,+6.9%,79,+3.7%,43,-0.4%,26,-1.7%,31,-2.1%
Nick Young,22.4,WAS,Wing,1046,22,-2.4%,69,+1.4%,20,-2.1%,81,+3.3%,61,+1.2%,11,-2.1%,45,-0.5%,26,-2.6%
Thaddeus Young,19.4,PHI,Forward,1461,97,+4.7%,39,-1.1%,91,+3.4%,26,-2.5%,59,+1.0%,50,-0.1%,55,+0.2%,54,+0.1%
