Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Ray Allen,29.3,OKC,Wing,434,83,55.2%,93,53.4%,54,38.8%,93,88.9%,97,35%,90,23%,72,33%,93,52%
Carmelo Anthony,20.4,DEN,Forward,179,18,42.2%,27,42.7%,0,0.0%,67,81.3%,55,60%,55,50%,9,82%,0,0%
Gilbert Arenas,22.8,WAS,Wing,450,7,42.4%,55,46.6%,0,24.0%,33,77.2%,90,36%,79,27%,69,34%,97,50%
Carlos Arroyo,25.3,DET,Point,133,0,28.1%,0,28.1%,0,0.0%,0,70.0%,82,22%,82,0%,41,25%,0,0%
Leandro Barbosa,21.9,PHX,Combo,110,8,37.9%,0,32.0%,0,37.5%,0,50.0%,50,45%,42,33%,17,50%,92,67%
Brent Barry,32.8,SAS,Wing,536,100,59.8%,69,50.0%,73,43.8%,0,81.0%,3,87%,14,82%,45,50%,0,100%
Jon Barry,35.3,HOU,Wing,180,86,55.4%,17,37.5%,88,50.0%,0,87.5%,17,80%,21,67%,7,83%,66,82%
Shane Battier,26.1,MEM,Forward,118,36,43.5%,64,50.0%,0,14.3%,0,40.0%,64,54%,55,50%,64,50%,18,100%
Mike Bibby,26.5,SAC,Point,201,35,41.8%,41,44.9%,15,21.7%,33,77.8%,65,33%,47,23%,12,33%,71,60%
Chauncey Billups,28.1,DET,Combo,983,75,49.6%,67,47.4%,57,35.5%,100,89.2%,58,41%,58,20%,58,32%,75,73%
Bruce Bowen,33.4,SAS,Wing,809,41,47.3%,10,27.9%,69,43.3%,0,64.7%,14,83%,83,25%,10,78%,0,100%
Ryan Bowen,29.0,HOU,Forward,115,0,33.3%,9,33.3%,0,0.0%,0,66.7%,0,88%,18,67%,0,100%,0,0%
Earl Boykins,28.4,DEN,Point,147,29,41.3%,47,46.4%,0,0.0%,0,89.5%,88,12%,82,0%,88,14%,0,0%
Rasual Butler,25.4,MIA,Wing,175,45,47.4%,24,39.3%,35,36.7%,0,33.3%,38,68%,0,0%,41,55%,66,82%
Marcus Camby,30.6,DEN,Big,186,10,41.5%,17,41.5%,0,0.0%,22,63.0%,2,88%,29,67%,5,100%,0,0%
Vince Carter,27.8,BKN,Wing,180,0,37.8%,14,36.8%,15,31.6%,73,86.1%,83,41%,100,10%,62,44%,62,83%
Tyson Chandler,22.1,CHI,Big,174,29,47.5%,37,47.5%,0,0.0%,44,69.6%,90,47%,88,41%,5,100%,0,0%
Jason Collins,25.9,BKN,Big,128,0,23.5%,0,23.5%,0,0.0%,0,37.5%,80,50%,100,0%,5,100%,0,0%
Nick Collison,24.0,OKC,Big,211,88,61.0%,88,61.0%,0,0.0%,22,63.0%,15,78%,5,76%,5,100%,0,0%
Samuel Dalembert,24.5,PHI,Big,192,71,55.3%,73,55.3%,0,0.0%,0,40.0%,29,73%,24,68%,34,86%,0,0%
Erick Dampier,29.3,DAL,Big,302,90,61.5%,90,61.5%,0,0.0%,0,39.3%,73,55%,59,56%,71,50%,0,0%
Antonio Daniels,29.6,OKC,Combo,324,67,48.9%,75,49.4%,0,30.8%,83,85.7%,83,16%,92,8%,100,12%,67,75%
Marquis Daniels,23.8,DAL,Combo,158,25,42.3%,50,44.9%,0,0.0%,33,70.4%,67,36%,25,43%,67,25%,0,0%
Antonio Davis,36.0,CHI,Big,171,15,43.5%,24,43.5%,0,0.0%,0,73.9%,10,80%,20,69%,5,100%,0,0%
Dale Davis,35.6,IND,Big,314,20,44.8%,27,44.8%,0,0.0%,0,68.0%,37,69%,59,56%,5,100%,0,0%
Ricky Davis,25.1,BOS,Wing,235,31,45.9%,45,44.6%,0,37.5%,0,79.2%,66,56%,45,56%,38,55%,83,67%
Juan Dixon,26.1,WAS,Combo,217,42,46.5%,42,44.8%,43,33.3%,0,84.0%,25,54%,100,0%,17,50%,58,82%
Keyon Dooling,24.5,MIA,Point,255,76,53.7%,76,52.4%,62,38.9%,0,84.2%,59,35%,59,14%,47,23%,12,100%
Chris Duhon,22.2,CHI,Point,162,12,37.8%,6,33.3%,31,27.3%,0,81.8%,24,45%,53,20%,0,0%,59,67%
Tim Duncan,28.5,SAS,Big,862,24,46.3%,32,46.7%,0,0.0%,61,71.7%,80,50%,56,56%,85,44%,0,0%
Reggie Evans,24.5,OKC,Big,208,5,40.5%,10,40.5%,0,0.0%,0,52.4%,61,60%,44,58%,51,67%,0,0%
Michael Finley,31.7,DAL,Wing,495,69,51.3%,41,44.6%,62,41.4%,0,88.9%,34,69%,31,60%,34,56%,48,92%
Danny Fortson,28.6,OKC,Big,105,80,57.1%,80,57.1%,0,0.0%,0,84.6%,44,67%,39,64%,5,100%,0,0%
Jeff Foster,27.8,IND,Big,230,80,57.1%,80,57.1%,0,0.0%,0,70.6%,63,57%,59,56%,5,100%,0,0%
Pau Gasol,24.3,MEM,Big,131,46,49.4%,44,48.1%,0,100.0%,0,50.0%,78,51%,29,67%,93,35%,80,100%
Manu Ginobili,27.3,SAS,Wing,769,93,58.8%,97,54.5%,81,45.1%,40,79.5%,79,42%,76,27%,90,30%,76,78%
Ben Gordon,21.6,CHI,Wing,150,21,44.5%,31,43.1%,23,31.8%,0,80.0%,59,62%,31,60%,21,65%,90,57%
Richard Hamilton,26.7,DET,Wing,1077,34,47.0%,59,46.8%,31,33.3%,47,79.8%,52,63%,41,57%,24,63%,0,100%
Othella Harrington,30.8,CHI,Big,104,49,50.0%,54,50.0%,0,0.0%,0,54.5%,44,67%,51,57%,44,71%,0,0%
Udonis Haslem,24.4,MIA,Big,544,34,48.6%,46,48.6%,0,0.0%,72,73.9%,7,84%,2,79%,29,91%,0,0%
Brendan Haywood,24.9,WAS,Big,293,66,54.2%,66,54.2%,0,0.0%,33,63.6%,66,56%,46,58%,71,50%,0,0%
Kirk Hinrich,23.8,CHI,Combo,214,83,53.5%,25,41.8%,100,51.5%,0,69.0%,33,51%,50,23%,8,53%,83,71%
Robert Horry,34.2,SAS,Big,618,73,55.6%,29,44.9%,75,43.9%,67,73.2%,27,73%,78,52%,63,58%,98,92%
Josh Howard,24.5,DAL,Forward,429,91,51.6%,91,53.2%,40,25.0%,0,74.5%,73,45%,73,46%,91,36%,18,100%
Larry Hughes,25.8,WAS,Combo,402,17,39.5%,17,41.2%,29,21.2%,67,83.1%,42,46%,17,47%,42,36%,17,100%
