Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Steven Adams,26.3,OKC,Big,210,13,-12.4,-30,8,-11.6,3,-7.8%,8,+3.7%,93,+8.4%,3,-11.9,43,+0.8,11,+6.2%,44,-0.2%,80,-3.4%,69,-4.7
Giannis Antetokounmpo,24.9,MIL,Big,277,62,+4.0,+10,53,+1.1,69,+2.2%,28,+1.6%,63,+1.6%,21,-4.9,63,-2.9,78,-3.2%,13,-2.6%,54,+0.2%,32,+3.0
Carmelo Anthony,35.4,POR,Big,213,3,-26.2,-55,28,-5.6,54,+0.2%,43,+0.2%,3,-11.1%,8,-9.2,1,+20.5,1,+12.3%,73,+2.0%,17,+3.9%,78,-6.1
D.J. Augustin,32.0,ORL,Point,127,57,+1.1,+2,57,+1.5,47,-0.5%,47,-0.0%,71,+3.1%,83,+7.5,45,+0.5,21,+3.8%,69,+1.7%,92,-7.9%,79,-6.2
Patrick Beverley,31.3,LAC,Point,165,54,+0.5,+2,9,-11.6,22,-3.7%,9,+3.3%,73,+3.2%,25,-4.1,87,-12.1,80,-3.5%,100,+8.1%,28,+3.0%,18,+5.2
Eric Bledsoe,29.9,MIL,Point,267,53,+0.1,+0,54,+1.1,11,-5.3%,98,-4.2%,97,+11.1%,45,-0.5,42,+1.0,37,+2.2%,38,-0.7%,73,-2.2%,78,-6.0
Malcolm Brogdon,26.9,IND,Combo,159,77,+11.0,+16,95,+19.6,94,+7.8%,15,+2.6%,13,-5.8%,99,+17.8,18,+8.6,48,+0.9%,93,+4.9%,59,-0.4%,0,+21.1
Jaylen Brown,23.0,BOS,Wing,670,18,-11.0,-21,35,-4.5,20,-3.8%,78,-1.9%,59,+1.2%,48,-0.1,26,+6.5,61,-1.3%,12,-2.7%,64,-1.0%,10,+7.5
Trey Burke,27.0,DAL,Point,155,89,+20.5,+36,82,+10.0,79,+3.8%,98,-4.3%,69,+2.6%,20,-5.7,83,-10.5,86,-4.2%,80,+2.5%,28,+3.0%,28,+3.5
Jimmy Butler,30.1,MIA,Wing,806,59,+1.7,+4,74,+7.0,64,+1.6%,49,-0.1%,68,+2.5%,84,+7.5,30,+5.2,27,+3.2%,53,+0.4%,26,+3.0%,80,-6.3
Kentavious Caldwell-Pope,26.7,LAL,Wing,608,35,-4.7,-9,57,+1.8,30,-2.8%,86,-2.5%,77,+4.8%,27,-3.9,27,+6.5,35,+2.4%,8,-3.4%,78,-3.1%,44,+1.1
Jordan Clarkson,27.4,UTA,Wing,197,11,-13.1,-27,18,-7.7,12,-5.1%,31,+1.3%,66,+2.3%,53,+0.7,29,+5.4,34,+2.5%,17,-2.5%,84,-4.3%,30,+3.0
Mike Conley,32.1,UTA,Point,162,14,-11.6,-25,13,-10.0,23,-3.5%,85,-2.4%,1,-13.8%,78,+5.6,40,+1.6,26,+3.2%,88,+4.2%,35,+2.2%,40,+1.5
Pat Connaughton,26.8,MIL,Wing,170,12,-12.8,-32,45,-1.1,88,+5.5%,20,+2.1%,15,-5.5%,38,-1.5,13,+11.7,50,+0.5%,20,-2.3%,40,+1.6%,26,+3.7
Robert Covington,28.9,HOU,Big,371,24,-9.0,-23,7,-12.4,8,-6.0%,41,+0.4%,26,-3.4%,33,-1.7,66,-3.4,65,-2.2%,68,+1.6%,29,+2.9%,42,+1.4
Jae Crowder,29.3,MIA,Big,659,19,-10.5,-25,25,-6.0,34,-2.0%,51,-0.2%,24,-4.0%,32,-1.9,33,+4.5,28,+3.0%,51,+0.2%,72,-1.8%,48,+0.7
Seth Curry,29.2,DAL,Combo,172,97,+32.9,+49,100,+34.5,98,+11.2%,78,-1.8%,91,+8.1%,98,+15.3,39,+1.7,23,+3.7%,78,+2.3%,38,+1.8%,49,+0.4
Anthony Davis,26.6,LAL,Big,768,86,+16.4,+36,78,+7.8,29,-3.0%,65,-1.0%,93,+9.0%,43,-0.5,79,-8.6,68,-2.4%,48,+0.1%,95,-8.6%,75,-5.7
Goran Dragic,33.5,MIA,Point,552,76,+10.6,+26,56,+1.5,62,+1.2%,40,+0.4%,79,+5.5%,26,-4.0,80,-9.1,82,-3.8%,33,-0.8%,82,-3.9%,45,+1.0
Joel Embiid,25.6,PHI,Big,144,5,-23.8,-49,6,-13.3,25,-3.4%,0,+9.7%,48,-0.5%,75,+5.1,17,+10.5,0,+17.1%,18,-2.4%,57,-0.2%,99,-19.7
James Ennis,29.3,ORL,Forward,119,8,-16.2,-28,24,-6.0,38,-1.4%,93,-3.1%,48,-0.5%,6,-10.4,18,+10.2,43,+1.8%,14,-2.6%,15,+4.6%,24,+3.8
Dorian Finney-Smith,26.5,DAL,Forward,190,38,-4.2,-10,2,-17.6,6,-6.7%,16,+2.5%,76,+4.5%,3,-11.8,91,-13.5,95,-7.9%,58,+1.1%,69,-1.7%,68,-3.8
Evan Fournier,27.0,ORL,Wing,170,9,-14.0,-28,64,+3.5,86,+4.8%,81,-2.0%,57,+1.0%,2,-15.2,3,+17.5,2,+11.6%,56,+0.6%,6,+7.4%,76,-5.8
Danilo Gallinari,31.2,OKC,Big,211,23,-9.4,-23,66,+3.8,68,+1.7%,3,+5.3%,63,+1.6%,89,+9.2,8,+13.2,3,+11.4%,89,+4.2%,48,+0.9%,14,+5.9
Marc Gasol,34.8,TOR,Big,226,29,-6.6,-17,27,-5.7,18,-4.0%,60,-0.8%,14,-5.5%,24,-4.2,43,+0.8,31,+2.8%,55,+0.5%,61,-0.7%,68,-4.6
Paul George,29.5,LAC,Wing,475,33,-5.4,-11,13,-10.1,15,-4.5%,29,+1.6%,78,+5.1%,16,-7.2,72,-4.7,58,-0.8%,72,+1.9%,85,-4.5%,67,-3.3
Rudy Gobert,27.3,UTA,Big,270,73,+8.1,+19,98,+23.7,99,+11.6%,82,-2.1%,38,-2.1%,46,-0.3,7,+15.6,3,+9.7%,11,-3.0%,45,+1.1%,84,-7.3
Eric Gordon,30.9,HOU,Wing,409,6,-19.8,-43,0,-20.5,8,-5.9%,14,+2.6%,45,-0.6%,19,-6.3,51,-0.7,38,+2.2%,76,+2.1%,58,-0.2%,38,+1.8
Jerami Grant,25.6,DEN,Big,652,28,-7.4,-18,33,-4.8,57,+0.5%,36,+0.7%,5,-9.0%,34,-1.7,38,+2.7,55,-0.4%,47,+0.0%,3,+8.6%,65,-3.1
Danny Green,32.4,LAL,Wing,521,85,+14.9,+28,79,+8.5,73,+2.6%,48,-0.1%,86,+6.9%,15,-7.3,74,-6.4,66,-2.2%,43,-0.3%,65,-1.1%,93,-10.8
JaMychal Green,29.4,LAC,Big,208,13,-12.6,-30,32,-4.8,39,-1.4%,38,+0.6%,33,-2.3%,55,+0.9,20,+7.8,39,+1.9%,25,-1.7%,25,+3.2%,38,+1.8
Jeff Green,33.2,HOU,Forward,336,31,-6.1,-16,75,+7.1,77,+3.3%,68,-1.1%,42,-1.2%,68,+3.3,8,+13.2,16,+4.7%,3,-4.7%,91,-6.7%,25,+3.7
Tim Hardaway Jr.,27.6,DAL,Wing,203,1,-33.4,-62,3,-17.2,2,-8.9%,63,-1.0%,0,-14.0%,1,-16.8,6,+16.2,9,+6.7%,7,-3.8%,50,+0.6%,55,-1.1
James Harden,30.2,HOU,Point,445,88,+18.5,+39,58,+2.0,35,-2.0%,18,+2.2%,83,+6.2%,76,+5.3,95,-16.5,89,-6.5%,87,+4.1%,16,+4.2%,60,-1.9
Montrezl Harrell,25.8,LAC,Big,231,0,-37.0,-67,3,-17.4,14,-4.6%,12,+3.0%,10,-6.2%,48,-0.1,2,+19.5,15,+4.9%,27,-1.6%,7,+7.3%,21,+4.5
Gary Harris,25.1,DEN,Wing,379,63,+4.8,+11,17,-8.4,43,-0.9%,13,+2.9%,28,-3.3%,67,+3.1,90,-13.3,90,-6.5%,67,+1.6%,33,+2.5%,77,-5.9
Tobias Harris,27.3,PHI,Forward,148,72,+7.5,+13,98,+25.3,93,+7.7%,48,-0.0%,85,+6.9%,98,+17.2,3,+17.8,23,+3.5%,3,-5.1%,93,-8.3%,4,+11.7
Gordon Hayward,29.6,BOS,Forward,157,45,-1.9,-6,83,+10.8,43,-0.6%,88,-2.8%,95,+9.7%,41,-1.1,10,+12.7,4,+9.1%,73,+2.0%,42,+1.3%,16,+5.3
George Hill,33.5,MIL,Combo,268,33,-5.7,-15,42,-2.8,33,-2.5%,11,+3.0%,20,-4.5%,82,+6.5,37,+2.9,54,-0.3%,83,+3.0%,30,+2.8%,8,+8.1
Justin Holiday,30.6,IND,Wing,131,96,+31.6,+38,55,+1.3,70,+2.2%,57,-0.7%,40,-1.8%,52,+0.6,100,-30.3,97,-8.4%,93,+5.1%,96,-9.4%,85,-7.4
Al Horford,33.4,PHI,Big,128,10,-13.1,-23,63,+3.1,83,+4.3%,100,-5.3%,3,-12.6%,9,-9.1,5,+16.2,14,+5.1%,64,+1.4%,39,+1.6%,2,+17.6
Danuel House,26.4,HOU,Forward,276,61,+3.0,+8,76,+7.2,72,+2.5%,42,+0.3%,67,+2.4%,28,-3.6,34,+4.1,52,-0.1%,46,-0.1%,51,+0.6%,48,+0.6
Dwight Howard,33.9,LAL,Big,253,20,-10.3,-22,36,-4.3,51,-0.2%,72,-1.3%,62,+1.6%,23,-4.3,28,+6.1,33,+2.7%,21,-2.3%,74,-2.2%,43,+1.2
Serge Ibaka,30.1,TOR,Big,251,63,+4.5,+12,61,+2.6,73,+2.6%,25,+1.8%,89,+7.5%,63,+2.4,59,-2.0,84,-4.0%,31,-0.9%,53,+0.2%,46,+1.0
Andre Iguodala,35.8,MIA,Forward,409,43,-2.8,-7,39,-3.7,24,-3.4%,62,-0.9%,47,-0.5%,62,+2.2,52,-0.9,78,-3.2%,43,-0.2%,43,+1.2%,28,+3.5
Joe Ingles,32.1,UTA,Forward,234,80,+12.3,+28,21,-6.8,26,-3.2%,80,-2.0%,61,+1.5%,7,-9.8,98,-19.1,93,-7.4%,83,+3.0%,34,+2.2%,36,+1.9
Reggie Jackson,29.5,LAC,Combo,162,52,+0.0,-1,85,+11.4,93,+6.9%,89,-2.9%,9,-7.0%,88,+8.2,14,+11.4,29,+2.8%,2,-5.6%,23,+3.4%,66,-3.2
LeBron James,34.8,LAL,Forward,759,79,+11.8,+26,53,+1.0,76,+3.2%,13,+2.7%,49,-0.2%,65,+2.5,84,-10.8,73,-2.8%,61,+1.2%,49,+0.9%,88,-8.5
Nikola Jokic,24.7,DEN,Big,694,69,+6.3,+15,88,+13.3,95,+8.9%,24,+1.9%,11,-6.0%,56,+1.1,23,+7.0,12,+5.7%,38,-0.7%,41,+1.4%,92,-10.2
Kyle Korver,38.6,MIL,Wing,115,66,+5.4,+14,52,+0.9,87,+5.3%,7,+3.8%,17,-5.1%,78,+5.8,70,-4.6,71,-2.7%,63,+1.3%,37,+2.1%,6,+9.3
Caris LeVert,25.2,BKN,Combo,139,87,+18.5,+9,60,+2.3,67,+1.7%,1,+7.7%,100,+17.1%,57,+1.1,94,-16.2,33,+2.7%,97,+5.6%,90,-5.6%,18,+4.9
Kawhi Leonard,28.3,LAC,Forward,510,22,-9.6,-20,31,-5.0,7,-6.5%,73,-1.7%,90,+7.6%,12,-7.7,32,+4.6,30,+2.8%,63,+1.3%,79,-3.3%,64,-2.8
Damian Lillard,29.3,POR,Point,187,78,+11.3,+15,49,-0.3,44,-0.6%,30,+1.4%,19,-4.6%,61,+1.9,86,-11.6,98,-8.6%,39,-0.6%,19,+3.6%,88,-8.0
Brook Lopez,31.6,MIL,Big,327,55,+0.6,+2,43,-2.2,9,-5.9%,44,+0.1%,92,+8.3%,13,-7.6,62,-2.7,28,+2.9%,54,+0.5%,14,+5.0%,93,-11.4
Kyle Lowry,33.6,TOR,Point,413,78,+11.2,+29,77,+7.2,66,+1.6%,83,-2.1%,39,-1.9%,68,+3.2,68,-3.9,17,+4.4%,99,+6.6%,36,+2.1%,87,-7.6
Timothe Luwawu-Cabarrot,24.5,BKN,Wing,131,100,+46.6,+24,99,+27.9,74,+3.0%,99,-5.2%,99,+16.2%,79,+6.0,97,-18.6,98,-9.9%,95,+5.4%,4,+7.8%,3,+12.4
