Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Tobias Harris,23.3,ORL,Forward,1604,69,+2.5,+7,67,+1.6,59,+0.2%,51,-0.0%,55,+0.4%,51,+0.1,58,-0.9,43,+0.5%,33,-0.6%,94,-3.6%,26,+2.2
Tobias Harris,23.3,DET,Big,900,81,+4.5,+12,61,+0.7,62,+0.5%,10,+1.9%,44,-0.3%,95,+5.8,85,-3.8,90,-2.7%,76,+0.9%,15,+2.1%,44,+0.7
Udonis Haslem,35.4,MIA,Big,191,13,-9.0,-23,19,-4.6,68,+1.0%,44,+0.2%,0,-8.7%,7,-5.3,16,+4.4,1,+6.5%,95,+2.5%,83,-2.1%,48,+0.3
Spencer Hawes,27.5,CHA,Big,1001,40,-1.9,-5,14,-5.5,24,-1.9%,7,+2.2%,42,-0.5%,45,-0.4,83,-3.6,83,-2.0%,55,+0.2%,69,-0.8%,64,-0.8
Gordon Hayward,25.6,UTA,Wing,2882,38,-2.2,-6,70,+1.9,40,-0.9%,89,-1.6%,41,-0.5%,98,+7.3,19,+4.1,16,+2.2%,37,-0.4%,74,-1.4%,25,+2.4
Gerald Henderson,27.9,POR,Wing,1390,58,+1.0,+3,48,-0.7,37,-1.0%,41,+0.3%,54,+0.4%,89,+4.3,65,-1.7,72,-1.2%,38,-0.4%,57,-0.2%,45,+0.6
John Henson,24.8,MIL,Big,931,27,-4.4,-11,8,-7.2,22,-2.0%,8,+2.0%,70,+1.4%,18,-3.4,77,-2.8,95,-3.8%,9,-2.0%,33,+1.0%,52,+0.1
Mario Hezonja,20.7,ORL,Wing,1324,72,+3.0,+8,60,+0.6,66,+0.8%,78,-1.1%,12,-3.3%,38,-1.0,72,-2.3,55,-0.2%,49,-0.0%,85,-2.1%,59,-0.4
Roy Hibbert,28.9,LAL,Big,1873,4,-13.8,-23,5,-9.5,11,-3.2%,42,+0.3%,9,-4.0%,8,-5.1,17,+4.4,36,+0.8%,11,-1.7%,15,+2.1%,83,-2.4
JJ Hickson,27.2,DEN,Big,301,41,-1.7,-5,16,-5.0,71,+1.1%,8,+2.0%,11,-3.5%,18,-3.4,80,-3.3,91,-2.8%,40,-0.3%,22,+1.6%,85,-2.6
