Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Kyle Anderson,27.1,MEM,Forward,213,71,+11.0,+22,38,-3.0,58,+0.8%,12,+3.0%,70,+2.9%,77,+3.5,94,-14.0,85,-4.9%,78,+1.7%,61,-1.1%,59,-0.3
Giannis Antetokounmpo,25.9,MIL,Big,792,65,+5.7,+14,28,-5.3,29,-2.7%,58,-0.6%,30,-2.3%,64,+1.6,88,-11.0,62,-1.8%,53,+0.3%,94,-8.5%,80,-4.9
Carmelo Anthony,36.4,POR,Forward,143,4,-29.0,-55,17,-10.0,11,-7.1%,18,+1.9%,73,+3.2%,50,-0.9,5,+19.0,21,+3.3%,0,-7.3%,58,-0.8%,1,+14.6
Nicolas Batum,31.9,LAC,Wing,554,89,+21.2,+45,87,+18.2,91,+11.4%,25,+1.4%,56,+0.9%,86,+5.7,62,-3.0,73,-3.0%,62,+0.5%,12,+5.6%,58,-0.2
Bradley Beal,27.3,WAS,Wing,258,14,-16.2,-38,70,+6.9,85,+6.9%,0,+7.5%,94,+9.5%,58,+0.3,2,+23.0,1,+11.4%,6,-4.6%,18,+4.1%,91,-9.3
Davis Bertans,28.0,WAS,Forward,150,22,-11.0,-21,51,+0.2,24,-3.0%,88,-2.8%,52,+0.1%,10,-6.4,13,+11.2,14,+5.0%,61,+0.5%,21,+3.9%,81,-5.6
Patrick Beverley,32.3,LAC,Combo,314,23,-9.9,-22,15,-11.1,10,-7.3%,78,-1.9%,53,+0.5%,44,-1.2,52,-1.3,19,+4.1%,90,+3.0%,90,-7.1%,55,+0.0
Bojan Bogdanovic,31.5,UTA,Forward,389,67,+6.8,+16,82,+13.0,86,+7.2%,45,+0.2%,58,+1.2%,81,+4.2,21,+6.2,6,+7.7%,81,+2.1%,39,+1.8%,86,-6.8
Devin Booker,24.0,PHX,Wing,887,82,+16.4,+38,72,+7.4,75,+4.2%,53,-0.1%,42,-0.6%,20,-4.4,82,-9.0,82,-4.4%,45,-0.2%,89,-6.5%,74,-4.0
Reggie Bullock,29.6,NYK,Wing,162,32,-4.8,-11,24,-7.8,57,+0.8%,38,+0.6%,10,-6.3%,9,-6.5,62,-2.9,94,-7.4%,33,-0.9%,0,+17.3%,78,-4.4
