Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Steven Adams,22.3,OKC,Big,546,47,+0.4,30,+4.1,72,-3.8%,53,+0.2%,61,-2.3,79,-2.9,43,+3.5
LaMarcus Aldridge,30.3,SAS,Big,336,42,+1.4,56,-1.4,91,-7.5%,5,-4.9%,59,-1.7,42,+0.9,68,-13.7
Al-Farouq Aminu,25.1,POR,Forward,370,72,-7.0,53,-0.6,59,-2.0%,24,-2.1%,93,-8.3,81,-3.1,82,-26.6
Kyle Anderson,22.1,SAS,Forward,100,36,+3.3,47,+0.8,6,+7.5%,62,+0.8%,14,+6.0,19,+3.0,31,+13.0
Trevor Ariza,30.3,HOU,Forward,180,17,+8.4,23,+5.4,26,+3.6%,0,-7.5%,0,+15.1,1,+10.2,39,+6.7
Leandro Barbosa,32.9,GSW,Wing,212,49,-0.1,36,+2.6,75,-4.0%,85,+2.5%,87,-5.4,74,-2.3,73,-19.2
J.J. Barea,31.3,DAL,Point,100,12,+9.6,3,+21.0,60,-2.1%,92,+3.8%,67,-3.4,41,+1.0,77,-22.7
Harrison Barnes,23.4,GSW,Forward,720,48,+0.2,58,-2.5,8,+6.6%,73,+1.6%,17,+5.5,11,+4.4,40,+6.3
Matt Barnes,35.6,MEM,Forward,138,21,+6.9,11,+14.3,53,-1.3%,47,-0.1%,91,-7.4,8,+5.1,100,-125.0
Nicolas Batum,26.9,CHA,Wing,143,0,+27.9,0,+25.2,78,-4.4%,42,-0.4%,7,+7.7,40,+1.0,7,+42.5
Kent Bazemore,26.3,ATL,Wing,324,5,+16.6,8,+15.9,22,+4.2%,57,+0.5%,20,+5.3,46,+0.5,23,+24.0
Patrick Beverley,27.3,HOU,Point,128,77,-8.0,88,-11.3,21,+4.2%,58,+0.6%,3,+10.2,3,+7.0,45,+2.5
Bismack Biyombo,23.2,TOR,Big,504,47,+0.3,58,-2.0,30,+3.1%,60,+0.7%,24,+4.8,36,+1.4,19,+26.2
Andrew Bogut,30.9,GSW,Big,364,83,-9.4,92,-14.0,33,+2.5%,51,+0.1%,55,-1.0,47,+0.5,62,-9.2
Kentavious Caldwell-Pope,22.7,DET,Wing,160,80,-8.6,85,-10.4,44,+0.7%,100,+9.2%,77,-4.0,100,-13.9,2,+56.4
DeMarre Carroll,29.3,TOR,Forward,595,53,-0.9,75,-5.4,55,-1.5%,68,+1.1%,72,-3.7,75,-2.3,60,-8.1
Ian Clark,24.7,GSW,Combo,109,67,-5.5,43,+1.2,71,-3.7%,59,+0.7%,36,+2.0,81,-3.1,12,+35.1
Allen Crabbe,23.6,POR,Wing,298,15,+8.8,57,-1.5,14,+5.2%,35,-0.7%,5,+8.4,14,+3.6,16,+27.3
Jamal Crawford,35.6,LAC,Wing,197,19,+7.5,50,+0.2,61,-2.3%,89,+3.3%,19,+5.4,26,+2.1,28,+16.4
Jae Crowder,25.3,BOS,Forward,195,97,-18.1,95,-15.0,97,-10.8%,8,-3.9%,86,-5.3,82,-3.1,64,-10.0
Stephen Curry,27.6,GSW,Point,612,34,+4.0,48,+0.6,52,-1.1%,38,-0.6%,43,+0.9,67,-1.6,30,+15.1
Ed Davis,26.4,POR,Big,204,51,-0.4,67,-3.8,43,+0.8%,97,+4.7%,27,+3.3,64,-1.5,14,+34.1
DeMar DeRozan,26.2,TOR,Wing,745,31,+4.3,42,+1.5,56,-1.5%,13,-3.3%,49,+0.3,27,+2.1,74,-20.0
Matthew Dellavedova,25.1,CLE,Point,218,57,-1.9,64,-2.9,69,-3.3%,36,-0.6%,86,-5.2,73,-2.3,81,-26.0
Luol Deng,30.5,MIA,Forward,492,64,-4.5,81,-7.5,31,+3.0%,31,-1.2%,35,+2.1,25,+2.3,50,-1.2
Boris Diaw,33.5,SAS,Big,138,73,-7.5,78,-6.2,53,-1.3%,86,+2.7%,92,-7.4,96,-6.7,53,-2.7
Goran Dragic,29.5,MIA,Point,470,88,-11.0,90,-12.0,75,-4.0%,58,+0.6%,88,-5.5,80,-3.0,75,-21.7
Andre Drummond,22.2,DET,Big,131,95,-17.8,66,-3.5,100,-18.1%,87,+3.0%,46,+0.7,94,-5.8,3,+52.3
Tim Duncan,39.5,SAS,Big,216,84,-9.9,62,-2.7,97,-10.0%,39,-0.6%,85,-5.2,88,-3.8,63,-9.4
Kevin Durant,27.1,OKC,Forward,723,61,-3.5,74,-5.3,86,-6.1%,31,-1.2%,70,-3.6,47,+0.5,86,-30.5
Monta Ellis,30.0,IND,Combo,225,20,+7.2,14,+9.7,49,-0.7%,56,+0.4%,83,-5.1,42,+0.8,86,-31.4
Festus Ezeli,26.0,GSW,Big,187,14,+9.0,9,+15.2,92,-7.6%,61,+0.7%,75,-3.8,76,-2.5,59,-8.0
Jordan Farmar,28.9,MEM,Point,100,82,-9.2,47,+0.7,98,-12.5%,19,-2.7%,76,-3.9,10,+4.5,97,-66.7
Raymond Felton,31.3,DAL,Combo,160,100,-21.8,100,-39.7,17,+4.8%,4,-5.0%,13,+6.4,15,+3.6,38,+6.9
Randy Foye,32.1,OKC,Combo,148,22,+6.6,31,+3.8,32,+2.8%,49,+0.1%,8,+7.4,17,+3.4,18,+26.9
Channing Frye,32.5,CLE,Big,227,89,-11.2,82,-8.2,85,-5.8%,75,+1.7%,78,-4.0,89,-4.0,47,+1.3
Paul George,25.5,IND,Forward,274,86,-10.3,83,-8.3,15,+5.2%,76,+1.8%,97,-10.5,93,-5.3,81,-24.3
Manu Ginobili,38.3,SAS,Wing,190,70,-6.1,76,-5.8,46,-0.2%,72,+1.6%,33,+2.5,35,+1.6,36,+7.9
Danny Green,28.4,SAS,Wing,263,44,+1.3,37,+2.0,81,-5.1%,19,-3.0%,37,+1.6,36,+1.3,49,-1.2
Draymond Green,25.7,GSW,Big,876,74,-7.7,89,-11.9,58,-1.6%,14,-3.2%,52,-0.5,50,+0.4,56,-6.0
Jeff Green,29.2,LAC,Forward,154,19,+7.8,29,+4.3,89,-6.8%,93,+4.1%,19,+5.4,71,-2.0,14,+31.6
Blake Griffin,26.6,LAC,Big,126,64,-4.0,75,-5.4,2,+11.2%,12,-3.4%,26,+3.4,6,+5.6,53,-3.6
James Harden,26.2,HOU,Combo,192,10,+10.7,4,+18.8,40,+1.3%,3,-5.3%,62,-2.4,21,+2.8,92,-49.6
Maurice Harkless,22.5,POR,Forward,270,69,-5.7,71,-4.5,90,-7.0%,55,+0.3%,69,-3.6,68,-1.7,66,-12.0
Devin Harris,32.7,DAL,Wing,117,26,+5.4,54,-0.7,3,+10.1%,29,-1.5%,1,+12.6,0,+13.9,78,-23.0
Tobias Harris,23.3,DET,Big,156,86,-10.6,98,-20.3,0,+17.8%,45,-0.2%,81,-4.7,12,+4.0,99,-105.9
Gerald Henderson,27.9,POR,Wing,233,41,+2.1,73,-4.8,8,+6.6%,70,+1.3%,16,+5.6,55,-0.1,10,+38.7
George Hill,29.5,IND,Point,234,52,-0.6,65,-3.4,84,-5.7%,83,+2.4%,60,-1.9,87,-3.7,41,+5.5
Solomon Hill,24.6,IND,Forward,195,18,+8.3,14,+10.4,13,+5.6%,95,+4.3%,47,+0.5,85,-3.6,22,+24.1
Al Horford,29.4,ATL,Big,326,42,+1.9,53,-0.7,19,+4.7%,97,+5.4%,42,+1.2,86,-3.6,25,+22.2
Dwight Howard,29.9,HOU,Big,176,3,+19.1,5,+18.3,27,+3.3%,71,+1.4%,2,+11.3,16,+3.4,3,+50.0
