bet_num,date,bet_size,bet_result,profit,bankroll
4,2024-10-24,37.24000000000001,WIN,46.55000000000001,1046.55
6,2024-10-24,10.0,WIN,9.523809523809524,1056.0738095238096
7,2024-10-24,14.362603809523812,LOSS,-14.362603809523812,1041.7112057142858
8,2024-10-24,49.34734797355102,LOSS,-49.34734797355102,992.3638577407348
10,2024-10-24,10.0,WIN,8.695652173913043,1001.0595099146478
13,2024-10-24,50.0529754957324,WIN,80.08476079317184,1081.1442707078197
14,2024-10-24,10.0,WIN,9.09090909090909,1090.2351797987287
16,2024-10-24,10.0,WIN,9.433962264150944,1099.6691420628797
20,2024-10-24,10.0,WIN,9.523809523809524,1109.1929515866893
21,2024-10-24,11.15182593525257,LOSS,-11.15182593525257,1098.0411256514367
22,2024-10-24,10.0,WIN,9.25925925925926,1107.300384910696
24,2024-10-24,22.4677515836408,LOSS,-22.4677515836408,1084.8326333270552
27,2024-10-25,10.0,WIN,9.523809523809524,1094.3564428508648
28,2024-10-25,10.0,WIN,8.928571428571429,1103.2850142794362
29,2024-10-25,55.16425071397181,WIN,89.91772866377404,1193.2027429432103
33,2024-10-25,10.0,WIN,8.849557522123895,1202.0523004653342
35,2024-10-25,10.0,WIN,8.47457627118644,1210.5268767365205
37,2024-10-25,10.0,LOSS,-10.0,1200.5268767365205
38,2024-10-25,12.070097218708971,WIN,11.718540989037837,1212.2454177255584
40,2024-10-25,16.486537681067595,WIN,16.486537681067595,1228.731955406626
41,2024-10-25,10.0,WIN,8.333333333333336,1237.0652887399592
43,2024-10-25,10.0,WIN,8.695652173913043,1245.7609409138722
44,2024-10-25,62.28804704569362,WIN,109.00408232996384,1354.7650232438361
46,2024-10-25,26.05019601837432,LOSS,-26.05019601837432,1328.714827225462
54,2024-10-25,62.943119529709016,WIN,88.12036734159261,1416.8351945670545
55,2024-10-25,10.0,WIN,8.771929824561402,1425.6071243916158
57,2024-10-25,71.2803562195808,LOSS,-71.2803562195808,1354.326768172035
58,2024-10-25,23.081409794652384,LOSS,-23.081409794652384,1331.2453583773824
60,2024-10-25,25.597946462513654,WIN,26.87784378563934,1358.1232021630217
66,2024-10-25,67.90616010815108,LOSS,-67.90616010815108,1290.2170420548705
67,2024-10-25,10.0,LOSS,-10.0,1280.2170420548705
70,2024-10-25,10.0,LOSS,-10.0,1270.2170420548705
72,2024-10-25,63.51085210274353,WIN,101.61736336438965,1371.83440541926
74,2024-10-25,68.59172027096301,LOSS,-68.59172027096301,1303.2426851482971
78,2024-10-25,65.16213425741486,WIN,104.25941481186379,1407.5020999601609
81,2024-10-25,10.0,WIN,9.09090909090909,1416.5930090510699
83,2024-10-25,10.0,LOSS,-10.0,1406.5930090510699
84,2024-10-25,10.0,LOSS,-10.0,1396.5930090510699
87,2024-10-25,10.0,LOSS,-10.0,1386.5930090510699
91,2024-10-25,10.0,LOSS,-10.0,1376.5930090510699
92,2024-10-25,13.84026611299945,WIN,13.437151566018883,1390.0301606170888
94,2024-10-26,18.904410184392408,WIN,18.904410184392408,1408.9345708014812
95,2024-10-26,10.0,WIN,9.25925925925926,1418.1938300607405
100,2024-10-26,70.90969150303702,LOSS,-70.90969150303702,1347.2841385577035
105,2024-10-26,10.0,WIN,9.25925925925926,1356.5433978169629
106,2024-10-26,10.0,WIN,7.692307692307693,1364.2357055092705
107,2024-10-26,68.21178527546353,LOSS,-68.21178527546353,1296.0239202338068
110,2024-10-26,10.0,LOSS,-10.0,1286.0239202338068
112,2024-10-26,64.30119601169035,WIN,93.236734216951,1379.2606544507578
113,2024-10-26,45.92937979321026,LOSS,-45.92937979321026,1333.3312746575475
116,2024-10-26,66.66656373287738,LOSS,-66.66656373287738,1266.66471092467
117,2024-10-26,12.735047003636627,LOSS,-12.735047003636627,1253.9296639210334
123,2024-10-26,17.053443429326055,WIN,17.053443429326055,1270.9831073503594
128,2024-10-26,63.549155367517976,WIN,108.03356412478055,1379.01667147514
129,2024-10-26,10.0,WIN,9.09090909090909,1388.107580566049
131,2024-10-26,15.59677677524012,LOSS,-15.59677677524012,1372.5108037908087
142,2024-10-26,10.0,LOSS,-10.0,1362.5108037908087
143,2024-10-26,53.759566902071114,WIN,68.81224563465103,1431.3230494254597
150,2024-10-27,10.0,WIN,8.403361344537815,1439.7264107699975
155,2024-10-27,68.20189683019017,WIN,95.48265556226623,1535.2090663322638
156,2024-10-27,15.434991952904573,WIN,14.985429080489878,1550.1944954127537
159,2024-10-27,10.088665776146211,LOSS,-10.088665776146211,1540.1058296366075
164,2024-10-27,11.84341382990549,WIN,11.279441742767133,1551.3852713793747
165,2024-10-27,11.930152736907369,WIN,11.362050225626065,1562.7473216050007
171,2024-10-27,78.13736608025005,WIN,125.01978572840008,1687.7671073334009
176,2024-10-27,32.45335037815366,WIN,34.07601789706134,1721.8431252304622
177,2024-10-27,23.417066503134286,LOSS,-23.417066503134286,1698.426058727328
178,2024-10-27,10.0,WIN,8.695652173913043,1707.121710901241
179,2024-10-27,10.0,LOSS,-10.0,1697.121710901241
184,2024-10-27,10.0,WIN,8.47457627118644,1705.5962871724273
185,2024-10-27,85.27981435862137,WIN,132.18371225586313,1837.7799994282905
187,2024-10-27,10.0,LOSS,-10.0,1827.7799994282905
190,2024-10-27,68.06652717870955,LOSS,-68.06652717870955,1759.713472249581
194,2024-10-28,23.932103222594304,WIN,23.932103222594304,1783.6455754721753
195,2024-10-28,10.0,LOSS,-10.0,1773.6455754721753
198,2024-10-28,10.0,WIN,8.333333333333336,1781.9789088055086
