PLAYER_NAME,game_date,player_lower,PRA,predicted_PRA,error,abs_error,line,over_price,under_price,bookmaker,actual_pra,predicted_pra,betting_line,edge,abs_edge,over_implied_prob,under_implied_prob,is_star,bet_side,bet_result,bet_won,bet_pushed,bet_lost
Aaron Gordon,2024-10-29,aaron gordon,31,25.531569,-5.4684315,5.4684315,23.5,-110.0,180.0,"DraftKings, FanDuel, BetOnline.ag",31,25.531569,23.5,2.031569000000001,2.031569000000001,0.5238095238095238,0.35714285714285715,False,NONE,0.0,False,False,False
Aaron Gordon,2024-12-08,aaron gordon,14,25.278536,11.278536,11.278536,26.5,155.0,-108.0,"BetOnline.ag, DraftKings, BetMGM",14,25.278536,26.5,-1.221464000000001,1.221464000000001,0.39215686274509803,0.5192307692307693,False,NONE,0.0,False,False,False
Aaron Gordon,2025-01-12,aaron gordon,21,17.533848,-3.4661522,3.4661522,15.5,100.0,-105.0,"FanDuel, DraftKings, Caesars",21,17.533848,15.5,2.033847999999999,2.033847999999999,0.5,0.5121951219512195,False,NONE,0.0,False,False,False
Aaron Gordon,2025-01-19,aaron gordon,13,18.815561,5.8155613,5.8155613,16.5,-105.0,-114.0,"DraftKings, Caesars, BetOnline.ag",13,18.815561,16.5,2.315560999999999,2.315560999999999,0.5121951219512195,0.5327102803738317,False,NONE,0.0,False,False,False
Aaron Gordon,2025-01-25,aaron gordon,18,17.491182,-0.5088177,0.5088177,15.5,-112.0,115.0,"BetOnline.ag, BetMGM, Bovada",18,17.491182,15.5,1.9911819999999985,1.9911819999999985,0.5283018867924528,0.46511627906976744,False,NONE,0.0,False,False,False
Aaron Gordon,2025-03-09,aaron gordon,7,24.194666,17.194666,17.194666,23.5,-104.0,-105.0,"FanDuel, Fanatics, DraftKings",7,24.194666,23.5,0.6946660000000016,0.6946660000000016,0.5098039215686274,0.5121951219512195,False,NONE,0.0,False,False,False
Aaron Gordon,2025-03-23,aaron gordon,25,24.055336,-0.944664,0.944664,26.5,-106.0,-110.0,"DraftKings, Fanatics, FanDuel",25,24.055336,26.5,-2.4446639999999995,2.4446639999999995,0.5145631067961165,0.5238095238095238,False,NONE,0.0,False,False,False
Aaron Gordon,2025-04-13,aaron gordon,28,29.646475,1.6464748,1.6464748,23.5,-109.0,-103.0,"DraftKings, BetOnline.ag, Caesars",28,29.646475,23.5,6.146474999999999,6.146474999999999,0.5215311004784688,0.5073891625615764,False,OVER,91.74311926605505,True,False,False
Aaron Holiday,2025-02-09,aaron holiday,13,9.067308,-3.9326916,3.9326916,10.5,-105.0,-103.0,"Caesars, BetMGM",13,9.067308,10.5,-1.4326919999999994,1.4326919999999994,0.5121951219512195,0.5073891625615764,False,NONE,0.0,False,False,False
Aaron Holiday,2025-03-19,aaron holiday,0,10.122747,10.122747,10.122747,6.5,-130.0,-105.0,BetMGM,0,10.122747,6.5,3.6227470000000004,3.6227470000000004,0.5652173913043478,0.5121951219512195,False,NONE,0.0,False,False,False
Aaron Nesmith,2024-10-25,aaron nesmith,6,15.989411,9.989411,9.989411,13.5,-106.0,-110.0,"DraftKings, Bovada, FanDuel",6,15.989411,13.5,2.4894110000000005,2.4894110000000005,0.5145631067961165,0.5238095238095238,False,NONE,0.0,False,False,False
Aaron Nesmith,2024-10-27,aaron nesmith,18,15.955835,-2.0441647,2.0441647,12.5,-120.0,105.0,"BetOnline.ag, BetMGM",18,15.955835,12.5,3.4558350000000004,3.4558350000000004,0.5454545454545454,0.4878048780487805,False,NONE,0.0,False,False,False
Aaron Nesmith,2024-10-28,aaron nesmith,15,19.761517,4.7615166,4.7615166,11.5,100.0,100.0,"BetOnline.ag, BetMGM",15,19.761517,11.5,8.261517000000001,8.261517000000001,0.5,0.5,False,NONE,0.0,False,False,False
Aaron Nesmith,2024-10-30,aaron nesmith,23,18.084856,-4.915144,4.915144,15.5,-105.0,-122.0,"Caesars, BetOnline.ag, BetMGM",23,18.084856,15.5,2.5848559999999985,2.5848559999999985,0.5121951219512195,0.5495495495495496,False,NONE,0.0,False,False,False
Aaron Nesmith,2025-01-25,aaron nesmith,16,13.966781,-2.0332193,2.0332193,11.5,-110.0,-110.0,"DraftKings, Caesars, BetMGM",16,13.966781,11.5,2.4667809999999992,2.4667809999999992,0.5238095238095238,0.5238095238095238,False,NONE,0.0,False,False,False
Aaron Nesmith,2025-02-01,aaron nesmith,16,14.374747,-1.6252527,1.6252527,13.5,-110.0,-110.0,"BetOnline.ag, DraftKings, BetMGM",16,14.374747,13.5,0.8747469999999993,0.8747469999999993,0.5238095238095238,0.5238095238095238,False,NONE,0.0,False,False,False
Aaron Nesmith,2025-02-08,aaron nesmith,13,14.16286,1.1628599,1.1628599,12.5,-115.0,-102.0,"Caesars, BetOnline.ag, BetMGM",13,14.16286,12.5,1.6628600000000002,1.6628600000000002,0.5348837209302325,0.504950495049505,False,NONE,0.0,False,False,False
Aaron Nesmith,2025-02-23,aaron nesmith,26,13.810251,-12.189749,12.189749,12.5,-105.0,-110.0,"Fanatics, Caesars, BetMGM",26,13.810251,12.5,1.3102509999999992,1.3102509999999992,0.5121951219512195,0.5238095238095238,False,NONE,0.0,False,False,False
Aaron Nesmith,2025-03-02,aaron nesmith,33,19.075974,-13.9240265,13.9240265,19.5,114.0,-113.0,"DraftKings, Caesars, BetOnline.ag",33,19.075974,19.5,-0.42402600000000135,0.42402600000000135,0.4672897196261682,0.5305164319248826,False,NONE,0.0,False,False,False
Aaron Nesmith,2025-03-11,aaron nesmith,14,16.978039,2.9780388,2.9780388,17.5,-105.0,100.0,"Fanatics, DraftKings, BetMGM",14,16.978039,17.5,-0.521961000000001,0.521961000000001,0.5121951219512195,0.5,False,NONE,0.0,False,False,False
Aaron Nesmith,2025-03-14,aaron nesmith,21,18.915874,-2.0841255,2.0841255,18.5,-105.0,-114.0,"DraftKings, BetOnline.ag, BetMGM",21,18.915874,18.5,0.41587399999999874,0.41587399999999874,0.5121951219512195,0.5327102803738317,False,NONE,0.0,False,False,False
Aaron Nesmith,2025-03-19,aaron nesmith,25,20.165009,-4.8349915,4.8349915,19.5,100.0,-106.0,"Fanatics, DraftKings, BetMGM",25,20.165009,19.5,0.6650090000000013,0.6650090000000013,0.5,0.5145631067961165,False,NONE,0.0,False,False,False
Aaron Nesmith,2025-03-20,aaron nesmith,20,20.945961,0.945961,0.945961,19.5,105.0,-109.0,"DraftKings, BetOnline.ag, BetMGM",20,20.945961,19.5,1.4459610000000005,1.4459610000000005,0.4878048780487805,0.5215311004784688,False,NONE,0.0,False,False,False
Aaron Nesmith,2025-03-22,aaron nesmith,10,21.000904,11.000904,11.000904,17.5,-110.0,100.0,"Fanatics, BetOnline.ag, BetMGM",10,21.000904,17.5,3.5009039999999985,3.5009039999999985,0.5238095238095238,0.5,False,NONE,0.0,False,False,False
Aaron Nesmith,2025-03-24,aaron nesmith,25,18.463171,-6.536829,6.536829,16.5,-115.0,-105.0,"BetOnline.ag, Fanatics, BetMGM",25,18.463171,16.5,1.9631709999999991,1.9631709999999991,0.5348837209302325,0.5121951219512195,False,NONE,0.0,False,False,False
