scenario,win_rate,prob_profitable,mean_profit,median_profit,mean_roi,std_profit,p5,p95
Historical (Observed),0.7272727272727273,0.9784,939.244,940.0,0.42692909090909087,441.05934800659196,100.0,1570.0
Optimistic,0.65,0.8957,586.066,519.9999999999999,0.26639363636363633,470.35438091294526,-110.0,1360.0
Realistic,0.6,0.776,354.037,309.9999999999999,0.16092590909090904,481.4785692333565,-530.0000000000002,1150.0
Conservative,0.55,0.596,111.78099999999995,100.0,0.05080954545454542,490.6794045392572,-740.0000000000002,940.0
Breakeven,0.5238,0.5017,2.4549999999999303,100.0,0.0011159090909090542,492.8221616110623,-740.0000000000002,729.9999999999999
