PLAYER_NAME,game_date,player_lower,TEAM_ABBREVIATION,OPPONENT,PRA,predicted_PRA,error,abs_error,line,over_price,under_price,bookmaker,actual_pra,predicted_pra,betting_line,edge,abs_edge,over_implied_prob,under_implied_prob,bet_side,bet_result,bet_won,bet_pushed,bet_lost
Aaron Nesmith,2023-10-30,aaron nesmith,IND,CHI,12,19.380692,7.380691528320312,7.380691528320312,13.5,-106.0,-120.0,"BetOnline.ag, Caesars, BetMGM",12,19.380692,13.5,5.880692,5.880692,0.5145631067961165,0.5454545454545454,OVER,-100.0,False,False,True
Aaron Nesmith,2023-11-01,aaron nesmith,IND,BOS,11,11.155285,0.1552848815917968,0.1552848815917968,14.5,-116.0,104.0,"BetOnline.ag, BetMGM, Caesars",11,11.155285,14.5,-3.3447150000000008,3.3447150000000008,0.5370370370370371,0.49019607843137253,UNDER,104.0,True,False,False
Aaron Nesmith,2023-11-03,aaron nesmith,IND,CLE,18,18.450417,0.4504165649414062,0.4504165649414062,12.5,-110.0,108.0,"BetMGM, BetOnline.ag, Caesars",18,18.450417,12.5,5.950417000000002,5.950417000000002,0.5238095238095238,0.4807692307692308,OVER,90.9090909090909,True,False,False
Aaron Nesmith,2023-11-04,aaron nesmith,IND,CHA,7,16.06607,9.066070556640623,9.066070556640623,14.5,-125.0,-105.0,"BetMGM, Caesars",7,16.06607,14.5,1.5660699999999999,1.5660699999999999,0.5555555555555556,0.5121951219512195,NONE,0.0,False,False,False
Aaron Nesmith,2023-11-12,aaron nesmith,IND,PHI,15,16.871408,1.871408462524414,1.871408462524414,12.5,-108.0,-115.0,"BetOnline.ag, Caesars, BetMGM",15,16.871408,12.5,4.371407999999999,4.371407999999999,0.5192307692307693,0.5348837209302325,OVER,92.5925925925926,True,False,False
Aaron Nesmith,2023-11-19,aaron nesmith,IND,ORL,1,8.7272415,7.727241516113281,7.727241516113281,13.5,-114.0,-114.0,"BetOnline.ag, Caesars, BetMGM",1,8.7272415,13.5,-4.7727585,4.7727585,0.5327102803738317,0.5327102803738317,UNDER,87.71929824561403,True,False,False
Aaron Nesmith,2023-12-07,aaron nesmith,IND,MIL,8,15.81584,7.815839767456055,7.815839767456055,16.5,100.0,-120.0,"DraftKings, Caesars, BetOnline.ag",8,15.81584,16.5,-0.6841600000000003,0.6841600000000003,0.5,0.5454545454545454,NONE,0.0,False,False,False
Aaron Nesmith,2024-01-28,aaron nesmith,IND,MEM,29,25.668428,-3.331571578979492,3.331571578979492,20.5,-113.0,-110.0,"DraftKings, BetOnline.ag, Caesars",29,25.668428,20.5,5.168427999999999,5.168427999999999,0.5305164319248826,0.5238095238095238,OVER,88.49557522123894,True,False,False
Aaron Nesmith,2024-02-04,aaron nesmith,IND,CHA,34,22.682192,-11.317808151245115,11.317808151245115,19.5,105.0,-125.0,"DraftKings, Caesars, BetMGM",34,22.682192,19.5,3.1821920000000006,3.1821920000000006,0.4878048780487805,0.5555555555555556,OVER,105.0,True,False,False
Aaron Nesmith,2024-03-10,aaron nesmith,IND,ORL,22,23.695478,1.695478439331055,1.695478439331055,17.5,115.0,-115.0,"DraftKings, BetOnline.ag, Caesars",22,23.695478,17.5,6.195478000000001,6.195478000000001,0.46511627906976744,0.5348837209302325,OVER,115.0,True,False,False
Aaron Nesmith,2024-03-13,aaron nesmith,IND,CHI,18,15.723449,-2.2765512466430664,2.2765512466430664,20.5,-103.0,-115.0,"DraftKings, PointsBet (US), BetOnline.ag",18,15.723449,20.5,-4.7765509999999995,4.7765509999999995,0.5073891625615764,0.5348837209302325,UNDER,86.95652173913044,True,False,False
Aaron Nesmith,2024-03-16,aaron nesmith,IND,BKN,23,16.347198,-6.652801513671875,6.652801513671875,20.5,120.0,-110.0,"DraftKings, BetOnline.ag, PointsBet (US)",23,16.347198,20.5,-4.152802000000001,4.152802000000001,0.45454545454545453,0.5238095238095238,UNDER,-100.0,False,False,True
Aaron Nesmith,2024-03-18,aaron nesmith,IND,CLE,15,22.65754,7.657539367675781,7.657539367675781,19.5,114.0,-105.0,"DraftKings, PointsBet (US), BetOnline.ag",15,22.65754,19.5,3.157540000000001,3.157540000000001,0.4672897196261682,0.5121951219512195,OVER,-100.0,False,False,True
Aaron Nesmith,2024-03-20,aaron nesmith,IND,DET,15,14.858651,-0.1413488388061523,0.1413488388061523,20.5,110.0,-114.0,"DraftKings, BetOnline.ag, PointsBet (US)",15,14.858651,20.5,-5.641349,5.641349,0.47619047619047616,0.5327102803738317,UNDER,87.71929824561403,True,False,False
Aaron Nesmith,2024-03-29,aaron nesmith,IND,LAL,18,22.614855,4.61485481262207,4.61485481262207,19.5,-110.0,-113.0,"DraftKings, PointsBet (US), Caesars",18,22.614855,19.5,3.1148549999999986,3.1148549999999986,0.5238095238095238,0.5305164319248826,OVER,-100.0,False,False,True
Aaron Nesmith,2024-04-01,aaron nesmith,IND,BKN,15,14.59033,-0.4096698760986328,0.4096698760986328,19.5,104.0,-114.0,"DraftKings, BetOnline.ag, Caesars",15,14.59033,19.5,-4.90967,4.90967,0.49019607843137253,0.5327102803738317,UNDER,87.71929824561403,True,False,False
