PLAYER_NAME,PLAYER_ID,GAME_DATE,actual_pra,predicted_pra,error,residual,player_lower,game_date,line,over_price,under_price,bookmaker,betting_line,edge,abs_edge,bet_side,bet_result,bet_won,bet_pushed,bet_lost,quality_score,score_edge,score_confidence,score_context,score_consistency
Ziaire Williams,1630533,2025-03-18,19,23.047577,4.047576904296875,4.047576904296875,ziaire williams,2025-03-18,16.5,-115.0,-105.0,"DraftKings, Fanatics, BetOnline.ag",16.5,6.547577,6.547577,OVER,86.95652173913044,True,False,False,0.9450000000000001,0.9,1.0,0.9,1.0
Ziaire Williams,1630533,2025-04-10,10,20.06804,10.06804084777832,10.06804084777832,ziaire williams,2025-04-10,14.5,-123.0,-104.0,"BetOnline.ag, BetMGM, Bovada",14.5,5.56804,5.56804,OVER,-100.0,False,False,True,0.825,0.5,1.0,0.9,1.0
Ochai Agbaji,1630534,2025-03-26,22,19.420864,2.57913589477539,-2.57913589477539,ochai agbaji,2025-03-26,12.5,110.0,-113.0,"Fanatics, BetMGM, Bovada",12.5,6.920864000000002,6.920864000000002,OVER,110.0,True,False,False,0.9,1.0,1.0,0.6,1.0
Ochai Agbaji,1630534,2025-04-03,19,20.573341,1.5733413696289062,1.5733413696289062,ochai agbaji,2025-04-03,14.5,100.0,104.0,"DraftKings, Fanatics, BetOnline.ag",14.5,6.073340999999999,6.073340999999999,OVER,100.0,True,False,False,0.885,0.7,1.0,0.9,1.0
Ochai Agbaji,1630534,2025-04-13,17,15.613617,1.386383056640625,-1.386383056640625,ochai agbaji,2025-04-13,22.5,-105.0,-123.0,"BetOnline.ag, Bovada",22.5,-6.886383,6.886383,UNDER,81.30081300813008,True,False,False,0.8300000000000001,1.0,0.8,0.6,0.9
Miles McBride,1630540,2024-10-28,21,19.698128,1.3018722534179688,-1.3018722534179688,miles mcbride,2024-10-28,13.5,-120.0,-115.0,BetMGM,13.5,6.1981280000000005,6.1981280000000005,OVER,83.33333333333334,True,False,False,0.81,0.7,1.0,0.6,1.0
Miles McBride,1630540,2024-10-30,15,19.15768,4.157680511474609,4.157680511474609,miles mcbride,2024-10-30,13.5,-127.0,-105.0,"Caesars, BetMGM",13.5,5.657679999999999,5.657679999999999,OVER,78.74015748031496,True,False,False,0.75,0.5,1.0,0.6,1.0
Miles McBride,1630540,2025-04-11,14,23.100801,9.100801467895508,9.100801467895508,miles mcbride,2025-04-11,17.5,-118.0,-115.0,BetMGM,17.5,5.600801000000001,5.600801000000001,OVER,-100.0,False,False,True,0.825,0.5,1.0,0.9,1.0
Miles McBride,1630540,2025-04-13,29,20.773642,8.226358413696289,-8.226358413696289,miles mcbride,2025-04-13,26.5,140.0,-185.0,Bovada,26.5,-5.726358000000001,5.726358000000001,UNDER,-100.0,False,False,True,0.825,0.5,1.0,0.9,1.0
Jalen Johnson,1630552,2024-12-14,29,26.728678,2.271322250366211,-2.271322250366211,jalen johnson,2024-12-14,33.5,170.0,-103.0,"DraftKings, FanDuel, BetRivers",33.5,-6.771322000000001,6.771322000000001,UNDER,97.0873786407767,True,False,False,0.975,1.0,1.0,0.9,1.0
Keon Johnson,1630553,2025-03-18,17,23.245697,6.245697021484375,6.245697021484375,keon johnson,2025-03-18,17.5,120.0,100.0,"DraftKings, Fanatics, FanDuel",17.5,5.745697,5.745697,OVER,-100.0,False,False,True,0.825,0.5,1.0,0.9,1.0
Keon Johnson,1630553,2025-03-28,16,24.362421,8.362421035766602,8.362421035766602,keon johnson,2025-03-28,17.5,-110.0,-105.0,"BetOnline.ag, Fanatics, DraftKings",17.5,6.862421000000001,6.862421000000001,OVER,-100.0,False,False,True,0.975,1.0,1.0,0.9,1.0
Davion Mitchell,1630558,2024-10-28,24,21.908422,2.0915775299072266,-2.0915775299072266,davion mitchell,2024-10-28,15.5,-105.0,105.0,"DraftKings, FanDuel, BetMGM",15.5,6.408422000000002,6.408422000000002,OVER,95.23809523809523,True,False,False,0.885,0.7,1.0,0.9,1.0
Trendon Watford,1630570,2025-03-18,15,19.881577,4.8815765380859375,4.8815765380859375,trendon watford,2025-03-18,13.5,110.0,-105.0,"DraftKings, Fanatics, BetOnline.ag",13.5,6.381577,6.381577,OVER,110.0,True,False,False,0.81,0.7,1.0,0.6,1.0
Trendon Watford,1630570,2025-03-22,32,25.211811,6.788188934326172,-6.788188934326172,trendon watford,2025-03-22,19.5,-102.0,-109.0,"FanDuel, BetOnline.ag, DraftKings",19.5,5.711811000000001,5.711811000000001,OVER,98.0392156862745,True,False,False,0.825,0.5,1.0,0.9,1.0
Trendon Watford,1630570,2025-03-26,16,15.994454,0.0055456161499023,-0.0055456161499023,trendon watford,2025-03-26,22.5,-105.0,100.0,"DraftKings, Fanatics, FanDuel",22.5,-6.505546000000001,6.505546000000001,UNDER,100.0,True,False,False,0.8,0.9,0.8,0.6,0.9
Sandro Mamukelashvili,1630572,2025-03-23,21,18.165354,2.834646224975586,-2.834646224975586,sandro mamukelashvili,2025-03-23,11.5,-116.0,-109.0,"BetOnline.ag, BetMGM, Bovada",11.5,6.665354000000001,6.665354000000001,OVER,86.20689655172413,True,False,False,0.87,0.9,1.0,0.6,1.0
Sam Hauser,1630573,2024-12-31,15,17.267653,2.2676525115966797,2.2676525115966797,sam hauser,2024-12-31,10.5,-123.0,-103.0,"Caesars, BetOnline.ag, BetMGM",10.5,6.767652999999999,6.767652999999999,OVER,81.30081300813008,True,False,False,0.8300000000000001,1.0,0.8,0.6,0.9
Sam Hauser,1630573,2025-04-06,26,20.09238,5.907619476318359,-5.907619476318359,sam hauser,2025-04-06,14.5,120.0,-113.0,"BetOnline.ag, Fanatics, BetMGM",14.5,5.592379999999999,5.592379999999999,OVER,120.0,True,False,False,0.825,0.5,1.0,0.9,1.0
Julian Champagnie,1630577,2025-01-23,14,18.310013,4.3100128173828125,4.3100128173828125,julian champagnie,2025-01-23,11.5,105.0,-113.0,"DraftKings, BetOnline.ag, BetMGM",11.5,6.810013000000001,6.810013000000001,OVER,105.0,True,False,False,0.9,1.0,1.0,0.6,1.0
Santi Aldama,1630583,2024-12-01,25,23.74003,1.259969711303711,-1.259969711303711,santi aldama,2024-12-01,17.5,-123.0,-105.0,"BetOnline.ag, Caesars, BetMGM",17.5,6.240030000000001,6.240030000000001,OVER,81.30081300813008,True,False,False,0.885,0.7,1.0,0.9,1.0
Jalen Suggs,1630591,2024-10-25,16,26.915432,10.91543197631836,10.91543197631836,jalen suggs,2024-10-25,20.5,-113.0,143.0,"DraftKings, FanDuel, BetRivers",20.5,6.415431999999999,6.415431999999999,OVER,-100.0,False,False,True,0.885,0.7,1.0,0.9,1.0
Jalen Suggs,1630591,2024-11-01,43,31.77226,11.227739334106444,-11.227739334106444,jalen suggs,2024-11-01,25.5,165.0,-110.0,"DraftKings, FanDuel, Caesars",25.5,6.272259999999999,6.272259999999999,OVER,165.0,True,False,False,0.78,0.7,0.8,1.0,0.6
Dalano Banton,1630625,2025-04-06,28,24.074543,3.925457000732422,-3.925457000732422,dalano banton,2025-04-06,30.5,120.0,-102.0,"FanDuel, BetMGM, BetOnline.ag",30.5,-6.4254570000000015,6.4254570000000015,UNDER,98.0392156862745,True,False,False,0.885,0.7,1.0,0.9,1.0
