PLAYER_NAME,game_date,player_lower,PRA,predicted_PRA,error,abs_error,line,over_price,under_price,bookmaker,actual_pra,predicted_pra,betting_line,edge,abs_edge,over_implied_prob,under_implied_prob,bet_side,bet_result,bet_won,bet_pushed,bet_lost,predicted_PRA_calibrated,quality_score
Jakob Poeltl,2024-11-02,jakob poeltl,24,27.25639,3.2563896,3.2563896,29.5,130.0,-105.0,"DraftKings, FanDuel, BetRivers",24,27.25639,29.5,-6.2864077669902905,6.2864077669902905,0.4347826086956521,0.5121951219512195,UNDER,0.0,True,False,False,23.21359223300971,0.7749999999999999
Derrick White,2024-11-02,derrick white,28,24.957031,-3.0429688,3.0429688,28.5,165.0,100.0,"DraftKings, BetOnline.ag, Caesars",28,24.957031,28.5,-6.812138728323699,6.812138728323699,0.3773584905660377,0.5,UNDER,100.0,True,False,False,21.6878612716763,0.865
Devin Vassell,2024-11-09,devin vassell,24,28.721176,4.721176,4.721176,17.5,-115.0,-105.0,"FanDuel, BetOnline.ag, Caesars",24,28.721176,17.5,6.1910112359550595,6.1910112359550595,0.5348837209302325,0.5121951219512195,OVER,86.95652173913044,True,False,False,23.69101123595506,0.7749999999999999
Goga Bitadze,2024-11-10,goga bitadze,25,17.446402,-7.5535984,7.5535984,24.5,148.0,-110.0,"DraftKings, FanDuel, BetOnline.ag",25,17.446402,24.5,-6.99771689497717,6.99771689497717,0.4032258064516129,0.5238095238095238,UNDER,-100.0,False,False,True,17.50228310502283,0.855
Jalen Suggs,2024-11-10,jalen suggs,10,25.433743,15.433743,15.433743,28.5,-105.0,112.0,"DraftKings, FanDuel, BetOnline.ag",10,25.433743,28.5,-6.44736842105263,6.44736842105263,0.5121951219512195,0.4716981132075472,UNDER,112.0,True,False,False,22.05263157894737,0.7749999999999999
Pat Connaughton,2024-11-10,pat connaughton,9,11.410472,2.410472,2.410472,7.5,-135.0,100.0,"Caesars, BetMGM",9,11.410472,7.5,6.650900900900901,6.650900900900901,0.574468085106383,0.5,OVER,74.07407407407408,True,False,False,14.1509009009009,0.75
Jaylen Brown,2024-11-10,jaylen brown,23,31.252943,8.252943,8.252943,32.5,160.0,-110.0,"FanDuel, DraftKings, Caesars",23,31.252943,32.5,-6.692982456140349,6.692982456140349,0.3846153846153846,0.5238095238095238,UNDER,0.0,True,False,False,25.80701754385965,0.795
Bennedict Mathurin,2024-11-17,bennedict mathurin,35,24.086763,-10.913237,10.913237,28.5,-108.0,-120.0,"Caesars, BetMGM, BetOnline.ag",35,24.086763,28.5,-6.812138728323699,6.812138728323699,0.5192307692307693,0.5454545454545454,UNDER,-100.0,False,False,True,21.6878612716763,0.865
Josh Hart,2024-11-23,josh hart,29,25.354729,-3.6452713,3.6452713,28.5,-106.0,170.0,"FanDuel, BetOnline.ag, Caesars",29,25.354729,28.5,-6.44736842105263,6.44736842105263,0.5145631067961165,0.3703703703703703,UNDER,-100.0,False,False,True,22.05263157894737,0.7749999999999999
Jared McCain,2024-11-24,jared mccain,22,28.026825,6.026825,6.026825,30.5,-108.0,160.0,"DraftKings, FanDuel, Caesars",22,28.026825,30.5,-6.8089887640449405,6.8089887640449405,0.5192307692307693,0.3846153846153846,UNDER,0.0,True,False,False,23.69101123595506,0.865
Myles Turner,2024-11-24,myles turner,20,24.573025,4.5730247,4.5730247,28.5,-113.0,-110.0,"BetOnline.ag, Caesars, BetMGM",20,24.573025,28.5,-6.812138728323699,6.812138728323699,0.5305164319248826,0.5238095238095238,UNDER,90.9090909090909,True,False,False,21.6878612716763,0.865
Kobe Bufkin,2024-11-29,kobe bufkin,5,9.408002,4.408002,4.408002,7.5,-118.0,-110.0,"Caesars, BetMGM, BetOnline.ag",5,9.408002,7.5,6.650900900900901,6.650900900900901,0.5412844036697247,0.5238095238095238,OVER,0.0,False,False,False,14.1509009009009,0.75
