PLAYER_NAME,game_date,player_lower,TEAM_ABBREVIATION,OPPONENT,PRA,predicted_PRA,error,abs_error,line,over_price,under_price,bookmaker,actual_pra,predicted_pra,betting_line,edge,abs_edge,over_implied_prob,under_implied_prob,bet_side,bet_result,bet_won,bet_pushed,bet_lost
A.J. Lawson,2025-03-10,a.j. lawson,,WAS,44,46.468006,2.468006134033203,2.468006134033203,11.5,-110.0,135.0,"BetMGM, Bovada",44,46.468006,11.5,34.968006,34.968006,0.5238095238095238,0.425531914893617,OVER,90.9090909090909,True,False,False
A.J. Lawson,2025-03-12,a.j. lawson,,PHI,38,37.24859,-0.7514114379882812,0.7514114379882812,20.5,-110.0,-120.0,Bovada,38,37.24859,20.5,16.74859,16.74859,0.5238095238095238,0.5454545454545454,OVER,90.9090909090909,True,False,False
A.J. Lawson,2025-03-16,a.j. lawson,,POR,23,18.963322,-4.036678314208984,4.036678314208984,19.5,-110.0,-120.0,Bovada,23,18.963322,19.5,-0.5366779999999984,0.5366779999999984,0.5238095238095238,0.5454545454545454,NONE,0.0,False,False,False
A.J. Lawson,2025-04-04,a.j. lawson,,DET,13,14.297728,1.2977275848388672,1.2977275848388672,14.5,145.0,-190.0,Bovada,13,14.297728,14.5,-0.20227200000000067,0.20227200000000067,0.40816326530612246,0.6551724137931034,NONE,0.0,False,False,False
A.J. Lawson,2025-04-06,a.j. lawson,,BKN,14,15.752374,1.7523736953735352,1.7523736953735352,14.5,105.0,-135.0,Bovada,14,15.752374,14.5,1.2523739999999997,1.2523739999999997,0.4878048780487805,0.574468085106383,NONE,0.0,False,False,False
A.J. Lawson,2025-04-13,a.j. lawson,,SAS,14,15.6777,1.6777000427246094,1.6777000427246094,22.5,-150.0,115.0,Bovada,14,15.6777,22.5,-6.8223,6.8223,0.6,0.46511627906976744,UNDER,115.0,True,False,False
AJ Johnson,2025-03-21,aj johnson,,ORL,19,19.50675,0.5067501068115234,0.5067501068115234,15.5,-105.0,-102.0,"BetOnline.ag, Fanatics, FanDuel",19,19.50675,15.5,4.00675,4.00675,0.5121951219512195,0.504950495049505,OVER,95.23809523809523,True,False,False
AJ Johnson,2025-03-24,aj johnson,,TOR,26,26.60726,0.6072597503662109,0.6072597503662109,15.5,105.0,105.0,"DraftKings, Fanatics, FanDuel",26,26.60726,15.5,11.10726,11.10726,0.4878048780487805,0.4878048780487805,OVER,105.0,True,False,False
AJ Johnson,2025-03-26,aj johnson,,PHI,20,18.138672,-1.861328125,1.861328125,22.5,-104.0,105.0,"DraftKings, FanDuel, BetOnline.ag",20,18.138672,22.5,-4.361328,4.361328,0.5098039215686274,0.4878048780487805,UNDER,105.0,True,False,False
AJ Johnson,2025-03-27,aj johnson,,IND,5,8.087366,3.087366104125977,3.087366104125977,20.5,-110.0,-106.0,"BetOnline.ag, Fanatics, DraftKings",5,8.087366,20.5,-12.412634,12.412634,0.5238095238095238,0.5145631067961165,UNDER,94.33962264150944,True,False,False
