simulation,ending_bankroll,return_pct
0,2340.513470304376,134.0513470304376
1,2676.2988294700613,167.6298829470061
2,2450.3788226164293,145.03788226164295
3,2273.5618847311125,127.35618847311123
4,2289.927177584343,128.99271775843434
5,2144.1884490462767,114.41884490462768
6,2171.933326197994,117.1933326197994
7,2305.728565208504,130.57285652085037
8,2242.208733820098,124.22087338200983
9,2260.803404152097,126.08034041520968
10,2144.3820589788343,114.4382058978834
11,2349.809520927277,134.9809520927277
12,1944.714738833249,94.47147388332489
13,2056.0777358839787,105.60777358839788
14,2257.4665941907015,125.74665941907016
15,2346.1547408042557,134.61547408042554
16,2280.2158500439787,128.02158500439788
17,2239.499794111728,123.94997941117283
18,2131.5897554266585,113.15897554266586
19,2001.8415541864285,100.18415541864285
20,2149.919231570071,114.99192315700712
21,2376.194948028403,137.61949480284028
22,2175.174217751534,117.51742177515338
23,2322.121412349769,132.2121412349769
24,2326.862640068849,132.68626400688493
25,1978.0581916400354,97.80581916400352
26,2431.216272404405,143.12162724044052
27,2337.266724608733,133.72667246087332
28,2325.7558487538595,132.57558487538597
29,2056.907583579905,105.69075835799052
30,2358.9582478993657,135.89582478993657
31,2372.9246008991204,137.29246008991205
32,2120.204010764373,112.02040107643727
33,1993.7134150736656,99.37134150736655
34,1987.855328506102,98.7855328506102
35,2233.2832518768787,123.32832518768785
36,2053.6305371815265,105.36305371815264
37,2134.04928081027,113.40492808102698
38,2161.1035447914674,116.11035447914672
39,2162.540156021029,116.2540156021029
40,2158.153598623723,115.8153598623723
41,2271.7650034805165,127.17650034805166
42,2131.427940163201,113.1427940163201
43,2197.223000587213,119.72230005872132
44,2267.3928927929114,126.73928927929113
45,2310.8964578464106,131.08964578464105
46,2112.675326157057,111.26753261570572
47,2163.162726623162,116.31627266231624
48,2374.1506748006686,137.41506748006685
49,2250.104921019038,125.01049210190382
50,2077.00809730299,107.70080973029899
51,2203.2553885792427,120.32553885792426
52,2133.1981283091595,113.31981283091595
53,2100.8624124705543,110.08624124705544
54,2082.050603919352,108.2050603919352
55,2450.132468066479,145.01324680664789
56,2154.097369961869,115.40973699618688
57,2313.493595819794,131.34935958197937
58,2075.072507594805,107.50725075948048
59,1889.291968644347,88.9291968644347
60,2060.8908862205726,106.08908862205726
61,2064.23070399103,106.42307039910301
62,2352.2470621326534,135.22470621326534
63,2476.210131954754,147.62101319547543
64,2092.577850221586,109.2577850221586
65,2294.984144995472,129.4984144995472
66,2303.48057451579,130.348057451579
67,2268.7587815753454,126.87587815753454
68,2514.7007309025225,151.47007309025224
69,2185.8905750353615,118.58905750353617
70,2413.603500952872,141.36035009528717
71,2359.6459906593104,135.96459906593105
72,2063.616185984413,106.36161859844128
73,2183.3963546987447,118.33963546987447
74,2329.571108242047,132.9571108242047
75,2311.7524559124013,131.17524559124013
76,2244.4778588409795,124.44778588409795
77,2367.830933653127,136.78309336531268
78,2184.553765285946,118.45537652859464
79,2307.698442185968,130.7698442185968
80,2278.8305477643507,127.88305477643509
81,2218.225140322037,121.8225140322037
82,2118.514883454018,111.85148834540182
83,2232.2733539128076,123.22733539128077
84,2130.2118010493286,113.02118010493287
85,2126.087825396237,112.60878253962368
86,2409.158233539122,140.91582335391223
87,2285.1531430055875,128.51531430055877
88,1737.4617431164093,73.74617431164093
89,2137.06013146375,113.706013146375
90,1994.9022207136586,99.49022207136586
91,2121.227569508993,112.1227569508993
92,2247.9852395625585,124.79852395625586
93,2178.1520175493197,117.81520175493196
94,2050.242850031594,105.02428500315939
95,2096.3990062237726,109.63990062237725
96,1995.7228465552214,99.57228465552215
97,1928.0039329399558,92.80039329399558
98,2198.2780851905277,119.82780851905277
