PLAYER_NAME,TEAM,predicted_PRA,line,edge,abs_edge,bet_type,quality_score,score_edge,score_confidence,score_context,score_consistency,Minutes_Projected,L5_mean_PRA
Rui Hachimura,LAL,28.18483412322275,21.5,6.68483412322275,6.68483412322275,OVER,0.8400000000000001,0.9,0.8,1.0,0.6,33.4,20.4
Buddy Hield,GSW,22.21933621933622,15.5,6.7193362193362205,6.7193362193362205,OVER,0.795,0.9,1.0,0.3,1.0,22.2,16.4
Draymond Green,GSW,29.924,23.5,6.4239999999999995,6.4239999999999995,OVER,0.755,0.7,0.8,0.9,0.6,29.4,17.2
