PLAYER_NAME,TEAM,predicted_PRA,predicted_PRA_raw,calibration_adjustment,line,edge,abs_edge,bet_type,L5_mean_PRA,Minutes_Projected,confidence
Buddy Hield,GSW,22.21933621933622,13.395786,8.823550219336221,15.5,6.7193362193362205,6.7193362193362205,OVER,16.4,22.2,0.8063203463203464
Rui Hachimura,LAL,28.18483412322275,16.354908,11.829926123222751,21.5,6.68483412322275,6.68483412322275,OVER,20.4,33.4,0.8021800947867299
Austin Reaves,LAL,41.13380281690141,23.365177,17.76862581690141,34.5,6.633802816901408,6.633802816901408,OVER,24.2,35.0,0.796056338028169
Draymond Green,GSW,29.924,16.59376,13.33024,23.5,6.4239999999999995,6.4239999999999995,OVER,17.2,29.4,0.7708799999999999
Jonathan Kuminga,GSW,29.58,16.376438,13.203561999999998,23.5,6.079999999999998,6.079999999999998,OVER,14.8,18.6,0.7295999999999998
Buddy Hield,GSW,22.21933621933622,13.395786,8.823550219336221,16.5,5.7193362193362205,5.7193362193362205,OVER,16.4,22.2,0.6863203463203464
Rui Hachimura,LAL,28.18483412322275,16.354908,11.829926123222751,22.5,5.68483412322275,5.68483412322275,OVER,20.4,33.4,0.6821800947867299
Austin Reaves,LAL,41.13380281690141,23.365177,17.76862581690141,35.5,5.633802816901408,5.633802816901408,OVER,24.2,35.0,0.6760563380281689
Jonathan Kuminga,GSW,29.58,16.376438,13.203561999999998,24.5,5.079999999999998,5.079999999999998,OVER,14.8,18.6,0.6095999999999997
