PLAYER_NAME,game_date,player_lower,PRA,predicted_PRA,error,abs_error,line,over_price,under_price,bookmaker,actual_pra,predicted_pra,betting_line,edge,abs_edge,over_implied_prob,under_implied_prob,bet_side,bet_result,bet_won,bet_pushed,bet_lost
Aaron Nesmith,2024-01-28,aaron nesmith,29,32.40436,3.4043617,3.4043617,20.5,-113.0,-110.0,"DraftKings, BetOnline.ag, Caesars",29,32.40436,20.5,11.904359999999997,11.904359999999997,0.5305164319248826,0.5238095238095238,OVER,88.49557522123894,True,False,False
Aaron Nesmith,2024-02-04,aaron nesmith,34,13.155396,-20.844604,20.844604,19.5,105.0,-125.0,"DraftKings, Caesars, BetMGM",34,13.155396,19.5,-6.344604,6.344604,0.4878048780487805,0.5555555555555556,UNDER,-100.0,False,False,True
Aaron Nesmith,2024-03-10,aaron nesmith,22,14.994535,-7.0054646,7.0054646,17.5,115.0,-115.0,"DraftKings, BetOnline.ag, Caesars",22,14.994535,17.5,-2.505464999999999,2.505464999999999,0.46511627906976744,0.5348837209302325,NONE,0.0,False,False,False
Aaron Nesmith,2024-03-13,aaron nesmith,18,22.932384,4.9323845,4.9323845,20.5,-103.0,-115.0,"DraftKings, PointsBet (US), BetOnline.ag",18,22.932384,20.5,2.432383999999999,2.432383999999999,0.5073891625615764,0.5348837209302325,NONE,0.0,False,False,False
Aaron Nesmith,2024-03-16,aaron nesmith,23,20.03058,-2.9694195,2.9694195,20.5,120.0,-110.0,"DraftKings, BetOnline.ag, PointsBet (US)",23,20.03058,20.5,-0.4694199999999995,0.4694199999999995,0.45454545454545453,0.5238095238095238,NONE,0.0,False,False,False
Aaron Nesmith,2024-03-18,aaron nesmith,15,24.647604,9.647604,9.647604,19.5,114.0,-105.0,"DraftKings, PointsBet (US), BetOnline.ag",15,24.647604,19.5,5.147604000000001,5.147604000000001,0.4672897196261682,0.5121951219512195,OVER,-100.0,False,False,True
Aaron Nesmith,2024-03-20,aaron nesmith,15,17.864866,2.8648663,2.8648663,20.5,110.0,-114.0,"DraftKings, BetOnline.ag, PointsBet (US)",15,17.864866,20.5,-2.6351340000000008,2.6351340000000008,0.47619047619047616,0.5327102803738317,NONE,0.0,False,False,False
Aaron Nesmith,2024-03-29,aaron nesmith,18,14.8677,-3.1323004,3.1323004,19.5,-110.0,-113.0,"DraftKings, PointsBet (US), Caesars",18,14.8677,19.5,-4.632300000000001,4.632300000000001,0.5238095238095238,0.5305164319248826,UNDER,88.49557522123894,True,False,False
Aaron Nesmith,2024-04-01,aaron nesmith,15,20.869268,5.8692684,5.8692684,19.5,104.0,-114.0,"DraftKings, BetOnline.ag, Caesars",15,20.869268,19.5,1.3692680000000017,1.3692680000000017,0.49019607843137253,0.5327102803738317,NONE,0.0,False,False,False
Aaron Nesmith,2024-04-03,aaron nesmith,16,18.810835,2.810835,2.810835,18.5,-108.0,-115.0,"DraftKings, PointsBet (US), BetMGM",16,18.810835,18.5,0.31083500000000086,0.31083500000000086,0.5192307692307693,0.5348837209302325,NONE,0.0,False,False,False
Aaron Nesmith,2024-04-05,aaron nesmith,22,17.071253,-4.928747,4.928747,18.5,110.0,100.0,"DraftKings, PointsBet (US), BetMGM",22,17.071253,18.5,-1.4287470000000013,1.4287470000000013,0.47619047619047616,0.5,NONE,0.0,False,False,False
Aaron Nesmith,2024-04-07,aaron nesmith,24,24.951433,0.9514332,0.9514332,18.5,-105.0,-120.0,"DraftKings, PointsBet (US), Caesars",24,24.951433,18.5,6.4514330000000015,6.4514330000000015,0.5121951219512195,0.5454545454545454,OVER,95.23809523809523,True,False,False
Aaron Nesmith,2024-04-09,aaron nesmith,14,26.672943,12.672943,12.672943,20.5,-102.0,-120.0,"DraftKings, Caesars, BetOnline.ag",14,26.672943,20.5,6.172943,6.172943,0.504950495049505,0.5454545454545454,OVER,-100.0,False,False,True
Aaron Nesmith,2024-04-12,aaron nesmith,21,14.729661,-6.270339,6.270339,17.5,-101.0,-110.0,"DraftKings, PointsBet (US), BetOnline.ag",21,14.729661,17.5,-2.770339,2.770339,0.5024875621890548,0.5238095238095238,NONE,0.0,False,False,False
Aaron Nesmith,2024-04-14,aaron nesmith,12,25.186848,13.186848,13.186848,19.5,-109.0,-115.0,"DraftKings, PointsBet (US), BetMGM",12,25.186848,19.5,5.686848000000001,5.686848000000001,0.5215311004784688,0.5348837209302325,OVER,-100.0,False,False,True
Aaron Nesmith,2024-04-21,aaron nesmith,14,14.455195,0.45519543,0.45519543,17.5,100.0,-110.0,"DraftKings, Caesars, BetOnline.ag",14,14.455195,17.5,-3.044805,3.044805,0.5,0.5238095238095238,UNDER,90.9090909090909,True,False,False
