bet_num,date,bet_size,bet_won,profit,bankroll
1,2024-10-24,59.25000000000003,False,-59.25000000000003,940.75
2,2024-10-24,55.73943750000003,True,50.67221590909094,991.4222159090909
3,2024-10-25,58.74176629261367,True,53.40160572055788,1044.8238216296488
4,2024-10-25,61.90581143155673,True,56.2780103923243,1101.1018320219732
5,2024-10-25,65.24028354730194,False,-65.24028354730194,1035.8615484746713
6,2024-10-25,61.37479674712431,True,55.795269770113,1091.6568182447843
7,2024-10-25,64.6806664810035,False,-64.6806664810035,1026.9761517637808
8,2024-10-25,60.84833699200404,False,-60.84833699200404,966.1278147717767
9,2024-10-25,57.2430730252278,False,-57.2430730252278,908.8847417465489
10,2024-10-25,53.85142094848305,False,-53.85142094848305,855.0333207980659
11,2024-10-26,50.66072425728543,False,-50.66072425728543,804.3725965407805
12,2024-10-26,47.65907634504127,False,-47.65907634504127,756.7135201957392
13,2024-10-26,44.83527607159757,False,-44.83527607159757,711.8782441241416
14,2024-10-26,42.17878596435541,False,-42.17878596435541,669.6994581597862
15,2024-10-27,39.67969289596736,False,-39.67969289596736,630.0197652638188
16,2024-10-27,37.32867109188128,False,-37.32867109188128,592.6910941719376
17,2024-10-28,35.11694732968732,True,31.924497572443016,624.6155917443806
18,2024-10-30,37.00847381085457,True,33.64406710077688,658.2596588451574
19,2024-10-30,39.0018847865756,True,35.45625889688691,693.7159177420443
20,2024-11-01,41.10266812621615,True,37.36606193292377,731.0819796749681
21,2024-11-01,43.31660729574188,True,39.37873390521989,770.460713580188
22,2024-11-01,45.64979727962616,False,-45.64979727962616,724.8109163005619
23,2024-11-01,42.94504679080831,False,-42.94504679080831,681.8658695097536
24,2024-11-01,40.40055276845292,False,-40.40055276845292,641.4653167413006
25,2024-11-10,38.006820016922084,True,34.55165456083826,676.0169713021389
26,2024-11-10,40.054005549651755,True,36.41273231786523,712.4297036200041
27,2024-11-16,42.211459939485266,True,38.37405449044115,750.8037581104453
28,2024-11-16,44.48512266804391,True,40.441020607312645,791.244778717758
29,2024-11-16,46.88125313902719,True,42.61932103547926,833.8640997532373
30,2024-11-16,49.406447910379335,True,44.914952645799396,878.7790523990367
31,2024-11-16,52.06765885464295,True,47.334235322402684,926.1132877214394
32,2024-11-16,54.87221229749532,True,49.883829361359375,975.9971170827988
33,2024-11-17,57.827829187155864,True,52.57075380650533,1028.5678708893042
34,2024-11-17,60.94264635019131,True,55.40240577290119,1083.9702766622054
35,2024-11-17,64.22523889223571,True,58.386580811123366,1142.3568574733288
36,2024-11-17,67.68464380529477,True,61.531494368449785,1203.8883518417786
37,2024-11-17,71.33038484662542,True,64.8458044060231,1268.7341562478016
38,2024-11-17,75.17249875768229,True,68.33863523425663,1337.0727914820582
