Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Ray Allen,29.3,SEA,Wing,434,95,+7.7%,68,+3.7%,89,+11.1%,91,+13.0%,98,+12.2%,39,-3.3%,49,+0.6%,47,-0.1%
Carmelo Anthony,20.4,DEN,Forward,179,82,+5.6%,99,+18.2%,69,+5.7%,47,-0.5%,57,+1.1%,69,+8.3%,2,-33.3%,6,-12.5%
Gilbert Arenas,22.8,WAS,Wing,450,100,+22.6%,0,0.0%,93,+15.1%,98,+18.2%,100,+17.1%,70,+9.5%,89,+11.4%,87,+11.1%
Carlos Arroyo,25.3,DET,Point,133,42,-0.6%,57,+2.6%,32,-3.5%,50,+0.2%,44,-0.8%,67,+6.8%,82,+9.1%,77,+5.9%
Leandro Barbosa,21.9,PHX,Combo,110,2,-9.1%,18,-5.5%,45,-0.1%,2,-17.8%,4,-9.7%,18,-12.2%,12,-9.8%,8,-10.5%
Brent Barry,32.8,SAS,Wing,536,28,-2.1%,54,+2.0%,68,+5.5%,35,-3.3%,63,+1.8%,46,-1.1%,11,-10.9%,17,-7.7%
Jon Barry,35.3,HOU,Wing,180,61,+1.9%,30,-2.4%,39,-2.1%,92,+13.5%,93,+8.4%,10,-18.2%,71,+4.7%,39,-2.1%
Shane Battier,26.1,MEM,Forward,118,94,+7.6%,15,-6.7%,41,-1.5%,95,+15.7%,87,+6.5%,99,+44.4%,95,+17.0%,98,+21.1%
Mike Bibby,26.5,SAC,Point,201,83,+5.7%,89,+10.3%,54,+0.9%,63,+2.1%,61,+1.5%,39,-3.3%,75,+6.2%,68,+4.4%
Chauncey Billups,28.1,DET,Combo,983,65,+2.4%,46,+0.4%,25,-5.2%,51,+0.3%,33,-1.8%,48,0.0%,93,+14.4%,84,+9.3%
Bruce Bowen,33.4,SAS,Wing,809,40,-0.9%,49,+1.1%,33,-3.3%,11,-10.5%,14,-6.1%,62,+4.1%,73,+5.1%,75,+5.3%
Ryan Bowen,29.0,HOU,Forward,115,76,+3.3%,71,+4.1%,15,-9.8%,93,+15.6%,89,+6.9%,16,-12.8%,81,+8.7%,63,+3.7%
Earl Boykins,28.4,DEN,Point,147,13,-4.3%,33,-1.9%,66,+4.6%,42,-2.2%,56,+1.0%,2,-42.5%,96,+17.6%,3,-23.1%
Rasual Butler,25.4,MIA,Wing,175,9,-4.8%,77,+6.1%,55,+1.0%,38,-2.5%,43,-0.9%,3,-35.5%,21,-6.1%,5,-14.3%
Marcus Camby,30.6,DEN,Big,186,92,+7.0%,42,-0.1%,58,+1.5%,96,+17.1%,96,+9.7%,93,+26.2%,19,-8.2%,89,+11.7%
Vince Carter,27.8,NJN,Wing,180,55,+1.1%,10,-10.8%,74,+7.0%,5,-15.6%,13,-6.1%,73,+10.5%,94,+14.8%,89,+12.0%
Tyson Chandler,22.1,CHI,Big,174,46,-0.1%,56,+2.5%,22,-6.3%,48,-0.4%,26,-3.2%,59,+3.4%,32,-3.3%,43,-1.4%
