Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Alex Abrines,23.3,OKC,Wing,976,16,+2.1%,46,+0.3%,7,+2.3%,59,-0.4%,18,+2.0%,68,-0.4%,88,-1.9%,89,-2.3%
Quincy Acy,26.1,BKN,Big,492,38,+0.5%,42,+0.6%,98,-3.6%,38,+0.3%,90,-3.3%,89,-1.2%,1,+3.8%,10,+2.7%
Steven Adams,23.3,OKC,Big,2381,60,-0.5%,97,-4.9%,69,-0.7%,5,+3.0%,15,+2.3%,15,+1.0%,17,+1.6%,10,+2.6%
Arron Afflalo,31.0,SAC,Wing,1576,15,+2.2%,46,+0.3%,12,+1.8%,8,+2.2%,6,+3.9%,43,+0.1%,99,-4.4%,98,-4.2%
Alexis Ajinca,28.5,NOP,Big,566,66,-0.8%,58,-0.3%,28,+0.9%,25,+0.8%,22,+1.7%,80,-0.8%,62,-0.6%,76,-1.4%
Cole Aldrich,28.0,MIN,Big,497,34,+0.8%,85,-2.3%,72,-0.8%,44,+0.2%,59,-0.6%,6,+1.5%,21,+1.4%,7,+2.9%
LaMarcus Aldridge,31.3,SAS,Big,2325,31,+1.0%,33,+1.2%,45,+0.2%,42,+0.3%,40,+0.5%,92,-1.4%,55,-0.3%,81,-1.7%
Lavoy Allen,27.7,IND,Big,829,16,+2.1%,41,+0.7%,25,+1.0%,69,-0.9%,47,+0.1%,53,-0.1%,64,-0.7%,65,-0.8%
Tony Allen,34.8,MEM,Wing,1906,27,+1.2%,71,-1.0%,58,-0.3%,23,+1.0%,35,+0.7%,20,+0.8%,60,-0.5%,44,+0.3%
Al-Farouq Aminu,26.1,POR,Big,1756,50,+0.0%,32,+1.3%,85,-1.7%,73,-1.1%,86,-2.8%,25,+0.6%,31,+0.9%,20,+1.6%
Alan Anderson,34.0,LAC,Wing,258,11,+2.6%,7,+3.4%,96,-3.0%,100,-5.0%,100,-8.0%,10,+1.2%,3,+3.4%,2,+4.6%
Justin Anderson,23.0,DAL,Wing,627,7,+3.6%,42,+0.7%,90,-2.2%,75,-1.2%,90,-3.4%,31,+0.5%,11,+2.2%,9,+2.7%
Justin Anderson,23.0,PHI,Wing,462,52,-0.1%,48,+0.2%,48,+0.1%,60,-0.4%,54,-0.3%,100,-2.4%,8,+2.5%,49,+0.1%
Kyle Anderson,23.1,SAS,Wing,912,73,-1.2%,70,-0.9%,20,+1.2%,61,-0.5%,35,+0.7%,9,+1.3%,72,-1.0%,45,+0.2%
