Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Bam Adebayo,23.3,MIA,Big,132,83,23.0%,3,100.0,94,23.0%,100,1.00,29,14.3%
Grayson Allen,25.1,MEM,Wing,145,32,11.8%,14,102.3,0,1.9%,0,0.16,29,10.0%
Kyle Anderson,27.1,MEM,Forward,213,35,14.9%,13,95.2,70,14.5%,96,0.97,57,9.3%
Giannis Antetokounmpo,25.9,MIL,Big,792,91,31.7%,51,120.6,97,24.3%,86,0.77,60,11.0%
Carmelo Anthony,36.4,POR,Forward,143,74,21.0%,61,115.6,52,10.6%,30,0.51,65,9.1%
Deandre Ayton,22.3,PHX,Big,799,37,13.3%,83,135.5,37,4.5%,31,0.34,40,12.1%
Desmond Bane,22.4,MEM,Wing,153,21,11.0%,86,125.0,68,10.3%,89,0.94,25,10.1%
RJ Barrett,20.4,NYK,Wing,158,75,21.0%,7,98.6,82,16.9%,79,0.80,96,2.7%
Nicolas Batum,31.9,LAC,Wing,554,18,10.3%,89,127.5,54,9.1%,86,0.88,82,4.9%
Bradley Beal,27.3,WAS,Wing,258,96,33.7%,36,109.4,89,19.5%,54,0.58,11,12.4%
Davis Bertans,28.0,WAS,Forward,150,9,9.9%,52,114.3,0,0.8%,0,0.08,100,2.7%
Patrick Beverley,32.3,LAC,Combo,314,5,11.0%,43,107.2,33,11.1%,81,1.01,86,5.3%
Bogdan Bogdanovic,28.2,ATL,Wing,598,71,20.7%,11,99.2,71,12.7%,64,0.61,36,9.7%
Bojan Bogdanovic,31.5,UTA,Forward,389,65,18.6%,87,128.4,30,6.0%,17,0.32,9,14.7%
Devin Booker,24.0,PHX,Wing,887,89,32.3%,50,112.6,86,18.1%,46,0.56,7,12.7%
Mikal Bridges,24.2,PHX,Wing,699,46,13.3%,71,119.4,39,7.0%,39,0.53,61,8.0%
Dillon Brooks,24.8,MEM,Wing,259,82,26.0%,39,110.6,61,9.6%,14,0.37,71,6.4%
Bruce Brown,24.2,BKN,Forward,260,39,15.2%,35,109.0,65,13.5%,87,0.89,26,11.8%
Jalen Brunson,24.2,DAL,Combo,109,52,21.6%,57,113.3,67,15.8%,57,0.73,67,8.1%
Reggie Bullock,29.6,NYK,Wing,162,29,11.7%,25,107.3,29,6.2%,43,0.53,39,9.6%
Alec Burks,29.3,NYK,Wing,127,79,23.2%,43,111.1,79,16.7%,68,0.72,75,6.1%
Jimmy Butler,31.1,MIA,Wing,150,86,26.4%,0,79.5,93,31.5%,96,1.19,32,9.8%
Kentavious Caldwell-Pope,27.7,LAL,Wing,178,11,9.8%,54,113.9,25,5.7%,57,0.58,57,8.0%
Facundo Campazzo,29.6,DEN,Point,268,0,16.8%,79,116.3,21,20.4%,57,1.22,21,13.3%
