Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Precious Achiuwa,24.1,NYK,Big,1144,16,61.9%,42,10.8%,9,0.5%,35,21.2%
Precious Achiuwa,24.1,TOR,Big,424,14,60.5%,30,9.1%,41,1.1%,13,12.5%
Bam Adebayo,26.3,MIA,Big,2415,58,75.5%,76,15.4%,91,2.9%,27,19.0%
Ochai Agbaji,23.5,TOR,Wing,610,1,61.1%,74,9.6%,32,0.6%,91,44.4%
Ochai Agbaji,23.5,UTA,Wing,956,0,75.0%,17,4.1%,19,0.4%,90,40.0%
Santi Aldama,22.8,MEM,Big,1614,17,62.4%,19,6.9%,45,1.2%,91,39.0%
Nickeil Alexander-Walker,25.2,MIN,Wing,1887,50,80.0%,22,4.5%,41,0.7%,20,16.7%
Grayson Allen,28.1,PHX,Wing,2505,89,87.6%,59,8.6%,69,1.0%,55,24.2%
Jarrett Allen,25.5,CLE,Big,2441,50,74.2%,74,15.3%,94,3.1%,34,21.1%
Timmy Allen,23.8,MEM,Combo,122,0,50.0%,27,4.5%,31,0.7%,0,0.0%
Jose Alvarado,25.6,NOP,Point,920,0,63.6%,14,5.2%,7,0.6%,5,5.9%
Kyle Anderson,30.1,MIN,Forward,1769,25,70.8%,80,13.6%,53,0.8%,31,16.9%
Giannis Antetokounmpo,28.9,MIL,Forward,2565,10,65.9%,100,23.1%,100,3.7%,67,27.7%
Cole Anthony,23.5,ORL,Point,1775,33,82.2%,67,10.5%,58,1.6%,16,17.6%
OG Anunoby,26.3,TOR,Wing,900,11,71.7%,48,7.1%,35,0.7%,81,33.3%
OG Anunoby,26.3,NYK,Forward,796,56,79.1%,47,8.5%,36,0.6%,61,26.1%
Deni Avdija,22.8,WAS,Forward,2250,31,74.0%,91,16.1%,92,1.8%,75,29.9%
Deandre Ayton,25.3,POR,Big,1783,88,82.3%,11,5.1%,24,0.9%,66,27.5%
Ibou Badji,21.1,POR,Big,192,0,50.0%,75,15.4%,54,1.3%,0,0.0%
Marvin Bagley,24.6,WAS,Big,572,40,70.8%,61,13.5%,52,1.3%,62,26.5%
Marvin Bagley,24.6,DET,Big,465,79,80.0%,61,13.5%,51,1.3%,17,14.8%
Patrick Baldwin Jr.,21.0,WAS,Big,405,0,63.2%,24,8.1%,15,0.6%,99,70.0%
LaMelo Ball,22.2,CHA,Point,710,72,86.1%,51,8.6%,88,2.7%,19,17.9%
Mohamed Bamba,25.5,PHI,Big,665,20,63.4%,46,11.2%,61,1.5%,28,19.0%
Paolo Banchero,21.0,ORL,Big,2797,47,72.8%,81,16.5%,72,1.7%,25,18.7%
Desmond Bane,25.4,MEM,Combo,1440,78,87.5%,58,7.5%,84,1.6%,42,21.3%
Dalano Banton,24.0,POR,Wing,859,36,77.8%,72,9.5%,55,0.9%,56,24.4%
Dominick Barlow,20.4,SAS,Big,373,25,66.7%,54,12.7%,43,1.1%,15,14.3%
Harrison Barnes,31.4,SAC,Forward,2380,63,80.1%,65,10.8%,80,1.2%,41,20.9%
