Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Shareef Abdur-Rahim,26.9,ATL,Forward,1955,95,+10.4,+21,87,+5.5,76,+1.7%,97,-3.2%,4,-5.6%,78,+2.8,88,-4.9,82,-2.0%,19,-1.4%,72,-1.1%,100,-9.0
Shareef Abdur-Rahim,26.9,POR,Forward,708,45,-1.4,-4,36,-2.9,11,-3.8%,68,-0.7%,69,+1.5%,84,+3.6,66,-1.5,80,-1.9%,89,+2.1%,15,+2.6%,22,+3.8
Malik Allen,25.3,MIA,Big,576,9,-10.8,-29,20,-4.9,24,-2.2%,29,+1.0%,80,+2.4%,16,-3.4,9,+6.0,21,+1.6%,20,-1.4%,20,+2.1%,71,-1.9
Ray Allen,28.3,SEA,Combo,2147,94,+9.9,+25,94,+7.6,79,+2.0%,71,-0.9%,94,+4.7%,56,+0.3,72,-2.3,66,-0.8%,71,+0.9%,61,-0.7%,23,+3.7
Rafer Alston,27.3,MIA,Point,2546,68,+2.3,+6,62,+1.2,61,+0.5%,65,-0.5%,41,-0.7%,61,+0.8,63,-1.1,72,-1.2%,39,-0.3%,60,-0.6%,18,+4.7
Chris Andersen,25.3,DEN,Big,1016,29,-4.2,-12,18,-5.6,23,-2.3%,50,+0.1%,45,-0.5%,39,-1.2,65,-1.4,95,-3.8%,40,-0.3%,12,+2.9%,44,+0.9
Derek Anderson,29.3,POR,Wing,1807,93,+8.9,+24,84,+5.2,87,+2.9%,94,-2.8%,8,-4.0%,67,+1.4,80,-3.7,69,-1.0%,23,-1.1%,92,-2.8%,82,-3.5
Kenny Anderson,33.1,IND,Point,862,41,-2.0,-4,37,-2.7,32,-1.5%,40,+0.5%,87,+3.4%,3,-6.6,58,-0.7,41,+0.5%,19,-1.4%,80,-1.8%,92,-5.8
Shandon Anderson,29.8,NYK,Wing,1916,18,-6.9,-19,31,-3.6,46,-0.5%,21,+1.4%,47,-0.3%,63,+1.1,23,+3.3,65,-0.7%,38,-0.4%,5,+3.7%,15,+5.3
Carmelo Anthony,19.4,DEN,Wing,2984,58,+0.7,+2,90,+6.3,80,+2.0%,74,-1.0%,34,-1.2%,92,+4.7,10,+5.6,1,+6.2%,30,-0.8%,89,-2.6%,94,-6.4
Robert Archibald,23.6,TOR,Big,232,45,-1.3,-4,13,-6.8,14,-3.2%,7,+2.8%,89,+3.8%,30,-1.8,91,-5.5,86,-2.3%,96,+3.6%,58,-0.5%,7,+7.6
Gilbert Arenas,21.8,WAS,Combo,2047,62,+1.4,+4,92,+6.7,83,+2.4%,33,+0.8%,95,+4.9%,61,+0.8,11,+5.3,11,+2.8%,45,-0.1%,25,+1.6%,73,-2.3
Brandon Armstrong,23.4,NJN,Combo,329,0,-24.7,-51,12,-7.3,48,-0.4%,4,+3.6%,59,+0.6%,10,-4.6,0,+17.4,1,+6.3%,18,-1.5%,5,+3.9%,5,+8.2
Darrell Armstrong,35.4,NOH,Point,2212,78,+4.3,+12,68,+2.0,53,-0.1%,37,+0.7%,77,+2.1%,81,+3.3,73,-2.3,44,+0.3%,96,+3.5%,23,+1.8%,17,+4.8
Carlos Arroyo,24.3,UTA,Point,1999,63,+1.5,+4,89,+6.1,68,+1.1%,90,-2.2%,89,+3.7%,33,-1.6,13,+4.6,20,+1.7%,19,-1.4%,16,+2.5%,80,-3.3
Chucky Atkins,29.2,DET,Point,717,57,+0.7,+2,31,-3.7,38,-1.0%,50,+0.1%,43,-0.5%,44,-0.8,84,-4.4,93,-3.5%,37,-0.4%,36,+0.8%,11,+6.1
Chucky Atkins,29.2,BOS,Point,793,98,+13.0,+32,84,+5.2,92,+3.6%,70,-0.8%,43,-0.6%,12,-4.3,96,-7.8,97,-4.4%,12,-2.0%,67,-0.9%,93,-5.9
Stacey Augmon,35.2,NOH,Wing,1409,44,-1.5,-4,35,-3.0,44,-0.6%,7,+3.0%,57,+0.4%,93,+4.9,67,-1.5,48,+0.1%,65,+0.6%,54,-0.3%,65,-1.4
Vin Baker,31.9,BOS,Big,1003,23,-5.6,-16,32,-3.5,37,-1.1%,59,-0.3%,35,-1.1%,8,-5.0,30,+2.1,45,+0.2%,7,-2.5%,39,+0.6%,75,-2.7
Vin Baker,31.9,NYK,Big,301,43,-1.8,-5,89,+6.3,84,+2.5%,31,+0.9%,71,+1.8%,89,+4.2,6,+8.1,19,+1.8%,13,-2.0%,33,+1.0%,13,+5.6
Marcus Banks,21.9,BOS,Point,1319,16,-7.7,-20,15,-6.3,25,-2.1%,6,+3.2%,75,+2.0%,80,+3.1,38,+1.3,35,+0.8%,74,+1.1%,38,+0.7%,37,+1.8
Leandro Barbosa,20.9,PHX,Combo,1485,55,+0.5,+1,65,+1.6,83,+2.4%,27,+1.2%,50,-0.2%,43,-0.8,40,+1.2,18,+1.9%,64,+0.6%,53,-0.2%,56,-0.6
Matt Barnes,23.6,LAC,Forward,699,10,-10.6,-20,10,-7.8,16,-3.0%,12,+2.3%,60,+0.6%,65,+1.2,26,+2.8,43,+0.4%,48,+0.0%,50,-0.0%,33,+2.3
Brent Barry,31.8,SEA,Wing,1798,69,+2.3,+6,86,+5.4,95,+4.1%,57,-0.2%,17,-2.4%,54,+0.1,24,+3.1,23,+1.5%,25,-1.0%,85,-2.1%,47,+0.5
Jon Barry,34.3,DEN,Wing,1042,32,-3.6,-10,27,-4.2,26,-1.8%,50,+0.1%,42,-0.6%,34,-1.4,57,-0.6,75,-1.4%,62,+0.5%,7,+3.5%,43,+0.9
Tony Battie,27.7,BOS,Big,491,13,-9.0,-24,11,-7.6,4,-5.3%,38,+0.6%,77,+2.2%,39,-1.1,37,+1.4,62,-0.6%,10,-2.1%,44,+0.4%,74,-2.5
Tony Battie,27.7,CLE,Big,951,54,+0.2,+1,41,-2.0,29,-1.7%,23,+1.3%,81,+2.6%,48,-0.5,72,-2.2,91,-2.9%,73,+1.0%,12,+2.9%,53,-0.2
Shane Battier,25.1,MEM,Wing,1919,71,+2.8,+8,63,+1.3,24,-2.1%,77,-1.1%,68,+1.4%,98,+7.8,67,-1.6,98,-4.8%,44,-0.1%,38,+0.7%,3,+9.6
Lonny Baxter,24.8,CHI,Big,124,77,+4.1,+6,45,-1.2,89,+3.1%,2,+4.5%,97,+5.5%,77,+2.6,89,-5.3,86,-2.2%,98,+4.3%,8,+3.4%,4,+8.5
Lonny Baxter,24.8,TOR,Big,477,50,-0.3,-1,36,-2.8,42,-0.7%,39,+0.6%,46,-0.4%,44,-0.8,75,-2.5,79,-1.9%,44,-0.2%,44,+0.3%,68,-1.6
Lonny Baxter,24.8,WAS,Big,114,1,-18.5,-26,1,-14.5,10,-4.0%,2,+4.6%,16,-2.6%,1,-10.3,17,+4.0,0,+6.6%,95,+3.4%,5,+4.1%,86,-4.4
Raja Bell,27.1,UTA,Wing,1987,43,-1.7,-5,40,-2.2,39,-0.9%,32,+0.9%,15,-2.7%,93,+5.1,56,-0.6,70,-1.1%,70,+0.8%,46,+0.3%,3,+9.2
Jonathan Bender,22.8,IND,Big,247,2,-16.0,-39,26,-4.2,35,-1.3%,2,+4.7%,55,+0.2%,100,+11.2,2,+11.8,28,+1.1%,5,-3.0%,4,+4.3%,30,+2.9
Travis Best,31.3,DAL,Point,727,79,+4.5,+11,32,-3.5,12,-3.6%,71,-0.9%,75,+2.0%,87,+3.9,97,-8.0,96,-3.8%,81,+1.4%,71,-1.1%,29,+2.9
Mike Bibby,25.5,SAC,Point,2977,51,-0.2,-1,90,+6.4,99,+5.3%,84,-1.6%,1,-7.9%,96,+5.9,7,+6.7,14,+2.5%,3,-3.6%,68,-1.0%,68,-1.6
Chauncey Billups,27.1,DET,Combo,2755,46,-1.0,-3,72,+2.7,37,-1.1%,93,-2.6%,14,-2.8%,93,+5.0,19,+3.7,32,+0.9%,12,-2.0%,71,-1.1%,66,-1.5
