Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Arron Afflalo,24.0,DEN,Wing,118,100,71.9%,80,34%,83,19%,0,3%,23,22%,97,34%,11,9%,63,44%
LaMarcus Aldridge,24.3,POR,Big,225,23,44.0%,12,18%,51,22%,95,58%,98,79%,86,1%,70,1%,77,2%
Ray Allen,34.3,BOS,Wing,922,71,52.3%,31,20%,29,9%,54,23%,51,32%,60,16%,71,32%,71,48%
Tony Allen,27.8,BOS,Wing,379,54,50.0%,100,71%,77,17%,14,9%,31,26%,6,2%,0,1%,0,3%
Lou Amundson,26.9,PHX,Big,172,60,52.9%,95,76%,19,15%,23,9%,5,24%,0,0%,0,0%,0,0%
Chris Andersen,31.3,DEN,Big,115,60,52.9%,95,76%,0,0%,60,24%,5,24%,0,0%,0,0%,0,0%
Carmelo Anthony,25.4,DEN,Wing,252,40,48.9%,86,36%,60,14%,89,36%,86,50%,11,3%,14,10%,6,13%
Carlos Arroyo,30.3,MIA,Point,110,20,45.8%,7,13%,13,4%,100,79%,100,83%,60,4%,0,0%,7,4%
Leandro Barbosa,26.9,PHX,Wing,227,54,50.0%,77,34%,31,9%,51,22%,43,30%,43,11%,54,25%,43,36%
Matt Barnes,29.6,ORL,Wing,325,49,49.3%,97,44%,20,5%,11,8%,11,14%,80,22%,31,21%,57,42%
Nicolas Batum,20.9,POR,Wing,138,77,59.7%,74,33%,0,0%,20,11%,3,11%,89,31%,54,25%,89,56%
Jerryd Bayless,21.2,POR,Combo,156,67,50.0%,75,35%,83,18%,42,23%,50,42%,50,7%,25,17%,8,23%
Michael Beasley,20.8,MIA,Forward,131,30,45.7%,60,40%,90,23%,60,32%,80,55%,0,0%,30,4%,20,4%
Mike Bibby,31.5,ATL,Point,291,87,53.8%,0,4%,0,3%,93,51%,73,54%,87,14%,40,29%,80,43%
Chauncey Billups,33.1,DEN,Combo,206,92,51.2%,50,28%,17,8%,50,27%,42,35%,33,5%,83,33%,83,37%
Matt Bonner,29.6,SAS,Big,169,72,53.5%,2,9%,47,21%,16,7%,21,28%,98,16%,98,47%,98,63%
Carlos Boozer,27.9,UTA,Big,400,65,53.0%,49,46%,28,18%,72,36%,65,54%,0,0%,0,0%,0,0%
Shannon Brown,23.9,LAL,Combo,296,25,44.7%,58,28%,75,14%,58,31%,58,44%,67,9%,33,18%,25,27%
Kobe Bryant,31.2,LAL,Wing,921,63,50.9%,23,17%,94,24%,83,35%,94,58%,9,2%,43,23%,20,25%
Caron Butler,29.6,DAL,Wing,195,37,47.8%,49,25%,63,14%,94,40%,91,54%,49,12%,9,9%,11,21%
Andrew Bynum,22.0,LAL,Big,546,74,53.7%,81,69%,74,29%,12,3%,26,31%,0,0%,0,0%,0,0%
Marcus Camby,35.6,POR,Big,177,19,43.2%,53,49%,16,11%,84,41%,63,51%,0,0%,0,0%,0,0%
