Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Arron Afflalo,26.0,DEN,Wing,228,63,-1.1%,47,+0.0%,11,+12.3%,30,+3.4%,15,+6.3%,51,-1.4%,85,-7.9%,80,-5.6%
Lavoy Allen,22.7,PHI,Big,234,33,+1.8%,24,+5.0%,57,-0.6%,37,+2.2%,43,+1.2%,77,-11.1%,71,-3.3%,80,-5.1%
Ray Allen,36.3,BOS,Wing,610,16,+4.0%,9,+8.5%,46,+1.3%,41,+1.5%,34,+2.0%,72,-9.1%,43,+2.7%,58,-0.4%
Tony Allen,29.8,MEM,Wing,170,88,-5.1%,7,+9.5%,33,+3.4%,99,-19.7%,96,-10.6%,73,-9.8%,89,-10.9%,93,-9.9%
Ryan Anderson,23.5,ORL,Big,172,23,+3.2%,82,-7.6%,33,+3.0%,65,-3.6%,50,+0.6%,19,+15.0%,14,+11.1%,10,+11.8%
Carmelo Anthony,27.4,NYK,Forward,203,1,+11.1%,80,-7.1%,73,-4.3%,3,+17.6%,54,-0.1%,4,+25.5%,6,+18.2%,2,+20.9%
Joel Anthony,29.2,MIA,Big,319,51,-0.0%,63,-3.4%,58,-0.9%,59,-2.3%,65,-1.8%,18,+15.6%,39,+3.7%,16,+8.6%
Omer Asik,25.3,CHI,Big,128,77,-2.8%,81,-7.3%,87,-9.9%,44,+0.8%,67,-2.5%,5,+25.0%,58,-0.6%,35,+3.6%
Leandro Barbosa,28.9,IND,Wing,214,30,+2.0%,25,+3.5%,21,+6.5%,35,+2.7%,19,+4.9%,15,+17.0%,95,-16.3%,87,-7.6%
Matt Barnes,31.6,LAL,Wing,173,59,-0.7%,77,-6.6%,41,+1.8%,50,-0.3%,51,+0.4%,55,-2.7%,50,+2.0%,49,+1.1%
Brandon Bass,26.5,BOS,Big,603,21,+3.3%,8,+9.0%,59,-0.9%,52,-1.3%,63,-1.2%,30,+9.1%,73,-3.9%,55,+0.1%
Shane Battier,33.1,MIA,Wing,761,46,+0.4%,36,+1.5%,41,+1.8%,23,+4.6%,24,+3.4%,72,-9.1%,61,-1.4%,72,-3.3%
Mike Bibby,33.5,NYK,Point,108,58,-0.5%,96,-15.2%,6,+16.2%,51,-1.0%,7,+8.1%,58,-4.4%,56,-0.2%,67,-1.7%
Steve Blake,31.7,LAL,Point,298,55,-0.4%,51,-0.5%,61,-1.7%,66,-4.3%,69,-3.2%,70,-8.8%,40,+3.5%,51,+0.7%
Eric Bledsoe,21.9,LAC,Combo,184,62,-0.9%,11,+7.8%,90,-11.0%,59,-2.6%,85,-7.0%,35,+7.0%,85,-7.9%,76,-3.7%
Matt Bonner,31.6,SAS,Big,156,60,-0.7%,73,-4.9%,65,-2.3%,31,+3.4%,48,+0.8%,28,+9.3%,84,-7.2%,66,-1.5%
Carlos Boozer,29.9,CHI,Big,200,15,+4.2%,53,-0.9%,85,-8.5%,17,+5.8%,44,+1.2%,23,+12.5%,11,+14.4%,6,+15.0%
Chris Bosh,27.6,MIA,Big,438,42,+0.7%,31,+2.8%,50,+0.8%,24,+4.4%,27,+2.9%,74,-10.2%,70,-3.2%,84,-6.6%
Avery Bradley,20.9,BOS,Combo,247,96,-7.4%,90,-9.1%,88,-10.7%,72,-5.6%,91,-8.1%,59,-4.8%,54,-0.0%,65,-1.5%
Elton Brand,32.6,PHI,Big,355,68,-1.4%,48,+0.0%,82,-6.8%,54,-1.7%,72,-3.4%,21,+13.7%,52,+1.1%,33,+3.8%
Corey Brewer,25.7,DEN,Wing,112,44,+0.5%,14,+7.2%,93,-12.7%,40,+1.7%,80,-5.3%,92,-21.3%,11,+13.5%,54,+0.2%
Kobe Bryant,33.2,LAL,Wing,475,20,+3.6%,5,+13.6%,0,+33.1%,38,+1.9%,3,+12.2%,68,-8.7%,93,-12.5%,94,-12.0%
Caron Butler,31.6,LAC,Wing,266,5,+6.8%,28,+3.1%,15,+10.5%,82,-8.7%,41,+1.4%,54,-2.1%,1,+26.0%,4,+17.0%
Andrew Bynum,24.0,LAL,Big,450,52,-0.2%,13,+7.4%,7,+15.9%,36,+2.5%,7,+7.9%,84,-15.5%,92,-12.0%,95,-14.1%
