Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Shareef Abdur-Rahim,26.9,ATL,Forward,1955,95,88.0%,0,0.0%,0,0.0%,0,0.0%
Shareef Abdur-Rahim,26.9,POR,Forward,708,78,82.6%,0,0.0%,100,0.1%,0,0.0%
Malik Allen,25.3,MIA,Big,576,61,72.4%,0,0.0%,0,0.0%,0,0.0%
Ray Allen,28.3,OKC,Combo,2147,100,90.3%,0,0.0%,0,0.0%,0,0.0%
Rafer Alston,27.3,MIA,Point,2546,37,77.7%,0,0.0%,0,0.0%,0,0.0%
Chris Andersen,25.3,DEN,Big,1016,19,58.9%,0,0.0%,0,0.0%,0,0.0%
Derek Anderson,29.3,POR,Wing,1807,77,82.4%,0,0.0%,0,0.0%,0,0.0%
Kenny Anderson,33.1,IND,Point,862,4,67.5%,0,0.0%,0,0.0%,0,0.0%
Shandon Anderson,29.8,NYK,Wing,1916,37,76.1%,0,0.0%,0,0.0%,0,0.0%
Carmelo Anthony,19.4,DEN,Wing,2984,48,77.7%,0,0.0%,0,0.0%,0,0.0%
Robert Archibald,23.6,TOR,Big,232,4,48.1%,0,0.0%,0,0.0%,0,0.0%
Gilbert Arenas,21.8,WAS,Combo,2047,35,74.8%,0,0.0%,0,0.0%,0,0.0%
Brandon Armstrong,23.4,BKN,Combo,329,0,50.0%,0,0.0%,0,0.0%,0,0.0%
Darrell Armstrong,35.4,NOP,Point,2212,83,85.0%,0,0.0%,0,0.0%,0,0.0%
Carlos Arroyo,24.3,UTA,Point,1999,52,80.4%,0,0.0%,0,0.0%,0,0.0%
Chucky Atkins,29.2,BOS,Point,793,38,77.8%,0,0.0%,0,0.0%,0,0.0%
Chucky Atkins,29.2,DET,Point,717,17,72.1%,0,0.0%,0,0.0%,0,0.0%
Stacey Augmon,35.2,NOP,Wing,1409,57,78.8%,0,0.0%,0,0.0%,0,0.0%
Vin Baker,31.9,BOS,Big,1003,63,73.2%,0,0.0%,0,0.0%,0,0.0%
Vin Baker,31.9,NYK,Big,301,52,70.7%,0,0.0%,0,0.0%,0,0.0%
Marcus Banks,21.9,BOS,Point,1319,27,75.4%,0,0.0%,0,0.0%,0,0.0%
Leandro Barbosa,20.9,PHX,Combo,1485,41,77.0%,0,0.0%,0,0.0%,0,0.0%
Matt Barnes,23.6,LAC,Forward,699,27,69.5%,0,0.0%,0,0.0%,0,0.0%
Brent Barry,31.8,OKC,Wing,1798,78,82.7%,0,0.0%,97,0.0%,0,0.0%
Jon Barry,34.3,DEN,Wing,1042,81,84.1%,0,0.0%,0,0.0%,0,0.0%
Tony Battie,27.7,BOS,Big,491,48,69.7%,0,0.0%,0,0.0%,0,0.0%
Tony Battie,27.7,CLE,Big,951,79,76.8%,0,0.0%,0,0.0%,0,0.0%
Shane Battier,25.1,MEM,Wing,1919,21,72.8%,0,0.0%,0,0.0%,0,0.0%
Lonny Baxter,24.8,CHI,Big,124,0,62.5%,0,0.0%,0,0.0%,0,0.0%
Lonny Baxter,24.8,TOR,Big,477,10,53.7%,0,0.0%,0,0.0%,0,0.0%
Lonny Baxter,24.8,WAS,Big,114,0,62.5%,0,0.0%,0,0.0%,0,0.0%
Raja Bell,27.1,UTA,Wing,1987,52,78.4%,0,0.0%,0,0.0%,0,0.0%
Jonathan Bender,22.8,IND,Big,247,99,87.2%,0,0.0%,0,0.0%,0,0.0%
Travis Best,31.3,DAL,Point,727,92,88.9%,0,0.0%,0,0.0%,0,0.0%
Mike Bibby,25.5,SAC,Point,2977,58,81.4%,0,0.0%,0,0.0%,0,0.0%
Chauncey Billups,27.1,DET,Combo,2755,97,87.8%,0,0.0%,0,0.0%,0,0.0%
Steve Blake,23.7,WAS,Point,1290,71,83.1%,0,0.0%,0,0.0%,0,0.0%
Corie Blount,34.8,CHI,Big,727,0,54.5%,0,0.0%,0,0.0%,0,0.0%
Corie Blount,34.8,TOR,Big,290,0,66.7%,0,0.0%,0,0.0%,0,0.0%
Mark Blount,27.9,BOS,Big,2397,56,71.9%,0,0.0%,0,0.0%,0,0.0%
Keith Bogans,23.5,ORL,Wing,1735,7,63.3%,0,0.0%,98,0.0%,0,0.0%
Calvin Booth,27.5,OKC,Big,1188,87,79.1%,0,0.0%,0,0.0%,0,0.0%
Carlos Boozer,21.9,CLE,Big,2585,81,77.0%,0,0.0%,0,0.0%,0,0.0%
Curtis Borchardt,23.1,UTA,Big,248,0,81.3%,0,0.0%,0,0.0%,0,0.0%
Chris Bosh,19.6,TOR,Big,2501,49,69.9%,0,0.0%,0,0.0%,0,0.0%
Bruce Bowen,32.4,SAS,Wing,2615,2,57.9%,0,0.0%,96,0.0%,0,0.0%
Ryan Bowen,27.9,DEN,Forward,321,0,80.0%,0,0.0%,0,0.0%,0,0.0%
Earl Boykins,27.4,DEN,Point,1757,88,87.5%,0,0.0%,0,0.0%,0,0.0%
Shawn Bradley,31.6,DAL,Big,731,93,83.0%,0,0.0%,0,0.0%,0,0.0%
Torraye Braggs,27.5,HOU,Big,121,0,66.7%,0,0.0%,0,0.0%,0,0.0%
Elton Brand,24.6,LAC,Big,2670,81,77.2%,0,0.0%,94,0.0%,0,0.0%
J.R. Bremer,23.1,CLE,Combo,385,0,65.0%,0,0.0%,0,0.0%,0,0.0%
Jamison Brewer,22.9,IND,Combo,149,0,25.0%,0,0.0%,0,0.0%,0,0.0%
Devin Brown,24.8,SAS,Combo,514,59,80.0%,0,0.0%,0,0.0%,0,0.0%
Kedrick Brown,22.6,BOS,Wing,398,0,61.5%,0,0.0%,0,0.0%,0,0.0%
Kedrick Brown,22.6,CLE,Combo,546,0,64.3%,0,0.0%,0,0.0%,0,0.0%
Kwame Brown,21.6,WAS,Big,2191,43,68.1%,0,0.0%,0,0.0%,0,0.0%
P.J. Brown,34.0,NOP,Big,2751,96,85.2%,0,0.0%,0,0.0%,0,0.0%
Rick Brunson,31.4,CHI,Point,354,98,89.7%,0,0.0%,0,0.0%,0,0.0%
Kobe Bryant,25.2,LAL,Wing,2441,87,85.1%,0,0.0%,0,0.0%,0,0.0%
Greg Buckner,27.1,PHI,Wing,645,0,72.0%,0,0.0%,0,0.0%,0,0.0%
Caron Butler,23.6,MIA,Wing,2000,38,76.2%,0,0.0%,0,0.0%,0,0.0%
Mitchell Butler,32.9,WAS,Wing,521,0,66.7%,0,0.0%,0,0.0%,0,0.0%
Rasual Butler,24.4,MIA,Wing,625,0,72.2%,0,0.0%,0,0.0%,0,0.0%
Zarko Cabarkapa,22.4,PHX,Forward,559,24,68.6%,0,0.0%,0,0.0%,0,0.0%
Marcus Camby,29.6,DEN,Big,2161,56,72.1%,0,0.0%,87,0.0%,0,0.0%
Elden Campbell,35.3,DET,Big,885,46,68.5%,0,0.0%,0,0.0%,0,0.0%
Brian Cardinal,26.5,GSW,Forward,1603,90,87.8%,0,0.0%,93,0.0%,0,0.0%
Vince Carter,26.8,TOR,Wing,2781,67,80.6%,0,0.0%,0,0.0%,0,0.0%
Sam Cassell,34.0,MIN,Point,2840,87,87.2%,0,0.0%,0,0.0%,0,0.0%
Kelvin Cato,29.2,HOU,Big,1743,41,67.6%,0,0.0%,0,0.0%,0,0.0%
Tyson Chandler,21.1,CHI,Big,744,45,68.4%,0,0.0%,0,0.0%,0,0.0%
Calbert Cheaney,32.3,GSW,Wing,2042,3,61.6%,0,0.0%,0,0.0%,0,0.0%
Doug Christie,33.5,SAC,Wing,2765,90,85.7%,0,0.0%,0,0.0%,0,0.0%
Speedy Claxton,25.5,GSW,Point,1575,56,81.1%,0,0.0%,0,0.0%,0,0.0%
Derrick Coleman,36.4,PHI,Big,841,71,75.4%,0,0.0%,0,0.0%,0,0.0%
Bimbo Coles,35.5,MIA,Combo,148,0,66.7%,0,0.0%,0,0.0%,0,0.0%
Jason Collier,26.1,ATL,Big,544,85,78.8%,0,0.0%,0,0.0%,0,0.0%
Jarron Collins,24.9,UTA,Big,1689,59,72.3%,0,0.0%,91,0.0%,0,0.0%
Jason Collins,24.9,BKN,Big,2205,66,74.2%,0,0.0%,0,0.0%,0,0.0%
Brian Cook,22.9,LAL,Big,392,83,77.8%,0,0.0%,0,0.0%,0,0.0%
Omar Cook,21.8,POR,Point,133,0,0.0%,0,0.0%,0,0.0%,0,0.0%
Chris Crawford,28.5,ATL,Forward,1149,93,88.0%,0,0.0%,0,0.0%,0,0.0%
Jamal Crawford,23.6,CHI,Combo,2770,76,83.8%,0,0.0%,0,0.0%,0,0.0%
Austin Croshere,28.5,IND,Forward,949,98,88.5%,0,0.0%,0,0.0%,0,0.0%
Eddy Curry,20.9,CHI,Big,2130,38,67.0%,0,0.0%,97,0.1%,0,0.0%
Michael Curry,35.2,TOR,Combo,1220,79,84.5%,0,0.0%,0,0.0%,0,0.0%
Samuel Dalembert,23.5,PHI,Big,2172,32,64.9%,0,0.0%,0,0.0%,0,0.0%
Erick Dampier,28.3,GSW,Big,2400,33,64.9%,0,0.0%,0,0.0%,0,0.0%
Antonio Daniels,28.6,OKC,Point,1486,81,83.9%,0,0.0%,0,0.0%,0,0.0%
Marquis Daniels,22.8,DAL,Combo,971,44,77.1%,0,0.0%,0,0.0%,0,0.0%
Antonio Davis,35.0,CHI,Big,2029,79,76.8%,0,0.0%,0,0.0%,0,0.0%
Antonio Davis,35.0,TOR,Big,542,73,75.5%,0,0.0%,0,0.0%,0,0.0%
Baron Davis,24.6,NOP,Combo,2685,0,67.3%,0,0.0%,0,0.0%,0,0.0%
Dale Davis,34.6,POR,Big,1671,25,61.3%,0,0.0%,91,0.0%,0,0.0%
Ricky Davis,24.1,BOS,Wing,1648,29,74.1%,0,0.0%,0,0.0%,0,0.0%
Ricky Davis,24.1,CLE,Combo,793,3,68.0%,0,0.0%,0,0.0%,0,0.0%
Andrew DeClercq,30.7,ORL,Big,1207,93,81.5%,0,0.0%,0,0.0%,0,0.0%
Tony Delk,29.8,DAL,Combo,487,88,85.7%,0,0.0%,0,0.0%,0,0.0%
Boris Diaw,21.5,ATL,Big,1847,20,59.0%,0,0.0%,0,0.0%,0,0.0%
Dan Dickau,25.1,POR,Combo,130,0,75.0%,0,0.0%,0,0.0%,0,0.0%
DeSagana Diop,21.8,CLE,Big,655,0,62.5%,0,0.0%,0,0.0%,0,0.0%
Vlade Divac,35.7,SAC,Big,2310,34,65.4%,0,0.0%,86,0.0%,0,0.0%
Juan Dixon,25.1,WAS,Combo,1397,53,78.7%,0,0.0%,0,0.0%,0,0.0%
Michael Doleac,26.4,DEN,Big,317,0,91.7%,0,0.0%,0,0.0%,0,0.0%
Michael Doleac,26.4,NYK,Big,655,96,86.1%,0,0.0%,0,0.0%,0,0.0%
Keyon Dooling,23.5,LAC,Combo,1089,65,82.2%,0,0.0%,0,0.0%,0,0.0%
Predrag Drobnjak,28.0,LAC,Big,927,95,84.9%,0,0.0%,0,0.0%,0,0.0%
