Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Kyle Anderson,30.1,MIN,Forward,1769,62,-0.9,73,-0.9,74,-1.0%,44,+1.6,54,-0.1,49,+0.2%,36,+5.4,78,-0.9,79,-2.6%,60,-2.7
Giannis Antetokounmpo,28.9,MIL,Forward,2565,77,-3.1,84,-1.5,96,-2.6%,87,-10.9,67,-0.3,79,-4.9%,38,+4.7,83,-1.2,69,-1.8%,89,-16.1
Harrison Barnes,31.4,SAC,Forward,2380,25,+3.0,61,-0.4,46,+0.1%,60,-2.3,46,+0.1,39,+1.5%,52,-0.3,71,-0.6,71,-1.9%,67,-5.1
Nicolas Batum,34.9,PHI,Wing,1470,44,+0.9,59,-0.4,93,-2.1%,53,-0.8,51,-0.0,97,-13.2%,35,+5.7,52,-0.0,73,-2.1%,49,+0.4
Bradley Beal,30.3,PHX,Combo,1759,40,+1.2,35,+0.6,32,+0.7%,34,+4.4,26,+0.4,13,+6.4%,34,+5.8,50,+0.1,60,-0.9%,45,+1.4
Malik Beasley,26.9,MIL,Combo,2330,89,-6.0,22,+1.2,37,+0.5%,25,+7.0,15,+0.8,8,+8.4%,15,+16.1,33,+0.5,63,-1.2%,40,+3.2
Davis Bertans,31.0,CHA,Wing,575,33,+2.1,67,-0.6,85,-1.6%,56,-1.4,18,+0.7,67,-2.6%,20,+13.2,85,-1.2,98,-6.3%,80,-11.0
Patrick Beverley,35.3,PHI,Combo,904,60,-0.9,55,-0.2,66,-0.6%,54,-0.9,92,-1.1,99,-17.6%,94,-25.4,15,+1.1,56,-0.7%,21,+9.9
Patrick Beverley,35.3,MIL,Wing,527,5,+6.8,61,-0.4,78,-1.1%,47,+0.9,81,-0.6,51,-0.3%,84,-16.5,37,+0.4,61,-1.1%,19,+10.8
Bismack Biyombo,31.2,MEM,Big,718,8,+6.2,7,+2.1,41,+0.2%,5,+15.7,32,+0.3,90,-8.0%,31,+7.5,11,+1.4,10,+4.1%,8,+17.2
Bojan Bogdanovic,34.5,DET,Forward,920,3,+7.8,91,-1.9,76,-1.0%,75,-6.0,62,-0.2,69,-3.1%,51,+0.1,90,-1.5,75,-2.3%,77,-9.2
Bojan Bogdanovic,34.5,NYK,Forward,549,7,+6.4,49,+0.1,75,-1.0%,55,-1.1,53,-0.0,97,-13.5%,40,+4.0,43,+0.2,97,-5.9%,62,-3.0
Devin Booker,27.0,PHX,Point,2445,34,+2.0,56,-0.3,86,-1.6%,47,+1.0,31,+0.3,33,+2.5%,23,+10.8,61,-0.3,90,-4.3%,59,-2.3
Malcolm Brogdon,30.9,POR,Combo,1120,70,-2.1,76,-1.0,94,-2.2%,75,-6.0,45,+0.1,46,+0.5%,28,+8.4,80,-1.0,88,-3.9%,86,-14.4
Jaylen Brown,27.0,BOS,Wing,2339,24,+3.1,42,+0.4,2,+3.5%,48,+0.8,63,-0.2,2,+12.9%,82,-13.9,27,+0.7,12,+3.8%,27,+7.8
Reggie Bullock,32.6,HOU,Wing,334,54,-0.1,38,+0.4,82,-1.4%,27,+6.6,43,+0.1,74,-4.0%,25,+9.7,22,+0.8,87,-3.8%,13,+13.7
Alec Burks,32.3,DET,Wing,894,24,+3.2,40,+0.4,81,-1.3%,61,-2.7,89,-0.9,73,-3.9%,87,-18.8,15,+1.2,89,-4.3%,27,+7.8
Alec Burks,32.3,NYK,Wing,304,16,+4.5,42,+0.4,65,-0.6%,13,+11.1,43,+0.1,96,-12.5%,28,+8.3,50,+0.0,95,-5.1%,25,+8.5
Jimmy Butler,34.1,MIA,Forward,2042,62,-1.1,44,+0.3,39,+0.4%,42,+2.2,44,+0.1,42,+1.0%,39,+4.1,45,+0.1,23,+2.3%,48,+0.6
Kentavious Caldwell-Pope,30.7,DEN,Wing,2400,75,-2.8,40,+0.4,40,+0.3%,35,+4.2,55,-0.1,13,+6.6%,72,-8.1,34,+0.4,29,+1.7%,25,+8.5
Clint Capela,29.5,ATL,Big,1882,85,-4.7,40,+0.4,20,+1.3%,41,+2.6,46,+0.1,78,-4.8%,53,-0.8,42,+0.2,10,+4.2%,37,+4.1
Jordan Clarkson,31.4,UTA,Wing,1672,39,+1.3,61,-0.4,26,+0.9%,73,-5.4,24,+0.5,25,+3.8%,29,+8.2,73,-0.7,37,+1.0%,81,-11.5
Mike Conley,36.1,MIN,Point,2193,62,-1.0,55,-0.3,28,+0.8%,66,-3.3,54,-0.1,21,+4.6%,72,-8.3,56,-0.1,54,-0.5%,58,-1.8
Pat Connaughton,30.8,MIL,Wing,1638,13,+4.9,29,+0.9,52,-0.1%,25,+7.0,87,-0.8,84,-5.8%,85,-16.7,6,+1.8,51,-0.3%,7,+18.2
Robert Covington,32.9,PHI,Big,395,83,-4.2,28,+0.9,6,+2.5%,36,+3.9,40,+0.2,26,+3.7%,77,-11.7,36,+0.4,7,+4.8%,29,+6.4
Jae Crowder,33.3,MIL,Forward,1142,43,+1.0,69,-0.7,43,+0.2%,59,-2.1,64,-0.2,18,+5.4%,64,-4.5,77,-0.8,78,-2.5%,66,-4.5
Seth Curry,33.2,DAL,Wing,423,99,-12.2,59,-0.4,72,-0.9%,48,+0.8,69,-0.4,15,+6.1%,76,-9.9,53,-0.1,90,-4.5%,29,+6.4
Seth Curry,33.2,CHA,Wing,158,84,-4.3,88,-1.7,66,-0.6%,82,-8.7,75,-0.5,63,-2.1%,44,+2.4,93,-1.7,37,+1.0%,95,-22.2
Stephen Curry,35.6,GSW,Point,2419,55,-0.2,41,+0.4,8,+2.3%,53,-0.7,45,+0.1,3,+12.4%,69,-6.9,39,+0.3,19,+2.8%,46,+1.1
Anthony Davis,30.6,LAL,Big,2699,65,-1.5,39,+0.4,74,-1.0%,39,+3.0,97,-1.4,63,-2.2%,94,-25.0,5,+1.8,76,-2.3%,6,+18.7
DeMar DeRozan,34.2,CHI,Forward,2987,57,-0.4,73,-0.9,72,-0.9%,71,-5.1,46,+0.1,27,+3.6%,33,+6.0,81,-1.0,65,-1.3%,82,-11.8
Spencer Dinwiddie,30.6,BKN,Point,1471,41,+1.1,28,+0.9,17,+1.5%,21,+8.0,28,+0.4,41,+1.2%,19,+13.8,34,+0.5,23,+2.3%,30,+6.2
Spencer Dinwiddie,30.6,LAL,Combo,671,20,+3.7,93,-2.1,96,-2.6%,89,-12.1,78,-0.5,39,+1.4%,61,-3.5,92,-1.7,83,-3.4%,91,-17.5
Andre Drummond,30.2,CHI,Big,1343,42,+1.1,68,-0.6,27,+0.9%,79,-7.5,84,-0.7,54,-0.7%,89,-20.4,48,+0.1,6,+5.1%,58,-2.0
Kris Dunn,29.6,UTA,Combo,1190,65,-1.4,75,-1.0,74,-1.0%,70,-4.9,97,-1.4,91,-8.6%,92,-22.9,38,+0.3,28,+1.8%,37,+4.1
Kevin Durant,35.1,PHX,Big,2789,56,-0.3,63,-0.5,45,+0.1%,34,+4.4,66,-0.3,33,+2.4%,56,-2.1,57,-0.2,65,-1.2%,30,+6.1
Joel Embiid,29.6,PHI,Big,1309,80,-3.7,45,+0.3,34,+0.6%,57,-1.7,24,+0.5,5,+10.0%,27,+8.8,59,-0.2,22,+2.4%,71,-6.6
Dante Exum,28.3,DAL,Wing,1067,79,-3.3,80,-1.2,84,-1.5%,65,-3.2,83,-0.7,88,-7.0%,62,-3.9,69,-0.5,31,+1.6%,60,-2.3
Dorian Finney-Smith,30.5,BKN,Big,1926,64,-1.4,83,-1.4,71,-0.8%,71,-5.0,62,-0.2,25,+3.9%,48,+1.1,86,-1.3,79,-2.7%,76,-8.6
Evan Fournier,31.0,DET,Wing,535,86,-5.0,75,-1.0,16,+1.6%,84,-9.9,21,+0.6,70,-3.4%,50,+0.2,93,-1.7,46,-0.0%,92,-18.2
Danilo Gallinari,35.2,WAS,Big,385,53,-0.0,77,-1.1,89,-1.8%,78,-7.4,93,-1.2,86,-6.2%,95,-26.4,58,-0.2,98,-6.4%,58,-2.0
Danilo Gallinari,35.2,MIL,Forward,135,5,+7.1,99,-4.3,78,-1.1%,98,-28.8,97,-1.4,99,-15.5%,96,-30.0,99,-2.9,70,-1.8%,98,-30.6
