Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Kawhi Leonard,23.3,SAS,Wing,249,69,51.9%,37,21%,100,34%,80,25%,97,59%,17,5%,11,16%,9,21%
Meyers Leonard,22.7,POR,Big,103,100,100.0%,2,16%,16,11%,51,11%,16,21%,93,11%,100,53%,100,63%
Damian Lillard,24.3,POR,Combo,200,28,43.7%,83,44%,11,9%,67,19%,17,28%,22,3%,61,26%,39,29%
Shaun Livingston,29.1,GSW,Combo,369,78,53.8%,94,48%,100,36%,50,16%,78,52%,0,0%,0,0%,0,0%
Brook Lopez,26.6,BKN,Big,232,47,49.4%,49,49%,84,34%,67,17%,79,51%,0,0%,0,0%,0,0%
Robin Lopez,26.6,POR,Big,117,81,60.0%,63,58%,74,32%,51,11%,63,42%,0,0%,0,0%,0,0%
Kevin Love,26.1,CLE,Big,106,63,52.4%,12,29%,33,16%,49,10%,28,27%,95,14%,88,31%,91,45%
Kyle Lowry,28.6,TOR,Point,131,13,37.3%,40,29%,67,19%,27,17%,33,36%,73,5%,73,31%,67,36%
O.J. Mayo,27.0,MIL,Wing,155,6,39.6%,57,29%,14,7%,86,29%,63,36%,31,9%,49,25%,43,35%
CJ McCollum,23.1,POR,Wing,165,89,57.7%,86,42%,43,12%,46,16%,49,28%,9,3%,57,28%,31,30%
Khris Middleton,23.2,MIL,Wing,231,23,44.0%,43,22%,40,11%,94,31%,80,43%,46,10%,43,25%,46,35%
Patty Mills,26.2,SAS,Combo,112,94,69.0%,33,17%,6,7%,44,14%,6,21%,89,19%,89,43%,94,62%
Paul Millsap,29.7,ATL,Big,564,28,44.3%,40,42%,58,27%,47,10%,49,37%,81,5%,74,16%,77,21%
Nikola Mirotic,23.7,CHI,Forward,149,0,32.8%,67,33%,33,9%,44,16%,44,25%,33,8%,78,34%,56,42%
Timofey Mozgov,28.3,CLE,Big,523,49,50.0%,84,74%,19,11%,65,15%,26,26%,0,0%,0,0%,0,0%
Joakim Noah,29.7,CHI,Big,389,12,40.5%,88,78%,44,20%,21,2%,19,22%,0,0%,0,0%,0,0%
Dirk Nowitzki,36.4,DAL,Big,180,40,47.6%,0,8%,88,37%,93,35%,100,72%,79,3%,77,17%,74,20%
Zaza Pachulia,30.7,MIL,Big,128,9,40.0%,35,36%,28,16%,100,49%,93,64%,0,0%,0,0%,0,0%
Tony Parker,32.5,SAS,Point,209,7,36.7%,53,29%,93,31%,80,32%,100,63%,80,6%,0,2%,7,8%
Patrick Patterson,25.6,TOR,Big,105,91,68.5%,5,18%,35,18%,58,11%,33,29%,100,29%,81,25%,95,54%
