Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
LaMarcus Aldridge,25.3,POR,Big,258,26,-7.8,23,-1.2,2,-5.8%,61,+5.9,61,+0.6,19,-11.0%,75,+27.8,19,-1.7,66,+3.3%,31,-9.1
Ray Allen,35.3,BOS,Wing,360,95,+19.6,40,-0.4,96,+5.6%,47,-1.3,63,+0.7,57,+4.8%,87,+53.3,53,+0.4,97,+16.1%,15,-28.9
Tony Allen,28.8,MEM,Combo,348,32,-6.9,71,+1.4,89,+4.4%,55,+1.0,76,+1.4,87,+18.2%,43,-4.2,41,-0.3,79,+6.2%,45,-1.7
Ryan Anderson,22.5,ORL,Big,145,99,+24.7,27,-0.7,69,+2.2%,17,-15.6,42,-0.2,89,+19.7%,23,-30.0,33,-0.6,50,+1.2%,30,-13.7
Carmelo Anthony,26.4,NYK,Wing,155,46,-2.0,50,+0.1,88,+4.2%,10,-23.3,18,-1.3,2,-28.6%,17,-37.5,59,+1.0,99,+18.0%,22,-21.4
Joel Anthony,28.2,MIA,Big,572,66,+4.3,55,+0.3,41,-0.3%,62,+7.4,65,+0.8,20,-10.8%,74,+25.1,32,-0.6,48,+1.0%,36,-4.5
Trevor Ariza,25.3,NOH,Wing,240,69,+4.9,100,+9.2,21,-1.8%,93,+48.9,97,+3.8,10,-15.3%,83,+40.4,98,+5.5,19,-4.7%,87,+45.8
Darrell Arthur,22.6,MEM,Big,197,18,-10.8,26,-0.8,19,-2.2%,39,-4.8,16,-1.4,39,-1.1%,31,-20.2,57,+0.8,39,-1.0%,60,+9.7
Omer Asik,24.3,CHI,Big,136,22,-9.7,11,-2.5,28,-1.3%,21,-13.9,92,+2.6,75,+12.0%,71,+20.8,2,-4.5,7,-9.1%,2,-56.7
J.J. Barea,26.3,DAL,Combo,384,54,-0.2,46,-0.1,33,-0.7%,52,+0.2,22,-1.1,74,+10.9%,26,-27.1,60,+1.0,44,+0.0%,71,+21.7
Matt Barnes,30.6,LAL,Wing,125,25,-8.2,34,-0.6,60,+1.2%,36,-5.5,2,-3.4,80,+14.2%,2,-108.8,86,+3.3,43,-0.0%,91,+57.5
Brandon Bass,25.5,ORL,Big,138,2,-24.3,39,-0.5,72,+2.4%,43,-2.3,45,-0.0,60,+5.0%,36,-12.7,36,-0.4,52,+1.4%,36,-4.5
Shane Battier,32.1,MEM,Forward,337,72,+5.2,16,-1.9,3,-5.5%,36,-5.6,4,-3.2,13,-13.5%,14,-44.8,69,+1.6,2,-10.7%,72,+21.8
Nicolas Batum,21.9,POR,Forward,150,64,+3.9,36,-0.5,44,-0.3%,60,+4.2,40,-0.3,72,+10.7%,34,-16.7,46,-0.2,31,-2.7%,62,+14.3
Marco Belinelli,24.6,NOH,Wing,171,9,-16.1,93,+5.5,91,+4.4%,97,+62.6,82,+1.6,97,+32.6%,40,-8.3,91,+3.9,55,+1.9%,95,+79.4
Mike Bibby,32.5,MIA,Point,413,21,-9.7,22,-1.2,70,+2.3%,24,-10.9,80,+1.6,86,+17.9%,80,+38.2,11,-2.9,64,+3.2%,6,-47.0
