Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Steven Adams,22.3,OKC,Big,546,8,11.2%,84,126.4,26,3.5%,32,0.31,61,11.3%
LaMarcus Aldridge,30.3,SAS,Big,336,89,25.1%,71,116.5,34,5.3%,13,0.21,95,6.1%
Al-Farouq Aminu,25.1,POR,Forward,370,67,17.1%,67,113.4,56,8.7%,56,0.51,28,14.0%
Kyle Anderson,22.1,SAS,Forward,100,17,12.3%,28,95.2,61,9.1%,78,0.74,11,14.8%
Trevor Ariza,30.3,HOU,Forward,180,50,14.2%,0,64.7,0,3.8%,11,0.27,0,19.5%
Leandro Barbosa,32.9,GSW,Wing,212,52,17.4%,100,135.0,41,8.1%,34,0.47,17,12.4%
J.J. Barea,31.3,DAL,Point,100,25,25.1%,0,73.5,38,27.0%,50,1.08,6,20.4%
Harrison Barnes,23.4,GSW,Forward,720,44,14.0%,22,94.5,39,5.8%,39,0.41,83,8.0%
Matt Barnes,35.6,MEM,Forward,138,83,19.9%,17,86.0,83,15.1%,83,0.76,6,18.0%
Nicolas Batum,26.9,CHA,Wing,143,79,20.7%,59,107.5,79,13.9%,66,0.67,14,12.9%
Kent Bazemore,26.3,ATL,Wing,324,55,18.0%,10,92.2,45,9.2%,45,0.51,86,6.8%
Patrick Beverley,27.3,HOU,Point,128,0,14.9%,6,74.4,6,13.9%,31,0.94,88,8.6%
Bismack Biyombo,23.2,TOR,Big,504,3,10.5%,76,119.4,11,2.5%,18,0.24,13,18.6%
Andrew Bogut,30.9,GSW,Big,364,13,12.3%,79,120.2,79,12.7%,89,1.03,11,18.7%
Kentavious Caldwell-Pope,22.7,DET,Wing,160,41,15.8%,66,115.1,52,11.0%,76,0.69,100,3.9%
DeMarre Carroll,29.3,TOR,Forward,595,39,13.9%,39,100.0,28,4.6%,22,0.33,61,10.1%
Ian Clark,24.7,GSW,Combo,109,15,17.6%,92,110.3,23,16.7%,54,0.95,100,7.1%
Allen Crabbe,23.6,POR,Wing,298,14,11.1%,90,131.3,38,7.5%,69,0.68,76,7.7%
Jamal Crawford,35.6,LAC,Wing,197,97,27.6%,7,91.2,62,11.6%,17,0.42,79,7.3%
Jae Crowder,25.3,BOS,Forward,195,72,18.1%,11,72.4,72,11.3%,61,0.62,72,8.5%
Stephen Curry,27.6,GSW,Point,612,75,32.4%,94,123.2,31,26.7%,19,0.83,13,16.3%
Ed Davis,26.4,POR,Big,204,26,14.2%,63,110.9,68,10.4%,82,0.74,21,15.3%
DeMar DeRozan,26.2,TOR,Wing,745,100,30.7%,14,92.9,86,14.3%,31,0.47,55,9.0%
Matthew Dellavedova,25.1,CLE,Point,218,19,22.5%,19,87.7,75,37.7%,100,1.68,63,11.5%
Luol Deng,30.5,MIA,Forward,492,56,15.7%,83,120.8,50,6.9%,44,0.44,22,14.1%
