Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Steven Adams,25.3,OKC,Big,159,95,68.3%,88,68.3%,0,0.0%,0,37.5%,15,89%,0,94%,50,80%,0,0%
LaMarcus Aldridge,33.3,SAS,Big,243,25,46.7%,30,47.3%,0,27.3%,65,81.8%,88,62%,60,63%,83,57%,28,100%
Jarrett Allen,20.5,BKN,Big,110,68,59.4%,70,59.4%,0,0.0%,0,85.0%,28,84%,8,84%,0,0%,0,0%
Al-Farouq Aminu,28.1,POR,Big,399,10,41.7%,8,39.7%,23,29.4%,35,75.0%,50,76%,60,63%,83,57%,28,100%
Giannis Antetokounmpo,23.9,MIL,Forward,513,73,52.7%,82,53.7%,58,32.7%,0,63.9%,73,51%,73,48%,91,23%,64,83%
D.J. Augustin,31.0,ORL,Point,140,100,61.0%,57,50.0%,92,47.6%,0,87.5%,64,40%,64,20%,100,0%,43,70%
Will Barton,27.8,DEN,Wing,320,9,41.5%,21,39.2%,9,30.0%,0,66.7%,85,57%,79,41%,91,29%,3,100%
Aron Baynes,31.9,BOS,Big,115,85,64.3%,100,75.0%,0,33.3%,0,50.0%,55,75%,68,60%,8,100%,28,100%
Malik Beasley,21.9,DEN,Wing,265,24,45.3%,15,36.4%,56,36.6%,10,71.0%,64,71%,52,63%,55,63%,88,80%
Marco Belinelli,32.6,SAS,Wing,130,27,45.8%,12,35.3%,63,36.8%,0,83.3%,52,77%,88,33%,48,67%,3,100%
Patrick Beverley,30.3,LAC,Combo,194,78,56.4%,33,41.2%,87,43.3%,0,75.0%,33,60%,94,0%,0,100%,56,77%
Eric Bledsoe,28.9,MIL,Point,422,21,45.9%,71,52.2%,8,23.9%,0,70.6%,21,51%,14,50%,29,47%,71,59%
Bojan Bogdanovic,29.5,IND,Forward,147,27,46.0%,27,43.9%,33,31.8%,0,88.2%,36,60%,55,54%,55,40%,45,86%
Andrew Bogut,33.9,GSW,Big,178,88,64.9%,80,64.9%,0,0.0%,0,80.0%,83,67%,53,67%,70,67%,0,0%
