Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Precious Achiuwa,21.1,MIA,Big,685,40,54.3%,39,54.6%,0,0.0%,5,50.0%,53,73%,19,76%,88,44%,0,0%
Steven Adams,27.3,NOP,Big,1604,81,62.0%,74,62.0%,0,0.0%,0,44.4%,88,60%,79,56%,48,74%,0,0%
Bam Adebayo,23.3,MIA,Big,2130,55,57.1%,52,57.3%,0,0.0%,76,80.2%,76,65%,36,72%,73,57%,0,0%
LaMarcus Aldridge,35.3,SAS,Big,544,25,51.8%,19,50.9%,56,36.0%,87,83.8%,39,77%,98,43%,33,80%,78,96%
LaMarcus Aldridge,35.3,BKN,Big,130,49,56.3%,15,48.8%,0,80.0%,0,100.0%,70,68%,34,73%,79,50%,21,100%
Nickeil Alexander-Walker,22.2,NOP,Combo,958,37,50.2%,44,48.4%,31,34.4%,10,67.9%,34,58%,45,41%,57,28%,25,92%
Grayson Allen,25.1,MEM,Wing,1249,65,54.8%,34,47.1%,70,39.2%,85,86.8%,29,80%,30,67%,42,53%,50,91%
Jarrett Allen,22.5,BKN,Big,315,94,67.7%,93,67.7%,0,0.0%,61,75.0%,42,76%,14,77%,57,67%,0,0%
Jarrett Allen,22.5,CLE,Big,1529,81,61.7%,76,62.3%,42,33.3%,37,69.0%,57,72%,46,69%,31,82%,21,100%
Al-Farouq Aminu,30.1,ORL,Forward,366,8,44.4%,38,50.0%,5,22.6%,0,82.4%,88,53%,74,53%,83,30%,83,86%
Kyle Anderson,27.1,MEM,Forward,1884,57,53.8%,64,54.0%,43,35.7%,53,78.3%,86,57%,79,49%,68,43%,82,86%
Giannis Antetokounmpo,25.9,MIL,Big,2010,71,60.1%,79,63.6%,29,30.1%,32,68.5%,99,41%,96,46%,94,33%,100,30%
Thanasis Antetokounmpo,28.3,MIL,Forward,448,34,51.4%,62,53.4%,15,28.6%,0,48.8%,74,62%,57,61%,97,0%,88,83%
Carmelo Anthony,36.4,POR,Forward,1671,32,51.1%,11,43.3%,82,41.2%,98,89.5%,92,48%,83,47%,92,24%,93,78%
Cole Anthony,20.5,ORL,Point,1229,14,46.3%,18,42.8%,55,36.3%,38,83.2%,80,25%,82,16%,93,7%,66,62%
OG Anunoby,23.3,TOR,Forward,1433,84,58.7%,76,56.9%,77,40.2%,56,78.4%,58,70%,70,55%,73,37%,47,97%
Ryan Arcidiacono,26.6,CHI,Combo,415,59,53.0%,53,50.0%,44,36.8%,0,68.8%,10,77%,49,40%,9,67%,0,100%
Trevor Ariza,35.3,MIA,Forward,836,37,51.7%,38,50.0%,42,35.2%,52,78.0%,19,86%,18,76%,1,100%,59,94%
D.J. Augustin,33.0,HOU,Combo,405,66,54.1%,31,46.8%,73,39.3%,94,90.7%,61,48%,77,26%,51,30%,77,67%
D.J. Augustin,33.0,MIL,Point,697,34,48.6%,2,34.4%,62,37.1%,79,89.7%,9,58%,91,10%,64,18%,43,78%
Deni Avdija,19.8,WAS,Forward,1224,28,50.7%,66,54.3%,27,31.5%,15,65.9%,23,83%,21,73%,23,73%,42,98%
Deandre Ayton,22.3,PHX,Big,2108,84,63.1%,83,64.1%,2,20.0%,69,77.8%,59,72%,44,69%,43,77%,21,100%
Dwayne Bacon,25.2,ORL,Wing,1812,8,43.9%,20,44.6%,12,28.0%,55,81.1%,93,46%,87,43%,68,41%,97,63%
Marvin Bagley,21.6,SAC,Big,1091,39,54.3%,41,54.8%,50,34.6%,9,57.8%,73,67%,68,61%,64,63%,83,94%
LaMelo Ball,19.2,CHA,Point,1454,50,50.9%,50,48.6%,52,36.2%,24,75.2%,36,43%,55,29%,41,25%,48,74%
Lonzo Ball,23.0,NOP,Combo,1738,63,53.9%,43,48.1%,52,37.9%,32,78.1%,23,67%,37,46%,34,37%,44,84%
Mohamed Bamba,22.5,ORL,Big,664,26,52.2%,45,55.6%,35,31.4%,25,65.0%,69,68%,83,55%,68,61%,21,100%
Desmond Bane,22.4,MEM,Wing,1469,80,57.7%,54,50.7%,88,42.3%,53,80.9%,24,82%,59,55%,12,85%,43,94%
Harrison Barnes,28.4,SAC,Forward,2101,80,57.7%,73,56.7%,67,39.1%,68,83.0%,64,68%,53,62%,50,50%,77,88%
RJ Barrett,20.4,NYK,Wing,2498,35,50.0%,24,45.8%,78,40.3%,29,74.4%,87,52%,92,39%,87,29%,29,98%
Will Barton,29.8,DEN,Wing,1723,44,51.4%,29,46.3%,66,38.6%,36,77.8%,81,58%,76,49%,59,47%,86,74%
Keita Bates-Diop,24.8,SAS,Forward,159,91,59.6%,93,62.9%,0,33.3%,0,55.6%,48,73%,46,65%,1,100%,2,100%
Nicolas Batum,31.9,LAC,Wing,1839,88,60.0%,82,57.4%,81,40.9%,68,82.8%,10,90%,16,74%,10,85%,22,99%
Aron Baynes,33.9,TOR,Big,978,10,48.7%,31,53.5%,9,26.2%,43,70.7%,28,79%,54,65%,9,97%,21,100%
Kent Bazemore,31.3,GSW,Wing,1294,63,54.7%,45,49.0%,79,40.6%,16,69.7%,41,74%,25,71%,58,47%,49,92%
Darius Bazley,20.4,OKC,Forward,1690,9,45.7%,24,47.1%,18,29.1%,18,70.3%,79,60%,76,51%,64,43%,87,84%
Bradley Beal,27.3,WAS,Wing,2143,55,53.3%,69,53.5%,41,34.9%,93,88.9%,89,49%,76,50%,75,38%,87,72%
Malik Beasley,23.9,MIN,Wing,1213,66,54.9%,45,49.3%,76,39.9%,74,85.0%,39,75%,45,61%,29,66%,65,88%
DeAndre' Bembry,26.3,TOR,Wing,947,64,54.8%,88,59.4%,7,25.5%,14,68.3%,71,63%,39,64%,64,43%,46,92%
Davis Bertans,28.0,WAS,Forward,1462,86,58.8%,34,49.0%,75,39.7%,85,87.0%,1,95%,4,82%,43,57%,44,98%
Patrick Beverley,32.3,LAC,Combo,823,83,56.5%,36,47.4%,83,40.9%,30,78.0%,17,71%,49,40%,41,35%,24,93%
Saddiq Bey,21.6,DET,Wing,1887,55,53.2%,18,44.0%,65,38.4%,70,84.4%,31,77%,63,54%,63,44%,45,92%
Khem Birch,28.1,TOR,Big,574,63,58.3%,68,61.2%,23,29.0%,22,63.6%,21,82%,28,74%,21,87%,21,100%
Khem Birch,28.1,ORL,Big,913,6,47.2%,16,49.2%,2,20.0%,59,74.1%,50,74%,68,61%,19,87%,21,100%
Goga Bitadze,21.3,IND,Big,511,9,48.3%,40,54.8%,10,26.3%,70,78.0%,46,75%,71,60%,22,86%,21,100%
Bismack Biyombo,28.2,CHA,Big,1342,65,58.9%,59,59.2%,0,0.0%,1,44.8%,7,87%,4,87%,18,89%,0,0%
Nemanja Bjelica,32.5,SAC,Big,435,23,51.7%,49,56.5%,25,29.3%,64,76.2%,66,70%,61,64%,68,62%,93,88%
Nemanja Bjelica,32.5,MIA,Big,152,34,53.4%,28,52.6%,56,36.0%,0,55.6%,30,79%,50,67%,2,100%,91,89%
Eric Bledsoe,30.9,NOP,Point,2108,45,50.3%,64,49.3%,31,34.2%,12,68.7%,7,64%,5,56%,5,43%,25,86%
Bogdan Bogdanovic,28.2,ATL,Wing,1300,90,60.1%,63,52.2%,94,43.8%,96,90.9%,69,64%,78,49%,78,35%,75,83%
Bojan Bogdanovic,31.5,UTA,Forward,2207,54,53.6%,33,48.5%,70,39.1%,89,87.9%,68,66%,73,53%,88,27%,52,96%
Jordan Bone,23.0,ORL,Point,155,68,52.5%,100,64.3%,10,30.8%,0,0.0%,73,29%,0,0%,82,11%,82,50%
Isaac Bonga,21.0,WAS,Forward,361,24,50.0%,63,53.6%,30,31.7%,0,57.1%,44,75%,38,67%,79,33%,2,100%
Devin Booker,24.0,PHX,Wing,2269,59,53.4%,74,54.3%,35,34.1%,81,86.6%,96,45%,71,51%,81,33%,93,66%
Chris Boucher,27.8,TOR,Big,1441,69,59.8%,67,60.9%,75,38.9%,72,78.4%,34,78%,55,65%,20,87%,72,98%
Avery Bradley,29.9,MIA,Combo,203,93,58.5%,69,51.9%,87,42.1%,0,77.8%,5,87%,1,89%,30,40%,0,100%
Avery Bradley,29.9,HOU,Wing,383,3,39.6%,5,39.0%,9,26.2%,0,83.3%,30,78%,23,71%,48,50%,65,88%
Tony Bradley,22.8,OKC,Big,371,92,66.1%,88,66.7%,0,0.0%,56,73.7%,54,73%,48,67%,21,86%,0,0%
Tony Bradley,22.8,PHI,Big,244,97,69.5%,98,70.7%,0,0.0%,0,70.0%,80,63%,63,63%,57,67%,0,0%
Ignas Brazdeikis,21.8,ORL,Big,199,22,51.6%,9,46.3%,88,40.9%,0,70.0%,71,68%,89,50%,74,57%,21,100%
Mikal Bridges,24.2,PHX,Wing,2347,97,64.6%,97,65.0%,91,42.8%,75,85.2%,19,85%,8,83%,32,63%,24,99%
Miles Bridges,22.6,CHA,Big,1888,69,59.8%,61,59.9%,82,39.9%,97,87.2%,43,76%,34,73%,62,65%,98,83%
