Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Steven Adams,26.3,OKC,Big,1680,81,+2.0%,17,-2.7%,97,+5.3%,94,+3.0%,99,+8.3%,7,-1.9%,9,-3.7%,4,-5.6%
LaMarcus Aldridge,34.3,SAS,Big,1753,38,-0.9%,8,-4.1%,38,-0.8%,99,+5.4%,90,+4.6%,58,+0.2%,41,-0.7%,44,-0.5%
Al-Farouq Aminu,29.1,ORL,Forward,380,1,-7.7%,71,+1.6%,17,-2.3%,22,-1.5%,12,-3.8%,86,+1.4%,61,+0.8%,74,+2.2%
Kyle Anderson,26.1,MEM,Forward,1296,29,-1.5%,24,-2.0%,97,+4.8%,88,+2.3%,98,+7.1%,19,-1.1%,7,-4.0%,5,-5.1%
Giannis Antetokounmpo,24.9,MIL,Big,1915,77,+1.6%,99,+7.1%,5,-3.9%,6,-3.2%,3,-7.1%,66,+0.6%,44,-0.6%,50,+0.0%
Carmelo Anthony,35.4,POR,Big,1897,41,-0.7%,42,-0.6%,84,+2.3%,85,+1.9%,87,+4.1%,54,+0.0%,10,-3.5%,14,-3.5%
Trevor Ariza,34.3,SAC,Forward,783,18,-2.4%,43,-0.6%,63,+0.7%,27,-1.2%,45,-0.5%,62,+0.4%,60,+0.7%,61,+1.1%
Trevor Ariza,34.3,POR,Wing,701,92,+3.3%,74,+1.8%,15,-2.4%,39,-0.6%,18,-3.0%,99,+3.3%,24,-2.1%,63,+1.2%
D.J. Augustin,32.0,ORL,Point,1419,36,-1.1%,19,-2.5%,52,-0.0%,75,+1.2%,67,+1.2%,78,+1.0%,54,+0.3%,64,+1.3%
J.J. Barea,35.3,DAL,Point,388,35,-1.2%,84,+2.8%,60,+0.5%,28,-1.1%,42,-0.6%,59,+0.2%,21,-2.4%,26,-2.2%
Harrison Barnes,27.4,SAC,Forward,2474,52,-0.0%,64,+0.9%,60,+0.5%,44,-0.3%,57,+0.2%,45,-0.2%,37,-0.9%,38,-1.1%
Will Barton,28.8,DEN,Wing,1903,57,+0.4%,53,+0.0%,64,+0.8%,61,+0.4%,68,+1.2%,17,-1.2%,50,+0.0%,37,-1.2%
Nicolas Batum,30.9,CHA,Wing,488,94,+3.7%,8,-4.2%,42,-0.6%,65,+0.6%,55,+0.0%,52,-0.0%,90,+4.2%,88,+4.2%
Aron Baynes,32.9,PHX,Big,934,58,+0.4%,29,-1.6%,15,-2.4%,46,-0.3%,21,-2.7%,33,-0.5%,94,+4.8%,89,+4.3%
