Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Quincy Acy,22.1,TOR,Big,291,97,+9.3,100,+5.2,99,+4.8%,100,+31.0,81,+0.6,70,+3.0%,59,+2.9,100,+4.5,98,+9.2%,100,+47.2
Jeff Adrien,26.7,CHA,Big,660,61,+0.7,70,+0.7,17,-1.9%,91,+11.9,67,+0.3,33,-3.1%,60,+3.4,60,+0.2,4,-6.6%,83,+12.3
Arron Afflalo,27.0,ORL,Wing,2288,82,+3.7,28,-0.9,33,-0.9%,23,-7.2,52,-0.0,30,-3.9%,65,+5.1,20,-0.9,51,-0.1%,17,-12.3
Cole Aldrich,24.0,HOU,Big,179,8,-7.5,42,-0.3,63,+0.4%,48,-0.3,100,+2.6,49,-0.3%,99,+38.9,1,-3.1,84,+3.8%,3,-28.0
Cole Aldrich,24.0,SAC,Big,149,97,+8.5,97,+2.4,97,+4.0%,74,+5.6,99,+2.2,97,+12.6%,97,+28.3,29,-0.6,78,+2.9%,16,-12.8
LaMarcus Aldridge,27.3,POR,Big,2782,86,+4.6,47,-0.1,61,+0.4%,58,+1.8,67,+0.3,54,+0.3%,56,+1.7,32,-0.5,29,-2.4%,41,-2.8
Lavoy Allen,23.7,PHI,Big,1623,48,-0.7,7,-2.1,24,-1.5%,6,-15.9,40,-0.3,6,-11.9%,68,+6.4,5,-1.8,36,-1.6%,5,-23.0
Ray Allen,37.3,MIA,Wing,1989,33,-2.5,10,-1.8,4,-3.4%,21,-7.9,10,-1.0,22,-5.3%,25,-9.5,21,-0.8,8,-5.8%,26,-7.9
Tony Allen,30.8,MEM,Wing,2102,33,-2.4,48,-0.1,82,+1.6%,30,-5.3,82,+0.6,81,+5.1%,33,-6.5,27,-0.6,34,-1.8%,28,-7.5
Al-Farouq Aminu,22.1,NOH,Wing,2049,78,+3.0,95,+2.1,98,+4.7%,76,+5.9,96,+1.3,99,+17.9%,84,+13.5,80,+0.8,96,+7.1%,53,+0.8
