Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Alex Acker,25.8,LAC,Wing,132,32,+1.0%,87,-3.3%,27,+0.8%,93,-3.6%,84,-2.8%,73,-0.5%,0,+6.7%,1,+6.1%
Arron Afflalo,23.0,DET,Wing,1193,66,-0.9%,68,-1.3%,32,+0.5%,62,-0.8%,52,-0.3%,68,-0.4%,13,+2.0%,25,+1.5%
Alexis Ajinca,20.5,CHA,Big,136,96,-4.2%,52,-0.2%,30,+0.6%,4,+4.5%,3,+5.1%,99,-2.3%,94,-2.6%,99,-4.9%
LaMarcus Aldridge,23.3,POR,Big,2993,37,+0.7%,18,+2.3%,78,-1.3%,49,-0.1%,68,-1.4%,44,+0.2%,75,-1.2%,69,-1.0%
Joe Alexander,21.9,MIL,Forward,612,67,-1.0%,96,-4.8%,38,+0.4%,68,-1.2%,60,-0.8%,1,+3.2%,9,+2.4%,2,+5.6%
Malik Allen,30.3,MIL,Big,522,91,-3.1%,80,-2.5%,41,+0.3%,40,+0.5%,35,+0.7%,20,+0.8%,27,+0.9%,21,+1.8%
Ray Allen,33.3,BOS,Wing,2866,50,+0.1%,30,+1.4%,73,-1.0%,61,-0.7%,72,-1.7%,39,+0.3%,50,+0.0%,45,+0.3%
Tony Allen,26.8,BOS,Wing,782,89,-3.0%,83,-2.7%,45,+0.2%,44,+0.2%,41,+0.4%,38,+0.3%,13,+2.0%,16,+2.3%
Morris Almond,23.7,UTA,Wing,233,98,-5.3%,78,-2.1%,98,-3.3%,7,+3.9%,38,+0.6%,19,+0.9%,33,+0.7%,25,+1.5%
Rafer Alston,32.3,HOU,Point,1587,55,-0.2%,35,+1.1%,100,-3.9%,23,+1.6%,79,-2.3%,72,-0.5%,15,+1.8%,30,+1.2%
Rafer Alston,32.3,ORL,Point,853,52,-0.0%,63,-0.8%,91,-2.1%,18,+2.1%,48,-0.0%,82,-0.8%,17,+1.6%,37,+0.9%
Lou Amundson,25.9,PHX,Big,909,70,-1.2%,29,+1.5%,3,+2.8%,98,-4.7%,74,-1.9%,51,+0.0%,42,+0.3%,45,+0.4%
Chris Andersen,30.3,DEN,Big,1412,88,-2.9%,7,+3.7%,60,-0.4%,94,-3.7%,92,-4.1%,18,+0.9%,63,-0.5%,45,+0.4%
Ryan Anderson,20.5,NJN,Big,1233,56,-0.3%,31,+1.4%,38,+0.4%,74,-1.5%,66,-1.2%,41,+0.3%,60,-0.4%,56,-0.2%
Carmelo Anthony,24.4,DEN,Forward,2273,53,-0.1%,62,-0.8%,15,+1.5%,61,-0.8%,36,+0.7%,72,-0.5%,36,+0.6%,51,+0.1%
Joel Anthony,26.2,MIA,Big,1008,83,-2.2%,27,+1.6%,1,+3.3%,70,-1.4%,23,+2.0%,97,-1.8%,85,-1.7%,95,-3.5%
Trevor Ariza,23.3,LAL,Wing,1902,56,-0.2%,5,+4.2%,81,-1.5%,82,-2.2%,90,-3.7%,52,-0.0%,61,-0.5%,60,-0.5%
Hilton Armstrong,23.9,NOH,Big,1050,18,+2.0%,8,+3.5%,72,-1.0%,80,-2.0%,84,-2.9%,53,-0.0%,64,-0.5%,62,-0.6%
Darrell Arthur,20.6,MEM,Big,1426,30,+1.1%,32,+1.3%,65,-0.6%,39,+0.5%,49,-0.1%,79,-0.7%,62,-0.5%,72,-1.2%
Chucky Atkins,34.2,OKC,Combo,278,36,+0.7%,93,-4.2%,86,-1.8%,22,+1.8%,48,-0.0%,1,+3.1%,26,+1.1%,5,+4.2%
D.J. Augustin,21.0,CHA,Point,1844,61,-0.6%,73,-1.6%,57,-0.3%,57,-0.5%,60,-0.8%,14,+1.2%,22,+1.3%,15,+2.4%
Kelenna Azubuike,24.9,GSW,Wing,2350,86,-2.6%,50,+0.0%,21,+1.1%,69,-1.2%,50,-0.1%,49,+0.1%,48,+0.1%,50,+0.1%
Renaldo Balkman,24.3,DEN,Big,704,28,+1.1%,30,+1.4%,83,-1.5%,64,-0.9%,79,-2.5%,58,-0.2%,24,+1.2%,33,+1.0%
Marcus Banks,27.0,MIA,Combo,134,22,+1.7%,77,-2.1%,100,-4.1%,14,+2.7%,70,-1.4%,1,+3.4%,48,+0.1%,8,+3.5%
Leandro Barbosa,25.9,PHX,Combo,1661,29,+1.1%,24,+1.8%,18,+1.3%,95,-4.0%,82,-2.7%,49,+0.1%,31,+0.8%,37,+0.8%
J.J. Barea,24.4,DAL,Combo,1476,35,+0.8%,10,+3.3%,75,-1.1%,96,-4.1%,97,-5.2%,15,+1.2%,33,+0.7%,21,+1.8%
Andrea Bargnani,23.0,TOR,Big,2418,7,+3.1%,12,+3.0%,72,-0.9%,93,-3.5%,95,-4.5%,13,+1.2%,45,+0.3%,26,+1.5%
Matt Barnes,28.6,PHX,Wing,2051,32,+0.9%,77,-2.1%,29,+0.6%,57,-0.5%,46,+0.1%,53,-0.0%,13,+2.0%,19,+1.9%
Brent Barry,36.8,HOU,Wing,798,47,+0.2%,28,+1.5%,24,+0.9%,79,-1.9%,63,-1.0%,44,+0.2%,68,-0.7%,61,-0.5%
Brandon Bass,23.5,DAL,Big,1501,48,+0.2%,9,+3.5%,91,-2.1%,94,-3.7%,98,-5.8%,24,+0.7%,17,+1.6%,16,+2.3%
Maceo Baston,32.4,IND,Big,201,95,-3.9%,23,+1.9%,86,-1.8%,87,-2.6%,94,-4.4%,13,+1.2%,21,+1.3%,14,+2.5%
Tony Battie,32.7,ORL,Big,1159,60,-0.5%,34,+1.1%,46,+0.1%,67,-1.1%,63,-1.0%,28,+0.6%,67,-0.7%,54,-0.1%
Shane Battier,30.1,HOU,Wing,2022,79,-1.9%,72,-1.6%,70,-0.9%,23,+1.7%,34,+0.8%,36,+0.4%,41,+0.4%,38,+0.8%
Nicolas Batum,19.9,POR,Wing,1407,22,+1.7%,44,+0.5%,35,+0.4%,35,+0.9%,29,+1.4%,88,-1.1%,70,-0.8%,82,-1.9%
Jerryd Bayless,20.2,POR,Combo,560,55,-0.2%,14,+2.9%,84,-1.7%,48,+0.0%,72,-1.7%,62,-0.3%,73,-1.0%,72,-1.2%
Michael Beasley,19.8,MIA,Big,1976,59,-0.4%,55,-0.3%,76,-1.1%,49,-0.1%,66,-1.2%,23,+0.7%,32,+0.7%,27,+1.4%
Marco Belinelli,22.6,GSW,Wing,849,49,+0.2%,19,+2.2%,77,-1.1%,44,+0.2%,61,-0.9%,29,+0.5%,87,-1.9%,74,-1.3%
Charlie Bell,29.6,MIL,Wing,1731,49,+0.2%,38,+1.0%,37,+0.4%,79,-1.9%,71,-1.5%,56,-0.1%,35,+0.7%,41,+0.6%
Raja Bell,32.1,PHX,Wing,711,72,-1.4%,84,-2.9%,96,-2.8%,3,+5.1%,21,+2.3%,47,+0.1%,39,+0.5%,40,+0.6%
Raja Bell,32.1,CHA,Wing,1600,55,-0.2%,49,+0.2%,6,+2.3%,78,-1.8%,40,+0.5%,96,-1.7%,26,+1.1%,63,-0.7%
Mike Bibby,30.5,ATL,Point,2731,5,+3.7%,67,-1.2%,39,+0.3%,20,+1.9%,21,+2.2%,82,-0.9%,54,-0.2%,70,-1.1%
Andris Biedrins,22.6,GSW,Big,1860,39,+0.5%,69,-1.3%,20,+1.1%,25,+1.5%,16,+2.6%,42,+0.2%,82,-1.5%,74,-1.3%
Chauncey Billups,32.1,DEN,Combo,2706,7,+3.0%,74,-1.7%,20,+1.1%,30,+1.2%,20,+2.4%,61,-0.2%,62,-0.5%,64,-0.7%
Steve Blake,28.7,POR,Point,2182,43,+0.4%,26,+1.7%,55,-0.2%,54,-0.4%,57,-0.6%,21,+0.8%,87,-1.9%,70,-1.1%
Andray Blatche,22.2,WAS,Big,1679,80,-1.9%,43,+0.6%,40,+0.3%,48,-0.0%,43,+0.3%,76,-0.6%,55,-0.3%,67,-0.9%
Mark Blount,32.9,MIA,Big,176,70,-1.2%,85,-3.1%,90,-2.0%,58,-0.6%,81,-2.6%,5,+2.1%,3,+3.5%,2,+5.6%
Keith Bogans,28.5,ORL,Wing,758,79,-1.8%,68,-1.2%,41,+0.3%,35,+0.9%,31,+1.2%,18,+0.9%,69,-0.8%,52,+0.1%
Keith Bogans,28.5,MIL,Wing,448,2,+4.5%,70,-1.4%,93,-2.3%,62,-0.8%,85,-3.1%,32,+0.4%,2,+4.0%,4,+4.5%
Andrew Bogut,23.9,MIL,Big,1121,95,-4.0%,41,+0.7%,61,-0.4%,11,+2.9%,18,+2.5%,96,-1.8%,81,-1.4%,93,-3.2%
Matt Bonner,28.6,SAS,Big,1912,69,-1.1%,67,-1.2%,22,+1.0%,7,+3.8%,3,+4.8%,59,-0.2%,99,-3.5%,96,-3.7%
