Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Steven Adams,22.3,OKC,Big,546,36,-1.9,-4,35,-1.6,29,-2.2%,54,-0.4%,87,+5.7%,10,-7.6,47,+0.4,27,+2.4%,25,-1.6%,75,-2.8%,68,-3.4
LaMarcus Aldridge,30.3,SAS,Big,336,26,-6.1,-9,24,-4.7,35,-1.7%,42,+0.4%,39,-0.9%,37,-1.2,42,+1.4,86,-5.2%,5,-5.8%,87,-5.3%,25,+3.3
Al-Farouq Aminu,25.1,POR,Forward,370,60,+4.6,+11,31,-2.4,50,-0.2%,31,+0.8%,64,+2.3%,12,-6.1,72,-7.0,46,+0.3%,57,+0.7%,69,-2.5%,97,-14.1
Kyle Anderson,22.1,SAS,Forward,100,15,-11.2,-23,18,-7.9,14,-4.1%,1,+4.7%,57,+1.6%,88,+5.7,36,+3.3,37,+1.1%,44,-0.0%,14,+4.9%,27,+2.7
Trevor Ariza,30.3,HOU,Forward,180,2,-26.7,-44,1,-18.3,3,-7.4%,25,+1.5%,1,-9.4%,28,-2.9,17,+8.4,14,+5.1%,96,+5.3%,5,+7.0%,45,-1.0
Leandro Barbosa,32.9,GSW,Wing,212,43,-0.3,-1,42,-0.4,80,+3.6%,36,+0.5%,28,-2.9%,26,-3.1,49,-0.1,26,+2.4%,63,+1.0%,86,-5.2%,48,-1.3
J.J. Barea,31.3,DAL,Point,100,77,+10.2,+9,97,+19.8,95,+10.9%,29,+0.9%,72,+3.7%,64,+1.9,12,+9.6,8,+7.8%,6,-5.8%,78,-3.4%,95,-10.7
Harrison Barnes,23.4,GSW,Forward,720,28,-5.2,-12,23,-5.0,23,-2.8%,79,-2.4%,19,-4.2%,22,-3.8,48,+0.2,73,-2.4%,30,-1.1%,7,+6.8%,73,-5.1
Matt Barnes,35.6,MEM,Forward,138,36,-2.7,-1,66,+4.2,15,-3.8%,39,+0.5%,54,+1.0%,99,+16.0,21,+6.9,39,+0.9%,0,-11.9%,91,-6.4%,100,-16.5
Nicolas Batum,26.9,CHA,Wing,143,1,-40.8,-63,6,-12.9,13,-4.3%,10,+3.5%,53,+1.0%,25,-3.3,0,+27.9,3,+11.6%,3,-8.0%,81,-3.9%,58,-2.3
Kent Bazemore,26.3,ATL,Wing,324,10,-14.1,-37,54,+2.4,72,+2.8%,28,+1.0%,11,-6.3%,60,+1.5,5,+16.6,10,+7.0%,60,+0.9%,19,+4.1%,29,+2.4
Patrick Beverley,27.3,HOU,Point,128,85,+15.4,+11,79,+7.4,4,-7.1%,86,-3.1%,100,+13.7%,58,+1.3,77,-8.0,97,-10.1%,14,-3.4%,8,+6.1%,87,-9.0
Bismack Biyombo,23.2,TOR,Big,504,58,+4.0,+10,67,+4.3,52,+0.1%,86,-3.0%,37,-1.8%,67,+2.7,47,+0.3,75,-2.8%,18,-2.7%,31,+2.3%,69,-3.9
Andrew Bogut,30.9,GSW,Big,364,51,+1.4,+4,17,-8.0,14,-3.9%,30,+0.8%,65,+2.4%,13,-6.1,83,-9.4,94,-8.2%,42,-0.1%,14,+4.8%,74,-5.2
Kentavious Caldwell-Pope,22.7,DET,Wing,160,87,+16.6,+22,81,+8.0,27,-2.4%,69,-1.1%,98,+11.8%,50,+0.1,80,-8.6,75,-3.1%,81,+2.9%,16,+4.5%,66,-3.3
DeMarre Carroll,29.3,TOR,Forward,595,74,+9.3,+21,83,+8.4,81,+3.6%,58,-0.6%,64,+2.3%,46,-0.2,53,-0.9,72,-2.4%,35,-0.7%,36,+1.8%,53,-1.7
Ian Clark,24.7,GSW,Combo,109,49,+1.3,+4,26,-4.2,36,-1.6%,95,-4.8%,2,-8.8%,53,+0.5,67,-5.5,58,-0.5%,81,+3.1%,45,+0.5%,16,+4.6
Allen Crabbe,23.6,POR,Wing,298,44,-0.3,-0,84,+8.5,78,+3.4%,61,-0.8%,33,-2.4%,83,+5.1,15,+8.8,20,+4.1%,47,+0.2%,36,+1.6%,11,+6.7
Jamal Crawford,35.6,LAC,Wing,197,46,+0.4,+1,80,+7.9,66,+1.9%,70,-1.3%,60,+1.7%,100,+16.9,19,+7.5,19,+4.2%,90,+4.2%,42,+0.9%,8,+8.5
Jae Crowder,25.3,BOS,Forward,195,66,+5.9,+12,7,-12.1,33,-1.9%,45,+0.3%,6,-7.7%,44,-0.2,97,-18.1,93,-8.0%,41,-0.1%,97,-9.4%,58,-2.3
Stephen Curry,27.6,GSW,Point,612,37,-1.5,-4,55,+2.5,54,+0.5%,20,+1.8%,61,+1.7%,57,+1.3,34,+4.0,31,+1.9%,31,-1.0%,58,-1.0%,32,+1.4
Ed Davis,26.4,POR,Big,204,61,+4.8,+12,68,+4.4,65,+1.9%,36,+0.6%,52,+0.8%,82,+4.7,51,-0.4,42,+0.9%,43,-0.0%,53,-0.5%,62,-2.9
DeMar DeRozan,26.2,TOR,Wing,745,38,-1.3,-3,59,+3.0,41,-1.3%,66,-1.0%,51,+0.8%,81,+4.6,31,+4.3,53,-0.2%,16,-2.9%,51,-0.2%,24,+3.7
Matthew Dellavedova,25.1,CLE,Point,218,31,-3.9,-7,20,-5.8,21,-3.0%,47,+0.0%,18,-4.7%,42,-0.6,57,-1.9,41,+0.9%,33,-0.8%,84,-4.4%,23,+3.8
Luol Deng,30.5,MIA,Forward,492,75,+10.1,+27,75,+5.6,77,+3.2%,56,-0.5%,53,+0.9%,29,-2.8,64,-4.5,65,-1.5%,80,+2.9%,24,+3.6%,71,-4.2
Boris Diaw,33.5,SAS,Big,138,63,+5.4,+9,32,-2.0,24,-2.8%,43,+0.4%,36,-2.1%,86,+5.3,73,-7.5,43,+0.6%,75,+1.8%,70,-2.6%,75,-5.3
Goran Dragic,29.5,MIA,Point,470,48,+1.0,+3,8,-10.0,11,-4.7%,32,+0.8%,12,-6.3%,42,-0.7,88,-11.0,78,-3.4%,75,+2.1%,55,-0.7%,72,-4.4
Andre Drummond,22.2,DET,Big,131,96,+22.3,+32,69,+4.4,64,+1.7%,80,-2.5%,90,+6.6%,55,+1.2,95,-17.8,36,+1.1%,48,+0.2%,94,-8.3%,98,-14.2
Tim Duncan,39.5,SAS,Big,216,73,+8.8,+15,36,-1.1,75,+3.0%,72,-1.3%,25,-3.1%,7,-8.6,84,-9.9,90,-6.1%,15,-3.1%,92,-7.2%,53,-1.6
Kevin Durant,27.1,OKC,Forward,723,64,+5.7,+14,53,+2.2,60,+1.3%,84,-2.7%,19,-4.4%,36,-1.3,61,-3.5,74,-2.5%,52,+0.3%,81,-4.1%,89,-9.0
Monta Ellis,30.0,IND,Combo,225,21,-8.2,-20,38,-0.9,69,+2.4%,16,+2.6%,16,-5.4%,80,+4.5,20,+7.2,21,+3.3%,86,+3.6%,12,+5.1%,18,+4.4
Festus Ezeli,26.0,GSW,Big,187,27,-5.7,-14,64,+3.4,84,+4.0%,4,+4.1%,84,+5.1%,71,+3.1,14,+9.0,4,+10.6%,54,+0.5%,92,-6.5%,64,-3.1
Jordan Farmar,28.9,MEM,Point,100,84,+14.2,+5,71,+5.0,5,-6.1%,87,-3.3%,97,+10.5%,61,+1.6,82,-9.2,60,-0.9%,12,-3.6%,97,-10.8%,78,-6.6
Raymond Felton,31.3,DAL,Combo,160,72,+8.5,+3,5,-13.2,26,-2.5%,14,+2.7%,3,-8.5%,45,-0.2,100,-21.8,100,-19.3%,64,+1.0%,4,+8.0%,60,-2.5
Randy Foye,32.1,OKC,Combo,148,12,-13.9,-34,19,-7.2,42,-1.0%,3,+4.3%,75,+3.9%,69,+2.9,22,+6.6,34,+1.4%,40,-0.3%,28,+2.8%,31,+2.1
Channing Frye,32.5,CLE,Big,227,79,+10.9,+16,42,-0.3,88,+5.1%,27,+1.0%,7,-7.3%,19,-5.3,89,-11.2,82,-4.1%,61,+0.9%,90,-6.3%,14,+5.7
Paul George,25.5,IND,Forward,274,98,+38.1,+63,99,+27.9,100,+16.1%,8,+3.8%,80,+4.6%,98,+12.6,86,-10.3,88,-5.6%,93,+4.7%,15,+4.5%,19,+4.4
Manu Ginobili,38.3,SAS,Wing,190,81,+11.8,+19,76,+5.7,53,+0.4%,67,-1.0%,66,+2.5%,91,+6.1,70,-6.1,81,-3.7%,53,+0.4%,83,-4.4%,5,+9.1
Danny Green,28.4,SAS,Wing,263,45,+0.3,+0,51,+1.6,73,+2.8%,74,-1.7%,26,-3.0%,5,-9.4,44,+1.3,48,+0.2%,65,+1.1%,47,+0.2%,49,-1.3
Draymond Green,25.7,GSW,Big,876,86,+16.1,+39,82,+8.4,92,+5.7%,44,+0.3%,35,-2.3%,69,+3.0,74,-7.7,92,-6.7%,29,-1.2%,61,-1.5%,47,-1.2
Jeff Green,29.2,LAC,Forward,154,35,-3.1,-9,69,+4.7,44,-0.6%,75,-1.9%,48,+0.4%,79,+4.4,19,+7.8,14,+4.9%,24,-1.9%,69,-2.5%,54,-1.7
Blake Griffin,26.6,LAC,Big,126,59,+4.5,+12,43,+0.5,61,+1.3%,46,+0.0%,32,-2.4%,52,+0.4,64,-4.0,79,-3.5%,51,+0.3%,9,+5.7%,81,-7.2
James Harden,26.2,HOU,Combo,192,18,-9.7,-10,46,+1.0,31,-2.0%,63,-0.9%,13,-6.1%,81,+4.5,10,+10.7,2,+14.1%,100,+7.3%,57,-1.0%,44,-0.9
Maurice Harkless,22.5,POR,Forward,270,33,-3.4,-9,13,-9.2,9,-5.3%,58,-0.6%,45,+0.1%,25,-3.3,69,-5.7,85,-4.6%,36,-0.7%,64,-1.9%,51,-1.5
Devin Harris,32.7,DAL,Wing,117,81,+12.1,+9,93,+17.5,86,+4.9%,92,-4.1%,68,+2.7%,77,+4.1,26,+5.4,38,+1.0%,97,+5.7%,2,+10.9%,0,+14.6
Tobias Harris,23.3,DET,Big,156,100,+43.2,+39,100,+32.6,99,+14.4%,97,-6.7%,3,-8.5%,21,-4.0,86,-10.6,97,-9.3%,91,+4.2%,0,+21.3%,8,+7.8
Gerald Henderson,27.9,POR,Wing,233,25,-6.5,-16,25,-4.5,42,-1.1%,52,-0.3%,21,-3.7%,35,-1.6,41,+2.1,57,-0.4%,42,-0.1%,25,+3.1%,14,+6.2
George Hill,29.5,IND,Point,234,89,+18.3,+46,94,+17.8,97,+12.2%,48,-0.1%,44,0.0%,92,+6.2,52,-0.6,69,-2.1%,32,-0.8%,52,-0.3%,33,+1.3
Solomon Hill,24.6,IND,Forward,195,58,+3.8,+9,90,+12.0,55,+0.5%,97,-5.0%,92,+6.9%,85,+5.3,18,+8.3,55,-0.3%,25,-1.8%,63,-1.7%,3,+10.7
Al Horford,29.4,ATL,Big,326,17,-10.2,-26,15,-8.2,58,+0.6%,12,+3.4%,9,-7.0%,38,-1.0,42,+1.9,16,+4.8%,97,+5.4%,22,+3.9%,79,-7.0
Dwight Howard,29.9,HOU,Big,176,11,-14.1,-14,72,+5.0,22,-2.9%,98,-6.8%,99,+12.3%,2,-15.2,3,+19.1,6,+8.9%,85,+3.5%,1,+11.7%,97,-12.7
Serge Ibaka,26.1,OKC,Big,599,88,+17.1,+41,91,+12.5,89,+5.2%,93,-4.2%,14,-6.1%,56,+1.3,65,-4.6,76,-3.2%,26,-1.5%,53,-0.6%,31,+1.7
Andre Iguodala,31.8,GSW,Forward,765,41,-1.1,-3,74,+5.5,58,+0.7%,60,-0.8%,81,+4.9%,51,+0.3,23,+6.6,13,+5.4%,58,+0.8%,86,-5.2%,12,+6.7
Kyrie Irving,23.6,CLE,Combo,771,19,-8.9,-14,78,+6.2,63,+1.7%,42,+0.4%,71,+3.2%,78,+4.2,8,+15.2,12,+6.4%,17,-2.9%,60,-1.2%,46,-1.2
Reggie Jackson,25.5,DET,Point,147,95,+21.6,+28,64,+3.7,25,-2.7%,99,-7.3%,67,+2.5%,1,-16.9,96,-17.9,77,-3.3%,98,+6.5%,19,+4.2%,38,+0.3
LeBron James,30.8,CLE,Forward,819,92,+19.5,+42,60,+3.1,69,+2.5%,69,-1.2%,55,+1.2%,3,-12.2,94,-16.5,95,-8.6%,50,+0.2%,58,-1.1%,90,-9.0
Al Jefferson,30.8,CHA,Big,168,5,-18.5,-35,58,+3.0,67,+1.9%,81,-2.5%,22,-3.7%,6,-9.2,2,+21.4,1,+14.2%,34,-0.8%,30,+2.5%,82,-7.2
Richard Jefferson,35.4,CLE,Forward,338,34,-3.2,-5,30,-2.6,59,+1.1%,22,+1.7%,29,-2.7%,59,+1.4,46,+0.6,25,+2.6%,72,+1.6%,50,-0.1%,15,+5.2
Jonas Jerebko,28.7,BOS,Forward,162,83,+13.9,+33,95,+18.1,93,+6.1%,68,-1.0%,76,+4.0%,84,+5.3,32,+4.2,53,-0.2%,21,-2.4%,10,+5.7%,52,-1.6
Amir Johnson,28.5,BOS,Big,133,30,-4.3,-11,34,-1.6,83,+3.9%,64,-1.0%,38,-1.5%,8,-8.5,37,+2.7,58,-0.5%,69,+1.4%,11,+5.6%,88,-9.0
Joe Johnson,34.3,MIA,Wing,489,42,-0.5,-1,52,+1.7,86,+4.9%,76,-1.9%,0,-9.9%,9,-7.9,40,+2.1,51,-0.0%,23,-2.1%,56,-0.7%,83,-7.2
DeAndre Jordan,27.3,LAC,Big,197,68,+6.1,+16,25,-4.7,43,-0.8%,2,+4.4%,91,+6.7%,47,-0.1,87,-10.7,71,-2.1%,20,-2.5%,79,-3.5%,92,-9.3
Cory Joseph,24.2,TOR,Combo,437,16,-10.9,-25,14,-8.4,10,-5.0%,47,-0.1%,42,-0.2%,66,+2.1,38,+2.5,36,+1.1%,77,+2.4%,43,+0.8%,17,+4.6
Frank Kaminsky,22.6,CHA,Big,184,86,+15.7,+29,58,+3.0,49,-0.2%,92,-4.2%,15,-5.7%,89,+6.0,90,-12.7,69,-1.9%,92,+4.6%,39,+1.3%,94,-10.4
Enes Kanter,23.4,OKC,Big,296,40,-1.1,-2,33,-2.0,39,-1.5%,14,+2.8%,83,+5.1%,90,+6.1,53,-0.9,68,-1.8%,70,+1.4%,38,+1.3%,25,+3.6
Kyle Korver,34.6,ATL,Wing,315,97,+25.8,+48,77,+6.2,92,+5.8%,0,+5.1%,81,+4.9%,4,-9.7,98,-19.6,89,-5.7%,82,+3.2%,67,-2.0%,41,-0.4
Courtney Lee,30.1,CHA,Wing,256,92,+21.0,+27,92,+12.5,74,+2.8%,89,-3.5%,69,+2.8%,49,+0.0,78,-8.5,32,+1.6%,78,+2.6%,62,-1.7%,56,-2.2
Kawhi Leonard,24.3,SAS,Wing,337,22,-7.1,-11,39,-0.7,20,-3.0%,96,-5.0%,58,+1.6%,3,-10.9,25,+6.3,24,+2.7%,31,-1.0%,27,+2.8%,86,-8.8
Damian Lillard,25.3,POR,Point,436,8,-14.7,-37,50,+1.4,30,-2.1%,21,+1.8%,94,+7.3%,64,+1.9,7,+16.2,11,+6.5%,56,+0.6%,17,+4.4%,20,+4.2
Jeremy Lin,27.2,CHA,Combo,188,94,+21.5,+37,53,+2.3,68,+2.2%,7,+3.9%,56,+1.2%,97,+11.4,97,-19.2,99,-13.0%,83,+3.3%,26,+3.0%,21,+4.0
Shaun Livingston,30.1,GSW,Combo,507,71,+7.2,+17,62,+3.3,37,-1.6%,50,-0.2%,74,+3.7%,87,+5.6,63,-3.9,80,-3.7%,49,+0.2%,29,+2.7%,22,+3.8
Kevin Love,27.1,CLE,Big,611,64,+5.7,+9,86,+10.5,51,+0.0%,85,-2.9%,92,+7.0%,73,+3.2,31,+4.7,44,+0.5%,19,-2.6%,54,-0.6%,65,-3.1
