Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Precious Achiuwa,21.1,MIA,Big,685,5,50.0%,98,22.7%,23,0.9%,29,17.2%
Steven Adams,27.3,NOP,Big,1604,0,44.4%,70,15.1%,73,1.9%,17,11.3%
Bam Adebayo,23.3,MIA,Big,2130,76,80.2%,83,17.0%,98,3.7%,69,28.1%
LaMarcus Aldridge,35.3,SAS,Big,544,87,83.8%,22,6.8%,23,0.9%,16,11.1%
LaMarcus Aldridge,35.3,BKN,Big,130,0,100.0%,31,9.4%,64,1.7%,0,0.0%
Nickeil Alexander-Walker,22.2,NOP,Combo,958,10,67.9%,28,5.3%,38,1.1%,49,25.0%
Grayson Allen,25.1,MEM,Wing,1249,85,86.8%,39,6.5%,64,1.1%,26,17.9%
Jarrett Allen,22.5,BKN,Big,315,61,75.0%,100,35.7%,94,3.3%,63,26.7%
Jarrett Allen,22.5,CLE,Big,1529,37,69.0%,91,19.5%,93,2.8%,31,17.7%
Al-Farouq Aminu,30.1,ORL,Forward,366,0,82.4%,73,11.7%,72,1.2%,94,54.5%
Kyle Anderson,27.1,MEM,Forward,1884,53,78.3%,78,11.9%,52,0.9%,27,18.6%
Giannis Antetokounmpo,25.9,MIL,Big,2010,32,68.5%,97,22.4%,98,3.5%,64,26.9%
Thanasis Antetokounmpo,28.3,MIL,Forward,448,0,48.8%,98,17.6%,56,1.0%,69,27.3%
Carmelo Anthony,36.4,POR,Forward,1671,98,89.5%,49,8.3%,74,1.4%,29,19.1%
Cole Anthony,20.5,ORL,Point,1229,38,83.2%,48,8.3%,66,2.1%,80,26.1%
OG Anunoby,23.3,TOR,Forward,1433,56,78.4%,53,8.6%,47,0.9%,16,14.6%
Ryan Arcidiacono,26.6,CHI,Combo,415,0,68.8%,61,8.5%,29,0.9%,94,44.4%
Trevor Ariza,35.3,MIA,Forward,836,52,78.0%,34,6.6%,51,0.9%,6,5.9%
