Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Quincy Acy,25.1,SAC,Big,843,58,-0.8,49,+0.2,29,+1.4%,17,-1.1%,35,+1.4,31,+1.1,49,+0.4
Steven Adams,22.3,OKC,Big,1999,98,-9.3,98,-9.4,75,-1.5%,69,+0.6%,93,-4.8,90,-2.7,82,-10.2
Arron Afflalo,30.0,NYK,Wing,2354,24,+3.1,20,+3.4,82,-2.1%,43,-0.3%,31,+1.6,44,+0.4,25,+8.1
Alexis Ajinca,27.5,NOP,Big,815,96,-7.3,91,-5.2,66,-1.0%,65,+0.5%,90,-4.2,39,+0.6,99,-34.7
Cole Aldrich,27.0,LAC,Big,704,61,-1.2,69,-2.1,19,+2.3%,20,-1.0%,4,+5.8,2,+4.4,42,+2.6
LaMarcus Aldridge,30.3,SAS,Big,2251,45,+0.6,50,+0.1,84,-2.2%,57,+0.2%,83,-3.0,86,-2.2,69,-5.4
Lavoy Allen,26.7,IND,Big,1558,70,-2.1,88,-4.5,47,+0.4%,83,+1.4%,73,-1.7,63,-0.6,74,-6.7
Tony Allen,33.8,MEM,Wing,1606,72,-2.4,84,-3.9,31,+1.3%,81,+1.3%,45,+0.5,29,+1.2,64,-3.9
Al-Farouq Aminu,25.1,POR,Forward,2337,52,-0.2,55,-0.5,51,-0.1%,39,-0.4%,24,+2.2,15,+2.1,52,-0.5
Lou Amundson,32.9,NYK,Big,171,93,-5.9,92,-5.5,10,+3.4%,91,+2.0%,75,-1.9,78,-1.4,64,-3.7
Chris Andersen,37.3,MEM,Big,361,40,+1.1,60,-1.2,16,+2.6%,88,+1.6%,3,+7.2,4,+3.9,14,+14.0
