Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Bam Adebayo,23.3,MIA,Big,132,6,45.5%,14,45.5%,0,0.0%,0,76.9%,66,68%,71,56%,57,75%,0,0%
Grayson Allen,25.1,MEM,Wing,145,39,51.2%,0,25.0%,93,44.4%,0,0.0%,0,100%,0,100%,7,100%,0,100%
Kyle Anderson,27.1,MEM,Forward,213,13,43.2%,9,40.9%,0,33.3%,0,90.0%,65,57%,52,50%,61,38%,0,100%
Giannis Antetokounmpo,25.9,MIL,Big,792,54,59.1%,80,64.3%,5,20.0%,7,58.3%,94,45%,77,49%,89,31%,97,54%
Carmelo Anthony,36.4,POR,Forward,143,65,54.2%,35,47.8%,50,37.8%,0,90.9%,57,68%,96,0%,48,56%,65,86%
Deandre Ayton,22.3,PHX,Big,799,89,65.8%,89,65.8%,0,0.0%,33,73.6%,17,84%,9,83%,43,85%,0,0%
Desmond Bane,22.4,MEM,Wing,153,86,60.3%,82,66.7%,47,36.8%,0,80.0%,36,76%,68,40%,29,80%,0,100%
RJ Barrett,20.4,NYK,Wing,158,7,44.6%,25,44.7%,13,29.6%,0,85.7%,75,52%,50,46%,79,25%,79,75%
Nicolas Batum,31.9,LAC,Wing,554,89,62.0%,89,67.6%,63,38.9%,0,82.6%,21,87%,11,81%,54,50%,50,96%
Bradley Beal,27.3,WAS,Wing,258,21,50.0%,57,52.9%,7,27.9%,67,87.5%,93,33%,86,29%,75,28%,89,58%
Davis Bertans,28.0,WAS,Forward,150,35,50.0%,100,80.0%,23,30.3%,0,100.0%,0,100%,0,100%,4,100%,0,100%
Patrick Beverley,32.3,LAC,Combo,314,57,52.3%,76,51.9%,32,35.1%,0,77.8%,29,74%,52,38%,19,67%,0,100%
Bogdan Bogdanovic,28.2,ATL,Wing,598,14,48.6%,29,47.2%,27,33.1%,0,70.6%,61,61%,68,40%,54,50%,75,77%
Bojan Bogdanovic,31.5,UTA,Forward,389,87,59.9%,39,48.3%,100,46.1%,43,87.8%,43,75%,17,70%,52,53%,57,89%
Devin Booker,24.0,PHX,Wing,887,18,49.8%,36,49.9%,23,32.8%,100,90.5%,89,37%,79,36%,68,31%,93,56%
Mikal Bridges,24.2,PHX,Wing,699,64,57.1%,75,60.0%,43,36.2%,83,88.9%,39,76%,21,74%,64,48%,46,97%
Dillon Brooks,24.8,MEM,Wing,259,36,51.1%,54,52.2%,13,29.6%,50,83.3%,86,39%,75,39%,86,23%,0,100%
Bruce Brown,24.2,BKN,Forward,260,52,51.4%,65,54.8%,0,20.0%,0,78.6%,17,86%,9,79%,26,93%,0,100%
Jalen Brunson,24.2,DAL,Combo,109,62,52.4%,24,45.2%,0,50.0%,0,72.7%,62,42%,71,29%,52,29%,48,80%
Reggie Bullock,29.6,NYK,Wing,162,43,51.3%,39,50.0%,30,34.5%,0,80.0%,25,87%,100,0%,7,100%,0,100%
Alec Burks,29.3,NYK,Wing,127,32,50.9%,39,50.0%,33,34.8%,0,73.7%,68,58%,61,43%,50,56%,79,75%
Jimmy Butler,31.1,MIA,Wing,150,0,33.9%,4,31.3%,0,28.6%,0,72.7%,82,47%,39,50%,71,29%,79,75%
Kentavious Caldwell-Pope,27.7,LAL,Wing,178,21,50.0%,93,72.7%,3,26.1%,0,100.0%,50,71%,61,43%,7,100%,0,100%
Facundo Campazzo,29.6,DEN,Point,268,57,53.5%,21,40.0%,64,40.4%,0,84.2%,0,66%,43,29%,79,0%,14,89%
Clint Capela,26.5,ATL,Big,568,71,60.3%,69,60.3%,0,0.0%,0,43.6%,40,78%,20,81%,80,40%,0,0%
Alex Caruso,26.7,LAL,Combo,149,19,48.0%,19,44.8%,26,35.0%,0,100.0%,14,85%,24,75%,0,100%,0,100%
