Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Arron Afflalo,22.0,DET,Wing,755,57,0.5%,71,1.6%,24,4.4%,80,4.2%,50,10.1%,96,6.1%,27,4.4%
Blake Ahearn,23.4,MIA,Point,156,0,0.0%,78,2.0%,3,6.3%,5,0.7%,95,12.2%,0,0.0%,0,0.0%
LaMarcus Aldridge,22.3,POR,Big,2637,54,2.0%,42,1.0%,85,3.7%,52,9.1%,20,13.2%,39,2.3%,63,33.1%
Malik Allen,29.3,BKN,Big,719,39,1.5%,45,1.0%,49,5.2%,20,6.3%,10,12.3%,0,0.0%,17,15.7%
Malik Allen,29.3,DAL,Big,313,47,1.8%,9,0.6%,6,8.2%,43,8.3%,14,12.6%,93,10.0%,10,14.3%
Ray Allen,32.3,BOS,Wing,2609,39,0.3%,39,1.2%,83,2.4%,65,3.5%,14,7.8%,42,0.6%,18,3.6%
Tony Allen,25.8,BOS,Wing,1239,84,1.0%,90,2.1%,6,5.4%,47,2.9%,49,10.0%,59,1.2%,38,5.9%
Rafer Alston,31.3,HOU,Point,2520,72,0.4%,66,1.7%,88,2.3%,22,1.1%,64,9.4%,72,0.7%,55,3.0%
Derek Anderson,33.3,CHA,Wing,336,10,0.2%,72,1.7%,4,5.6%,32,2.2%,73,11.9%,0,0.0%,38,5.9%
Carmelo Anthony,23.4,DEN,Forward,2791,48,0.7%,58,1.5%,68,3.0%,82,6.6%,67,13.7%,65,3.2%,8,6.1%
Joel Anthony,25.2,MIA,Big,461,87,3.5%,41,1.0%,51,5.1%,45,8.3%,4,10.0%,90,9.1%,52,29.4%
Gilbert Arenas,25.8,WAS,Combo,423,16,0.1%,98,2.4%,78,2.7%,24,1.2%,92,11.4%,88,2.8%,0,0.0%
Trevor Ariza,22.3,LAL,Wing,385,87,1.1%,96,2.5%,31,3.9%,95,6.7%,88,13.1%,89,3.7%,94,25.0%
Darrell Armstrong,39.4,BKN,Combo,505,36,0.2%,100,2.6%,20,4.6%,84,3.1%,62,9.6%,84,2.6%,98,9.1%
Hilton Armstrong,22.9,NOP,Big,663,55,2.0%,37,0.9%,12,7.5%,60,9.7%,29,14.0%,60,3.8%,81,39.1%
Carlos Arroyo,28.3,ORL,Point,1216,28,0.1%,9,1.0%,64,2.9%,9,0.9%,45,8.5%,78,0.9%,27,1.5%
Chucky Atkins,33.2,DEN,Combo,293,24,0.2%,4,1.0%,58,3.3%,10,0.7%,42,8.3%,0,0.0%,0,0.0%
James Augustine,23.7,ORL,Big,106,5,0.6%,88,1.6%,27,6.1%,15,5.9%,0,8.4%,96,12.5%,1,9.1%
Kelenna Azubuike,23.9,GSW,Wing,1680,82,0.9%,32,1.1%,40,3.7%,91,6.0%,78,12.1%,49,0.8%,71,15.5%
Renaldo Balkman,23.3,NYK,Forward,895,92,1.7%,82,1.9%,8,6.0%,98,9.7%,75,14.1%,32,1.2%,58,21.2%
