Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Steven Adams,26.3,OKC,Big,210,59,59.6%,56,68%,13,14%,0,0%,13,14%,0,0%,0,0%,0,0%
Bam Adebayo,22.3,MIA,Big,686,41,56.4%,51,68%,62,49%,62,39%,69,46%,0,0%,0,0%,0,0%
Jarrett Allen,21.5,BKN,Big,132,46,56.5%,18,56%,82,57%,0,0%,92,57%,0,0%,0,0%,0,0%
Giannis Antetokounmpo,24.9,MIL,Big,277,62,60.1%,67,71%,49,38%,72,44%,49,40%,0,100%,21,32%,28,33%
Carmelo Anthony,35.4,POR,Big,213,10,45.7%,62,70%,51,39%,56,34%,44,36%,0,45%,0,29%,44,36%
OG Anunoby,22.3,TOR,Forward,392,76,55.1%,24,48%,82,50%,100,100%,94,57%,60,40%,100,44%,100,41%
D.J. Augustin,32.0,ORL,Point,127,8,46.8%,0,50%,0,25%,33,29%,8,26%,0,67%,0,40%,83,44%
Darius Bazley,19.4,OKC,Big,116,77,63.8%,0,33%,3,0%,23,0%,3,0%,0,50%,95,56%,100,55%
Patrick Beverley,31.3,LAC,Point,165,100,63.2%,100,90%,42,43%,0,0%,50,43%,0,50%,0,31%,58,38%
Eric Bledsoe,29.9,MIL,Point,267,0,42.9%,33,59%,8,33%,42,38%,17,35%,0,33%,0,24%,0,25%
Malcolm Brogdon,26.9,IND,Combo,159,35,48.4%,5,46%,15,20%,45,40%,30,33%,0,0%,75,43%,70,41%
Jaylen Brown,23.0,BOS,Wing,670,64,55.1%,75,67%,32,32%,89,55%,71,41%,30,34%,81,38%,48,36%
Trey Burke,27.0,DAL,Point,155,83,58.6%,42,59%,58,45%,75,54%,58,50%,0,60%,0,42%,92,47%
Jimmy Butler,30.1,MIA,Wing,806,46,51.7%,46,57%,68,47%,79,47%,79,47%,0,46%,44,32%,59,37%
Kentavious Caldwell-Pope,26.7,LAL,Wing,608,57,53.7%,64,63%,64,44%,46,24%,29,30%,80,46%,26,30%,66,38%
Alex Caruso,25.7,LAL,Combo,499,45,51.9%,85,72%,5,0%,0,0%,0,0%,25,24%,38,34%,20,30%
Gary Clark,25.0,ORL,Forward,143,29,50.0%,0,0%,0,0%,0,0%,0,0%,0,33%,47,35%,27,34%
Jordan Clarkson,27.4,UTA,Wing,197,71,55.7%,89,76%,71,50%,18,0%,82,48%,0,36%,59,35%,41,35%
Mike Conley,32.1,UTA,Point,162,92,62.1%,0,50%,25,35%,100,60%,42,41%,0,71%,100,48%,100,53%
Pat Connaughton,26.8,MIL,Wing,170,61,54.3%,93,78%,4,0%,0,0%,4,0%,0,0%,96,40%,38,35%
Robert Covington,28.9,HOU,Big,371,85,66.7%,28,63%,3,0%,23,0%,3,0%,100,56%,84,48%,88,50%
Torrey Craig,28.9,DEN,Wing,372,36,49.3%,71,67%,50,38%,0,0%,57,38%,10,24%,26,30%,7,27%
Jae Crowder,29.3,MIA,Big,659,33,54.0%,87,79%,92,67%,46,13%,28,27%,17,33%,32,34%,36,34%
Seth Curry,29.2,DAL,Combo,172,100,69.2%,95,83%,100,60%,100,70%,100,64%,0,67%,0,40%,85,48%
Anthony Davis,26.6,LAL,Big,768,67,60.5%,90,80%,64,49%,77,49%,74,49%,0,40%,42,38%,52,38%
