Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Rafer Alston,30.3,HOU,Point,308,28,45.2%,22,15%,39,7%,0,11%,0,18%,89,18%,94,49%,100,67%
Carmelo Anthony,22.4,DEN,Wing,209,74,52.6%,89,36%,67,15%,52,31%,56,46%,26,4%,22,14%,22,18%
Leandro Barbosa,23.9,PHX,Combo,344,73,44.8%,73,34%,55,13%,18,17%,27,30%,73,10%,64,26%,73,36%
Andrea Bargnani,21.0,TOR,Big,174,49,52.3%,7,18%,41,16%,68,30%,51,45%,85,2%,95,34%,90,36%
Matt Barnes,26.6,GSW,Forward,328,85,55.1%,69,35%,46,12%,15,7%,15,19%,77,22%,62,23%,62,45%
Brent Barry,34.8,SAS,Wing,209,44,46.6%,19,12%,0,0%,0,5%,0,5%,93,33%,100,50%,100,83%
Shane Battier,28.1,HOU,Forward,271,100,63.7%,8,8%,31,8%,0,0%,0,8%,100,53%,92,31%,100,84%
Raja Bell,30.1,PHX,Wing,437,93,58.1%,22,13%,15,6%,48,30%,33,36%,81,20%,74,31%,85,51%
Andris Biedrins,20.6,GSW,Big,264,100,73.0%,98,95%,10,5%,0,0%,2,5%,0,0%,0,0%,0,0%
Chauncey Billups,30.1,DET,Point,647,83,53.2%,11,14%,22,6%,56,35%,39,40%,56,7%,72,38%,67,46%
Steve Blake,26.7,DEN,Point,179,100,58.1%,0,6%,0,0%,78,42%,44,42%,83,16%,67,35%,72,52%
Josh Boone,21.9,BKN,Big,103,76,57.1%,100,95%,5,5%,0,0%,0,5%,0,0%,0,0%,0,0%
Carlos Boozer,24.9,UTA,Big,651,66,53.6%,46,44%,80,30%,61,25%,68,56%,0,0%,0,0%,0,0%
Chris Bosh,22.6,TOR,Big,222,15,41.5%,17,23%,76,25%,93,49%,93,74%,0,0%,78,3%,76,3%
Bruce Bowen,35.4,SAS,Wing,684,81,53.8%,7,8%,44,10%,22,20%,22,31%,100,58%,4,3%,93,62%
Kwame Brown,24.6,LAL,Big,132,59,52.8%,71,61%,90,39%,0,0%,37,39%,0,0%,0,0%,0,0%
P.J. Brown,37.0,CHI,Big,225,32,49.3%,27,28%,51,19%,95,52%,88,72%,0,0%,0,0%,0,0%
Kobe Bryant,28.2,LAL,Wing,211,67,50.4%,59,22%,93,22%,70,35%,81,57%,0,1%,52,20%,26,21%
Jose Calderon,25.1,TOR,Point,138,78,52.9%,67,29%,6,3%,94,51%,83,54%,39,4%,22,13%,28,17%
Marcus Camby,32.6,DEN,Big,184,7,37.8%,59,53%,29,13%,73,33%,56,47%,0,0%,0,0%,0,0%
Vince Carter,29.8,BKN,Wing,484,19,43.6%,70,30%,74,19%,37,28%,63,47%,30,4%,44,18%,37,23%
Jarron Collins,27.9,UTA,Big,100,0,33.3%,49,44%,22,11%,85,44%,66,56%,0,0%,0,0%,0,0%
Jason Collins,27.9,BKN,Big,328,76,57.1%,88,76%,5,5%,49,19%,17,24%,0,0%,0,0%,0,0%
Antonio Daniels,31.6,WAS,Point,175,33,46.1%,89,37%,56,11%,72,39%,67,50%,0,0%,28,13%,17,13%
Baron Davis,27.6,GSW,Point,442,94,56.9%,83,36%,44,9%,22,20%,28,29%,61,9%,56,27%,56,35%
Carlos Delfino,24.2,DET,Wing,122,15,43.5%,30,16%,19,6%,59,32%,41,39%,89,29%,33,16%,74,45%
Luol Deng,21.5,CHI,Forward,409,62,52.4%,54,33%,54,18%,100,48%,100,66%,0,0%,8,1%,8,1%
Boris Diaw,24.5,PHX,Big,227,37,50.0%,66,55%,49,18%,54,21%,39,39%,90,5%,0,0%,78,5%
DeSagana Diop,24.8,DAL,Big,139,90,60.0%,80,73%,29,13%,37,13%,24,27%,0,0%,0,0%,0,0%
Chris Duhon,24.2,CHI,Point,156,22,40.0%,28,17%,33,7%,17,17%,11,23%,94,20%,83,40%,89,60%
Tim Duncan,30.5,SAS,Big,733,46,52.3%,39,41%,98,49%,34,11%,78,59%,0,0%,0,0%,0,0%
Monta Ellis,21.0,GSW,Combo,231,36,41.7%,82,41%,82,15%,64,36%,73,51%,27,5%,0,3%,18,8%
Francisco Elson,30.7,SAS,Big,213,80,57.5%,63,55%,15,10%,71,33%,49,43%,0,0%,76,3%,73,3%
Jordan Farmar,19.9,LAL,Point,114,39,46.4%,50,25%,100,18%,33,21%,33,39%,44,7%,61,29%,61,36%
Michael Finley,33.7,SAS,Forward,535,69,53.4%,0,4%,38,10%,77,26%,54,37%,69,22%,100,37%,92,59%
Derek Fisher,32.2,UTA,Combo,437,82,47.0%,45,25%,45,11%,73,39%,64,50%,64,9%,45,15%,45,25%
T.J. Ford,23.6,TOR,Point,136,67,52.0%,78,33%,28,7%,89,47%,89,54%,33,4%,17,9%,17,13%
Devean George,29.2,DAL,Forward,103,0,27.1%,15,8%,69,21%,38,21%,62,42%,62,21%,85,29%,69,50%
Daniel Gibson,20.7,CLE,Combo,398,100,55.7%,27,17%,9,7%,27,19%,18,26%,91,29%,73,28%,82,57%
Manu Ginobili,29.3,SAS,Wing,599,59,48.4%,63,25%,70,18%,11,17%,26,35%,41,8%,81,32%,56,40%
Gordan Giricek,29.4,UTA,Wing,298,52,47.2%,4,7%,30,8%,100,58%,96,66%,52,9%,41,18%,41,27%
Drew Gooden,25.1,CLE,Big,604,32,49.3%,20,24%,85,33%,78,42%,95,75%,76,0%,66,0%,66,1%
Ben Gordon,23.6,CHI,Wing,393,63,49.7%,11,11%,59,14%,78,38%,70,52%,48,9%,70,29%,52,37%
