Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Steven Adams,22.3,OKC,Big,546,27,+2.4%,48,+0.2%,79,-5.6%,8,+11.6%,32,+3.0%,19,+14.7%,46,+1.5%,28,+4.8%
LaMarcus Aldridge,30.3,SAS,Big,336,86,-5.2%,99,-19.0%,54,-0.4%,38,+2.7%,41,+1.9%,81,-14.6%,11,+9.7%,45,+1.4%
Al-Farouq Aminu,25.1,POR,Forward,370,46,+0.3%,88,-10.5%,81,-6.3%,14,+10.1%,37,+2.0%,86,-16.8%,19,+8.2%,30,+4.3%
Kyle Anderson,22.1,SAS,Forward,100,37,+1.1%,1,+19.0%,62,-2.5%,91,-11.2%,89,-8.2%,18,+15.0%,96,-15.3%,83,-6.5%
Trevor Ariza,30.3,HOU,Forward,180,14,+5.1%,13,+7.4%,92,-11.7%,68,-3.5%,92,-8.8%,2,+40.0%,72,-5.0%,26,+5.1%
Leandro Barbosa,32.9,GSW,Wing,212,26,+2.4%,29,+3.1%,36,+2.5%,53,-0.4%,47,+1.1%,55,-0.9%,31,+4.6%,36,+3.1%
J.J. Barea,31.3,DAL,Point,100,8,+7.8%,85,-8.9%,34,+3.3%,7,+11.8%,5,+9.2%,21,+13.3%,5,+17.1%,3,+14.9%
Harrison Barnes,23.4,GSW,Forward,720,73,-2.4%,60,-2.2%,46,+0.9%,81,-7.5%,72,-3.2%,45,+3.0%,68,-4.1%,61,-2.1%
Matt Barnes,35.6,MEM,Forward,138,39,+0.9%,75,-5.8%,19,+6.2%,1,+23.0%,3,+11.8%,29,+8.6%,86,-9.3%,49,0.0%
Nicolas Batum,26.9,CHA,Wing,143,3,+11.6%,0,+23.4%,4,+16.2%,89,-9.7%,27,+4.0%,12,+17.7%,53,+0.3%,16,+7.3%
Kent Bazemore,26.3,ATL,Wing,324,10,+7.0%,5,+11.1%,10,+11.0%,86,-9.1%,65,-0.9%,75,-11.6%,12,+9.5%,27,+4.9%
Patrick Beverley,27.3,HOU,Point,128,97,-10.1%,81,-7.8%,3,+16.7%,98,-15.5%,60,-0.1%,92,-21.0%,93,-13.9%,97,-15.8%
Bismack Biyombo,23.2,TOR,Big,504,75,-2.8%,87,-9.3%,52,-0.1%,44,+1.8%,49,+0.9%,25,+9.9%,86,-9.5%,69,-3.1%
Andrew Bogut,30.9,GSW,Big,364,94,-8.2%,97,-14.1%,53,-0.1%,47,+1.6%,54,+0.6%,82,-14.9%,69,-4.3%,86,-7.2%
Kentavious Caldwell-Pope,22.7,DET,Wing,160,75,-3.1%,19,+5.9%,1,+23.4%,52,0.0%,0,+13.7%,100,-45.5%,64,-2.9%,98,-17.1%
DeMarre Carroll,29.3,TOR,Forward,595,72,-2.4%,38,+1.8%,65,-3.1%,85,-8.8%,86,-6.3%,53,-0.6%,47,+1.5%,47,+0.8%
Ian Clark,24.7,GSW,Combo,109,58,-0.5%,46,+0.6%,25,+5.4%,54,-0.5%,35,+2.5%,43,+4.0%,82,-7.1%,68,-2.9%
Allen Crabbe,23.6,POR,Wing,298,20,+4.1%,12,+7.4%,18,+6.3%,65,-2.9%,43,+1.5%,26,+9.8%,50,+0.6%,42,+2.3%
Jamal Crawford,35.6,LAC,Wing,197,19,+4.2%,3,+17.3%,31,+3.4%,47,+1.2%,39,+2.0%,64,-4.2%,49,+0.8%,53,-0.6%
Jae Crowder,25.3,BOS,Forward,195,93,-8.0%,36,+2.5%,100,-23.2%,86,-8.9%,99,-15.5%,87,-17.6%,81,-6.9%,89,-8.3%
Stephen Curry,27.6,GSW,Point,612,31,+1.9%,24,+4.9%,42,+1.2%,60,-1.9%,57,+0.3%,66,-4.8%,44,+1.7%,53,-0.4%
Ed Davis,26.4,POR,Big,204,42,+0.9%,15,+6.9%,71,-3.8%,73,-4.9%,77,-4.4%,67,-5.4%,25,+5.9%,36,+3.3%
DeMar DeRozan,26.2,TOR,Wing,745,53,-0.2%,66,-3.8%,83,-6.6%,48,+1.2%,71,-2.6%,62,-3.7%,21,+7.3%,34,+3.7%
Matthew Dellavedova,25.1,CLE,Point,218,41,+0.9%,42,+1.2%,28,+4.0%,27,+5.3%,26,+4.4%,33,+6.7%,62,-2.1%,50,-0.3%
Luol Deng,30.5,MIA,Forward,492,65,-1.5%,52,-0.3%,87,-9.1%,82,-8.1%,90,-8.3%,36,+6.1%,22,+7.0%,18,+7.0%
Boris Diaw,33.5,SAS,Big,138,43,+0.6%,20,+5.7%,82,-6.5%,75,-5.5%,81,-5.5%,4,+28.0%,76,-5.7%,37,+3.0%
Goran Dragic,29.5,MIA,Point,470,78,-3.4%,32,+2.7%,60,-1.4%,49,+1.1%,58,+0.0%,97,-28.8%,66,-3.7%,90,-8.7%
Andre Drummond,22.2,DET,Big,131,36,+1.1%,72,-5.0%,55,-0.5%,5,+13.7%,20,+5.6%,38,+5.5%,77,-5.8%,62,-2.2%
Tim Duncan,39.5,SAS,Big,216,90,-6.1%,95,-12.5%,86,-8.9%,23,+6.3%,56,+0.4%,95,-25.6%,23,+6.8%,75,-3.7%
Kevin Durant,27.1,OKC,Forward,723,74,-2.5%,62,-2.4%,49,+0.1%,14,+10.4%,25,+5.2%,97,-27.3%,83,-8.3%,93,-11.3%
Monta Ellis,30.0,IND,Combo,225,21,+3.3%,54,-0.9%,33,+3.4%,78,-6.1%,69,-1.9%,8,+21.1%,42,+2.4%,11,+8.7%
