Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Steven Adams,26.3,OKC,Big,1680,48,-0.0%,94,-4.3%,12,+2.1%,2,+3.1%,1,+5.2%,95,-1.6%,35,+0.8%,69,-0.9%
LaMarcus Aldridge,34.3,SAS,Big,1753,35,+0.8%,97,-5.5%,6,+2.6%,1,+3.9%,0,+6.5%,62,-0.3%,66,-0.7%,70,-1.0%
Al-Farouq Aminu,29.1,ORL,Forward,380,93,-3.9%,53,+0.0%,96,-3.6%,13,+1.6%,80,-2.0%,85,-0.9%,8,+2.9%,20,+2.0%
Kyle Anderson,26.1,MEM,Forward,1296,85,-2.4%,75,-1.8%,45,+0.1%,29,+0.7%,33,+0.8%,48,+0.0%,31,+0.9%,32,+1.0%
Giannis Antetokounmpo,24.9,MIL,Big,1915,94,-4.3%,69,-1.3%,25,+1.0%,37,+0.4%,24,+1.4%,56,-0.1%,52,+0.0%,53,-0.1%
Carmelo Anthony,35.4,POR,Big,1897,55,-0.4%,62,-0.7%,31,+0.8%,29,+0.7%,24,+1.5%,60,-0.2%,64,-0.6%,68,-0.9%
Trevor Ariza,34.3,SAC,Forward,783,85,-2.5%,26,+1.7%,33,+0.7%,36,+0.4%,29,+1.1%,94,-1.6%,73,-1.1%,92,-2.7%
Trevor Ariza,34.3,POR,Wing,701,95,-4.4%,80,-2.1%,44,+0.1%,32,+0.6%,35,+0.7%,4,+2.0%,64,-0.6%,27,+1.4%
D.J. Augustin,32.0,ORL,Point,1419,95,-4.4%,67,-1.1%,46,+0.0%,75,-1.0%,65,-1.0%,68,-0.4%,11,+2.5%,18,+2.1%
J.J. Barea,35.3,DAL,Point,388,4,+4.4%,21,+2.2%,82,-1.6%,94,-2.3%,92,-3.9%,14,+1.1%,38,+0.6%,23,+1.8%
Harrison Barnes,27.4,SAC,Forward,2474,50,-0.1%,32,+1.3%,79,-1.5%,53,-0.2%,75,-1.7%,25,+0.7%,57,-0.3%,44,+0.4%
Will Barton,28.8,DEN,Wing,1903,91,-3.3%,71,-1.3%,22,+1.1%,45,+0.0%,27,+1.2%,74,-0.6%,36,+0.7%,49,+0.1%
Nicolas Batum,30.9,CHA,Wing,488,36,+0.6%,15,+2.7%,74,-1.1%,37,+0.4%,60,-0.8%,26,+0.6%,92,-2.5%,82,-1.9%
Aron Baynes,32.9,PHX,Big,934,25,+1.4%,94,-4.0%,18,+1.4%,4,+2.4%,6,+3.8%,36,+0.3%,55,-0.2%,49,+0.2%
Kent Bazemore,30.3,POR,Wing,1077,84,-2.4%,43,+0.6%,99,-4.8%,37,+0.3%,95,-4.5%,8,+1.5%,13,+2.3%,4,+3.8%
Kent Bazemore,30.3,SAC,Forward,556,99,-7.4%,51,+0.2%,30,+0.9%,45,+0.0%,31,+0.9%,58,-0.2%,69,-0.9%,71,-1.1%
Bradley Beal,26.3,WAS,Wing,2051,5,+4.3%,17,+2.5%,97,-4.3%,40,+0.2%,93,-4.1%,10,+1.4%,47,+0.2%,24,+1.6%
Malik Beasley,22.9,DEN,Wing,697,24,+1.5%,8,+3.6%,92,-2.7%,80,-1.2%,93,-4.0%,54,-0.1%,41,+0.5%,43,+0.4%
Malik Beasley,22.9,MIN,Wing,462,15,+2.3%,31,+1.3%,9,+2.3%,33,+0.5%,11,+2.8%,65,-0.4%,97,-3.8%,98,-4.1%
Marco Belinelli,33.6,SAS,Wing,833,47,+0.0%,46,+0.4%,73,-1.1%,86,-1.6%,86,-2.8%,48,+0.0%,13,+2.3%,17,+2.3%
DeAndre' Bembry,25.3,ATL,Combo,881,51,-0.2%,77,-2.0%,64,-0.7%,3,+2.9%,16,+2.2%,65,-0.4%,50,+0.1%,56,-0.2%
Dragan Bender,22.0,GSW,Big,184,36,+0.7%,96,-4.9%,57,-0.4%,1,+4.4%,6,+3.9%,68,-0.4%,22,+1.4%,33,+0.9%
Davis Bertans,27.0,WAS,Forward,1570,59,-0.6%,43,+0.6%,26,+1.0%,32,+0.6%,23,+1.6%,66,-0.4%,86,-1.8%,87,-2.2%
Patrick Beverley,31.3,LAC,Point,1341,56,-0.4%,96,-4.9%,29,+0.9%,1,+3.3%,4,+4.2%,37,+0.3%,43,+0.4%,38,+0.7%
Bismack Biyombo,27.2,CHA,Big,1029,81,-2.1%,49,+0.3%,25,+1.0%,53,-0.2%,34,+0.8%,34,+0.4%,82,-1.5%,73,-1.1%
Nemanja Bjelica,31.5,SAC,Big,2009,51,-0.2%,40,+0.8%,23,+1.1%,55,-0.3%,32,+0.8%,84,-0.9%,66,-0.7%,80,-1.6%
Eric Bledsoe,29.9,MIL,Point,1644,62,-0.7%,29,+1.4%,38,+0.5%,47,-0.0%,38,+0.5%,53,-0.1%,86,-1.8%,82,-1.9%
Bojan Bogdanovic,30.5,UTA,Forward,2082,56,-0.4%,64,-0.8%,68,-0.9%,35,+0.4%,52,-0.4%,44,+0.1%,28,+1.0%,30,+1.2%
Devin Booker,23.0,PHX,Wing,2508,33,+0.9%,67,-1.0%,35,+0.6%,47,-0.0%,36,+0.6%,23,+0.7%,58,-0.3%,43,+0.4%
Avery Bradley,28.9,LAL,Combo,1184,50,-0.1%,29,+1.4%,24,+1.0%,88,-1.8%,58,-0.7%,43,+0.2%,69,-0.9%,66,-0.7%
Malcolm Brogdon,26.9,IND,Combo,1665,53,-0.3%,29,+1.4%,57,-0.4%,53,-0.2%,57,-0.7%,32,+0.4%,75,-1.2%,67,-0.8%
Jaylen Brown,23.0,BOS,Wing,1929,15,+2.3%,54,-0.1%,68,-0.8%,43,+0.1%,58,-0.7%,72,-0.6%,23,+1.3%,36,+0.8%
Reggie Bullock,28.6,NYK,Wing,682,45,+0.1%,11,+3.1%,69,-0.9%,44,+0.0%,62,-0.9%,82,-0.8%,79,-1.4%,86,-2.2%
Trey Burke,27.0,PHI,Point,282,37,+0.5%,85,-2.7%,31,+0.8%,85,-1.5%,58,-0.7%,38,+0.3%,6,+3.1%,6,+3.4%
Trey Burke,27.0,DAL,Point,190,6,+3.9%,7,+3.6%,71,-1.0%,98,-3.3%,94,-4.3%,71,-0.5%,25,+1.3%,37,+0.7%
Alec Burks,28.3,GSW,Wing,1384,79,-2.0%,65,-0.9%,25,+1.0%,38,+0.3%,25,+1.3%,67,-0.4%,54,-0.1%,60,-0.5%
Alec Burks,28.3,PHI,Combo,361,96,-4.6%,89,-3.0%,5,+2.7%,76,-1.1%,22,+1.6%,9,+1.4%,52,+0.0%,26,+1.4%
Jimmy Butler,30.1,MIA,Wing,1957,47,+0.0%,64,-0.8%,17,+1.5%,34,+0.5%,19,+2.0%,76,-0.6%,63,-0.6%,75,-1.2%
Bruno Caboclo,24.1,MEM,Big,150,85,-2.4%,39,+0.8%,92,-2.8%,98,-3.3%,98,-6.1%,17,+1.0%,2,+4.2%,2,+5.2%
Kentavious Caldwell-Pope,26.7,LAL,Wing,1749,49,-0.1%,35,+1.1%,56,-0.4%,19,+1.2%,33,+0.8%,69,-0.5%,80,-1.4%,82,-1.9%
Clint Capela,25.5,HOU,Big,1275,59,-0.6%,58,-0.3%,9,+2.2%,3,+2.9%,2,+5.2%,57,-0.1%,99,-4.7%,99,-4.8%
DeMarre Carroll,33.3,SAS,Forward,110,68,-1.0%,38,+0.9%,100,-5.5%,3,+2.7%,85,-2.8%,90,-1.1%,7,+2.9%,22,+1.8%
DeMarre Carroll,33.3,HOU,Big,114,40,+0.4%,35,+1.1%,99,-5.2%,30,+0.7%,95,-4.5%,2,+2.3%,26,+1.2%,6,+3.5%
Vince Carter,42.8,ATL,Big,857,77,-1.8%,40,+0.8%,69,-0.9%,83,-1.4%,82,-2.3%,48,+0.0%,21,+1.5%,26,+1.5%
Michael Carter-Williams,28.1,ORL,Combo,808,43,+0.2%,22,+2.1%,85,-1.7%,87,-1.7%,90,-3.4%,37,+0.3%,30,+1.0%,28,+1.3%
Willie Cauley-Stein,26.2,GSW,Big,938,73,-1.6%,51,+0.2%,78,-1.3%,55,-0.3%,74,-1.6%,25,+0.7%,36,+0.7%,27,+1.4%
Willie Cauley-Stein,26.2,DAL,Big,147,97,-4.8%,71,-1.4%,12,+2.0%,99,-3.4%,70,-1.4%,88,-1.0%,4,+3.8%,13,+2.7%
Tyson Chandler,37.1,HOU,Big,219,53,-0.3%,87,-2.9%,75,-1.2%,87,-1.7%,87,-2.9%,50,-0.0%,1,+5.8%,2,+5.8%
Wilson Chandler,32.5,BKN,Big,730,17,+2.2%,83,-2.5%,53,-0.3%,62,-0.5%,60,-0.8%,4,+2.0%,24,+1.3%,7,+3.3%
Marquese Chriss,22.3,GSW,Big,1160,28,+1.3%,42,+0.7%,7,+2.5%,51,-0.2%,15,+2.4%,79,-0.7%,90,-2.3%,94,-3.0%
Jordan Clarkson,27.4,CLE,Wing,665,62,-0.8%,95,-4.5%,14,+1.9%,27,+0.8%,12,+2.6%,25,+0.7%,27,+1.1%,22,+1.8%
Jordan Clarkson,27.4,UTA,Wing,1025,49,-0.1%,84,-2.6%,13,+1.9%,52,-0.2%,22,+1.7%,59,-0.2%,27,+1.1%,33,+0.9%
Mike Conley,32.1,UTA,Point,1359,29,+1.2%,61,-0.5%,38,+0.4%,96,-2.8%,83,-2.4%,6,+1.6%,23,+1.4%,10,+3.0%
Pat Connaughton,26.8,MIL,Wing,1146,11,+2.7%,63,-0.7%,50,-0.1%,48,-0.0%,48,-0.1%,53,-0.1%,33,+0.9%,35,+0.8%
Robert Covington,28.9,MIN,Forward,1410,22,+1.7%,65,-0.9%,83,-1.7%,11,+1.6%,47,-0.0%,43,+0.1%,35,+0.8%,33,+0.9%
Robert Covington,28.9,HOU,Big,725,98,-6.4%,99,-7.4%,3,+3.1%,20,+1.2%,4,+4.2%,76,-0.7%,4,+3.8%,8,+3.2%
Allen Crabbe,27.6,ATL,Wing,504,35,+0.8%,10,+3.1%,93,-2.9%,92,-2.1%,97,-5.0%,14,+1.2%,37,+0.7%,21,+1.8%
Allen Crabbe,27.6,MIN,Wing,131,56,-0.4%,2,+6.0%,55,-0.4%,98,-3.3%,91,-3.6%,92,-1.3%,70,-1.0%,88,-2.3%
Jae Crowder,29.3,MEM,Forward,1321,10,+2.9%,47,+0.4%,79,-1.5%,31,+0.6%,62,-0.9%,47,+0.0%,42,+0.5%,41,+0.5%
Jae Crowder,29.3,MIA,Big,553,91,-3.5%,6,+4.0%,51,-0.2%,89,-1.8%,79,-1.9%,25,+0.7%,94,-2.8%,85,-2.1%
Seth Curry,29.2,DAL,Combo,1543,50,-0.1%,13,+2.8%,63,-0.6%,86,-1.6%,81,-2.3%,24,+0.7%,78,-1.3%,63,-0.6%
Stephen Curry,31.6,GSW,Point,139,1,+7.1%,68,-1.1%,94,-2.9%,19,+1.2%,76,-1.7%,31,+0.5%,12,+2.4%,12,+2.8%
Troy Daniels,28.3,LAL,Wing,387,60,-0.6%,68,-1.1%,43,+0.1%,64,-0.6%,53,-0.5%,63,-0.3%,17,+1.9%,25,+1.6%
Anthony Davis,26.6,LAL,Big,2130,31,+1.0%,62,-0.7%,25,+1.0%,72,-1.0%,46,+0.0%,77,-0.7%,25,+1.3%,40,+0.6%
Ed Davis,30.4,UTA,Big,281,9,+3.1%,79,-2.1%,88,-2.1%,0,+5.2%,9,+3.0%,91,-1.2%,47,+0.2%,70,-1.0%
DeMar DeRozan,30.2,SAS,Forward,2315,43,+0.2%,16,+2.5%,29,+0.9%,10,+1.8%,12,+2.7%,92,-1.4%,98,-3.8%,100,-5.2%
Dewayne Dedmon,30.2,SAC,Big,526,58,-0.5%,72,-1.5%,42,+0.2%,56,-0.3%,48,-0.1%,20,+0.9%,37,+0.7%,24,+1.6%
Dewayne Dedmon,30.2,ATL,Big,233,87,-2.6%,96,-5.1%,0,+4.7%,39,+0.3%,2,+5.0%,38,+0.3%,56,-0.2%,50,+0.1%
Matthew Dellavedova,29.1,CLE,Combo,804,97,-4.7%,96,-4.7%,18,+1.4%,10,+1.8%,9,+3.2%,4,+2.0%,61,-0.4%,25,+1.6%
Cheick Diallo,23.1,PHX,Big,406,32,+0.9%,37,+1.0%,53,-0.2%,55,-0.3%,54,-0.5%,83,-0.9%,42,+0.5%,60,-0.4%
Gorgui Dieng,29.8,MIN,Big,769,94,-4.4%,20,+2.2%,80,-1.5%,14,+1.5%,46,+0.0%,76,-0.7%,82,-1.6%,87,-2.2%
Gorgui Dieng,29.8,MEM,Big,297,89,-3.1%,18,+2.4%,63,-0.6%,66,-0.7%,70,-1.3%,73,-0.6%,62,-0.6%,73,-1.1%
Spencer Dinwiddie,26.6,BKN,Combo,1993,22,+1.7%,30,+1.4%,24,+1.0%,72,-1.0%,44,+0.1%,61,-0.2%,76,-1.3%,78,-1.5%
Goran Dragic,33.5,MIA,Point,1645,72,-1.4%,18,+2.4%,69,-0.9%,78,-1.2%,81,-2.1%,18,+1.0%,76,-1.3%,57,-0.3%
Andre Drummond,26.2,DET,Big,1651,33,+0.9%,23,+2.0%,71,-1.0%,33,+0.5%,53,-0.5%,78,-0.7%,68,-0.8%,78,-1.5%
Andre Drummond,26.2,CLE,Big,220,5,+4.1%,80,-2.1%,35,+0.6%,1,+3.5%,5,+4.0%,98,-2.2%,47,+0.2%,83,-1.9%
Jared Dudley,34.3,LAL,Big,292,45,+0.1%,59,-0.3%,26,+1.0%,89,-1.8%,60,-0.8%,66,-0.4%,21,+1.5%,31,+1.1%
Kris Dunn,25.6,CHI,Point,1259,76,-1.7%,95,-4.4%,8,+2.3%,20,+1.2%,7,+3.5%,27,+0.6%,46,+0.3%,35,+0.9%
Wayne Ellington,31.9,NYK,Combo,528,92,-3.7%,61,-0.6%,10,+2.2%,81,-1.3%,32,+0.9%,13,+1.2%,81,-1.5%,57,-0.3%
Joel Embiid,25.6,PHI,Big,1505,95,-4.4%,99,-8.0%,30,+0.9%,0,+4.9%,0,+5.8%,31,+0.5%,18,+1.8%,17,+2.2%
James Ennis,29.3,PHI,Wing,758,19,+2.0%,8,+3.6%,30,+0.8%,84,-1.5%,56,-0.6%,79,-0.7%,90,-2.2%,93,-2.9%
James Ennis,29.3,ORL,Forward,484,41,+0.3%,78,-2.0%,15,+1.8%,36,+0.4%,17,+2.2%,37,+0.3%,61,-0.5%,54,-0.2%
Dante Exum,24.3,CLE,Wing,385,68,-1.0%,57,-0.2%,42,+0.2%,42,+0.2%,41,+0.3%,98,-2.0%,16,+1.9%,54,-0.1%
Derrick Favors,28.3,NOP,Big,1241,78,-1.9%,98,-5.6%,6,+2.6%,7,+2.1%,3,+4.7%,46,+0.0%,34,+0.8%,34,+0.9%
Cristiano Felicio,27.3,CHI,Big,380,1,+6.6%,14,+2.7%,95,-3.2%,65,-0.6%,92,-3.8%,8,+1.5%,60,-0.4%,31,+1.1%
Yogi Ferrell,26.5,SAC,Point,460,44,+0.1%,81,-2.1%,20,+1.2%,8,+2.0%,8,+3.2%,49,-0.0%,72,-1.1%,72,-1.1%
