Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Alex Abrines,25.3,OKC,Wing,558,35,49.0%,13,13%,1,1%,30,7%,3,9%,67,17%,100,61%,99,78%
Quincy Acy,28.1,PHX,Big,102,0,25.0%,2,12%,0,0%,0,0%,0,0%,98,29%,99,59%,100,88%
Jaylen Adams,22.5,ATL,Point,395,13,45.5%,9,17%,0,8%,19,10%,2,18%,94,11%,98,54%,100,65%
Steven Adams,25.3,OKC,Big,2678,80,59.6%,82,71%,87,28%,3,0%,62,29%,0,0%,0,0%,0,0%
Bam Adebayo,21.3,MIA,Big,1876,71,58.3%,78,69%,75,24%,40,5%,65,29%,32,1%,23,1%,24,2%
Deng Adel,21.7,CLE,Forward,187,1,37.1%,18,19%,28,11%,49,8%,30,19%,69,16%,86,46%,85,62%
LaMarcus Aldridge,33.3,SAS,Big,2698,34,52.4%,27,34%,96,36%,98,27%,100,63%,27,0%,30,2%,27,3%
Rawle Alkins,21.0,CHI,Forward,108,4,39.7%,87,50%,65,18%,18,3%,41,21%,41,11%,18,18%,23,29%
Grayson Allen,23.1,UTA,Combo,322,49,49.6%,29,25%,44,19%,22,6%,32,25%,97,18%,63,33%,83,50%
Jarrett Allen,20.5,BKN,Big,2093,79,59.5%,88,77%,42,16%,5,0%,20,16%,62,6%,19,0%,34,7%
Kadeem Allen,25.8,NYK,Combo,377,66,51.6%,78,37%,97,30%,42,10%,73,41%,29,5%,15,17%,12,22%
Al-Farouq Aminu,28.1,POR,Big,2291,27,51.4%,39,41%,20,10%,41,5%,15,15%,85,15%,76,29%,80,43%
Justin Anderson,25.0,ATL,Wing,414,20,47.0%,70,34%,65,15%,13,4%,27,19%,50,14%,54,33%,51,47%
Kyle Anderson,25.1,MEM,Forward,1270,83,56.9%,92,53%,93,26%,52,9%,80,35%,20,8%,0,4%,0,11%
Ryan Anderson,30.5,PHX,Big,277,1,37.5%,10,23%,13,9%,90,17%,50,26%,66,8%,91,44%,86,52%
