Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Shareef Abdur-Rahim,27.9,POR,Forward,1856,92,86.5%,0,0.0%,0,0.0%,0,0.0%
Cory Alexander,31.4,CHA,Point,169,0,80.0%,0,0.0%,0,0.0%,0,0.0%
Malik Allen,26.3,CHA,Big,238,0,100.0%,0,0.0%,0,0.0%,0,0.0%
Malik Allen,26.3,MIA,Big,243,0,92.9%,0,0.0%,0,0.0%,0,0.0%
Ray Allen,29.3,OKC,Wing,3057,95,88.3%,0,0.0%,95,0.0%,0,0.0%
Tony Allen,22.8,BOS,Wing,1207,32,75.2%,0,0.0%,0,0.0%,0,0.0%
Rafer Alston,28.3,TOR,Point,2714,21,73.8%,0,0.0%,0,0.0%,0,0.0%
Chris Andersen,26.3,NOP,Big,1388,46,68.6%,0,0.0%,0,0.0%,0,0.0%
Derek Anderson,30.3,POR,Wing,1234,54,80.5%,0,0.0%,0,0.0%,0,0.0%
Kenny Anderson,34.1,ATL,Point,715,19,73.0%,0,0.0%,0,0.0%,0,0.0%
Shandon Anderson,30.8,MIA,Forward,1116,75,81.3%,0,0.0%,0,0.0%,0,0.0%
Carmelo Anthony,20.4,DEN,Forward,2597,69,79.8%,0,0.0%,0,0.0%,0,0.0%
Rafael Araujo,24.2,TOR,Big,706,76,77.4%,0,0.0%,0,0.0%,0,0.0%
Gilbert Arenas,22.8,WAS,Wing,3266,62,81.7%,0,0.0%,0,0.0%,0,0.0%
Trevor Ariza,19.3,NYK,Wing,1333,13,67.9%,0,0.0%,0,0.0%,0,0.0%
Darrell Armstrong,36.4,DAL,Point,508,67,81.4%,0,0.0%,0,0.0%,0,0.0%
Darrell Armstrong,36.4,NOP,Point,415,0,90.5%,0,0.0%,0,0.0%,0,0.0%
Carlos Arroyo,25.3,DET,Point,653,30,74.7%,0,0.0%,0,0.0%,0,0.0%
Carlos Arroyo,25.3,UTA,Point,738,79,84.1%,0,0.0%,0,0.0%,0,0.0%
Chucky Atkins,30.2,LAL,Point,2904,65,80.3%,0,0.0%,0,0.0%,0,0.0%
Stacey Augmon,36.3,ORL,Wing,604,34,75.7%,0,0.0%,100,0.1%,0,0.0%
Vin Baker,32.9,NYK,Big,156,0,36.4%,0,0.0%,0,0.0%,0,0.0%
Marcus Banks,23.0,BOS,Point,1062,28,74.7%,0,0.0%,0,0.0%,0,0.0%
Leandro Barbosa,21.9,PHX,Combo,981,55,78.8%,0,0.0%,0,0.0%,0,0.0%
Matt Barnes,24.6,SAC,Wing,638,4,60.0%,0,0.0%,0,0.0%,0,0.0%
Andre Barrett,22.7,HOU,Point,287,0,75.0%,0,0.0%,0,0.0%,0,0.0%
Andre Barrett,22.7,ORL,Point,153,0,85.7%,0,0.0%,0,0.0%,0,0.0%
Brent Barry,32.8,SAS,Wing,1652,73,83.6%,0,0.0%,0,0.0%,0,0.0%
Jon Barry,35.3,ATL,Combo,274,0,76.9%,0,0.0%,0,0.0%,0,0.0%
Jon Barry,35.3,HOU,Wing,1190,96,89.3%,0,0.0%,0,0.0%,0,0.0%
Tony Battie,28.7,ORL,Big,1900,59,72.3%,0,0.0%,89,0.0%,0,0.0%
Shane Battier,26.1,MEM,Forward,2493,67,79.5%,0,0.0%,96,0.0%,0,0.0%
Raja Bell,28.1,UTA,Wing,1783,28,74.5%,0,0.0%,0,0.0%,0,0.0%
Travis Best,32.3,BKN,Combo,1389,92,88.1%,0,0.0%,0,0.0%,0,0.0%
Mike Bibby,26.5,SAC,Point,3083,53,77.5%,0,0.0%,0,0.0%,0,0.0%
Andris Biedrins,18.6,GSW,Big,357,5,46.2%,0,0.0%,0,0.0%,0,0.0%
Chauncey Billups,28.1,DET,Combo,2860,100,89.8%,0,0.0%,0,0.0%,0,0.0%
Steve Blake,24.7,WAS,Point,607,58,78.8%,0,0.0%,0,0.0%,0,0.0%
Mark Blount,28.9,BOS,Big,2129,53,71.0%,0,0.0%,87,0.0%,0,0.0%
Keith Bogans,24.5,CHA,Wing,1762,22,73.2%,0,0.0%,0,0.0%,0,0.0%
Matt Bonner,24.6,TOR,Big,1506,80,78.3%,0,0.0%,91,0.0%,0,0.0%
Calvin Booth,28.5,DAL,Big,224,0,87.5%,0,0.0%,0,0.0%,0,0.0%
Calvin Booth,28.5,MIL,Big,153,0,83.3%,0,0.0%,0,0.0%,0,0.0%
Carlos Boozer,22.9,UTA,Big,1776,50,69.8%,0,0.0%,0,0.0%,0,0.0%
Curtis Borchardt,24.1,UTA,Big,819,65,73.8%,0,0.0%,0,0.0%,0,0.0%
Chris Bosh,20.6,TOR,Big,2994,73,76.1%,0,0.0%,0,0.0%,0,0.0%
Bruce Bowen,33.4,SAS,Wing,2602,5,63.1%,0,0.0%,0,0.0%,0,0.0%
Ryan Bowen,29.0,HOU,Forward,531,0,72.2%,0,0.0%,0,0.0%,0,0.0%
Earl Boykins,28.4,DEN,Point,2087,100,92.0%,0,0.0%,0,0.0%,0,0.0%
Shawn Bradley,32.6,DAL,Big,848,42,67.3%,0,0.0%,98,0.1%,0,0.0%
Elton Brand,25.6,LAC,Big,2999,70,75.2%,0,0.0%,84,0.0%,0,0.0%
Jamison Brewer,24.0,NYK,Combo,156,0,44.4%,0,0.0%,0,0.0%,0,0.0%
Primoz Brezec,25.1,CHA,Big,2264,66,74.3%,0,0.0%,0,0.0%,0,0.0%
Damone Brown,25.3,WAS,Forward,135,0,28.6%,0,0.0%,0,0.0%,0,0.0%
Devin Brown,25.8,SAS,Wing,1122,44,77.4%,0,0.0%,0,0.0%,0,0.0%
Kwame Brown,22.6,WAS,Big,896,17,57.0%,0,0.0%,0,0.0%,0,0.0%
P.J. Brown,35.0,NOP,Big,2820,96,86.4%,0,0.0%,85,0.0%,0,0.0%
Tierre Brown,25.4,LAL,Combo,1015,47,78.5%,0,0.0%,0,0.0%,0,0.0%
Rick Brunson,32.4,LAC,Point,1906,49,77.1%,0,0.0%,0,0.0%,0,0.0%
Kobe Bryant,26.2,LAL,Wing,2679,60,81.6%,0,0.0%,0,0.0%,0,0.0%
Greg Buckner,28.1,DEN,Wing,1490,56,80.8%,0,0.0%,0,0.0%,0,0.0%
Rodney Buford,27.0,BKN,Wing,1251,81,84.6%,0,0.0%,0,0.0%,0,0.0%
Antonio Burks,24.7,MEM,Point,191,0,70.6%,0,0.0%,0,0.0%,0,0.0%
Caron Butler,24.6,LAL,Wing,2730,91,86.1%,0,0.0%,0,0.0%,0,0.0%
Rasual Butler,25.4,MIA,Wing,1153,39,77.1%,0,0.0%,0,0.0%,0,0.0%
Zarko Cabarkapa,23.4,GSW,Big,448,89,81.4%,0,0.0%,0,0.0%,0,0.0%
Marcus Camby,30.6,DEN,Big,2015,58,72.3%,0,0.0%,0,0.0%,0,0.0%
Elden Campbell,36.3,DET,Big,329,82,78.7%,0,0.0%,0,0.0%,0,0.0%
Brian Cardinal,27.5,MEM,Big,1397,99,87.7%,0,0.0%,0,0.0%,0,0.0%
Matt Carroll,24.2,CHA,Wing,406,83,85.2%,0,0.0%,0,0.0%,0,0.0%
Anthony Carter,29.4,MIN,Point,673,9,69.4%,0,0.0%,0,0.0%,0,0.0%
Vince Carter,27.8,BKN,Wing,2229,61,81.7%,0,0.0%,0,0.0%,0,0.0%
Vince Carter,27.8,TOR,Wing,605,18,69.4%,0,0.0%,0,0.0%,0,0.0%
Sam Cassell,35.0,MIN,Point,1520,88,86.1%,0,0.0%,0,0.0%,0,0.0%
Kelvin Cato,30.2,ORL,Big,1514,80,78.3%,0,0.0%,0,0.0%,0,0.0%
Lionel Chalmers,24.0,LAC,Combo,383,0,73.7%,0,0.0%,0,0.0%,0,0.0%
Tyson Chandler,22.1,CHI,Big,2164,43,67.4%,0,0.0%,87,0.0%,0,0.0%
Calbert Cheaney,33.3,GSW,Wing,926,7,64.9%,0,0.0%,0,0.0%,0,0.0%
Josh Childress,21.4,ATL,Wing,2328,64,82.0%,0,0.0%,0,0.0%,0,0.0%
Doug Christie,34.5,ORL,Wing,527,0,90.9%,0,0.0%,0,0.0%,0,0.0%
Doug Christie,34.5,SAC,Wing,987,96,89.3%,0,0.0%,0,0.0%,0,0.0%
Speedy Claxton,26.5,GSW,Point,1500,44,76.1%,0,0.0%,0,0.0%,0,0.0%
Speedy Claxton,26.5,NOP,Point,365,0,61.0%,0,0.0%,0,0.0%,0,0.0%
Jason Collier,27.1,ATL,Big,927,44,67.6%,0,0.0%,0,0.0%,0,0.0%
Jarron Collins,25.9,UTA,Big,948,51,70.4%,0,0.0%,0,0.0%,0,0.0%
Jason Collins,25.9,BKN,Big,2541,37,65.6%,0,0.0%,0,0.0%,0,0.0%
Nick Collison,24.0,OKC,Big,1362,55,71.3%,0,0.0%,0,0.0%,0,0.0%
Brian Cook,23.9,LAL,Big,1021,69,75.0%,0,0.0%,0,0.0%,0,0.0%
Jamal Crawford,24.6,NYK,Wing,2667,78,84.3%,0,0.0%,0,0.0%,0,0.0%
Austin Croshere,29.5,IND,Forward,1783,97,88.4%,0,0.0%,0,0.0%,0,0.0%
Eddy Curry,21.9,CHI,Big,1789,60,72.4%,0,0.0%,0,0.0%,0,0.0%
Michael Curry,36.2,IND,Wing,242,0,50.0%,0,0.0%,0,0.0%,0,0.0%
Samuel Dalembert,24.5,PHI,Big,1771,23,59.6%,0,0.0%,90,0.0%,0,0.0%
Erick Dampier,29.3,DAL,Big,1598,27,60.8%,0,0.0%,0,0.0%,0,0.0%
Antonio Daniels,29.6,OKC,Combo,1998,71,81.5%,0,0.0%,0,0.0%,0,0.0%
Marquis Daniels,23.8,DAL,Combo,1355,5,72.7%,0,0.0%,0,0.0%,0,0.0%
Antonio Davis,36.0,CHI,Big,1825,73,75.7%,0,0.0%,0,0.0%,0,0.0%
Baron Davis,25.6,GSW,Point,985,42,75.3%,0,0.0%,0,0.0%,0,0.0%
Baron Davis,25.6,NOP,Combo,590,32,76.6%,0,0.0%,0,0.0%,0,0.0%
Dale Davis,35.6,GSW,Big,572,19,57.9%,0,0.0%,0,0.0%,0,0.0%
Dale Davis,35.6,IND,Big,726,29,62.3%,0,0.0%,0,0.0%,0,0.0%
Josh Davis,24.2,PHI,Big,293,0,82.4%,0,0.0%,0,0.0%,0,0.0%
Ricky Davis,25.1,BOS,Wing,2670,58,81.4%,0,0.0%,96,0.0%,0,0.0%
Carlos Delfino,22.2,DET,Wing,438,2,55.3%,0,0.0%,0,0.0%,0,0.0%
Tony Delk,30.8,ATL,Combo,1343,21,75.7%,0,0.0%,0,0.0%,0,0.0%
Luol Deng,19.5,CHI,Forward,1641,36,73.8%,0,0.0%,0,0.0%,0,0.0%
Boris Diaw,22.5,ATL,Wing,1168,29,74.6%,0,0.0%,0,0.0%,0,0.0%
Dan Dickau,26.1,NOP,Point,2023,77,83.8%,0,0.0%,0,0.0%,0,0.0%
DeSagana Diop,22.8,CLE,Big,237,0,0.0%,0,0.0%,0,0.0%,0,0.0%
Vlade Divac,36.7,LAL,Big,127,0,66.7%,0,0.0%,0,0.0%,0,0.0%
Juan Dixon,26.1,WAS,Combo,1018,97,89.6%,0,0.0%,0,0.0%,0,0.0%
Michael Doleac,27.4,MIA,Big,1138,25,60.5%,0,0.0%,0,0.0%,0,0.0%
Keyon Dooling,24.5,MIA,Point,1131,49,77.1%,0,0.0%,0,0.0%,0,0.0%
Predrag Drobnjak,29.0,ATL,Big,1416,87,80.7%,0,0.0%,0,0.0%,0,0.0%
Chris Duhon,22.2,CHI,Point,2134,37,75.0%,0,0.0%,0,0.0%,0,0.0%
Tim Duncan,28.5,SAS,Big,2192,40,67.0%,0,0.0%,0,0.0%,0,0.0%
Mike Dunleavy,24.1,GSW,Forward,2553,50,78.0%,0,0.0%,0,0.0%,0,0.0%
Ronald Dupree,23.8,DET,Wing,402,8,65.8%,0,0.0%,0,0.0%,0,0.0%
Howard Eisley,31.9,UTA,Combo,1356,61,79.0%,0,0.0%,0,0.0%,0,0.0%
Obinna Ekezie,29.2,ATL,Big,719,77,77.4%,0,0.0%,0,0.0%,0,0.0%
Francisco Elson,28.7,DEN,Big,882,16,56.2%,0,0.0%,0,0.0%,0,0.0%
Melvin Ely,26.5,CHA,Big,1621,20,58.4%,0,0.0%,0,0.0%,0,0.0%
Maurice Evans,26.0,SAC,Wing,1150,27,74.3%,0,0.0%,0,0.0%,0,0.0%
Reggie Evans,24.5,OKC,Big,1874,10,53.4%,0,0.0%,94,0.0%,0,0.0%
Michael Finley,31.7,DAL,Wing,2358,70,83.0%,0,0.0%,0,0.0%,0,0.0%
Derek Fisher,30.2,GSW,Combo,2196,87,86.1%,0,0.0%,0,0.0%,0,0.0%
Marcus Fizer,26.2,MIL,Big,833,54,71.3%,0,0.0%,0,0.0%,0,0.0%
Danny Fortson,28.6,OKC,Big,1039,100,88.1%,0,0.0%,99,0.1%,0,0.0%
Jeff Foster,27.8,IND,Big,1593,32,63.4%,0,0.0%,0,0.0%,0,0.0%
Adonal Foyle,29.7,GSW,Big,1687,13,54.3%,0,0.0%,0,0.0%,0,0.0%
Richie Frahm,27.2,POR,Wing,466,0,83.3%,0,0.0%,0,0.0%,0,0.0%
Steve Francis,27.7,ORL,Combo,2963,76,82.3%,0,0.0%,0,0.0%,0,0.0%
Matt Freije,23.1,NOP,Forward,426,0,62.5%,0,0.0%,0,0.0%,0,0.0%
Dan Gadzuric,26.7,MIL,Big,1770,11,53.8%,0,0.0%,0,0.0%,0,0.0%
Alex Garcia,24.7,NOP,Combo,145,0,75.0%,0,0.0%,0,0.0%,0,0.0%
Kevin Garnett,28.5,MIN,Big,3114,88,81.1%,0,0.0%,84,0.0%,0,0.0%
Pat Garrity,28.2,ORL,Big,901,99,87.9%,0,0.0%,0,0.0%,0,0.0%
Pau Gasol,24.3,MEM,Big,1776,75,76.8%,0,0.0%,0,0.0%,0,0.0%
