Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Arron Afflalo,22.0,DET,Wing,755,62,81.0%,69,11.3%,59,1.4%,76,26.1%
Blake Ahearn,23.4,MIA,Point,156,100,96.6%,84,13.2%,100,6.6%,27,14.3%
LaMarcus Aldridge,22.3,POR,Big,2637,77,76.2%,29,11.3%,65,1.7%,48,20.1%
Malik Allen,29.3,BKN,Big,719,0,90.9%,1,2.4%,9,0.7%,98,50.0%
Malik Allen,29.3,DAL,Big,313,0,91.7%,5,4.6%,29,1.2%,0,0.0%
Ray Allen,32.3,BOS,Wing,2609,99,90.7%,30,6.9%,68,1.5%,26,15.5%
Tony Allen,25.8,BOS,Wing,1239,45,76.9%,95,18.3%,81,1.8%,37,17.3%
Rafer Alston,31.3,HOU,Point,2520,12,71.5%,28,5.7%,17,0.9%,31,14.5%
Derek Anderson,33.3,CHA,Wing,336,32,75.0%,66,11.0%,85,1.9%,24,15.4%
Carmelo Anthony,23.4,DEN,Forward,2791,66,78.6%,78,13.7%,95,2.7%,38,19.2%
Joel Anthony,25.2,MIA,Big,461,35,62.2%,98,27.4%,79,2.0%,45,20.0%
Gilbert Arenas,25.8,WAS,Combo,423,26,76.6%,90,17.9%,92,2.6%,80,27.5%
Trevor Ariza,22.3,LAL,Wing,385,17,71.2%,97,20.2%,47,1.2%,38,17.4%
Darrell Armstrong,39.4,BKN,Combo,505,0,64.3%,18,5.1%,82,2.1%,38,20.0%
Hilton Armstrong,22.9,NOP,Big,663,31,61.3%,73,19.0%,69,1.8%,31,16.7%
Carlos Arroyo,28.3,ORL,Point,1216,79,86.0%,80,11.2%,59,1.7%,78,26.8%
Chucky Atkins,33.2,DEN,Combo,293,0,50.0%,4,3.0%,10,0.7%,0,0.0%
James Augustine,23.7,ORL,Big,106,0,33.3%,42,13.6%,33,1.2%,100,66.7%
Kelenna Azubuike,23.9,GSW,Wing,1680,21,72.8%,50,9.0%,39,1.0%,74,25.5%
Renaldo Balkman,23.3,NYK,Forward,895,0,44.4%,95,18.9%,32,0.9%,10,10.0%
Marcus Banks,25.9,MIA,Combo,239,0,73.3%,20,5.2%,88,2.4%,100,75.0%
Marcus Banks,25.9,PHX,Combo,240,0,72.7%,14,4.9%,90,2.5%,66,25.0%
