Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Malik Allen,25.3,MIA,Big,132,91,+8.2%,68,+5.4%,51,+0.2%,66,+3.2%,71,+3.3%,76,+16.7%,93,+21.8%,94,+20.0%
Rafer Alston,27.3,MIA,Point,288,1,-10.0%,8,-15.2%,43,-1.5%,19,-8.0%,26,-4.9%,52,+4.2%,3,-18.2%,3,-14.2%
Shandon Anderson,29.8,NYK,Wing,111,9,-6.1%,9,-13.8%,62,+2.8%,23,-6.6%,33,-2.9%,61,+6.7%,26,-5.4%,34,-3.2%
Carmelo Anthony,19.4,DEN,Wing,144,17,-4.4%,50,+0.6%,70,+4.4%,3,-16.9%,3,-10.2%,90,+28.6%,60,+3.0%,67,+4.2%
Darrell Armstrong,35.4,NOH,Point,149,36,-1.6%,36,-2.6%,75,+6.5%,40,-1.7%,54,+0.6%,82,+19.8%,16,-9.2%,20,-4.7%
Chucky Atkins,29.2,BOS,Point,134,24,-3.0%,69,+5.4%,7,-18.8%,64,+3.0%,27,-4.6%,86,+23.8%,3,-16.7%,10,-8.1%
Stacey Augmon,35.2,NOH,Wing,165,34,-1.7%,37,-2.4%,96,+14.1%,37,-2.5%,66,+2.2%,19,-13.3%,25,-5.7%,14,-6.2%
Jonathan Bender,22.8,IND,Big,186,59,+1.6%,49,+0.6%,32,-3.5%,63,+2.7%,48,-0.1%,66,+9.4%,63,+3.8%,69,+5.1%
Mike Bibby,25.5,SAC,Point,498,99,+12.9%,81,+8.0%,88,+10.9%,96,+18.5%,98,+16.0%,83,+20.3%,68,+5.5%,80,+9.6%
Chauncey Billups,27.1,DET,Combo,882,70,+2.9%,73,+6.3%,44,-1.3%,86,+7.8%,73,+3.5%,57,+5.6%,20,-8.3%,24,-4.3%
Mark Blount,27.9,BOS,Big,144,95,+9.4%,86,+9.9%,100,+23.8%,61,+2.4%,97,+10.7%,37,-4.5%,70,+6.3%,74,+6.3%
Bruce Bowen,32.4,SAS,Wing,297,72,+3.3%,26,-5.6%,71,+4.7%,79,+5.3%,80,+5.0%,69,+11.5%,77,+9.8%,83,+10.4%
Earl Boykins,27.4,DEN,Point,116,63,+2.1%,14,-7.9%,86,+10.5%,75,+4.5%,85,+6.4%,45,0.0%,55,+1.4%,63,+3.3%
Devin Brown,24.8,SAS,Combo,124,6,-6.4%,84,+9.3%,15,-8.2%,32,-4.1%,20,-5.9%,7,-25.5%,30,-4.3%,6,-11.2%
