Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Torrey Craig,28.9,DEN,Wing,1041,77,56.1%,77,38%,20,8%,20,4%,12,12%,72,19%,47,31%,57,50%
Jae Crowder,29.3,MIA,Big,553,92,66.4%,7,19%,1,2%,43,4%,3,6%,95,25%,97,50%,99,75%
Jae Crowder,29.3,MEM,Forward,1321,20,47.0%,20,24%,17,6%,57,6%,27,13%,45,12%,95,52%,92,64%
Jarrett Culver,20.7,MIN,Combo,1454,15,45.4%,94,49%,30,14%,8,3%,9,16%,38,7%,38,28%,36,35%
Seth Curry,29.2,DAL,Combo,1543,98,62.1%,3,12%,48,18%,65,15%,61,34%,79,11%,89,44%,88,55%
Stephen Curry,31.6,GSW,Point,139,22,48.7%,37,25%,4,8%,61,15%,18,23%,61,7%,82,45%,86,52%
Troy Daniels,28.3,LAL,Wing,387,52,52.0%,6,9%,29,10%,73,14%,46,24%,86,22%,83,45%,91,67%
Anthony Davis,26.6,LAL,Big,2130,40,54.1%,43,42%,72,23%,94,18%,90,41%,42,4%,43,14%,42,17%
Ed Davis,30.4,UTA,Big,281,14,48.8%,82,70%,84,27%,30,2%,69,30%,0,0%,0,0%,0,0%
Terence Davis,22.5,TOR,Combo,1136,86,54.5%,59,34%,11,8%,6,2%,2,11%,91,14%,85,41%,91,55%
DeMar DeRozan,30.2,SAS,Forward,2315,64,53.6%,48,32%,100,38%,99,27%,100,65%,0,1%,0,2%,0,3%
Dewayne Dedmon,30.2,ATL,Big,233,4,44.0%,39,40%,40,15%,43,3%,29,19%,76,12%,71,30%,75,42%
Dewayne Dedmon,30.2,SAC,Big,526,4,44.3%,33,38%,38,15%,69,7%,46,22%,55,6%,76,33%,71,40%
Matthew Dellavedova,29.1,CLE,Combo,804,6,40.5%,8,16%,92,30%,9,3%,58,33%,67,10%,83,41%,85,51%
Donte DiVincenzo,22.7,MIL,Combo,1488,85,54.2%,80,40%,8,8%,29,7%,6,14%,48,8%,74,38%,73,45%
Cheick Diallo,23.1,PHX,Big,406,87,63.7%,80,69%,64,20%,79,10%,73,30%,25,1%,0,0%,13,1%
Hamidou Diallo,21.3,OKC,Wing,837,25,48.0%,97,56%,81,21%,30,5%,52,26%,50,12%,1,5%,2,18%
Gorgui Dieng,29.8,MIN,Big,769,39,53.7%,33,36%,30,14%,80,11%,55,24%,70,10%,72,30%,72,40%
Gorgui Dieng,29.8,MEM,Big,297,35,53.1%,35,38%,46,17%,82,11%,64,28%,77,12%,58,21%,61,34%
Spencer Dinwiddie,26.6,BKN,Combo,1993,30,47.9%,74,38%,70,22%,21,5%,36,28%,24,5%,45,29%,33,34%
Luka Doncic,20.7,DAL,Wing,2047,62,53.8%,59,33%,92,25%,24,4%,66,29%,1,1%,62,38%,36,39%
Luguentz Dort,20.5,OKC,Wing,799,18,46.7%,89,46%,26,10%,4,1%,10,10%,71,18%,32,25%,44,43%
Damyean Dotson,25.5,NYK,Wing,771,42,51.1%,17,15%,17,7%,93,23%,73,30%,30,9%,85,46%,69,55%
Sekou Doumbouya,18.9,DET,Forward,724,15,45.0%,76,43%,40,14%,47,5%,40,19%,60,15%,36,24%,48,39%
PJ Dozier,23.0,DEN,Combo,385,52,49.3%,47,28%,86,27%,71,16%,89,43%,20,4%,27,25%,21,29%
Goran Dragic,33.5,MIA,Point,1645,71,53.0%,33,25%,47,19%,53,13%,45,32%,73,8%,67,35%,71,43%
Andre Drummond,26.2,CLE,Big,220,64,56.6%,85,74%,27,13%,13,1%,20,14%,46,4%,35,8%,36,12%
Andre Drummond,26.2,DET,Big,1651,38,53.7%,81,70%,82,27%,14,1%,63,28%,18,1%,23,2%,22,2%
Jared Dudley,34.3,LAL,Big,292,72,59.2%,10,20%,0,2%,48,4%,4,6%,95,24%,96,49%,98,73%
Kris Dunn,25.6,CHI,Point,1259,27,49.1%,92,42%,63,22%,12,5%,27,27%,80,8%,29,22%,35,31%
Carsen Edwards,21.6,BOS,Combo,284,3,39.9%,21,20%,6,7%,67,16%,29,23%,35,6%,95,50%,94,56%
Wayne Ellington,31.9,NYK,Combo,528,29,47.9%,0,5%,0,2%,45,10%,3,12%,83,12%,98,71%,100,83%
Joel Embiid,25.6,PHI,Big,1505,24,51.5%,32,34%,86,28%,96,19%,98,48%,24,1%,51,17%,43,18%
James Ennis,29.3,PHI,Wing,758,55,52.5%,85,44%,24,9%,15,3%,14,12%,81,21%,24,24%,46,44%
James Ennis,29.3,ORL,Forward,484,63,53.5%,88,47%,11,6%,59,6%,24,13%,31,10%,65,31%,52,40%
Drew Eubanks,22.7,SAS,Big,247,90,65.7%,73,63%,82,27%,71,8%,82,35%,31,2%,0,0%,17,2%
Jacob Evans,22.4,GSW,Wing,385,2,37.6%,34,20%,78,20%,100,36%,99,56%,20,7%,9,17%,8,25%
Dante Exum,24.3,CLE,Wing,385,80,56.6%,94,53%,51,15%,5,1%,23,16%,33,9%,21,22%,17,31%
Derrick Favors,28.3,NOP,Big,1241,82,62.2%,85,74%,59,19%,56,6%,52,24%,30,1%,15,0%,18,2%
Cristiano Felicio,27.3,CHI,Big,380,85,63.0%,92,83%,23,13%,20,2%,20,14%,0,0%,29,3%,24,3%
Terrance Ferguson,21.5,OKC,Wing,1224,19,47.4%,20,16%,4,3%,28,5%,5,8%,99,34%,75,41%,96,75%
Bruno Fernando,21.2,ATL,Big,666,49,55.0%,73,64%,55,18%,15,1%,33,19%,61,7%,38,9%,41,17%
Yogi Ferrell,26.5,SAC,Point,460,14,47.0%,24,23%,31,14%,98,28%,78,42%,76,8%,37,27%,41,35%
Dorian Finney-Smith,26.5,DAL,Forward,2116,85,57.8%,59,38%,3,5%,21,2%,7,8%,97,28%,47,26%,83,54%
Bryn Forbes,26.3,SAS,Wing,1570,69,54.8%,4,8%,38,12%,78,15%,56,27%,18,7%,97,58%,88,65%
Evan Fournier,27.0,ORL,Wing,2075,75,55.9%,40,24%,66,18%,75,15%,78,32%,19,7%,60,37%,45,44%
De'Aaron Fox,21.9,SAC,Point,1631,53,51.6%,90,42%,96,30%,22,8%,61,38%,18,3%,14,16%,10,20%
Tim Frazier,29.0,DET,Point,322,6,43.2%,47,27%,59,21%,84,23%,86,44%,29,4%,35,25%,29,29%
Markelle Fultz,21.4,ORL,Combo,1984,50,49.3%,86,43%,79,24%,77,18%,85,42%,8,2%,5,13%,3,15%
Wenyen Gabriel,22.6,POR,Big,138,0,31.0%,68,62%,10,8%,0,0%,6,8%,64,8%,61,23%,57,31%
Daniel Gafford,21.1,CHI,Big,588,97,69.4%,95,87%,16,10%,37,3%,17,13%,0,0%,0,0%,0,0%
Danilo Gallinari,31.2,OKC,Big,1833,47,54.8%,10,21%,33,14%,89,15%,68,30%,51,6%,91,43%,82,49%
Langston Galloway,27.9,DET,Wing,1684,78,56.4%,15,15%,62,17%,49,9%,49,26%,94,24%,56,36%,80,60%
Darius Garland,19.8,CLE,Combo,1781,26,47.8%,29,23%,76,23%,61,13%,76,37%,56,9%,55,32%,50,40%
Marc Gasol,34.8,TOR,Big,1157,33,52.7%,8,20%,65,21%,74,8%,67,29%,49,5%,95,47%,84,52%
Rudy Gay,33.2,SAS,Big,1455,21,50.9%,11,22%,81,27%,93,17%,95,44%,71,10%,63,24%,61,34%
Paul George,29.5,LAC,Wing,1412,61,53.8%,36,21%,58,16%,85,17%,81,34%,29,9%,58,37%,48,45%
Taj Gibson,34.4,NYK,Big,1020,71,59.1%,71,63%,36,15%,95,18%,79,33%,36,3%,24,2%,28,5%
Harry Giles,21.5,SAC,Big,638,52,55.2%,53,50%,89,29%,97,21%,99,50%,17,0%,0,0%,10,0%
Shai Gilgeous-Alexander,21.3,OKC,Wing,2411,45,51.4%,78,38%,96,27%,65,12%,91,39%,5,3%,16,19%,4,22%
Rudy Gobert,27.3,UTA,Big,2331,96,69.2%,98,91%,13,9%,0,0%,8,9%,0,0%,0,0%,0,0%
Brandon Goodwin,24.1,ATL,Combo,392,36,48.2%,50,29%,64,21%,32,7%,45,29%,53,8%,62,34%,56,43%
Aaron Gordon,24.1,ORL,Forward,2017,29,48.9%,65,40%,67,20%,81,13%,77,33%,5,5%,25,22%,11,27%
Eric Gordon,30.9,HOU,Wing,1016,23,47.8%,47,28%,22,9%,11,2%,11,11%,14,5%,95,56%,83,62%
Devonte' Graham,24.7,CHA,Point,2206,41,49.7%,10,18%,27,14%,43,11%,22,25%,25,4%,98,53%,94,57%
Treveon Graham,26.0,ATL,Forward,246,28,48.3%,25,27%,75,21%,29,3%,55,24%,83,21%,57,28%,75,49%
Treveon Graham,26.0,MIN,Forward,640,9,40.6%,60,39%,59,18%,0,0%,36,18%,41,12%,69,31%,59,43%
Jerami Grant,25.6,DEN,Big,1860,55,55.5%,41,40%,35,15%,77,10%,53,24%,77,12%,61,23%,65,36%
Danny Green,32.4,LAL,Wing,1684,66,54.4%,22,17%,25,9%,38,6%,21,15%,98,30%,65,38%,92,68%
Draymond Green,29.7,GSW,Big,1221,5,45.0%,27,32%,60,19%,82,11%,71,30%,45,4%,77,34%,68,38%
JaMychal Green,29.4,LAC,Big,1248,63,56.5%,18,26%,8,7%,36,3%,10,10%,89,18%,94,47%,93,64%
Javonte Green,26.3,BOS,Wing,374,58,53.3%,96,56%,70,18%,6,1%,35,19%,40,11%,7,14%,9,25%
Jeff Green,33.2,HOU,Forward,390,99,63.8%,81,45%,9,6%,9,1%,5,8%,89,23%,43,25%,72,48%
Jeff Green,33.2,UTA,Forward,545,31,48.9%,41,31%,69,20%,33,4%,57,24%,80,20%,39,25%,67,45%
Blake Griffin,30.6,DET,Big,512,2,40.2%,43,41%,35,15%,49,4%,30,19%,70,10%,70,30%,71,40%
Marko Guduric,24.7,MEM,Wing,397,20,47.6%,56,31%,30,10%,44,8%,31,18%,64,15%,56,36%,60,51%
Rui Hachimura,21.7,WAS,Big,1437,14,49.3%,48,45%,63,20%,98,21%,91,41%,46,4%,39,10%,38,14%
Tim Hardaway Jr.,27.6,DAL,Wing,2090,73,55.5%,26,18%,47,14%,69,13%,59,27%,58,15%,71,41%,71,55%
James Harden,30.2,HOU,Point,2482,78,54.5%,63,30%,41,18%,4,2%,14,20%,10,2%,94,48%,80,51%
Maurice Harkless,26.5,NYK,Wing,285,46,51.5%,99,61%,2,3%,22,4%,2,7%,53,14%,15,19%,20,32%
Maurice Harkless,26.5,LAC,Forward,1131,88,58.2%,99,61%,1,5%,27,3%,9,8%,77,19%,8,12%,23,31%
Montrezl Harrell,25.8,LAC,Big,1724,70,58.6%,86,75%,71,22%,35,3%,56,25%,0,0%,18,1%,11,1%
Gary Harris,25.1,DEN,Wing,1779,31,48.7%,69,36%,59,16%,56,10%,53,26%,51,13%,31,25%,33,38%
Joe Harris,28.2,BKN,Wing,2122,94,59.6%,62,34%,27,10%,35,6%,22,16%,32,9%,77,42%,59,51%
Tobias Harris,27.3,PHI,Forward,2468,55,52.9%,36,29%,92,27%,85,15%,91,42%,8,6%,31,23%,12,29%
Shaquille Harrison,26.1,CHI,Wing,441,81,56.9%,98,59%,69,18%,3,1%,33,19%,35,10%,6,12%,3,22%
Josh Hart,24.7,NOP,Forward,1725,61,53.5%,37,30%,8,6%,20,2%,11,8%,76,18%,91,44%,88,62%
Isaiah Hartenstein,21.5,HOU,Big,228,93,67.2%,87,76%,61,19%,21,2%,40,21%,0,0%,29,3%,25,3%
Jaxson Hayes,19.4,NOP,Big,1029,96,68.6%,98,91%,13,9%,0,0%,8,9%,16,0%,0,0%,10,0%
Gordon Hayward,29.6,BOS,Forward,1737,79,56.3%,32,29%,87,24%,92,18%,89,42%,13,6%,32,23%,13,30%
John Henson,28.8,DET,Big,188,95,68.6%,72,63%,85,28%,0,0%,62,28%,51,6%,30,4%,32,9%
John Henson,28.8,CLE,Big,405,39,53.8%,56,51%,73,23%,21,2%,57,25%,60,7%,50,17%,50,24%
Juan Hernangomez,24.1,MIN,Big,407,54,55.5%,50,46%,5,6%,18,1%,4,7%,67,8%,86,38%,79,46%
Juan Hernangomez,24.1,DEN,Forward,370,11,40.8%,64,40%,39,14%,7,1%,29,15%,49,13%,75,33%,68,46%
Willy Hernangomez,25.4,CHA,Big,320,35,52.9%,63,57%,90,29%,20,1%,73,31%,35,2%,39,10%,36,12%
Tyler Herro,19.8,MIA,Combo,1460,71,51.9%,17,18%,27,14%,95,22%,70,36%,55,9%,71,37%,76,46%
Mario Hezonja,24.7,POR,Forward,803,21,47.5%,73,42%,45,15%,69,10%,60,24%,12,6%,53,27%,27,33%
Buddy Hield,26.9,SAC,Wing,2201,67,54.5%,19,16%,31,10%,77,15%,50,26%,43,11%,88,47%,75,58%
George Hill,33.5,MIL,Combo,1264,100,62.4%,65,35%,24,12%,39,8%,20,21%,82,12%,61,33%,64,44%
Solomon Hill,28.6,MIA,Forward,183,7,38.9%,13,22%,80,22%,65,8%,73,30%,44,12%,79,36%,73,48%
Solomon Hill,28.6,MEM,Forward,874,45,52.3%,9,19%,37,13%,61,7%,43,20%,79,19%,88,41%,85,60%
Aaron Holiday,23.1,IND,Point,1552,31,49.3%,55,28%,51,19%,63,15%,53,34%,59,7%,53,31%,47,38%
Jrue Holiday,29.4,NOP,Combo,2115,70,51.8%,79,40%,67,22%,18,5%,33,27%,27,6%,36,27%,27,33%
Justin Holiday,30.6,IND,Wing,1805,85,58.1%,35,20%,6,5%,47,8%,16,13%,97,28%,66,39%,90,67%
Rondae Hollis-Jefferson,24.8,TOR,Big,1092,8,46.5%,88,76%,40,15%,33,2%,27,18%,43,4%,25,2%,29,6%
Richaun Holmes,26.0,SAC,Big,1229,89,64.6%,76,66%,87,28%,59,6%,80,34%,0,0%,0,0%,0,0%
