Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Shareef Abdur-Rahim,26.9,ATL,Forward,1955,87,+5.5,58,+0.2,67,+0.7%,45,-1.5,46,-0.1,17,-6.3%,54,+1.3,60,+0.3,54,+0.4%,46,-1.1
Shareef Abdur-Rahim,26.9,POR,Forward,708,36,-2.9,11,-2.0,21,-1.6%,9,-15.0,15,-0.9,2,-16.5%,33,-8.1,21,-1.0,56,+0.6%,12,-16.6
Malik Allen,25.3,MIA,Big,576,20,-4.9,6,-2.6,3,-4.2%,13,-13.1,14,-0.9,33,-3.1%,14,-19.6,14,-1.4,2,-10.9%,28,-7.8
Ray Allen,28.3,SEA,Combo,2147,94,+7.6,100,+4.2,96,+2.7%,97,+23.1,89,+1.0,72,+3.9%,75,+12.2,99,+2.8,95,+5.7%,95,+23.7
Rafer Alston,27.3,MIA,Point,2546,62,+1.2,33,-0.7,16,-2.0%,30,-5.4,32,-0.4,72,+4.0%,19,-16.2,41,-0.2,7,-7.1%,45,-1.6
Chris Andersen,25.3,DEN,Big,1016,18,-5.6,33,-0.7,50,+0.0%,41,-2.4,31,-0.4,57,+0.9%,58,+3.5,40,-0.3,50,-0.0%,36,-4.4
Derek Anderson,29.3,POR,Wing,1807,84,+5.2,99,+3.6,95,+2.6%,98,+25.4,96,+1.4,85,+6.8%,89,+19.8,96,+2.0,87,+4.1%,97,+27.2
Kenny Anderson,33.1,IND,Point,862,37,-2.7,38,-0.5,71,+0.9%,33,-4.6,86,+0.8,82,+6.1%,88,+18.9,20,-1.1,74,+2.3%,9,-19.9
Shandon Anderson,29.8,NYK,Wing,1916,31,-3.6,46,-0.3,56,+0.2%,42,-2.2,42,-0.2,95,+10.6%,38,-4.4,46,-0.1,47,-0.3%,45,-1.5
Carmelo Anthony,19.4,DEN,Wing,2984,90,+6.3,86,+1.6,78,+1.3%,73,+6.3,75,+0.5,87,+7.4%,40,-3.5,85,+1.1,83,+3.4%,79,+9.2
