Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Steven Adams,23.3,OKC,Big,156,0,36.4%,43,10.0%,73,2.4%,65,33.3%
LaMarcus Aldridge,31.3,SAS,Big,535,64,76.4%,50,10.8%,45,1.5%,63,32.1%
Al-Farouq Aminu,26.1,POR,Big,111,0,63.6%,45,10.3%,43,1.5%,43,25.0%
Kyle Anderson,23.1,SAS,Wing,150,0,70.0%,79,12.2%,3,0.3%,79,33.3%
Ryan Anderson,28.5,HOU,Big,328,0,87.5%,30,8.0%,18,0.7%,0,0.0%
Giannis Antetokounmpo,21.9,MIL,Forward,242,0,54.3%,94,18.3%,94,3.3%,50,25.0%
Trevor Ariza,31.3,HOU,Forward,412,0,92.9%,19,6.1%,44,1.1%,94,66.7%
Kent Bazemore,27.3,ATL,Wing,149,0,71.4%,38,7.0%,47,1.1%,0,0.0%
Bradley Beal,23.3,WAS,Wing,464,50,83.3%,53,8.6%,68,1.7%,74,27.3%
Patrick Beverley,28.3,HOU,Point,323,0,78.6%,18,7.0%,18,1.4%,82,37.5%
Bojan Bogdanovic,27.5,WAS,Forward,230,0,85.7%,25,9.9%,56,1.3%,50,25.0%
Avery Bradley,25.9,BOS,Combo,604,0,76.9%,33,4.3%,8,0.5%,42,27.3%
Malcolm Brogdon,23.9,MIL,Combo,177,0,0.0%,0,0.0%,58,1.4%,100,0.0%
Jaylen Brown,20.0,BOS,Wing,168,0,69.2%,74,11.8%,35,0.8%,41,16.7%
Jimmy Butler,27.1,CHI,Wing,238,38,80.4%,94,15.6%,97,3.6%,56,21.1%
Clint Capela,22.5,HOU,Big,285,21,61.5%,93,21.6%,23,1.2%,35,23.8%
DeMarre Carroll,30.3,TOR,Forward,149,0,55.6%,31,10.5%,13,0.6%,50,25.0%
Vince Carter,39.8,MEM,Wing,194,0,100.0%,29,6.7%,59,1.3%,0,0.0%
Ian Clark,25.7,GSW,Combo,174,0,88.9%,67,8.2%,33,1.1%,83,60.0%
Mike Conley,29.1,MEM,Point,222,44,83.8%,71,14.0%,65,2.5%,47,25.0%
Jamal Crawford,36.6,LAC,Wing,162,0,100.0%,6,1.5%,85,2.7%,0,0.0%
Jae Crowder,26.3,BOS,Forward,557,40,82.6%,38,10.8%,19,0.9%,31,9.1%
Stephen Curry,28.6,GSW,Point,598,78,90.3%,41,8.9%,88,3.7%,35,20.7%
DeMar DeRozan,27.2,TOR,Wing,372,63,88.8%,97,16.3%,91,3.3%,50,18.2%
Matthew Dellavedova,26.1,MIL,Point,156,0,75.0%,12,7.0%,29,1.5%,0,0.0%
Boris Diaw,34.5,UTA,Big,184,0,87.5%,8,4.5%,30,1.3%,0,0.0%
Kevin Durant,28.1,GSW,Forward,529,80,89.3%,69,13.9%,100,3.4%,38,22.0%
James Ennis,26.3,MEM,Forward,158,0,84.6%,88,18.2%,6,0.6%,50,25.0%
Derrick Favors,25.3,UTA,Big,194,0,47.6%,68,15.8%,28,1.3%,65,33.3%
Raymond Felton,32.4,LAC,Combo,102,0,100.0%,25,3.6%,25,1.0%,0,0.0%
Channing Frye,33.5,CLE,Big,111,0,85.7%,20,7.0%,10,0.4%,0,0.0%
Marc Gasol,31.8,MEM,Big,238,100,93.9%,75,16.8%,90,2.8%,43,25.0%
Pau Gasol,36.3,SAS,Big,364,0,70.8%,25,7.5%,78,2.6%,65,33.3%
Paul George,26.5,IND,Forward,171,60,86.7%,56,12.1%,75,2.0%,25,8.3%
Taj Gibson,31.4,OKC,Big,118,0,87.5%,45,10.3%,68,2.2%,0,0.0%
Manu Ginobili,39.3,SAS,Wing,282,0,73.9%,88,13.6%,62,1.4%,85,35.7%
Rudy Gobert,24.4,UTA,Big,231,7,45.7%,98,26.9%,100,4.0%,35,23.8%
Eric Gordon,27.9,HOU,Wing,355,0,72.2%,18,4.8%,32,0.8%,79,33.3%
Marcin Gortat,32.7,WAS,Big,369,0,69.2%,35,8.3%,55,1.8%,80,42.9%
Jerami Grant,22.6,OKC,Forward,106,0,85.7%,56,12.1%,0,0.4%,50,25.0%
Danny Green,29.4,SAS,Wing,434,0,57.1%,24,6.2%,21,0.6%,94,57.1%
Draymond Green,26.7,GSW,Big,590,36,68.7%,70,16.0%,38,1.4%,40,24.1%
Gerald Green,30.8,BOS,Wing,147,0,75.0%,9,3.8%,41,0.9%,91,50.0%
JaMychal Green,26.4,MEM,Big,117,0,100.0%,3,2.9%,13,0.5%,98,100.0%
Tim Hardaway Jr.,24.6,ATL,Wing,198,0,63.2%,71,10.1%,53,1.3%,26,11.1%
James Harden,27.2,HOU,Combo,405,100,87.8%,100,17.5%,92,2.6%,25,8.9%
Andrew Harrison,22.0,MEM,Combo,106,0,100.0%,42,4.5%,100,3.5%,92,100.0%
Gordon Hayward,26.6,UTA,Wing,367,88,92.9%,91,14.1%,94,3.3%,26,11.1%
Nene Hilario,34.1,HOU,Big,160,14,58.1%,80,18.6%,83,2.7%,53,27.3%
George Hill,30.5,UTA,Point,246,0,70.4%,65,12.8%,47,2.0%,47,25.0%
Rodney Hood,24.0,UTA,Wing,254,0,60.0%,32,6.7%,29,0.7%,0,0.0%
Al Horford,30.4,BOS,Big,573,50,75.9%,28,7.6%,57,1.8%,88,50.0%
Dwight Howard,30.9,ATL,Big,155,0,63.2%,95,23.3%,35,1.4%,60,30.0%
Serge Ibaka,27.1,TOR,Big,305,0,84.6%,5,4.5%,25,1.3%,88,50.0%
Andre Iguodala,32.8,GSW,Wing,417,0,57.7%,47,8.3%,79,1.9%,59,22.2%
Joe Ingles,29.1,UTA,Wing,296,0,57.1%,35,6.8%,71,1.8%,62,25.0%
Kyrie Irving,24.6,CLE,Point,652,89,90.5%,6,6.7%,24,1.5%,76,30.8%
LeBron James,31.8,CLE,Forward,742,20,70.0%,81,17.4%,81,3.0%,88,30.3%
Richard Jefferson,36.4,CLE,Forward,144,0,62.5%,100,23.7%,81,3.0%,0,0.0%
Brandon Jennings,27.1,WAS,Combo,156,0,87.5%,83,11.1%,42,1.1%,0,0.0%
Amir Johnson,29.5,BOS,Big,127,0,62.5%,73,16.1%,5,0.4%,78,40.0%
Joe Johnson,35.3,UTA,Forward,295,0,81.8%,6,3.3%,38,1.0%,50,25.0%
DeAndre Jordan,28.3,LAC,Big,224,0,39.0%,100,28.6%,98,3.4%,25,16.7%
Cory Joseph,25.2,TOR,Combo,205,0,100.0%,17,3.1%,50,1.2%,58,50.0%
Kyle Korver,35.6,CLE,Wing,312,0,100.0%,3,1.3%,26,0.7%,0,0.0%
David Lee,33.5,SAS,Big,237,0,57.1%,78,17.0%,8,0.4%,83,44.4%
Kawhi Leonard,25.3,SAS,Wing,428,100,93.1%,100,17.5%,100,4.0%,53,19.5%
Damian Lillard,26.3,POR,Point,150,0,96.0%,53,9.3%,76,2.9%,18,11.1%
Shaun Livingston,31.1,GSW,Combo,201,0,66.7%,58,7.3%,0,0.0%,58,50.0%
Robin Lopez,28.6,CHI,Big,161,0,100.0%,13,5.5%,40,1.4%,0,0.0%
Kevin Love,28.2,CLE,Big,576,93,84.0%,60,11.9%,93,2.8%,23,10.3%
Kyle Lowry,30.6,TOR,Point,299,33,81.8%,76,14.6%,41,1.8%,29,20.0%
Shelvin Mack,26.5,UTA,Point,141,0,86.7%,59,9.6%,6,1.0%,0,0.0%
Thon Maker,19.7,MIL,Big,114,0,81.8%,57,11.8%,65,2.1%,43,25.0%
Luc Mbah a Moute,30.1,LAC,Forward,208,0,66.7%,75,14.6%,25,0.9%,0,0.0%
Patrick McCaw,21.0,GSW,Wing,138,0,81.8%,74,11.8%,38,0.9%,62,25.0%
CJ McCollum,25.1,POR,Combo,138,0,93.8%,50,7.1%,67,1.5%,33,16.7%
JaVale McGee,28.8,GSW,Big,144,0,68.8%,63,14.8%,15,0.6%,83,44.4%
Khris Middleton,25.2,MIL,Wing,230,0,81.8%,50,8.5%,88,3.1%,76,28.6%
Patty Mills,28.2,SAS,Point,414,0,86.4%,0,4.9%,53,2.0%,65,28.6%
Paul Millsap,31.7,ATL,Big,218,79,81.1%,88,21.4%,95,3.4%,55,28.0%
Nikola Mirotic,25.7,CHI,Big,161,0,80.0%,38,9.3%,3,0.3%,33,20.0%
Greg Monroe,26.4,MIL,Big,140,86,83.3%,85,19.7%,88,2.7%,25,16.7%
Markieff Morris,27.2,WAS,Big,361,71,80.0%,33,8.2%,50,1.7%,43,25.0%
Dejounte Murray,20.1,SAS,Combo,132,0,66.7%,92,11.5%,75,1.6%,58,50.0%
Victor Oladipo,24.5,OKC,Wing,179,0,100.0%,15,4.7%,9,0.5%,0,0.0%
Kelly Olynyk,25.5,BOS,Big,310,50,75.9%,53,10.8%,63,2.1%,75,38.5%
Kelly Oubre,20.9,WAS,Wing,145,0,70.0%,41,8.2%,18,0.6%,0,0.0%
Zaza Pachulia,32.7,GSW,Big,198,0,76.5%,65,15.0%,85,2.7%,65,33.3%
Tony Parker,34.5,SAS,Point,211,0,100.0%,29,7.7%,12,1.2%,47,25.0%
Patrick Patterson,27.6,TOR,Big,181,0,100.0%,10,5.3%,0,0.3%,0,0.0%
Chris Paul,31.5,LAC,Point,220,100,90.6%,24,7.6%,100,4.5%,100,44.4%
Otto Porter,23.4,WAS,Forward,386,100,90.9%,50,12.0%,63,1.4%,44,23.1%
Bobby Portis,21.7,CHI,Big,106,0,0.0%,0,0.0%,20,0.9%,100,0.0%
Norman Powell,23.4,TOR,Wing,212,0,89.5%,56,8.9%,56,1.3%,38,14.3%
Taurean Prince,22.6,ATL,Forward,185,0,100.0%,0,2.0%,69,1.4%,100,100.0%
Zach Randolph,35.3,MEM,Big,189,0,72.7%,23,7.2%,80,2.7%,88,50.0%
JJ Redick,32.4,LAC,Wing,183,0,85.0%,68,10.0%,76,1.9%,0,0.0%
Andre Roberson,24.9,OKC,Wing,185,0,14.3%,41,8.2%,74,1.8%,62,25.0%
Terry Rozier,22.6,BOS,Combo,209,0,80.0%,75,8.6%,17,0.8%,50,33.3%
Dennis Schroder,23.1,ATL,Point,210,44,83.8%,29,7.7%,59,2.2%,41,22.2%
Iman Shumpert,26.4,CLE,Combo,249,0,81.3%,8,2.0%,83,1.7%,0,0.0%
Jonathon Simmons,27.1,SAS,Wing,279,0,68.0%,65,9.9%,44,1.1%,88,38.5%
Marcus Smart,22.7,BOS,Wing,486,13,63.8%,82,13.1%,82,2.1%,41,16.7%
JR Smith,31.1,CLE,Wing,485,0,45.5%,12,4.0%,15,0.5%,62,25.0%
Jason Smith,30.7,WAS,Big,131,0,66.7%,15,6.1%,48,1.7%,0,0.0%
Tony Snell,25.0,MIL,Wing,184,0,0.0%,0,0.0%,0,0.3%,100,0.0%
Lance Stephenson,26.2,IND,Wing,107,0,75.0%,21,5.7%,6,0.4%,97,66.7%
Jeff Teague,28.4,IND,Point,142,0,83.3%,100,19.6%,0,0.3%,71,30.0%
Isaiah Thomas,27.7,BOS,Point,477,22,81.7%,82,16.2%,82,3.0%,24,18.2%
Klay Thompson,26.7,GSW,Wing,592,25,78.1%,26,6.5%,24,0.7%,35,12.5%
Tristan Thompson,25.6,CLE,Big,560,29,66.7%,90,21.4%,70,2.3%,25,16.7%
PJ Tucker,31.5,TOR,Forward,250,0,62.5%,13,4.0%,31,1.0%,0,0.0%
Evan Turner,28.0,POR,Wing,123,0,75.0%,85,13.2%,65,1.6%,0,0.0%
Myles Turner,20.6,IND,Big,133,0,62.5%,18,6.4%,33,1.3%,0,0.0%
Jonas Valanciunas,24.5,TOR,Big,221,43,71.0%,83,18.9%,75,2.5%,57,29.4%
Dwyane Wade,34.8,CHI,Wing,190,0,95.2%,59,9.6%,50,1.2%,26,11.1%
John Wall,26.2,WAS,Point,464,67,84.3%,88,16.3%,71,2.7%,94,43.5%
David West,36.2,GSW,Big,211,0,77.8%,40,9.7%,53,1.7%,88,50.0%
Russell Westbrook,28.0,OKC,Point,194,11,80.0%,94,16.3%,94,3.8%,12,10.3%
Deron Williams,32.4,CLE,Point,229,0,90.9%,47,8.9%,35,1.6%,88,40.0%
Lou Williams,30.0,HOU,Wing,265,75,89.7%,62,9.6%,12,0.5%,41,16.7%
Thaddeus Young,28.4,IND,Big,140,0,50.0%,55,11.4%,60,1.9%,0,0.0%
Paul Zipser,22.7,CHI,Forward,127,0,100.0%,44,11.1%,50,1.1%,0,0.0%
