Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Alex Acker,25.8,LAC,Wing,132,32,+1.0%,81,-3.0%,88,-4.5%,4,+5.6%,19,+1.9%,37,+1.9%,18,+4.0%,18,+3.2%
Arron Afflalo,23.0,DET,Wing,1193,66,-0.9%,50,-0.1%,60,-1.0%,64,-1.1%,68,-1.1%,25,+3.7%,72,-2.3%,60,-0.9%
Alexis Ajinca,20.5,CHA,Big,136,96,-4.2%,48,-0.0%,99,-13.4%,91,-4.3%,99,-7.5%,2,+10.9%,78,-3.5%,35,+1.1%
LaMarcus Aldridge,23.3,POR,Big,2993,37,+0.7%,73,-2.1%,94,-6.3%,1,+7.2%,18,+1.9%,47,+0.6%,43,+0.8%,41,+0.6%
Joe Alexander,21.9,MIL,Forward,612,67,-1.0%,57,-0.6%,34,+1.5%,82,-2.7%,68,-1.1%,66,-2.4%,54,-0.3%,59,-0.9%
Malik Allen,30.3,MIL,Big,522,91,-3.1%,82,-3.2%,27,+2.3%,67,-1.3%,52,+0.0%,62,-1.9%,94,-7.0%,90,-5.1%
Ray Allen,33.3,BOS,Wing,2866,50,+0.1%,16,+3.8%,64,-1.4%,96,-5.9%,95,-4.2%,20,+4.8%,45,+0.5%,30,+1.7%
Tony Allen,26.8,BOS,Wing,782,89,-3.0%,85,-3.6%,38,+1.0%,25,+1.9%,23,+1.6%,94,-10.5%,88,-5.3%,94,-6.7%
Morris Almond,23.7,UTA,Wing,233,98,-5.3%,99,-10.8%,60,-1.1%,76,-2.3%,83,-2.0%,52,-0.1%,75,-2.8%,71,-1.9%
Rafer Alston,32.3,HOU,Point,1587,55,-0.2%,19,+3.4%,25,+2.6%,57,-0.6%,37,+0.8%,14,+6.1%,98,-11.3%,96,-7.5%
Rafer Alston,32.3,ORL,Point,853,52,-0.0%,53,-0.2%,91,-5.3%,13,+3.1%,47,+0.3%,98,-16.8%,5,+7.1%,46,+0.2%
Lou Amundson,25.9,PHX,Big,909,70,-1.2%,90,-4.5%,52,-0.2%,78,-2.4%,76,-1.5%,55,-0.7%,32,+2.0%,33,+1.3%
Chris Andersen,30.3,DEN,Big,1412,88,-2.9%,97,-7.3%,75,-2.4%,41,+0.7%,62,-0.6%,84,-6.4%,62,-1.3%,80,-2.9%
Ryan Anderson,20.5,NJN,Big,1233,56,-0.3%,76,-2.3%,72,-2.2%,31,+1.5%,49,+0.2%,89,-7.9%,18,+3.9%,42,+0.6%
Carmelo Anthony,24.4,DEN,Forward,2273,53,-0.1%,34,+1.6%,44,+0.5%,65,-1.2%,62,-0.5%,18,+5.1%,79,-3.6%,60,-0.9%
Joel Anthony,26.2,MIA,Big,1008,83,-2.2%,89,-4.4%,45,+0.4%,44,+0.5%,42,+0.5%,88,-7.4%,42,+0.9%,71,-1.9%
Trevor Ariza,23.3,LAL,Wing,1902,56,-0.2%,52,-0.2%,81,-3.0%,55,-0.4%,73,-1.3%,26,+3.5%,83,-4.1%,65,-1.4%
