Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Quincy Acy,23.1,SAC,Big,744,43,49.6%,38,59%,19,32%,61,41%,29,37%,0,29%,0,0%,0,25%
Steven Adams,20.3,OKC,Big,1115,35,48.5%,23,55%,16,30%,27,33%,14,30%,0,0%,0,0%,0,0%
Jeff Adrien,27.7,CHA,Big,226,47,50.0%,13,53%,23,33%,2,0%,6,25%,0,0%,0,0%,0,0%
Jeff Adrien,27.7,MIL,Big,676,56,51.1%,37,59%,85,48%,27,33%,55,40%,0,0%,0,0%,0,0%
Arron Afflalo,28.0,ORL,Wing,2543,66,52.3%,34,56%,81,43%,87,44%,89,44%,92,49%,86,41%,94,43%
Alexis Ajinca,25.5,NOP,Big,934,82,55.1%,62,64%,81,45%,84,48%,90,46%,0,0%,0,0%,0,0%
Cole Aldrich,25.0,NYK,Big,210,74,53.7%,27,57%,90,50%,0,0%,94,50%,0,0%,0,0%,0,0%
LaMarcus Aldridge,28.3,POR,Big,2496,22,46.0%,64,64%,50,39%,65,42%,64,41%,0,0%,0,27%,0,25%
Lavoy Allen,24.7,PHI,Big,905,19,45.7%,21,55%,87,48%,42,36%,67,41%,0,0%,0,18%,0,18%
Ray Allen,38.3,MIA,Wing,1897,93,56.2%,57,60%,98,57%,81,43%,97,48%,61,43%,58,36%,67,39%
Tony Allen,31.8,MEM,Wing,1271,62,51.6%,72,64%,39,35%,19,28%,18,31%,8,31%,0,14%,4,26%
Al-Farouq Aminu,23.1,NOP,Forward,2032,45,49.1%,64,62%,30,30%,43,35%,36,33%,29,35%,0,13%,8,28%
Lou Amundson,30.9,NOP,Big,165,89,57.1%,42,60%,90,50%,2,0%,18,33%,0,0%,0,0%,0,0%
Chris Andersen,35.3,MIA,Big,1368,98,65.6%,96,73%,1,8%,36,35%,8,26%,0,33%,0,33%,0,33%
Alan Anderson,31.0,BKN,Wing,1622,55,50.2%,68,62%,21,26%,70,41%,30,34%,5,30%,87,41%,54,37%
James Anderson,24.6,PHI,Wing,2289,61,51.3%,58,61%,80,42%,22,29%,45,36%,15,33%,45,33%,34,33%
Ryan Anderson,25.5,NOP,Big,778,65,52.6%,10,51%,33,36%,81,47%,73,43%,88,45%,76,39%,83,40%
Giannis Antetokounmpo,18.9,MIL,Forward,1796,23,45.4%,32,55%,9,17%,7,19%,0,18%,0,6%,67,38%,21,33%
Carmelo Anthony,29.4,NYK,Forward,2971,61,50.6%,23,54%,84,43%,86,44%,89,44%,54,38%,90,41%,87,41%
Joel Anthony,31.2,BOS,Big,128,2,39.1%,0,40%,82,45%,2,0%,43,38%,0,0%,0,0%,0,0%
Pero Antic,31.3,ATL,Big,898,51,50.4%,58,63%,6,22%,95,56%,51,40%,96,48%,21,28%,39,32%
Trevor Ariza,28.3,WAS,Wing,2715,93,56.4%,67,62%,16,23%,57,39%,38,35%,75,45%,77,39%,88,41%
Darrell Arthur,25.6,DEN,Big,1143,7,42.4%,4,45%,5,21%,61,41%,41,38%,54,35%,83,40%,72,39%
